"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2015_Q3",10.38484375,"Down",56119000,-29609000,26510000,-25717000,-15086000,-10631000,793000,35000,35000,828000,4000.00000000023,832000,-61000,771000,771000,34000,805000,805000,65148000,65148000,27069000,27069000,25462000,3452000,3346000,121131000,36031000,2955000,1670000,1670000,40656000,161787000,21427000,9397000,8000,12022000,2185000,2185000,23612000,1735000,1406000,1735000,25347000,174150000,512000,173638000,-138927000,98934000,-529000,133628000,2812000,136440000,161787000,771000,2320000,442000,3673000,7206000,-1838000,-10000,-1758000,375000,375000,375000,5823000,5823000,3000,5826000,3113000,0,5009000,0.47239,0.01413,0.01434,0.0059,0.00498,6.22236,5.13006,0.18577,0,0.02077,0.02049,1.44827,3.44855,0.12927,7,0.00583,0.03625,-20.9277199999997,-82.1538500000001
"23","2015_Q4",9.635625,"Down",48664000,-27378000,21286000,-23504000,-13383000,-10121000,-2218000,-3000,-3000,-2221000,5004000,2783000,-174000,2609000,2609000,-106000,2503000,2503000,68571000,68571000,24614000,24614000,26259000,3035000,2929000,122479000,36108000,2970000,1718000,1718000,40796000,163275000,20113000,8803000,7000,11303000,1899000,1899000,22012000,1707000,1378000,1707000,23719000,174585000,512000,174073000,-138927000,101437000,-461000,136634000,2922000,139556000,163275000,2609000,2231000,-4691000,523000,672000,-2270000,-81000,2649000,96000,96000,96000,3417000,3417000,6000,3423000,13000,0,-1560000,0.43741,-0.04558,0.05143,0.01794,0.01533,-0.62325,5.56419,0.16996,0,0.06453,0.06404,1.25461,3.52258,-0.04022,4,0.01772,-0.01104,-5274.69231,30.91569
"24","2016_Q1",8.60606557377049,"Down",51394000,-28563000,22831000,-25283000,-14982000,-10301000,-2452000,14000,14000,-2438000,0,-2438000,775000,-1663000,-1663000,-89000,-1752000,-1752000,62980000,62980000,25982000,25982000,23442000,3102000,3102000,115506000,37450000,2866000,1723000,1708000,42039000,157545000,18613000,7470000,31000,11112000,1988000,1988000,20601000,859000,804000,859000,21460000,174850000,513000,174337000,-138927000,99685000,-577000,135031000,1054000,136085000,157545000,-1663000,2188000,173000,-2179000,-1481000,-3488000,-48000,-3536000,39000,39000,-569000,-5586000,-5586000,-5000,-5591000,-264000,0,-6706000,0.44423,-0.04771,-0.03409,-0.01287,-0.01112,3.82763,5.60682,0.1577,0,-0.04517,-0.04486,1.32493,3.48108,-0.17288,3,-0.01279,-0.04897,238.560610000002,25.68515
"25","2016_Q2",9.94296875,"Up",46027000,-26711000,19316000,-24745000,-14016000,-10729000,-5429000,71000,71000,-5358000,4000,-5354000,-22000,-5376000,-5376000,25000,-5351000,-5351000,59710000,59710000,23349000,23349000,24150000,3048000,3048000,110257000,37177000,2553000,1923000,1908000,41653000,151910000,18663000,8232000,29000,10402000,1933000,1933000,20596000,978000,978000,978000,21574000,175118000,513000,174605000,-138927000,94334000,-394000,130131000,205000,130336000,151910000,-5376000,2195000,240000,2107000,-834000,-1885000,-214000,-2099000,19000,19000,-353000,-3286000,-3286000,16000,-3270000,-3234000,0,-2990000,0.41967,-0.11795,-0.11626,-0.04106,-0.03522,0.558770000000001,5.35332,0.16553,0,-0.13793,-0.13793,1.18645,3.35441,-0.07707,3,-0.04075,-0.02277,18.4632,10.99834
"26","2016_Q3",10.821875,"Up",52941000,-28470000,24471000,-25072000,-14315000,-10757000,-601000.000000001,61000,61000,-540000,3000,-537000,-13000.0000000001,-550000,-550000,6000,-544000,-544000,54153000,54153000,28008000,28008000,26130000,3288000,3288000,111579000,37853000,2579000,2138000,2127000,42570000,154149000,20835000,8858000,9000,11968000,1894000,1894000,22729000,917000,917000,917000,23646000,175568000,513000,175055000,-138927000,93790000,-146000,130285000,218000,130503000,154149000,-550000,2116000,352000,-5089000,-3171000,-2759000,271000,-2488000,110000,110000,85000,-5574000,-5574000,17000,-5557000,1515000,0,-6320000,0.46223,-0.01135,-0.01028,-0.00417,-0.00353,11.61765,4.9091,0.18119,0,-0.01402,-0.01402,1.36439,3.35769,-0.16288,1,-0.00414,-0.04809,-35.74455,90.10483
"27","2016_Q4",13.8173015873016,"Up",53227000,-27304000,25923000,-23650000,-13312000,-10338000,2273000,208000,208000,2481000,3000,2484000,-133000,2351000,2351000,-15000,2336000,2336000,55066000,55066000,28026000,28026000,26562000,3086000,3086000,112740000,37535000,2580000,2183000,2172000,42298000,155038000,18815000,7965000,23000,10827000,2626000,2626000,21441000,862000,862000,862000,22303000,175395000,514000,174881000,-138927000,96126000,-96000,132498000,237000,132735000,155038000,2351000,2073000,-5e+05,-1503000,2421000,-1722000,-75000,-1797000,326000,326000,287000,911000,911000,2000,913000,4346000,0,1254000,0.48703,0.0427,0.04389,0.0176,0.01507,0.53682,5.25815,0.16803,0,0.06015,0.06015,1.37052,3.41164,0.03229,6,0.01749,0.00939,-12.6705,-24.22613
"28","2017_Q1",15.425,"Up",48085000,-26586000,21499000,-24056000,-14032000,-10024000,-2557000,-69000.0000000001,-69000.0000000001,-2626000,2999.99999999999,-2623000,-63000,-2686000,-2686000,-2000,-2688000,-2688000,56170000,56170000,25216000,25216000,27136000,3250000,3250000,111772000,37574000,2508000,2213000,2175000,42295000,154067000,18824000,7588000,92000,11144000,3403000,3403000,22227000,823000,823000,823000,23050000,176859000,515000,176344000,-138927000,93438000,-561000,130809000,208000,131017000,154067000,-2686000,2054000,305000,2455000,2128000,-2060000,-75000,-2135000,1129000,1129000,1094000,1087000,1087000,17000,1104000,-503000.000000001,0,-45000,0.4471,-0.05318,-0.0559,-0.02052,-0.01745,0.01674,5.02866,0.17593,0,-0.06904,-0.06904,1.23501,3.35968,-0.00116000000000001,4,-0.02039,-0.000340000000000002,111.66998,21.96715
"29","2017_Q2",17.7812698412698,"Up",54462000,-30810000,23652000,-25030000,-14023000,-11007000,-1378000,322000,322000,-1056000,3000,-1053000,99000,-954000,-954000,-20000,-974000,-974000,52827000,52827000,29978000,29978000,27429000,3446000,3446000,113680000,38100000,2526000,2265000,2226000,42891000,156571000,19973000,9090000,104000,10779000,4527000,4527000,24500000,826000,826000,826000,25326000,177882000,516000,177366000,-138927000,92464000,-413000,131006000,239000,131245000,156571000,-954000,2157000,257000,-2807000,-1347000,-2646000,-65000,-2711000,760000,760000,715000,-3343000,-3343000,14063.237772446,-3343000,779000,0,-4773000,0.43428,-0.0253,-0.01788,-0.00742,-0.00622,4.90041,4.64,0.19297,0,-0.02493,-0.02493,1.39396,3.35311,-0.12217,3,-0.00737,-0.03614,-67.81386,38.33599
"30","2017_Q3",18.8592063492063,"Up",57709000,-31779000,25930000,-26468000,-14536000,-11932000,-538000,357000,357000,-181000,3000,-178000,-267000,-445000,-445000,-14000,-459000,-459000,51425000,51425000,34092000,34092000,30514000,3867000,3867000,119898000,38927000,2565000,2225000,2204000,43717000,163615000,23028000,10542000,86000,12400000,7738000,7738000,30766000,757000,757000,757000,31523000,179178000,517000,178661000,-138927000,92005000,-414000,131842000,250000,132092000,163615000,-445000,2189000,280000,-1380000,644000,-2962000,-15000,-2977000,1009000,1009000,943000,-1390000,-1390000,-12000,-1402000,1651000,0,-2424000,0.44932,-0.00932,-0.00794999999999999,-0.00347,-0.00281,5.28105,3.89709,0.23864,0,-0.01172,-0.01172,1.47322,3.36572,-0.06188,4,-0.00346,-0.01825,-31.14779,95.5855
"31","2017_Q4",22.3869841269841,"Up",56888000,-31745000,25143000,-25043000,-14500000,-10543000,1e+05,306000,306000,406000,3000,409000,-371000,38000,38000,-49000,-11000,-11000,48936000,48936000,33811000,33811000,33883000,3470000,3470000,120100000,41248000,2599000,2129000,2108000,45976000,166076000,23010000,11508000,252000,11250000,8769000,8769000,31779000,680000,680000,680000,32459000,180650000,518000,180132000,-138927000,91994000,-397000,133320000,297000,133617000,166076000,38000,2244000,736000,-1677000,1341000,-4541000,63000,-4478000,741000,741000,677000,-2460000,-2460000,-29000,-2489000,2344000,0,-3503000,0.44197,0.00176,-0.00019,-8e-05,-7e-05,318.45455,3.77923,0.24293,0,-0.00028,-0.00028,1.44794,3.39332,-0.08916,3,-8e-05,-0.02608,-20.87713,-489.36
"32","2018_Q1",21.4791803278689,"Down",58771000,-31840000,26931000,-26475000,-15033000,-11442000,456000,266000,266000,722000,2000,724000,895000,1619000,1619000,-8000,1611000,1611000,44230000,44230000,34487000,34487000,36499000,3616000,3616000,118832000,41356000,2525000,3011000,2801000,46892000,165724000,22245000,9065000,3e+05,12880000,5791000,5791000,28036000,1269000,1269000,1269000,29305000,181914000,519000,181395000,-138927000,93605000,-478000,136114000,305000,136419000,165724000,1619000,2303000,921000,-7945000,-3102000,-2382000,22000,-2360000,790000,790000,740000,-4722000,-4722000,16000,-4706000,2759000,0,-8463000,0.45824,0.00776,0.02741,0.01181,0.00972,-5.25326,4.23855,0.21482,0,0.04091,0.03817,1.49237,3.45634,-0.2149,4,0.0117,-0.06147,-16.03117,-96.99561
"33","2018_Q2",38.665625,"Up",65269000,-35058000,30211000,-26525000,-15399000,-11126000,3686000,428000,428000,4114000,2000,4116000,-134000,3982000,3982000,-39000,3943000,3943000,42678000,42678000,41634000,41634000,38959000,3733000,3733000,127004000,40973000,2548000,3105000,2892000,46626000,173630000,22958000,11396000,298000,11264000,3153000,2769000,26111000,1164000,1164000,1164000,27275000,183935000,520000,183415000,-138927000,101218000,-234000,145992000,363000,146355000,173630000,3982000,2269000,749000,-7812000,-812000,-1844000,-104000,-1948000,1285000,1285000,1191000,-1569000,-1569000,17000,-1552000,5955000,0,-3567000,0.46287,0.05647,0.06041,0.02694,0.02271,-0.904640000000017,4.864,0.18636,0,0.09988,0.09817,1.65326,3.69797,-0.09035,5,0.02673,-0.02418,-7.16675,-11.5784
"34","2018_Q3",54.9777777777778,"Up",74196000,-38313000,35883000,-27217000,-15814000,-11403000,8666000,-46000,-46000,8620000,-348000,8272000,-363000,7909000,7909000,-49000,7860000,7860000,53920000,53920000,45056000,45056000,41753000,4102000,4102000,144831000,40433000,2581000,2998000,2813000,46012000,190843000,25679000,11219000,526000,13934000,5160000,4610000,30839000,1066000,1066000,1066000,31905000,188793000,517000,188276000,-138927000,109078000,-401000,158543000,395000,158938000,190843000,7909000,2270000,1237000,-2076000,9340000,-1698000,37000,-1661000,3681000,3681000,3603000,11282000,11282000,-40000,11242000,10936000,0,7525000,0.48362,0.1168,0.10594,0.04945,0.04119,0.95738,4.69636,0.20074,0,0.19794,0.19338,1.86849,3.99262,0.1895,7,0.04912,0.04703,-4.9305,-6.22201999999999
"35","2018_Q4",36.5328571428571,"Down",78035000,-39031000,39004000,-25971000,-15280000,-10691000,13033000,230000,230000,13263000,12000,13275000,-227000,13048000,13048000,-36000,13012000,13012000,68206000,68206000,45052000,45052000,43444000,3900000,3900000,160602000,41465000,2613000,2985000,2801000,47063000,207665000,25682000,13106000,708000,11868000,5009000,4442000,30691000,1014000,1014000,1014000,31705000,192893000,520000,192373000,-138927000,122090000,-516000,175540000,420000,175960000,207665000,13048000,2331000,684000,-1749000,14314000,-3307000,-25000,-3332000,3412000,3412000,3376000,14358000,14358000,-72000,14286000,15364000,0,10535000,0.49983,0.16701,0.16675,0.07395,0.06266,0.809640000000001,5.23287,0.18018,0,0.32434,0.31642,1.94509,4.37548,0.26259,7,0.07352,0.05953,-4.43934,-5.23333
"36","2019_Q1",36.8919672131148,"Up",73720000,-39847000,33873000,-26797000,-15731000,-11066000,7076000,255000,255000,7331000,-61000,7270000,-363000,6907000,6907000,2999.99999999999,6910000,6910000,70557000,70557000,43673000,43673000,47370000,3460000,3460000,165060000,50432000,2526000,3050000,2785000,56008000,221068000,30381000,16149000,710000,13522000,5617000,5069000,35998000,980000,980000,980000,36978000,193977000,520000,193457000,-138927000,1.29e+08,-394000,183656000,434000,184090000,221068000,6907000,2384000,672000,3366000,13329000,-11305000,7000,-11298000,278000,278000,216000,2247000,2247000,104000,2351000,9460000,0,1884000,0.45948,0.09598,0.09373,0.03754,0.03126,0.27265,4.58525,0.20087,0,0.17197,0.16861,1.8347,4.57072,0.04689,8,0.03734,0.01018,-7.45846,-9.97131
"37","2019_Q2",32.1387301587302,"Down",65725000,-34639000,31086000,-26593000,-15373000,-11220000,4493000,238000,238000,4731000,1000,4732000,-426000,4306000,4306000,-20000,4286000,4286000,66614000,66614000,41705000,41705000,51589000,3880000,3880000,163788000,55642000,2546000,3028000,2762000,61216000,225004000,22984000,11177000,182000,11625000,7749000,5454000,30733000,3579000,3579000,3579000,34312000,196320000,521000,195799000,-138927000,133286000,-436000,190243000,449000,190692000,225004000,4306000,2445000,674000,-9545000,-2120000,-3313000,-8000,-3321000,1570000,1570000,1540000,-3901000,-3901000,-42000,-3943000,6938000,0,-5494000,0.47297,0.06836,0.06521,0.02248,0.01905,-1.28185,5.32939,0.17993,0,0.10654,0.10446,1.63377,4.729,-0.13657,3,0.02206,-0.02828,-9.60133,-14.82617
"38","2019_Q3",30.853125,"Down",63355000,-34238000,29117000,-26736000,-15030000,-11706000,2381000,287000,287000,2668000,1000,2669000,-113000,2556000,2556000,7000,2563000,2563000,71482000,71482000,38537000,38537000,54572000,5054000,5054000,169645000,55285000,2565000,3108000,2867000,60958000,230603000,24276000,10819000,85000,13372000,8881000,6581000,33157000,3130000,3130000,3130000,36287000,197219000,521000,196698000,-138927000,135849000,-278000,193863000,453000,194316000,230603000,2556000,2553000,748000,1502000,7359000,-2529000,-129000,-2658000,137000,137000,64999.9999999998,4766000,4766000,102000,4868000,4934000,0,4020000,0.45958,0.03758,0.04045,0.01319,0.01111,1.56847,5.11642,0.18674,0,0.06364,0.06239,1.57306,4.81348,0.09981,4,0.01298,0.02036,-14.48764,-30.02184
"39","2019_Q4",38.0840625,"Up",70772000,-37770000,33002000,-26950000,-15443000,-11507000,6052000,145000,145000,6197000,1000,6198000,-266000,5932000,5932000,5000,5937000,5937000,81229000,81229000,39987000,39987000,49688000,5114000,5114000,176018000,56336000,2576000,2980000,2739000,61892000,237910000,22269000,10329000,57000,11883000,8499000,5843000,30768000,4426000,4426000,4426000,35194000,199688000,522000,199166000,-138927000,141786000,-278000,202269000,447000,202716000,237910000,5932000,2649000,730000,1989000,11300000,-3257000,1e+05,-3157000,1716000,1716000,1620000,9763000,9763000,-16000,9747000,8701000,0,7699000,0.46631,0.08551,0.08389,0.02929,0.02495,1.29678,5.72081,0.17361,0,0.1472,0.1407,1.75469,5.01498,0.19089,4,0.02866,0.03717,-9.33559,-13.42184
"40","2020_Q1",47.4206451612903,"Up",63125000,-33364000,29761000,-28866000,-16711000,-12155000,894999.999999999,392000,392000,1287000,999.999999999998,1288000,27000,1315000,1315000,-3000,1312000,1312000,84668000,84668000,38115000,38115000,49187000,7096000,7096000,179066000,56952000,2510000,2199000,1994000,61661000,240727000,22162000,9005000,57000,13100000,7768000,5507000,29930000,4927000,4927000,4927000,34857000,201774000,523000,201251000,-138927000,143098000,-383000,205562000,308000,205870000,240727000,1315000,2687000,1076000,594000,5672000,-3386000,37000,-3349000,1319000,1319000,1141000,3464000,3464000,-25000,3439000,3582000,0,763000,0.47146,0.01418,0.02078,0.00637,0.00545,0.58155,5.98283,0.16932,0,0.03241,0.03094,1.5593,5.07774,0.01885,5,0.00622,0.00362,-23.63707,-94.60112
"41","2020_Q2",56.1496825396825,"Up",63401000,-36070000,27331000,-29704000,-16369000,-13335000,-2373000,147000,147000,-2226000,1000,-2225000,494000,-1731000,-1731000,-4000,-1735000,-1735000,82751000,82751000,41279000,41279000,53352000,7808000,7808000,185190000,56879000,2557000,2099000,1893000,61535000,246725000,26316000,13440000,34000,12842000,8904000,6753000,35220000,4508000,4508000,4508000,39728000,204545000,525000,204020000,-138927000,141363000,-3e+05,206681000,316000,206997000,246725000,-1731000,2711000,751000,-2640000,-909000,-2999000,-2234748.86719317,-2999000,2061000,2061000,1972000,-1936000,-1936000,19000,-1917000,338000,0,-5795000,0.43108,-0.03743,-0.02737,-0.00838,-0.00703,3.34006,5.25809,0.19193,0,-0.0427,-0.0427,1.56026,5.08628,-0.14261,2,-0.0082,-0.0274,-244.82544,34.87189
"42","2020_Q3",79.56015625,"Up",70761000,-40443000,30318000,-28285000,-15455000,-12830000,2033000,232000,232000,2265000,1000,2266000,406000,2672000,2672000,-5000,2667000,2667000,196704000,196704000,48502000,48502000,55630000,7842000,7842000,308678000,59475000,2555000,2026000,1838000,64056000,372734000,32079000,15647000,56000,16376000,9840000,7817000,41919000,4172000,4172000,4172000,46091000,321537000,549000,320988000,-138927000,144030000,-316000,326324000,319000,326643000,372734000,2672000,2728000,1927000,-2654000,4673000,-5725000,6000,-5719000,115056000,115056000,115001000,113955000,113955000,-2000,113953000,4761000,0,-4024000,0.42846,0.02873,0.03769,0.00816,0.00716,-1.50881,7.36368,0.14111,0,0.06404,0.05884,1.69915,7.83585,-0.09663,4,0.00806,-0.01216,-41.3156899999999,-96.75553
"43","2020_Q4",83.9859375,"Up",78112000,-44765000,33347000,-27244000,-15212000,-12032000,6103000,333000,333000,6436000,1000,6437000,-651000,5786000,5786000,-1000,5785000,5785000,203605000,203605000,41136000,41136000,58169000,6872000,6872000,309782000,65780000,2591000,1966000,1777000,70337000,380119000,27638000,11911000,62000,15665000,10360000,8061000,37998000,4533000,4533000,4533000,42531000,326577000,551000,326026000,-138927000,149815000,-203000,337262000,326000,337588000,380119000,5786000,2736000,1635000,1454000,11611000,-8104000,-6000,-8110000,3400000,3400000,3358000,6859000,6859000,42000,6901000,8839000,0,2840000,0.42691,0.07813,0.07406,0.01714,0.01522,0.49092,8.15259,0.12598,0,0.13403,0.1293,1.80974,7.81386,0.0658,4,0.01691,0.0083,-23.03485,-33.36146
"44","2021_Q1",94.1440983606557,"Up",84302000,-43851000,40451000,-28846000,-16127000,-12719000,11605000,377000,377000,11982000,1000,11983000,-788000,11195000,11195000,-2000,11193000,11193000,211908000,161742000,40999000,40999000,57269000,6756000,6756000,316932000,74843000,2517000,1947000,1721000,79307000,396239000,30978000,14121000,139000,16718000,9535000,7309000,40513000,4571000,4571000,4571000,45084000,328943000,551000,328392000,-138927000,161008000,-204000,350820000,335000,351155000,396239000,11195000,2881000,1568000,3723000,19367000,-11825000,-40272761.1170247,-61991000,749000,749000,711000,-41913000,-41913000,50000,-41863000,14486000,0,7172000,0.47983,0.13766,0.13277,0.03187,0.02825,0.64076,7.82297,0.12839,0,0.25849,0.24998,1.94684,8.1017,0.16563,6,0.03147,0.02016,-14.62847,-18.26006
"45","2021_Q2",88.9822222222222,"Down",88796000,-44096000,44700000,-29980000,-16954000,-13026000,14720000,231000,231000,14951000,1000,14952000,143000,15095000,15095000,-3000,15092000,15092000,223130000,127411000,47697000,47697000,54256000,6954000,6954000,332037000,81124000,2541000,1919000,1695000,85584000,417621000,34046000,16365000,43000,17638000,8832000,6008000,42878000,4261000,4261000,4261000,47139000,333564000,553000,333011000,-138927000,176100000,-573000,370164000,318000,370482000,417621000,15095000,2806000,1572000,-1700000,17773000,-9264000,-45706000,-54970000,3050000,3050000,3004000,-34193000,-34193000,-138000,-34331000,17526000,0,6419000,0.5034,0.16577,0.16996,0.04074,0.03614,0.42532,7.74376,0.12724,0,0.3473,0.33657,2.0434,8.51833,0.14772,6,0.04027,0.01713,-12.73137,-15.15829
"46","2021_Q3",119.49109375,"Up",95376000,-45505000,49871000,-29862000,-16589000,-13273000,20009000,372000,372000,20381000,1000,20382000,-999000,19383000,19383000,11000,19394000,19394000,230232000,159763000,55012000,55012000,57129000,6657000,6657000,349030000,92956000,2561000,1829000,1608000,97346000,446376000,42383000,22081000,890000,19412000,7394000,3916000,49777000,3707000,3707000,3707000,53484000,336832000,554000,336278000,-138927000,195494000,-813000,392586000,306000,392892000,446376000,19383000,2812000,1601000,-11454000,12342000,-6518000,24894000,18376000,1701000,1701000,1640000,32358000,32358000,-6000.00000000003,32352000,22821000,0,5848000,0.52289,0.20979,0.20334,0.04936,0.04345,0.30154,7.01187,0.13613,0,0.4453,0.43251,2.18988,9.01398,0.13427,5,0.0489,0.01475,-10.0886,-11.50642
"47","2021_Q4",141.58921875,"Up",84911000,-42098000,42813000,-30841000,-17322000,-13519000,11972000,393000,393000,12365000,0,12365000,886000,13251000,13251000,7000,13258000,13258000,228880000,178663000,51080000,51080000,63409000,6633000,6633000,350002000,104446000,2598000,1784000,1563000,108828000,458830000,35939000,18346000,10000,17583000,6676000,3390000,42615000,4561000,4561000,4561000,47176000,342569000,555000,342014000,-138927000,208753000,-1040000,411355000,299000,411654000,458830000,13252000,2946000,1760000,-7846000,10112000,-15160000,20106000,4946000,3870000,3870000,3824000,18882000,18882000,18000,18900000,14918000,0,-8974000,0.50421,0.14099,0.15614,0.03221,0.0289,-0.67687,8.21312,0.1146,0,0.30331,0.29441,1.94255,9.41079,-0.2053,5,0.03185,-0.02156,-15.34254,-19.11794
"48","2022_Q1",89.8141935483871,"Down",90281000,-49465000,40816000,-31915000,-18619000,-13296000,8901000,203000,203000,9104000,2000,9106000,-206000,8900000,8900000,-19000,8881000,8881000,227633000,182418000,55097000,55097000,67322000,6708000,6708000,356760000,115975000,2639000,1831000,1623000,120445000,477205000,38166000,21189000,66000.0000000001,16911000,10927000,5769511.34430056,49093000,4207000,3794000,4207000,53300000,346221000,556619.872609442,346445766.351945,-138927000,217633000,-1328000,423599000,306000,423905000,477205000,8899000,3141000,2042000,134999.999999999,14217000,-16819000,706000,-12013000,1622000,1622000,1622000,3826000,3826000,-71000,3755000,12042000,0,-4436000,0.4521,0.09859,0.09837,0.02095,0.01861,-0.49949,7.26702,0.12574,0,0.20237,0.1967,2.05722,9.65248,-0.10108,3,0.02074,-0.01036,-18.90326,-25.57387
"49","2022_Q2",62.0204838709677,"Down",88282000,-50681000,37601000,-32821000,-18568000,-14253000,4780000,161000,161000,4941000,1000,4942000,48000,4990000,4990000,9000,4999000,4999000,211053000,191050000,52659000,52659000,73861000,7021000,7021000,344594000,140494000,2536000,1725000,1519000,144755000,489349000,38357000,22572000,21000,15764000,11203000,8384000,49560000,7600000,7600000,7600000,57160000,350025000,558000,349467000,-138927000,222632000,-1824000,431906000,283000,432189000,489349000,4990000,3296000,1995000,-5696000,4585000,-22683000,2.5e+07,2317000,1810000,1810000,1810000,8712000,8712000,-80000,8632000,8076000,0,-20351000,0.42592,0.05414,0.05663,0.01157,0.01022,-4.07101,6.95307,0.13226,0,0.11374,0.1112,2.0086,9.82677,-0.46303,2,0.01137,-0.04627,-26.13336,-44.15335
"50","2022_Q3",66.00921875,"Up",102186000,-55337000,46849000,-35551000,-20035000,-15516000,11298000,83000,83000,11381000,1000,11382000,-802000,10580000,10580000,13000,10593000,10593000,207598000,187677000,54536000,54536000,83055000,7142000,7142000,352331000,156815000,2552000,1658000,1392000,161025000,513356000,49173000,32032000,2000,17139000,10280000,7702000,59453000,8799000,8799000,8799000,68252000,352811000,558000,352253000,-138927000,233225000,-2246000,444863000,241000,445104000,513356000,10580000,3369000,2561000,-5687000,10823000,-14195000,0,-14195000,164000,164000,164000,-3208000,-3208000,-165000,-3373000,14667000,0,-4413000,0.45847,0.11056,0.10366,0.0238,0.02063,-0.4166,5.92621,0.15334,0,0.24101,0.23564,2.32495,10.12156,-0.1004,3,0.02334,-0.00971999999999999,-14.15409,-18.37476
