"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.5771875,"Up",486900000,-419800000,67100000,-47300000,-47300000,19800000,-11600000,-10300000,-1300000,8200000,-3e+05,7900000,-7e+05,7200000,7200000,5800000,5800000,-30385114.2468941,-30385114.2468941,21867639.8559249,21867639.8559249,91787979.4033557,28320205.5474886,43673808.1108555,111590710.559875,446554102.829079,517998885.667572,374748150.097189,119805943.095215,964552988.496651,1076143699.05653,53078214.508409,53078214.508409,-79181919.9178792,-70747640.2574099,607139107.826303,55257432.9244262,32182019.873045,23075413.0514322,662396540.75073,591648900.49332,425966859.583721,135059256.942486,-83680043.5745966,472477497.170457,484494798.563207,1076143699.05653,7200000,19100000,12600000,24100000,6.3e+07,-10700000,-518800000,413300000,71100000,-16800000,467600000,11800000,11800000,8e+05,12600000,38900000,0,5.3e+07,0.13781,0.04067,0.01191,0.0230274289953341,0.010841854124501,9.13793,2.84633756003883,1.33778294144353,0.462930079008548,0.0665,0.0653,5.58224,4.9584339073107,0.60764,0.0108428359351863,0.178792858583036,18.8588536544916,-4.58128595632041
"2","2011_Q1",6.91161290322581,"Up",528800000,-460300000,68500000,-52500000,-52500000,1.6e+07,-14700000,-14300000,-4e+05,1300000,19600000,20900000,-4700000,16200000,16200000,15100000,15100000,48200000,48200000,213600000,213600000,215500000,3.3e+07,32700000,510300000,503800000,515100000,371100000,130200000,1018900000,1529200000,276600000,276600000,13900000,322700000,605500000,65800000,43600000,22200000,671300000,9.94e+08,436400000,106500000,-17500000,522200000,535200000,1529200000,16200000,24100000,16300000,19300000,75900000,-14800000,-14800000,-43800000,0,-1900000,-45700000,15400000,15400000,-1e+05,15300000,40100000,619400000,49300000,0.12954,0.03026,0.02856,0.02821,0.00987,3.2649,1.58134,1.85725,0.40505,0.16008,0.1603,5.60603,5.53606,0.52265,0.01237,0.0404,14.24439,35.7
"3","2011_Q2",6.80761904761905,"Down",534100000,-464500000,69600000,-45100000,-45100000,24500000,-15200000,-14400000,-8e+05,9300000,19846043.6636365,9300000,-1600000,7700000,7700000,6800000,6800000,51920038.082298,51920038.082298,288644120.048025,288644120.048025,253995673.532215,40043264.8175038,30825397.2963815,634603096.480042,515081965.72364,505842038.110809,364850616.63427,132898018.968262,1020924003.83445,1655527100.31449,325932261.83053,325932261.83053,39218973.3059597,415049213.419137,604186964.057899,68289189.0251913,46764326.708985,21524862.3161893,672476153.08309,1087525366.50223,439819380.13876,115030247.685838,1760014.52486553,554240834.276514,568001733.812264,1655527100.31449,7700000,23600000,3100000,-6e+07,-25600000,-12400000,-12400000,2.6e+07,-19703991.0879342,-1600000,24400000,-13600000,-13600000,1200000,-12400000,48100000,0,-22700000,0.13031,0.04587,0.01273,0.0390666903348886,0.013472715291833,-3.33824,1.38732914665372,1.91160485285216,0.387986640330484,0.07228,0.07133,5.67732,5.89227453089643,-0.24129,0.0173957213549379,-0.000759286194345336,10.7615846151695,32.9071128187735
"4","2011_Q3",6.28140625,"Down",6.4e+08,-5.52e+08,8.8e+07,-45100000,-45100000,42900000,-14600000,-14600000,1.16415321826935e-10,28300000,9946640.04285738,28300000,-7e+05,27600000,27600000,26500000,26500000,2.4e+07,2.4e+07,287400000,287400000,242200000,45400000,32500000,5.99e+08,5.01e+08,493800000,357100000,131300000,994800000,1593800000,281700000,281700000,25500000,340400000,603200000,65500000,44500000,2.1e+07,668700000,1009100000,439200000,139800000,-6299999.99999999,570600000,584700000,1593800000,27600000,23800000,6200000,-36300000,21300000,-13400000,-15100000,-17200000,-11600557.4238967,-9e+05,-18100000,-11900000,-11900000,1e+05,-11800000,66700000,628700000,17700000,0.1375,0.06703,0.04141,0.04532,0.01663,0.667919999999999,1.75969,1.72584,0.39447,0.2815,0.27743,6.79853,6.06131,0.18802,0.02072,0.01384,9.06597,14.09557
"5","2011_Q4",5.30571428571429,"Down",611300000,-543700000,67600000,-38100000,-38100000,29500000,-15700000,-14400000,-1300000,13800000,-499999.999999989,13300000,4e+06,17300000,17300000,16200000,16200000,28200000,28200000,247700000,247700000,2.16e+08,42900000,30300000,534800000,483300000,482600000,348800000,129100000,965900000,1500700000,241800000,241800000,4300000,254600000,602500000,59800000,39300000,20500000,662300000,916900000,437800000,1.56e+08,-21600000,570100000,583800000,1500700000,17300000,2.4e+07,-7400000,3e+07,63900000,-9400000,-35200000,-21800000,300000.000000045,-1800000,-23300000,5400000,5400000,-1200000,4200000,53500000,606800000,70100000,0.11058,0.04826,0.0265,0.02775,0.01079,4.32716,2.10055,1.57057,0.40434,0.17175,0.17262,6.48092,6.04412,0.74319,0.01296,0.05606,10.81495,19.61356
"6","2012_Q1",5.33790322580645,"Up",549200000,-497800000,51400000,-44400000,-44400000,7e+06,-13800000,-13700000,-1e+05,-6800000,-3600000,-10400000,-1e+06,-11400000,-11400000,-11900000,-11900000,100900000,100900000,210800000,210800000,2.1e+08,29200000,19300000,550900000,482200000,475800000,341100000,129600000,9.58e+08,1508900000,281100000,281100000,3400000,284500000,602100000,54100000,34100000,2e+07,656200000,940700000,438500000,144100000,-24700000,555800000,568200000,1508900000,-11400000,23900000,6200000,85200000,103900000,-18900000,-27500000,-1600000,0,-1700000,-3300000,73100000,73100000,-4e+05,72700000,30900000,605500000,98200000,0.09359,0.01275,-0.02167,-0.02094,-0.00789,-8.2521,1.93638,1.65558,0.40129,-0.12602,-0.12486,5.81613,5.88603,1.03996,-0.00969,0.07998,16.3301,72.08571
"7","2012_Q2",5.86380952380952,"Up",523800000,-460400000,63400000,-41800000,-41800000,21600000,-13800000,-1.4e+07,2e+05,7800000,-6e+05,7200000,-4e+05,6800000,6800000,5900000,5900000,31600000,31600000,234600000,234600000,228500000,30500000,21100000,525200000,490600000,472200000,335800000,130300000,962800000,1.488e+09,245500000,245500000,2500000,2.48e+08,602300000,55600000,35100000,20500000,657900000,905900000,439300000,1.5e+08,-17200000,5.7e+08,582100000,1.488e+09,6800000,23800000,2200000,-75900000,-43100000,-20400000,-25400000,-1200000,-863026.841144012,-1100000,-2300000,-70800000,-70800000,1500000,-69300000,45400000,604800000,-50500000,0.12104,0.04124,0.01126,0.01014,0.00397,-8.55932,2.11774,1.55626,0.40645,0.06248,0.06165,5.54714,6.03641,-0.5348,0.00475,-0.04064,12.62555,26.53704
"8","2012_Q3",6.71380952380952,"Up",625800000,-533500000,92300000,-48800000,-48800000,43500000,-1.3e+07,-13500000,5e+05,30500000,-3e+05,30200000,-3900000,26300000,26300000,25100000,25100000,47100000,47100000,262400000,262400000,2.34e+08,33400000,25100000,576900000,488800000,4.63e+08,329100000,129600000,951800000,1528700000,2.65e+08,2.65e+08,1800000,266800000,602200000,57400000,37200000,20200000,659600000,926400000,440500000,1.75e+08,-24100000,589300000,602300000,1528700000,26300000,23700000,6700000,-18600000,38100000,-19700000,-19700000,-1400000,-299999.999999999,-3e+05,-2e+06,16400000,16400000,-9e+05,15500000,67200000,6.04e+08,32800000,0.14749,0.06951,0.04011,0.04167,0.01642,1.30677,2.16229,1.5381,0.39511,0.2657,0.2635,6.6244,6.23803,0.3472,0.01986,0.02596,8.2872,12.8023
"9","2012_Q4",6.53467741935484,"Down",583800000,-510600000,73200000,-43800000,-43800000,29400000,-11600000,-13100000,1500000,17800000,-8e+05,1.7e+07,-1200000,15800000,15800000,14500000,14500000,88100000,88100000,252100000,252100000,219100000,27900000,2.5e+07,587200000,488100000,458700000,324100000,130800000,946800000,1.534e+09,247100000,247100000,1800000,248900000,602100000,52900000,37500000,15400000,6.55e+08,903900000,441800000,189500000,-11400000,617800000,630100000,1.534e+09,15800000,24700000,2100000,15400000,5.8e+07,-12900000,-15900000,-2e+05,0,-3100000,-3300000,38800000,38800000,2200000,4.1e+07,54100000,603900000,57800000,0.12539,0.05036,0.02484,0.02301,0.00945,3.98621,2.35918,1.43453,0.39368,0.15346,0.15133,6.17863,6.53847,0.61172,0.01127,0.04491,9.5342,17.54422
"10","2013_Q1",7.438,"Up",517200000,-433400000,83800000,-66400000,-66400000,17400000,-13800000,-13600000,-2e+05,3600000,-7e+05,2900000,9e+05,3800000,3800000,2700000,2700000,179400000,179400000,199400000,199400000,224800000,21500000,20300000,625100000,490900000,449900000,315400000,130300000,940800000,1565900000,287700000,287700000,1900000,289600000,601800000,51600000,39100000,12500000,653400000,9.43e+08,438200000,1.86e+08,-12400000,611800000,622900000,1565900000,3800000,25100000,1900000,89200000,1.2e+08,-19600000,-19400000,-5e+05,-5.82076609134674e-11,-2300000,-8600000,9.2e+07,9.2e+07,-7e+05,91300000,42500000,603700000,111200000,0.16203,0.03364,0.00522,0.00433,0.00172,41.18519,2.15849,1.51389,0.38553,0.02847,0.02924,5.45403,6.45161,1.17264,0.00665,0.087,9.98353,24.38506
