"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q4",17.6092063492063,"Up",-1529320,-164592,-1364728,-1529320,-234656,-234656,-1763976,-1763976,-1763976,-1763976,-1763976,-1763976,32549145,32304145,325155,247429,77726,32874300,272245,272245,33146545,336447,34861,301586,336447,336447,33093137,-283039,32810098,32810098,33146545,-1763976,30714,403186,-298211,-1628287,-37645,-37645,-282645,0,24109650,-802641,23307009,21396077,21396077,21396077,-1498606,0,-0.05376,-0.05322,97.71019,0.01025,0,-0.25747,-0.25747,4.78889,-0.05376,21.71961,21.28341
"2","2018_Q1",17.4485245901639,"Down",-1824033,-420963,-1403070,-1824033,99845,99845,-1724188,-1724188,-1724188,-1724188,-1724188,-1724188,24196646,2639789,287434,209708,77726,24484080,280056,7485430,31969510,578053,71913,506140,578053,578053,33398684,-2007227,31391457,31391457,31969510,-1724188,28541,288192,297493,-1109962,-36352,-36352,-28528487,0,2052,-27959,-25907.0000000075,-29664356,-29664356,-29664356,-1795492,1.81898940354586e-12,-0.05493,-0.05393,42.35612,0.01841,0,-0.17053,-0.17053,3.10469,-0.05493,13.47633,13.26547
"3","2018_Q2",19.44078125,"Up",-2076308,-530640,-1545668,-2076308,108361,108361,-1967947,-1967947,-1967947,-1967947,-1967947,-1967947,23004278,2572658,324403,246677,77726,23328681,443578,7398101,30726782,783034,130044,652990,783034,783034,33918922,-3975174,29943748,29943748,30726782,-1967947,39738,312567,168012,-1447630,-203260,-204260,1196740,-687.957337302682,183759,215432.992190108,183759,-67131,-67131,-67131,-2036570,0,-0.06572,-0.06405,29.79268,0.02615,0,-0.19492,-0.19492,2.9659,-0.06572,11.2956,11.07942
"4","2018_Q3",25.218253968254,"Up",-1929183,-382646,-1546537,-1929183,112723,112723,-1816460,-1816460,-1816460,-1816460,-1816460,-1816460,21558702,3172782,231728,154002,77726,21790430,730449,7679055,29469485,957184,149401,807783,957184,986116,34275003,-5791634,28483369,28483369,29469485,-1816460,49966,302902,126941,-1336651,-168022,-168022,1856978,-1507.96153004707,79797.0000000005,146573.530584455,79796.9999999998,600124,600124,600124,-1879217,28932,-0.06377,-0.06164,22.76514,0.03462,0.00098,-0.17966,-0.17966,2.81717,-0.06371,11.45678,11.16005
"5","2018_Q4",25.9938095238095,"Up",-1975841,-376796,-1599045,-1975841,104734,104734,-1871107,-1871107,-1871107,-1871107,-1871107,-1871107,22758698,3808774,374330,352321,22009,23133028,814051,4761430,27894458,954885,177686,777199,954885,981920,34575279,-7662741,26912538,26912538,27894458,-1871107,62810,279878,-244351,-1772770,-110144,-110144,2374856,-1897,0,-14197.0000000001,-16094,585992,585992,585992,-1913031,27035,-0.06953,-0.06708,24.22598,0.03649,0.00097,-0.18473,-0.18473,2.65701,-0.06946,11.88254,11.5048
"6","2019_Q1",21.9295081967213,"Down",-1951206,-316461,-1634745,-1951206,122905,122905,-1828301,-1825301,-1825301,-1825301,-1825301,-1825301,24897516,15944609,320692,269940,50752,25218208,813613,813613,26031821,656602,119811,536791,662332,682210,34837653,-9488042,25349611,25349611,26031821,-1825301,70523,362593,-127033,-1519218,-144182,-147182,13665818,-1427,61935,-71273,-10765,12135835,12135835,12135835,-1880683,0,-0.07201,-0.07012,38.07487,0.02691,0,-0.17961,-0.17961,2.49439,-0.07195,13.23855,12.76007
"7","2019_Q2",22.0001587301587,"Up",-1974503,-383545,-1590958,-1974503,128595,128595,-1845908,-1845908,-1845908,-1845908,-1845908,-1845908,23424110,14724166,338517,287765,50752,23762627,862185,1177873,24940500,694113,208919,485194,882155,1077195,35197255,-11333950,23863305,23863305,24940500,-1845908,76168,192608,-12899,-1590031,-47641,-47641,197359,-1428,174957,-1300.00000000001,172229,-1220443,-1220443,-1220443,-1898335,0,-0.07735,-0.07401,26.93702,0.04514,0,-0.181,-0.181,2.33989,-0.07673,12.33929,11.86329
"8","2019_Q3",19.7328125,"Down",-1841719,-371988,-1469731,-1841719,121541,121541,-1720178,-1720178,-1720178,-1720178,-1720178,-1720178,22114596,14917690,236284,185532,50752,22350880,816054,1091537,23442417,698410,141216,557194,885489,1048978,35447566,-13054127,22393439,22393439,23442417,-1720178,83170,195284,214802,-1226922,-136187,-136187,1363813,-1432,58065,0,56633,193524.000000002,193524.000000002,193524.000000002,-1758549,0,-0.07682,-0.07338,25.24128,0.04684,-2.71050543121376e-20,-0.16842,-0.16842,2.19252,-0.07626,12.57548,12.00758
"9","2019_Q4",13.09421875,"Down",-2091315,-379718,-1711597,-2091315,107062,107062,-1984253,-1984253,-1984253,-1984253,-1984253,-1984253,20448420,16269595,160465,109713,50752,20608885,897110,1133029,21741914,741669,198183,543486,912092,1029485,35750810,-15038381,20712429,20712429,21741914,-1984253,86351,321324,98578,-1478000,-168662,-168662,2831338,-1433,0,0,-1433,1351905,1351905,1351905,-2004964,0,-0.0958,-0.09126,22.59518,0.0497,0,-0.19377,-0.19377,2.02263,-0.09526,10.1989,9.77778
"10","2020_Q1",9.33209677419355,"Down",-1897764,-400742,-1497022,-1897764,88739,88739,-1809025,-1809025,-1809025,-1809025,-1809025,-1809025,18735002,18735002,515352,274600,240752,19250354,833463,1030446,20280800,727092,142773,584319,911327,983229,36144977,-16847406,19297571,19297571,20280800,-1809025,93307,374680,-362720,-1703758,-27711,-27711,4137289,-1437,33313,0,31876,2465407,2465407,2465407,-1804457,4.54747350886464e-13,-0.09374,-0.0892,21.12343,0.05095,0,-0.17646,-0.17646,1.88235,-0.0934,10.38263,9.87215
