"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2019_Q1",10.8772131147541,"Down",-8e+06,-2745000,-5255000,-7982000,-519000,-519000,-8501000,-8501000,-62000,-8563000,-8563000,-8563000,-8563000,13935000,13935000,5360000,5334000,19295000,7806000,826000,5e+05,326000,8632000,27927000,4940000,1714000,3226000,5131000,26646000,7135000,7135000,7135000,33781000,386869000,-392723000,-5854000,-5854000,27927000,-8563000,590000,1697000,2259000,-4017000,0,6440000,-1000,-1000,-2572000,-149000,-149000,-149000,-7392000,16575000,1.46276,-0.30662,0.72412,-5.77058,0.59351,-9.71293,-9.71293,-6.64014,-0.47956,-0.35714,-0.33074
"26","2019_Q2",11.5107936507937,"Up",-9516000,-3533000,-5983000,-2738000,-522000,-522000,-3260000,-3260000,2.18278728425503e-11,-3260000,-3260000,-3260000,-3260000,10320000,10320000,7419000,4627000,17739000,1598000,540000,407000,133000,2138000,19877000,6310000,2650000,3660000,3305000,24840000,1106000,1106000,1106000,25946000,389914000,-395983000,-6069000,-6069000,19877000,-3260000,502000,2415000,-4090000,-4433000,161000,161000,2086000,2086000,657000,-3615000,-3615000,-3615000,-2236000,15225000,0.537159999999998,-0.16401,0.71413,-4.27517,0.76596,-3.14071,-3.14071,-5.84692,-0.31768,-2.19365,-1.79145
"27","2019_Q3",8.1440625,"Down",-4686000,-2850000,-1836000,-4668000,-347000,-347000,-5015000,-5015000,1000,-5014000,-5014000,-5014000,-5014000,19571000,19571000,4713000,4382000,24284000,974000,433000,406000,27000,1407000,25691000,3583000,1602000,1981000,2283000,20487000,461000,461000,461000,20948000,405742000,-400999000,4743000,4743000,25691000,-5016000,171000,853000,-1699000,-5691000,113000,113000,2000,2000,14829000,9251000,9251000,9251000,-4497000,14621000,-1.05714,-0.19517,1.18534,4.41661,0.56911,-2.99513,-2.99513,2.83324,-0.25291,1.10073,1.06041
"28","2019_Q4",6.949375,"Down",-5011000,-2571000,-2440000,-4993000,-430000,-430000,-5423000,-5423000,-2000,-5425000,-5425000,-5425000,-5425000,14646000,14646000,4883000,4184000,19529000,1042000,839000,303000,536000,1881000,21410000,3658000,1521000,2137000,2720000,21004000,549000,549000,549000,21553000,406279000,-406422000,-143000,-143000,21410000,-5423000,127000,649000,-72999.9999999995,-4720000,-141000,-141000,2000,2000,-64000.0000000037,-4925000,-4925000,-4925000,-4866000,14626000,37.93706,-0.25339,0.92978,-150.72028,0.68314,-2.59207,-2.59207,-0.06833,-0.3609,0.00410999999999961,0.00400999999999962
"29","2020_Q1",8.71870967741935,"Up",-4453000,-2363000,-2090000,-4435000,-458000,-458000,-4893000,-4893000,2000,-4891000,-4891000,-4891000,-4891000,34121000,34121000,6286000,5145000,40407000,921000,753000,266000,487000,1674000,42081000,3914000,1321000,2593000,3053000,21598000,468000,468000,468000,22066000,431326000,-411315000,20015000,20015000,42081000,-4893000,131000,503000,-718000,-4977000,-36000,-59000,-1000,-1000,24511000,19475000,19475000,19475000,-4304000,14631000,-0.24437,-0.11623,1.87087,1.10247,0.34769,-2.33003,-2.33003,9.53306,-0.13929,4.52835,4.39459
"30","2020_Q2",6.55190476190476,"Down",-5541000,-2422000,-3119000,-5535000,-410000,-410000,-5945000,-5945000,8000,-5937000,-5937000,-5937000,-5937000,28052000,28052000,5555000,4879000,33607000,801000,598000,159000,439000,1399000,35006000,2422000,1030000,1392000,2728000,19786000,318000,318000,318000,20104000,432151000,-417252000,14899000,14899000,35003000,-5937000,126000,928000,-1119000,-6002000,99577.0451903588,57049.0824289648,1000.00000000003,1000.00000000003,-67000,-6069000,-6069000,-6069000,-5409000,14636000,-0.398479999999999,-0.1696,1.69852,1.34934999999999,0.4181,-2.46713,-2.46713,6.19131,-0.19885,2.48031,2.42385
"31","2020_Q3",6.5825,"Up",-6495000,-2254000,-4241000,-6495000,-452000,-452000,-6947000,-6947000,0,-6947000,-6947000,-6947000,-6947000,23419000,23419000,5170000,4496000,28589000,684000,509000,122000,387000,1193000,29782000,3044000,1024000,2020000,3295000,20981000,217000,217000,217000,21198000,432781000,-424199000,8582000,8582000,29780000,-6947000,122000,667000,932000,-5226000,150831.943525088,31995.1384112402,0,0,593000,-4633000,-4633000,-4633000,-6373000,14642000,-0.80948,-0.23326,1.36261,2.47005,0.49164,-2.33105,-2.33105,2.87968,-0.29634,1.37722,1.35135
"32","2020_Q4",7.3421875,"Up",-6096000,-2060000,-4036000,-1096000,-427000,-427000,-1523000,-1523000,-1000,-1524000,-1524000,-1524000,-1524000,17843000,17843000,8464000,4464000,26307000,574000,462000,129000,333000,1036000,27343000,3451000,1102000,2349000,2381000,19479000,110000,110000,110000,19589000,433475000,-425723000,7754000,7754000,27343000,-1524000,114000,697000,-3784000,-4497000,132598.319264638,-11000,1999.99999999999,1999.99999999999,-1068000,-5576000,-5576000,-5576000,-982000,13647000,-0.19654,-0.05574,1.35053,2.52631,0.4991,-0.39875,-0.39875,2.02831,-0.07085,4.27291,3.82847
"33","2021_Q1",14.8049180327869,"Up",-6029000,-2078000,-3951000,-1029000,-286000,-286000,-1315000,-1315000,-7000,-1322000,-1322000,-1322000,-1322000,31087000,31087000,5643000,5140000,36730000,472000,402000,125000,277000,874000,37604000,3956000,535000,3421000,2970000,11578000,1473491.27249507,1473491.27249507,1387944.9872377,11578000,453069000,-427045000,26026000,26026000,37604000,-1322000,105000,476000,3930000,3189000,59709.7966694585,0,959000,959000,10055000,13244000,13244000,13244000,-924000,4652000,-0.0508,-0.03516,3.1724,0.44486,0.12371,-0.27643,-0.27643,5.44161,-0.04309,28.60931,25.68999
"34","2021_Q2",11.1603174603175,"Down",-5798000,-2478000,-3320000,-5798000,-215000,-215000,-6013000,-6013000,-4627.49691183979,-6013000,-6013000,-6013000,-6013000,31597000,31597000,4940000,4806000,36537000,219000,3085000,116000,2969000,3304000,39841000,2958000,810000,2148000,2249000,9864000,2866000,2866000,2866000,12730000,460167000,-433058000,27111000,27111000,39841000,-6013000,335000,701000,-734000,-5711000,-53000.0000000001,-53000,6408000,6408000,6336000,572000.000000006,572000.000000006,572000.000000006,-5463000,4657000,-0.22179,-0.15092,3.70408,0.46955,0.11689,-0.84345,-0.84345,3.80259,-0.17362,4.93136,4.64643
"35","2021_Q3",7.3246875,"Down",-6639000,-2489000,-4150000,-6639000,606000,606000,-6033000,-6033000,1000,-6032000,-6032000,-6032000,-6032000,41440000,41440000,4873000,4617000,46313000,284000,2919000,105000,2814000,3203000,49516000,3790000,1393000,2397000,1516000,9968000,2720000,2720000,2720000,12688000,475918000,-439092000,36828000,36828000,49516000,-6034000,45000,104000,861000,-5024000,-131000,-131000,14998000,14998000,14998000,9843000,9843000,9843000,-6594000,4662000,-0.16379,-0.12182,4.64617,0.34452,0.09415,-0.84611,-0.84611,5.16559,-0.13644,5.57749,5.53969
"36","2021_Q4",4.4434375,"Down",-8419000,-2504000,-5915000,-8419000,-209000,-209000,-8628000,-8628000,508.733004220207,-8628000,-8628000,-8628000,-8628000,35848000,35848000,4138000,4076000,39986000,277000,2779000,89000,2690000,3056000,43042000,5135000,586000,4549000,1657000,11460000,2570000,2570000,2570000,14030000,476730000,-447720000,29012000,29012000,43042000,-8628000,38000,824000,2204000,-5562000,-26000,-26000,5000,5000,-4000,-5592000,-5592000,-5592000,-8381000,4668000,-0.29739,-0.20046,3.48918,0.48359,0.10845,-1.09826,-1.09826,3.69268,-0.23801,3.72032,3.70353
"37","2022_Q1",2.6008064516129,"Down",-6960000,-2551000,-4409000,-6960000,-173000,-173000,-7133000,-7133000,-2000,-7135000,-7135000,-7135000,-7135000,60383000,60383000,4852000,4790000,65235000,281000,2938000,83000,2855000,3219000,68454000,3932000,285000,3647000,1295000,5227000,3596000,3596000,8269000,13496000,509806000,-454853000,54958000,54958000,68454000,-7133000,41000,678000,-1417000,-7831000,-41000,-41000,46000,46000,32407000,24535000,24535000,24535000,-6919000,4673000,-0.12983,-0.10423,12.48039,0.24557,0.06826,-0.63429,-0.63429,4.88526,-0.11285,8.05174,8.00431
"38","2022_Q2",2.42645161290323,"Down",-6569000,-2890000,-3679000,-6569000,-149000,-149000,-6718000,-6718000,-1000,-6719000,-6719000,-6719000,-6719000,53902000,53902000,4031000,3961000,57933000,394000,2658000,74000,2584000,3052000,60985000,2918000,625000,2293000,957000,4701000,3455000,3455000,7043000,11744000,510808000,-461572000,49241000,49241000,60985000,-6719000,26000,1038000,-726000,-6381000,-102000,-102000,2000.00000000047,2000.00000000047,2000,-6481000,-6481000,-6481000,-6543000,4414000,-0.13645,-0.11017,12.32355,0.2385,0.07238,-0.62851,-0.62851,4.60567,-0.11765,7.5635,7.53357
"39","2022_Q3",1.8003125,"Down",-7175000,-2467000,-4708000,-7175000,-83000,-83000,-7258000,-7258000,2000,-7256000,-7256000,-7256000,-7256000,47534000,35119000,3862000,3800000,51396000,526000,2376000,70000,2306000,2902000,54298000,3558000,595000,2963000,619000,5829000,3308000,3308000,6102000,11931000,511228000,-468830000,42367000,42367000,54298000,-7258000,31000,432000,636000,-6159000,-193000,-12624000,0,0,0,-18783000,-18783000,-18783000,-7144000,4446000,-0.17127,-0.13363,8.81729,0.28161,0.08188,-0.49657,-0.49657,2.89906,-0.14477,6.03135,6.0053
