"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",8.356875,"Down",60768000,-34953000,25815000,-29409000,-28898000,-511000,-3594000,-683000,-702000,19000,-4277000,0,-4277000,-4277000,-4277000,2727000,-1550000,-1550000,26843000,26843000,3911000,3911000,28166000,2879000,2879000,61799000,16127000,1324000,1319000,5000,17451000,79250000,36427000,19790000,16637000,7060000,7060000,43517000,19081000,2646000,2646000,21727000,65244000,3261000,-1428000,1833000,12173000,14006000,79250000,-4277000,456000,154000,-11908000,-15575000,-2645000,-2713000,41538000,41538000,23250000,23250000,23250000,-3138000,19111000,0.42481,-0.05914,-0.02551,-0.11067,-0.01956,1.42011,4.65829,0.24115,-0.18477,-0.18477,7.24377,0.2185,2,-0.04334,2.46399,2.15136
"2","2018_Q3",6.48873015873016,"Down",75760000,-43938000,31822000,-36491000,-35936000,-555000,-4669000,-889000,-971000,81999.9999999999,-5558000,0,-5558000,-5558000,-5558000,4554000,-1004000,-1004000,10431000,10431000,7238000,7238000,37231000,1156000,1156000,56056000,19536000,1357000,1352000,5000,20893000,76949000,36996000,20660000,16336000,6921000,6921000,43948000,20019000,3004000,3004000,23023000,66971000,3574000,-2213000,1361000,8617000,9978000,76949000,-5558000,545000,1251000,-8271000,-12033000,-4323000,-4372000,-7000,-6999.99999999255,-16412000,-16412000,-16412000,-4124000,20050000,0.42004,-0.06163,-0.01325,-0.10062,-0.01305,1.27551,6.71187,0.26056,-0.1194,-0.1194,9.00939,0.16185,2,-0.03039,-2.33244,-2.06018
"3","2018_Q4",5.89428571428571,"Down",70806000,-42684000,28122000,-31570000,-30992000,-578000,-3448000,-916000,-999000,83000,-4364000,0,-4364000,-4364000,-4364000,3575000,-789000,-789000,7665000,7665000,8484000,8484000,28997000,2246000,2246000,47392000,21719000,1413000,1408000,5000,23132000,70524000,35784000,20443000,15341000,7291000,7291000,43106000,20695000,3493000,3493000,24188000,67294000,3651000,-3343000,308000,2922000,3230000,70524000,-4364000,533000,676000,3363000,208000,-2910000,-2966000,-8000,-8000,-2766000,-2766000,-2766000,-2915000,20726000,0.39717,-0.0487,-0.01114,-0.24427,-0.01119,1.09943,20.83406,0.29389,-0.09351,-0.09351,8.39132,0.0365,5,-0.02874,-4.48062,-3.78799
"4","2019_Q1",5.51114754098361,"Down",78457000,-51614000,26843000,-32026000,-31575000,-451000,-5183000,-232000,-1061000,829000,-5415000,1.16415321826935e-10,-5415000,-5415000,-5415000,4436000,-979000,-979000,12232000,12232000,10241000,10241000,23730000,1494000,1494000,47697000,22514000,1498000,1493000,5000,24012000,71709000,38514000,24828000,13686000,10063000,10063000,48577000,21411000,3732000,3732000,25143000,73720000,3660000,-4322000,-662000,-1349000,-2011000,71709000,-5415000,661000,1011000,9486000,5743000,-1447000,-1601000,424999.999999999,425000,4567000,4567000,4567000,-4522000,21411000,0.34214,-0.06606,-0.01248,0.48682,-0.01365,0.98188,-36.65838,0.29858,-0.11605,-0.11605,9.30026,-0.07847,5,-0.04232,-2.02985,-1.77098
"5","2019_Q2",6.09603174603175,"Up",83648000,-49579000,34069000,-29272000,-28582000,-690000,4797000,-915000,-1144000,229000,3882000,-4602000,-720000,-720000,-720000,590000,-130000,-130000,12182000,12182000,19689000,19689000,25933000,2375000,2375000,60179000,22718000,1543000,1538000,5000,24261000,84440000,38763000,25982000,12781000,8061000,8061000,46824000,32821000,7453000,7453000,40274000,87098000,3733000,-4452000,-719000,-1939000,-2658000,84440000,-720000,722000,5407000,-13699000,-8290000,-932000,-996000,9236000,9236000,-50000,-50000,-50000,5519000,32821000,0.40729,0.05735,-0.00155,0.04891,-0.00154,1.28522,-32.76825,0.38869,-0.01541,-0.01541,9.91442,-0.08522,2,-0.00346,3.73963,4.30248
"6","2019_Q3",7.3290625,"Up",103004000,-60221000,42783000,-45144000,-43900000,-1244000,-2361000,-1295000,-1301000,6000.00000000006,-3656000,-3685000,-7341000,-7341000,-7341000,6003000,-1338000,-1338000,20255000,20255000,24845000,24845000,25940000,2591000,2591000,73631000,24485000,1620000,1574000,46000,26105000,99736000,44682000,29457000,15225000,11222000,11222000,55904000,33653000,13542000,13542000,47195000,103099000,10369000,-5790000,4579000,-7942000,-3363000,99736000,-7341000,852000,11251000,5677000,10439000,-2204000,-2261000,-8000.00000000186,-105000,8073000,8073000,8073000,-1509000,33653000,0.41535,-0.02292,-0.01299,0.39786,-0.01342,1.3171,-30.65685,0.33742,-0.15821,-0.15821,12.17973,0.54144,4,-0.03053,-8.87873,-5.67471
"7","2019_Q4",7.71171875,"Up",117406000,-64523000,52883000,-41870000,-40800000,-1070000,11013000,-1218000,-1356000,138000,9795000,-1384000,8411000,8411000,8411000,-6817000,1594000,1594000,31293000,31293000,26687000,26687000,36168000,3590000,3590000,97738000,25816000,1963000,1679000,284000,27779000,125517000,50512000,35622000,14890000,17134000,17134000,67646000,34525000,15363000,15363000,49888000,117534000,5753000,-4196000,1557000,6426000,7983000,125517000,8411000,918000,5192000,-826000,13695000,-2521000,-2646000,-11000,-11000,11038000,11038000,11038000,11931000,34525000,0.45043,0.0938,0.01358,0.19967,0.0127,1.44485,14.72304,0.27506,0.18044,0.18044,13.29024,0.17625,8,0.02754,0.27089,0.29347
"8","2020_Q1",11.1046774193548,"Up",124300000,-65064000,59236000,-56471000,-55611000,-860000,2765000,-1708000,-1880000,172000,1057000,-31932000,-30875000,-31275000,-31275000,8576000,-22699000,-22699000,33478000,33478000,28692000,28692000,48507000,3442000,3442000,114119000,31979000,1626000,1101000,525000,33605000,147724000,76378000,50240000,26138000,10487000,10487000,86865000,35399000,5.4e+07,5.4e+07,89399000,176264000,2827000,-28989000,-26162000,-2378000,-28540000,147724000,-31275000,1816000,33630000,2865000,7036000,-5122000,-4876000,783000,25000,2185000,2185000,2185000,4581000,35399000,0.47656,0.02224,-0.18261,0.79534,-0.15366,1.31375,-6.17602999999999,0.23963,-1.58779,-1.58779,8.69474,-1.83002,5,-0.37298,0.41934,0.69476
"9","2020_Q2",12.6128571428571,"Up",122375000,-69193000,53182000,-45677000,-44232000,-1445000,7505000,-1421000,-1511000,90000,6084000,21633000,27717000,28001000,28001000,-11166000,16835000,16835000,26378000,26378000,23270000,23270000,43145000,5687000,5687000,98480000,36092000,3338000,2813000,525000,39430000,137910000,55404000,37163000,18241000,12796000,12796000,68200000,36774000,17822000,17822000,54596000,122796000,5960000,486000,6446000,8668000,15114000,137910000,28001000,1778000,-19204000,-10839000,-264000,-6848000,-6848000,-13113428.2405064,12000,-7100000,-7100000,-7100000,9283000,36774000,0.43458,0.06133,0.13757,1.11387,0.12207,1.44399,8.12465,0.26665,0.74245,0.74245,5.39691,0.28428,6,0.2415,1.1199,1.38521
"10","2020_Q3",21.26765625,"Up",165096000,-83465000,81631000,-49680000,-48100000,-1580000,31951000,-34231000,-34247000,16000,-2280000,-130264000,-132544000,-97116000,-97116000,3841000,-93275000,-93275000,95402000,95402000,19029000,19029000,41996000,5195000,5195000,161622000,38285000,103488000,2320000,525000,141773000,303395000,93360000,51424000,33438000,17858000,17858000,111218000,38190000,136518000,136518000,174708000,285926000,20590000,-1495000,19095000,-1626000,17469000,303395000,-97116000,2038000,122176000,45512000,72610000,-3597000,-3597000,-21457601.5232016,10999.9999999995,69024000,69024000,69024000,33989000,38190000,0.49445,0.19353,-0.56497,-5.33946,-0.30744,1.4532,16.36762,0.12588,-3.18595,-3.18595,5.6391,0.65222,5,-0.48536,-1.68325,-1.79062
