"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.2412698412698,"Down",456415000,423581000,32834000,-360817000,95598000,-27774000,-1816000,-25958000,67824000,-20960000,-19261000,-1699000,46864000,320000,47184000,-17867000,29317000,29317000,28810000,28810000,33502221.8284353,33502221.8284353,415088935.897727,32070258.0431236,289953222.572448,199691880.884917,770614638.341734,2652160916.52805,99966383.3389528,598286346.352544,28447384.808813,557926158.539098,3350413646.21954,4121028284.56128,140840927.360029,140840925.437389,293046853.733902,187616852.897272,187616852.897272,621504633.991203,1344110350.64426,1075884587.29379,301097058.727751,610738229.587366,164049298.978674,2419994937.93805,3041499571.92925,742204266.99906,309565838.234654,-8794726.97219349,1042975378.26152,1079528712.63203,4121028284.56128,29317000,26146000,4027000,21564000,81054000,-43017000,-4317000,-47334000,-13753000,-20211000,374000,374000,2438000,-31152000,2568000,2568000,2568000,93970000,0,90384000,0.20945,0.1486,0.06312,0.0779467553618334,0.0227210293300664,3.13724,1.21536061738951,2.77070961424327,0.40456413259484,0.52507,0.52273,8.31827,18.388034181548,1.64727,0.25065,0.0287447933671617,-0.128310926238014,0.47737,-3.51082717648465,-28.1146339406736
"2","2010_Q3",12.63234375,"Up",360733000,325667000,35066000,-269026000,91707000,-29958000,-1754000,-28204000,61749000,-20241000,-19272000,-968999.999999999,41508000,374000,41882000,-15835000,26047000,26047000,25540000,25540000,38530000,38530000,164810000,53461000,150246000,122406000,407047000,2642930000,96833000,514415000,24790000,478078000,3254178000,3661225000,123452000,123452000,135153000,221036000,221036000,479641000,1143436000,915477000,114426000,492464000,308587000,2058913000,2538554000,788796000,299349000,-2278000,1085867000,1122671000,3661225000,26047000,26396000,1432000,-20119000,33756000,-38218000,335000,-37883000,-13782000,9696000,9136000,9136000,-1996000,3054000.00000001,-1073000,-1073000,-1073000,88145000,1278589000,45643000,0.25422,0.17118,0.0708,0.02275,0.00698,1.78712,0.84865,2.26117,0.34922,0.4641,0.46242,6.55509,19.73191,0.82941,0.25044,0.01186,0.01376,0.53962,14.0684,20.08225
"3","2010_Q4",13.40859375,"Up",367172000,331092000,36080000,-301834000,65338000,-27594000,-1732000,-25862000,37744000,-19812000,-19005000,-807000,17932000,432000,18364000,-5030000,13334000,13334000,12346000,12346000,56682000,56682000,159533000,56428000,185986000,153695000,458629000,2675041000,95474000,523483000,24790000,487146000,3293998000,3752627000,148906000,148906000,112531000,270187000,270187000,531624000,1140457000,931522000,109432000,475570000,346520000,2071979000,2603603000,815011000,293721000,-2242000,1106490000,1149024000,3752627000,13334000,26650000,5529000,41386000,86899000,-58148000,-9046000,-67194000,-13850000,-25868000,25167000,25167000,12998000,-1553000,18152000,18152000,18152000,64394000,1252988000,52662000,0.17795,0.1028,0.03362,0.01074,0.00329,4.26551,0.86269,2.26593,0.3339,0.22199,0.22125,6.60191,19.89517,0.94689,0.24903,0.00786,0.0158,1.12182,18.57791,31.69526
"4","2011_Q1",14.1825806451613,"Up",374420000,337506000,36914000,-289771000,84649000,-32232000,-1770000,-30462000,52417000,-12914000,-18886000,5972000,39503000,-828000,38675000,-12425000,26250000,26250000,25729000,25729000,69413000,69413000,230229000,48530000,231393000,183502000,579565000,2714237000,95786000,550507000,25935000,513025000,3360530000,3940095000,171707000,171707000,122821000,284647000,284647000,579175000,1199517000,989497000,161189000,495474000,332834000,2189014000,2768189000,827592000,302518000,-4326000,1125784000,1171906000,3940095000,26250000,28434000,35639000,-63595000,26728000,-65273000,-31762000,-100812000,-14297000,68436000,11558000,11558000,21118000,86815000,12731000,12731000,12731000,80851000,1322338000,-35592000,0.22608,0.14,0.06872,0.02195,0.00653,-1.38334,1.00067,2.36213,0.33561,0.45247,0.45021,6.58448,19.79783,-0.62591,0.25142,0.01149,-0.01022,0.55568,15.49672,23.90303
"5","2011_Q2",15.2839682539683,"Up",476586000,437697000,38889000,-358648000,117938000,-33113000,-1867000,-31246000,84825000,-19223000,-18591000,-632000,65602000,438000,66040000,-23637000,42403000,42403000,41918000,41918000,61837000,61837000,218436000,38397000,146489000,119807000,465159000,2731143000,96273000,531210000,25965000,493698000,3358626000,3823785000,150648000,150648000,78114000,225353000,225353000,454115000,1196525000,970521000,157698000,492295000,320528000,2167046000,2621161000,833617000,331284000,-4522000,1160379000,1202624000,3823785000,42403000,27719000,9460000,23680000,103262000,-50128000,50486000,159000,-15780000,-48111000,8458000,8458000,-55564000,-110997000,-7576000,-7576000,-7576000,112544000,1274639000,109733000,0.24746,0.17798,0.08795,0.03486,0.01096,2.6178,1.02432,2.17953,0.33334,0.73102,0.7301,8.31129,20.23611,1.91366,0.27519,0.01673,0.03183,0.37645,10.77625,14.2977
"6","2011_Q3",15.61953125,"Up",360557000,319973000,40584000,-270582000,89975000,-34451000,-1842000,-32609000,55524000,-19227000,-18424000,-803000.000000001,36297000,814000,37111000,-13583000,23528000,23528000,23001000,23001000,69916000,69916000,165317000,47683000,172432000,135380000,455348000,2764275000,85935000,537338000,26112000,499679000,3387548000,3842896000,128853000,128853000,95415000,230681000,230681000,454949000,1186303000,981689000,169557000,493625000,318507000,2167992000,2622941000,842054000,330543000,-4462000,1168135000,1219955000,3842896000,23528000,28249000,5332000,3081000,60190000,-50354000,-13784000,-64138000,-15949000,6818000.00000003,7420000,7420000,13738000,12027000,8079000,8079000,8079000,83773000,1281718000,50083000,0.24954,0.154,0.06379,0.01885,0.00599,2.17743,1.00088,2.15003,0.33353,0.39803,0.39559,6.23941,20.21449,0.86668,0.276,0.01118,0.01438,0.6934,14.46531,21.82483
"7","2011_Q4",16.0071428571429,"Up",343710000,301551000,42159000,-275142000,68568000,-33690000,-1964000,-31726000,34878000,-20481000,-18855000,-1626000,14397000,957000,15354000,-3717000,11637000,11637000,10702000,10702000,78103000,78103000,155072000,64878000,250200000,192354000,548253000,2801519000,83981000,534833000,26112000,497174000,3420333000,3968586000,154249000,154249000,117227000,305076000,305076000,576552000,1172527000,997049000,162548000,516300000,318201000,2169576000,2746128000,848709000,326548000,-4339000,1170918000,1222458000,3968586000,11637000,28305000,33950000,3080000,76972000,-71846000,15413000,-103732000,-15956000,18331000,5338000,5338000,27234000,34947000,8187000,8187000,8187000,63183000,1289754000,-1866000,0.19949,0.10148,0.03114,0.00875,0.0027,-0.17436,0.95092,2.2464,0.32499,0.18434,0.18378,5.92022,20.16842,-0.03214,0.27483,0.0076,-0.000530000000000001,1.49094,19.17685,34.73969
"8","2012_Q1",16.4448387096774,"Up",438927000,382301000,56626000,-336578000,102349000,-49572000,-2298000,-47274000,52777000,-11844000,-18338000,6494000,40933000,733000,41666000,-15695000,25971000,25971000,24603000,24603000,74662000,74662000,203452000,52006000,284436000,238585000,614556000,2860776000,64470000,674729000,39045000,589515000,3599975000,4214531000,166954000,166954000,117142000,343078000,343078000,627174000,1254176000,1095497000,246177000,505954000,343366000,2349673000,2976847000,855188000,336150000,-5637000,1185701000,1237684000,4214531000,25971000,29327000,18457000,-44714000,29041000,-71044000,36939000,-114570000,-16052000,81202000,5247000,5247000,11691000,82088000,-3441000,-3441000,-3441000,82104000,1371318000,-17959000,0.23318,0.12024,0.05605,0.01988,0.00584,-0.72995,0.97988,2.40518,0.32538,0.42199,0.42,7.52851,20.33723,-0.30803,0.27533,0.01097,-0.00485,0.65244,15.79285,24.56858
"9","2012_Q2",16.9819047619048,"Up",452257000,405460000,46797000,-328818000,123439000,-47045000,-3004000,-44041000,76394000,-17568000,-19277000,1709000,58826000,525000,59351000,-21138000,38213000,38213000,38388000,38388000,72703000,72703000,188726000,36354000,309418000,272820000,607201000,2872940000,117996000,655867000,73783000,570537000,3646803000,4254004000,134261000,134261000,68393000,402375000,402375000,605029000,1300903000,1082768000,235576000,508753000,338439000,2383671000,2988700000,857747000,355818000,-5426000,1208139000,1265304000,4254004000,38213000,30322000,3565000,49199000,121299000,-58915000,-35630000,-154316000,-17073000,-2372000,1437000,1437000,49066000,31058000,-1959000,-1959000,-1959000,106716000,1369296000,118138000,0.27294,0.16892,0.08488,0.03034,0.00902,3.07747,1.00359,2.36204,0.32188,0.6553,0.6512,7.7202,20.62339,2.01666,0.29144,0.01492,0.03178,0.44475,12.14994,16.97245
"10","2012_Q3",17.5612698412698,"Up",343585000,293315000,50270000,-249162000,94423000,-48403000,-3571000,-44832000,46020000,-17724000,-19325000,1601000,28296000,596000,28892000,-10360000,18532000,18532000,18178000,18178000,93416000,93416000,148079000,51137000,262733000,220474000,555365000,2910318000,109674000,640998000,73783000,555668000,3660990000,4216355000,148734000,148734000,105727000,330188000,330188000,584649000,1284786000,1077082000,225250000,517568000,334264000,2361868000,2946517000,861053000,360947000,-5158000,1216842000,1269838000,4216355000,18532000,31325000,15905000,12656000,78418000,-63827000,19531000,-28193000,-17028000,39414000,2138000,2138000,-54036000,-29512000,20713000,20713000,20713000,77345000,1390513000,36534000,0.27482,0.13394,0.05291,0.01432,0.00431,2.00979,0.94991,2.32039,0.32979,0.30967,0.3085,5.85304,20.72914,0.62236,0.29008,0.00942,0.00978,0.93674,16.77028,28.18551
