"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",32.669375,"Up",137669000,-88641000,49028000,-34699000,-34699000,14329000,-1352000,-1032000,-320000,12977000,8079000,-1661000,439000,6857000,6857000,-517000,6340000,6340000,24647637.2343205,24647637.2343205,116552963.271563,116552963.271563,51691115.9771031,3872258.74218028,3641912.54638653,196763975.225167,69064950.5553876,143445456.080627,57469497.2909607,27739546.494313,11111611.5455167,47124800.7498365,205016931.457043,401780906.682209,61198128.7638695,28061426.6062821,31918374.977416,869990.356783102,97026277.0642717,164781108.592491,77336851.8317317,8217066.17126318,55786268.8389552,242117960.424223,339144237.488494,-23692804.0497489,140381536.957896,-58325876.4203945,58362856.4877524,4273812.70596266,62636669.193715,401780906.682209,6857000,2380000,1196000,-1218000,9215000,-2703000,88000,88000,-2791000,-2791000,-9112000,-2649000,-5381000,2166000,2166000,-4806000,-4703000,-4703000,4246000,-457000,16709000,0,14449000,0.35613,0.10408,0.04605,0.0994449851012117,0.0394093881467109,2.27902,2.01313773817419,2.34133617436609,0.370305863302107,0.57431,0.56396,12.47068,3.42789887482762,1.30886,0.23996,0.0630276484909991,0.0596525741518294,0.41782,7.69029761904419,8.91527804968796
"2","2011_Q1",33.7679032258064,"Up",142083000,-94193000,47890000,-35723000,-35723000,12167000,-282000,-822000,540000,11885000,11334000,-3631000,73000.0000000001,7776000,7776000,-568000,7208000,7208000,25766000,25766000,116266000,116266000,60841000,12609000,7985000,215482000,76535000,148195000,52758000,24030000,28846000,42561000,233948000,449430000,82705000,61192000,18812000,890000,101191000,73855000,87285000,6108000,51161000,161140000,262331000,49767000,144347000,-13736000,180378000,6721000,187099000,449430000,7776000,2419000,2563000,5279000,18037000,-3013000,82000,82000,-3095000,-3095000,-31645000,-2681000,14481000,1671000,1671000,12714000,-894000,-894000,-489000.000000001,-1383000,14586000,74745000,20483000,0.33706,0.08563,0.05073,0.03853,0.01604,2.8417,2.12946,1.4021,0.16631,0.65293,0.64117,12.87052,16.33946,1.85544,0.24286,0.02832,0.05867,0.37195,3.35795,4.02556
"3","2011_Q2",35.4165079365079,"Up",159865000,-107131000,52734000,-38634000,-38634000,14100000,-407000,-946000,539000,13693000,13693000,-2822000,359000,11230000,11230000,-630000,10600000,10600000,25265870.9218932,25265870.9218932,124810512.242812,124810512.242812,69786711.3409656,15891497.0859399,12543445.8178712,235754591.591611,79338766.4815375,148803764.639791,52755667.5696798,22529067.835229,31034212.8181611,42484816.4167212,240831772.847652,476586364.439264,90737040.4120435,76514191.1312393,12477625.007528,878503.214405633,106550740.978576,36733963.802503,87626716.0560894,5962977.94291227,62224160.3870149,124360679.858592,230911420.837169,87051934.6832496,150748237.680701,-10457.8598685116,237789714.504083,7885229.09801245,245674943.602095,476586364.439264,11230000,2656000,-2256000,-18729000,-7099000,-3305000,170000,170000,-3475000,-3475000,-2940000,-2701000,9769000,-50000,-50000,7096000,-2943000,-2943000,741000,-2202000,16756000,0,-2456000,0.32987,0.0882,0.06631,0.0251116716329295,0.012796870617763,-0.2317,2.21460825394194,0.972404608544638,0.0807647122326311,0.9602,0.9429,14.4813,21.1057953750575,-0.22248,0.24467,0.0229732838363336,0.0425424752827235,0.25481,1.20117662698527,1.49597315010401
"4","2011_Q3",29.74640625,"Down",167792000,-114026000,53766000,-38825000,-38825000,14941000,-138000,-929000,791000,14803000,14803000,-4499000,251000,10555000,10555000,-714000,9841000,9841000,23541000,23541000,137402000,137402000,76699000,16032000,16032000,253674000,79705000,148033000,55282000,23127000,25784000,43840000,237145000,490819000,90491000,79465000,11026000,836000,111135000,33628000,84351000,6817000,77534000,117979000,229114000,100072000,158998000,-5506999.99999999,253563000,8142000,261705000,490819000,10555000,2749000,4103000,-10141000,7266000,-3115000,51000,51000,-3166000,-3166000,-3333000,-2712000,-50171000,48339000,48339000,-4460000,-527000,-527000,504000,-23000,17690000,34464000,8933000,0.32043,0.08904,0.05865,0.0376,0.02005,0.90773,2.28258,0.87547,0.07022,0.8171,0.8054,13.93175,21.0533,0.74171,0.22518,0.03299,0.02348,0.27558,0.61747,0.73108
"5","2011_Q4",30.5380952380952,"Up",182313000,-122827000,59486000,-41982000,-41982000,17504000,1836000,-904000,2740000,19340000,19340000,-5640000,105000,13805000,13805000,-447000,13358000,13358000,20579000,20579000,147414000,147414000,78868000,15744000,15744000,262605000,80191000,149100000,57764000,26315000,22862000,42159000,237228000,499833000,87613000,73616000,13997000,754000,111681000,43397000,85525000,7492000,78033000,128922000,240603000,101367000,169265000,-19097000,251535000,7695000,259230000,499833000,13805000,3122000,3873000,-16437000,4363000,-2273000,0,0,-2273000,-2273000,-12159000,-3079000,9604000,483000,483000,6999000,-797000,-797000,-2165000,-2962000,20626000,44151000,7556000,0.32629,0.09601,0.07327,0.05153,0.02672,0.56565,2.35138,0.92814,0.08833,1.05836,1.04601,14.44469,19.92915,0.59866,0.24395,0.04226,0.01943,0.2305,1.14283,1.34666
"6","2012_Q1",36.3906451612903,"Up",173261000,-116597000,56664000,-45297000,-45297000,11367000,174000,-806000,980000,11541000,11541000,-1295000,2387000,12633000,12633000,-540000,12093000,12093000,16909000,16909000,150676000,150676000,74758000,17206000,10868000,259549000,82916000,154614000,58152000,31783000,29823000,34856000,251603000,511152000,87150000,65026000,19025000,636000,106649000,46701000,96445000,7094000,54818000,143146000,249795000,102637000,180710000,-28967000,254380000,6977000,261357000,511152000,12633000,2928000,-4353000,3928000,15136000,-3031000,172000,172000,-3203000,-3203000,-16929000,-3094000,3180000,476000.000000007,476000,-482000.000000002,-2275000,-2275000,-1395000,-3670000,14295000,47337000,16487000,0.32704,0.06561,0.0698,0.04627,0.02366,1.36335,2.43367,0.95576,0.09261,0.99449,0.98172,14.24849,20.91948,1.35584,0.25444,0.03749,0.04069,0.25585,2.12858,2.67687
"7","2012_Q2",36.6857142857143,"Up",177638000,-117843000,59795000,-43093000,-43093000,16702000,-710000,-1051000,341000,15992000,15992000,-3445000,565000,13112000,13112000,-747000,12365000,12365000,18964000,18964000,162464000,162464000,75588000,17024000,17024000,274040000,83991000,156916000,59064000,31303000,29368000,37181000,248365000,522405000,86163000,76257000,9906000,607000,109659000,47900000,94182000,7236000,86946000,142082000,251741000,103787000,184764000,-25902000,262649000,8015000,270664000,522405000,13112000,3057000,-1406000,-8031000,6732000,-3114000,64000,64000,-3178000,-3178000,-2631000,-3105000,1161000,-1288000,-1288000,-2686000,1415000,1415000,640000,2055000,19759000,48507000,12059000,0.33661,0.09402,0.06961,0.04568,0.02367,0.97525,2.49902,0.93009,0.09285,0.97128,0.96212,13.95353,20.63118,0.94724,0.2439,0.03743,0.02917,0.25111,1.49517,1.76883
"8","2012_Q3",40.3904761904762,"Up",176797000,-116161000,60636000,-43653000,-43653000,16983000,-1148000,-1014000,-134000,15835000,15835000,-4874000,777000,11738000,11738000,-630000,11108000,11108000,25252000,25252000,156424000,156424000,77678000,18009000,18009000,277363000,82655000,151444000,57033000,30397000,27644000,36370000,241990000,519353000,85289000,74679000,10610000,563000,108186000,45004000,92738000,6622000,86116000,137742000,245928000,105210000,192116000,-32091000,265235000,8190000,273425000,519353000,11738000,2912000,2351000,-1792000,15209000,-3225000,20000,20000,-3245000,-3245000,-2900000,-3108000,-2915000,363000,363000.000000001,-4816000,7493000,7493000,-1205000,6288000,19895000,45567000,19752000,0.34297,0.09606,0.06283,0.04063,0.02139,1.77818,2.56376,0.89943,0.08774,0.86437,0.85897,13.75754,20.63938,1.53701,0.24185,0.03453,0.04797,0.2798,1.02111,1.1962
"9","2012_Q4",43.8774193548387,"Up",180923000,-121797000,59126000,-43263000,-43263000,15863000,-563000,-885000,322000,15300000,15300000,-4373000,696000,11623000,11623000,-698000,10925000,10925000,30172000,30172000,155878000,155878000,76434000,18576000,18576000,281060000,84309000,157070000,59461000,33563000,27855000,36191000,249681000,530741000,88667000,74277000,14390000,576000,112055000,37980000,95481000,9319000,86162000,133461000,245516000,106927000,199388000,-30206000,276109000,9116000,285225000,530741000,11623000,3032000,1314000,3860000,19829000,-2225000,109000,109000,-2334000,-2334000,-4594000,-3197000,-7918000,97000,97000,-10274000,4961000,4961000,-41000,4920000,18895000,38556000,24903000,0.3268,0.08768,0.06038,0.0383,0.02058,2.27945,2.50823,0.86078,0.07265,0.84445,0.84224,13.98448,21.3419,1.92488,0.24711,0.03368,0.0594,0.29263,0.44372,0.52853
"10","2013_Q1",52.587,"Up",172868000,-113714000,59154000,-45478000,-45478000,13676000,2145000,-741000,2886000,15821000,15821000,-2883000,829000,13767000,13767000,-760000,13007000,13007000,32547000,32547000,154197000,154197000,72471000,18595000,12194000,277810000,85112000,157109000,59169000,32809000,30673000,34458000,258824000,536634000,89824000,67586000,19030000,1468000,107792000,3e+07,109166000,6383000,52867000,139166000,246958000,107565000,215390000,-41855000,281100000,8576000,289676000,536634000,13767000,3251000,-1740000,5845000,21123000,-3926000,52000,52000,-3978000,-3978000,-6609000,-3206000,-8275000,-96000,-96000,-12765000,1749000,1749000,626000,2375000,16927000,31468000,21729000,0.34219,0.07911,0.07524,0.0449,0.02424,1.67056,2.57728,0.85253,0.05864,1.00302,1.00309,13.33056,21.67678,1.67561,0.24723,0.03768,0.0505,0.24648,-0.06374,-0.0789
