"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",26.26140625,"Up",12037000,9751000,10760000,-1009000,2286000,1588000,696000,-178000,11859000,-5570000,-5570000,6289000,6289000,5540000,-1341000,4199000,4199000,4199000,4199000,12446000,90295000,393447000,617638000,-8117000,625755000,9135000,6416000,5659000,9089000,1144125000,962530000,798653000,163877000,7203000,969733000,8695000,171996000,-6299000,174392000,174392000,1144125000,4199000,483000,178000,5425000,-4214000,6071000,-451000,12145000,-5115000,34000,6613000,-11626000,-11591000,1093000,1093000,1093000,6772000,0,3448000,0.52247,0.34884,0.02408,0.00367,0.82115,5.56065,0,0.60373,0.60338,1.73067,25.07388,0.49575,0.00367,0.00301,-1.83786,-1.97901
"22","2016_Q1",25.5904918032787,"Down",12082000,9600000,10636000,-1036000,2482000,1643000,811000,-1275000,10807000,-5512000,-5512000,5295000,5295000,4536000,-978000,3558000,3558000,3558000,3558000,12152000,130811000,415854000,610711000,-8297000,619008000,9020000,6224000,5769000,12978000,1203519000,1018859000,852406000,166453000,12546000,1031405000,8698000,171353000,-7937000,172114000,172114000,1203519000,3558000,408000,1275000,4557000,-4289000,5509000,-83000,-23586000,-34288000,23000,-57934000,56329000,52131000,-294000,-294000,-294000,5703000,-3.5527136788005e-15,2309000,0.43826,0.29449,0.02067,0.00296,0.64896,5.99257,-1.65436122510606e-24,0.51141,0.51134,1.7366,24.73878,0.33188,0.00648,0.00192,-2.13081,-2.295
"23","2016_Q2",26.4034375,"Up",11757000,9416000,10484000,-1068000,2341000,1502000,815000,-203000,11554000,-5993000,-5993000,5561000,5561000,4870000,-1091000,3779000,3779000,3779000,3779000,9913000,129363000,442088000,599536000,-8107000,607643000,8841000,6114000,5587000,6429000,1207871000,1018512000,848305000,170207000,10123000,1028635000,8697000,175132000,-4593000,179236000,179236000,1207871000,3779000,329000,203000,2998000,-631000,6678000,-14000,-21375000,12800000,19000,-8570000,-347000,-347000,-2239000,-2239000,-2239000,5890000,0,6336000,0.47299,0.32143,0.02108,0.00313,1.67663,5.739,0,0.54312,0.54312,1.68972,25.7598,0.91061,0.00313,0.00525,-1.68302,-1.78259
"24","2016_Q3",27.1878125,"Up",11847000,9229000,10292000,-1063000,2618000,1584000,960000,-654000,11193000,-5487000,-5487000,5706000,5706000,4955000,-1090000,3865000,3865000,3865000,3865000,14320000,75892000,468960000,622721000,-8195000,630916000,8718000,6046000,5259000,8383000,1210299000,1021738000,850388000,171350000,8633000,1030371000,8697000,175170000,-3939000,179928000,179928000,1210299000,3865000,290000,654000,3063000,-6730000,1142000,-78000,-26693000,30606000,32000,3867000,3226000,-601999.999999993,4407000,4407000,4407000,5996000,-5.6843418860808e-14,278000,0.48164,0.32624,0.02148,0.00319,0.07193,5.72657,-5.29395592033938e-23,0.55548,0.55548,1.70265,25.85925,0.03995,0.00636,0.00023,-2.38826,-2.50964
"25","2016_Q4",29.5292063492063,"Up",11619000,9138000,10157000,-1019000,2481000,1659000,721000,-291000,11328000,-5834000,-5834000,5494000,5494000,4708000,-880000,3828000,3828000,3828000,3828000,11302000,80170000,456530000,627940000,-8301000,636241000,8757000,6006000,5138000,7338000,1203181000,1010008000,837498000,172510000,9029000,1019037000,8697000,178998000,-3551000,184144000,184144000,1203181000,3828000,265000,291000,4809000,-3661000,5532000,-241000,11539000,-8150000,31000,3179000,-11730000,-11729000,-3018000,-3018000,-3018000,5759000,0,2737000,0.47285,0.32946,0.02079,0.00318,0.71499,5.53391,0,0.55016,0.55016,1.66988,26.46518,0.39336,0.00318,0.00227,-1.96249,-2.05715
"26","2017_Q1",31.9814516129032,"Up",8656000,8981000,9997000,-1016000,-325000,-1094000,736000,-502000,8154000,-5549000,-5549000,2605000,2605000,4361000,-891000,3470000,3470000,3470000,3470000,13974000,80268000,466563000,639452000,-8300000,647752000,8853000,5966000,5260000,13606000,1233942000,1043442000,871496000,171946000,12237000,1055679000,8698000,178224000,-8659000,178263000,178263000,1233942000,3470000,263000,502000,5109000,-5163000,4181000,-301000,-18749000,-11685000,36000,-30699000,33434000,29190000,2672000,2672000,2672000,2868000,0,-1705000,0.30095,0.40088,0.01947,0.00281,-0.49135,5.92203,-4.2351647362715e-22,0.49871,0.49871,1.24404,25.61996,-0.24504,0.00625,-0.00138,-4.87238,-5.3643
"27","2017_Q2",32.5680952380952,"Up",11060000,9210000,10238000,-1028000,1850000,978000,872000,-59000,11001000,-6254000,-6254000,4747000,4747000,4718000,-1069000,3649000,3649000,3649000,3649000,13654000,85552000,465265000,644052000,-8261000,652313000,8675000,5936000,5267000,14725000,1243126000,1046480000,863730000,182750000,13659000,1060139000,8698000,181873000,-7584000,182987000,182987000,1243126000,3649000,252000,59000,2506000,-2926000,3540000,-26000,2614000,-9501000,15000,-6898000,3038000,3038000,-320000,-320000,-320000,4999000,0,3116000,0.4292,0.32993,0.01994,0.00294,0.85393,5.79352,0,0.52443,0.52443,1.58954,26.29889,0.44783,0.00294,0.00251,-2.73135,-2.87634
"28","2017_Q3",31.754126984127,"Down",10978000,9247000,10295000,-1048000,1731000,1028000,699000,-464000,10514000,-5919000,-5919000,4595000,4595000,4540000,-970000,3570000,3570000,3570000,3570000,12936000,89096000,476642000,646362000,-8372000,654734000,8557000,5923000,5139000,14699000,1259354000,1062357000,880489000,181868000,12711000,1075068000,8698000,181546000,-5958000,184286000,184286000,1259354000,3570000,222000,464000,2126000,-3902000,2480000,-78000,-8870000,-6286000,56000,-15178000,15877000,11980000,-718000,-718000,-718000,4817000,-7.27595761418343e-12,1807000,0.41856,0.3252,0.01937,0.00283,0.50616,5.83369,0,0.51308,0.51308,1.57776,26.48558,0.2597,0.00593,0.00143,-2.68549,-2.81523
"29","2017_Q4",36.5246031746032,"Up",11164000,9280000,10301000,-1021000,1884000,1067000,813000,-201000,10963000,-5973000,-5973000,4990000,4990000,4932000,-1147000,3785000,3785000,3785000,3785000,12066000,58260000,476716000,651889000,-8473000,660362000,8458000,5911000,5123000,14060000,1232483000,1031973000,847490000,184483000,12849000,1044822000,8698000,185331000,-6368000,187661000,187661000,1232483000,3785000,227000,201000,4556000,-3750000,5019000,-103000,-1134000,25695000,37000,24495000,-30384000,-30384000,-870000,-870000,-870000,5217000,0,2511000,0.44697,0.33904,0.02017,0.00307,0.66341,5.5676,0,0.54398,0.54398,1.60449,26.97064,0.36088,0.00307,0.00204,-2.31282,-2.41804
"30","2018_Q1",34.4222950819672,"Down",11569000,9398000,10426000,-1028000,2171000,1113000,1052000,567000,12136000,-5878000,-5878000,6258000,6258000,6195000,-3107000,3088000,3088000,3088000,3088000,12926000,51233000,496324000,660144000,-7925000,668069000,8221000,5898000,5297000,16714000,1256757000,1059734000,877223000,182511000,12127000,1071861000,8698000,185893000,-9695000,184896000,184896000,1256757000,3088000,230000,-567000,3004000,-5800000,-45000,168000,-28218000,5289000,149000,-22612000,27761000,23517000,860000,860000,860000,6488000,1.16415321826935e-10,3963000,0.54093,0.26692,0.0167,0.00246,1.28335,5.7971,0,0.44381,0.44381,1.6627,26.57325,0.56956,0.00583,0.00315,-1.99229,-2.06552
"31","2018_Q2",38.11046875,"Up",11426000,9403000,10484000,-1081000,2023000,1047000,976000,472000,11898000,-6355000,-6355000,5543000,5543000,3734000,-438000,3296000,3296000,3296000,3296000,10598000,76571000,498062000,651272000,-7391000,658663000,8120000,5886000,5360000,14659000,1270528000,1072940000,882194000,190746000,12051000,1084991000,8698000,189189000,-12350000,185537000,185537000,1270528000,3296000,230000,-472000,2594000,-124000,5524000,-102000,-6462000,-14550000,56000,-21058000,13206000,13206000,-2328000,-2328000,-2328000,5773000,0,5985000,0.48512,0.28846,0.01776,0.00259,1.81584,5.84784,0,0.4737,0.4737,1.64214,26.66538,0.86016,0.00259,0.00471,-1.83579,-1.91196
"32","2018_Q3",38.1474603174603,"Up",11449000,9581000,10726000,-1145000,1868000,1093000,775000,-342000,11107000,-5974000,-5974000,5133000,5133000,4683000,-642000,4041000,4041000,4041000,4041000,12530000,29981000,505520000,683284000,-7579000,690863000,8757000,5873000,5400000,16132000,1267477000,1068781000,872832000,195949000,12845000,1081626000,8698000,189194000,-12041000,185851000,185851000,1267477000,4041000,236000,342000,2101000,-2989000,3731000,-845000,-12591000,19785000,46999.9999999999,6396000,-4159000,-8195000,1932000,1932000,1932000,5369000,-1.86264514923096e-09,2177000,0.44834,0.35296,0.02174,0.00319,0.53873,5.81986,1.73472347597681e-18,0.58077,0.58077,1.64545,26.71051,0.31288,0.00637,0.00172,-2.33377,-2.44107
