"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.72953125,"Up",489269000,489269000,-330049000,159220000,-110319000,-110319000,48901000,-577000,-2077000,48324000,16643000,-8726000,7917000,10108000,10108000,10108000,33584362.8272849,402189394.661031,8276359.78000248,8276359.78000248,590026224.004679,-55076463.3302867,5776433.66699998,576810483.28168,210788803.940492,41038097.0237292,-76472875.0027116,25899000.0040659,9824272.74372068,175354025.96151,752164509.243189,147057145.471082,294495370.762867,-147438225.291785,-195723421.165076,163036234.389096,97530345.0449618,163036234.389096,-32687186.77598,576344042.248939,-402395996.346244,-1334953.90218323,172464877.582337,784851696.01917,752164509.243189,7917000,10108000,11437000,35942000,-14471000,40825000,-14869000,-15394000,-78000,-8000,25423000,27672000,27672000,60338000,0,39724000,0.32542,0.09995,0.02066,-0.828982767325409,-0.396051146256595,3.92996,4.42339455056645,0.141225010873192,-0.256622379815149,0.23693,0.23693,11.4685,2.15565466691867,0.93113,-0.00331809354620476,1.01956058222089,-2.44075606263405,-2.08310123210773
"2","2011_Q1",13.3693548387097,"Up",468450000,468450000,-335072000,133378000,-100157000,-100157000,33221000,-2906000,-2906000,30315000,27144000,-21441000,5703000.00000001,7170000.00000001,7170000.00000001,7170000.00000001,340683000,99126000,13105000,13105000,309013000,80335000,30900000,743136000,212342000,49987000,36012000,25899000,10113000,298341000,1041477000,165949000,149207000,16742000,422507000,130101000,104182000,130101000,552608000,330022000,-78940000,-5842000,245181000,488869000,1041477000,5703000.00000001,7170000.00000001,13439000,16532000,37196000,72870000,-14553000,-89670000,433000,535000,-16265000,-14798000,-14798000,46660000,132132000,90744000,0.28472,0.07092,0.01531,0.01467,0.00688,12.65607,1.75887,1.13038,0.12687,0.16723,0.16616,10.92569,5.71837,2.11643,0.00955,0.12081,-4.46959,-6.27769
"3","2011_Q2",16.3039682539683,"Up",503588000,503588000,-331438000,172150000,-112619000,-112619000,59531000,-3145000,-3145000,56386000,1510000,-24939000,-23429000,-23429000,-23429000,-23429000,408146962.390905,13086785.1129897,14667463.4066658,14667463.4066658,253410675.331774,97115987.7767622,34296522.111,773341088.906107,215678398.686503,59525050.9920903,118302541.667571,25898999.9986447,9804909.08542644,393505991.346163,1166847080.25227,154545034.842973,107941959.745711,46603075.0972617,573457640.388359,112381005.203635,106137384.985013,112381005.203635,685838645.591993,392820319.250354,35019582.1154147,-6683348.69927226,421142040.805888,481008434.660277,1166847080.25227,-23429000,-23429000,12593000,63475000,-35342000,17297000,-16795000,-69547000,-1630000,10421000,-41829000,-41829000,-41829000,72124000,0,44926000,0.34185,0.11821,-0.04652,0.29366508910847,0.145267882085532,-1.91754,1.09481098314452,1.25089332970894,0.204338293271716,-0.53491,-0.53491,11.49744,7.92703344436045,1.02571,0.0869985311820683,-0.162536027406964,-4.36183881245532,-6.20230458929742
"4","2011_Q3",17.1453125,"Up",476310000,476310000,-320758000,155552000,-106628000,-106628000,48924000,-4918000,-4918000,44006000,21063000,124640000,145703000,145871000,145871000,145871000,350727000,49615000,14587000,14587000,318263000,61393000,26646000,744970000,220778000,66786000,159921000,25899000,9229000,447485000,1192455000,142835000,126387000,16448000,459741000,106120000,106120000,106120000,565861000,606851000,25585000,-5842000,626594000,626594000,1192455000,145703000,145871000,13147000,-116870000,6196999.99999999,48177000,-17277000,-43761000,-3009000,-12098000,-7682000,-7682000.00000001,-7681999.99999999,62071000,133398000,-73649000,0.32658,0.10271,0.30625,0.2328,0.12233,-0.504889999999997,1.62041,0.90307,0.11187,2.11273,2.06266,6.89864,9.07529,-1.0667,0.16842,-0.0850299999999998,-3.5013,-4.44218
"5","2011_Q4",17.7453968253968,"Up",530747000,530747000,-350465000,180282000,-120310000,-120310000,59972000,-1151000,-1151000,58821000,79745000,-26076000,53669000,53674000,53674000,53674000,303972000,101675000,14828000,14828000,377945000,55821000,19950000,752566000,227448000,65471000,139544000,25899000,8777000,432463000,1185029000,175730000,154150000,21580000,306017000,107867000,107867000,107867000,413884000,791634000,-14647000,-5842000,771145000,771145000,1185029000,53669000,53674000,12478000,5790000,-6469000,65468000,-21284000,77480000,450000,-90888000,52060000,52060000,52060000,72450000,0,70773000,0.33968,0.113,0.10113,0.0696,0.04529,1.31857,2.45923,0.53671,0,0.65116,0.59986,6.43892,9.35538,0.8586,0.16618,0.08051,-4.19561,-5.06857
"6","2012_Q1",19.1593548387097,"Up",513684000,513684000,-367721000,145963000,-109026000,-109026000,36937000,32999.9999999995,33000.0000000005,36970000,39951000,-15556000,24395000,19367000,19367000,19367000,375700000,79003000,16900000,16900000,334390000,141017000,24448000,868007000,235726000,53858000,50309000,25899000,8757000,339893000,1207900000,278246000,148944000,129302000,307549000,113764000,113764000,113764000,421313000,796812000,-1739000,-8486000,786587000,786587000,1207900000,24395000,19367000,13019000,14899000,30928000,83241000,-19351000,-103790000,2403000,-2727999.99999999,-23277000,-22672000,-22672000,49956000,-1.49011611938477e-08,77089000,0.28415,0.07191,0.0377,0.02462,0.01603,3.98043,2.82234,0.53562,0,0.22393,0.20801,5.93937,9.09475,0.89133,0.02868,0.08562,-7.52062,-10.17137
"7","2012_Q2",20.8747619047619,"Up",558572000,558572000,-365982000,192590000,-121923000,-121923000,70667000,467000,467000,71134000,65792000,-27185000,38607000,39860000,39860000,39860000,371275000,76547000,18790000,18790000,373255000,143006000,26870000,906326000,245641000,77218000,34422000,25899000,8523000,357281000,1263607000,271307000,157096000,114211000,287362000,121537000,113981000,121537000,408899000,831620000,31574000,-8486000,854708000,854708000,1263607000,38607000,39860000,13506000,31531000,-48125000,35519000,-22797000,-45562000,7235000,7587000,-2456000,-2456000,-2456000,84173000,0,40436000,0.34479,0.12651,0.07136,0.04664,0.03154,1.01445,3.15395,0.47841,0,0.45628,0.44628,6.39406,9.78397,0.46288,0.04838,0.04142,-4.41086,-5.25387
"8","2012_Q3",22.702380952381,"Up",512218000,512218000,-351973000,160245000,-112118000,-112118000,48127000,496000,496000,48623000,47844000,-18526000,29318000,29318000,29318000,29318000,380969000,61059000,24755000,24755000,367228000,143649000,23870000,916601000,253099000,103791000,34184000,25899000,8285000,391074000,1307675000,263505000,151448000,112057000,263505000,142872000,119177000,142872000,406377000,856766000,52894000,-8362000,901298000,901298000,1307675000,29318000,29318000,14086000,18126000,4425000,65955000,-24244000,-77795000,2556000,-3648000,-15488000,-15488000,-15488000,62213000,-9.31322574615479e-10,60920000,0.31285,0.09396,0.05724,0.03253,0.02242,2.0779,3.4785,0.45088,-8.67361737988404e-19,0.32975,0.32391,5.76108,10.13719,0.68519,0.03639,0.05834,-6.12362,-7.91591
"9","2012_Q4",24.873064516129,"Up",592734000,592734000,-392563000,200171000,-121734000,-121734000,78437000,2575000,2575000,81012000,81012000,-30897000,50115000,50115000,50115000,50115000,337642000,134322000,26245000,26245000,422467000,112991000,22891000,899345000,276496000,92674000,34043000,25899000,8144000,403213000,1302558000,299212000,167858000,131354000,299212000,144867000,123159000,144867000,444079000,860410000,5980000,-7911000,858479000,858479000,1302558000,50115000,50115000,14635000,30976000,-19986000,75740000,-33162000,92804000,703000,-95281000,73263000,73263000,73263000,93072000,0,70821000,0.33771,0.13233,0.08455,0.05838,0.03847,1.41317,3.00571,0.51729,0,0.56102,0.55044,6.63548,9.61041,0.79282,0.14665,0.07058,-3.62775,-4.30463
"10","2013_Q1",25.8393333333333,"Up",594254000,594254000,-422540000,171714000,-126022000,-126022000,45692000,273000,273000,45965000,45965000,-18819000,27146000,27146000,27146000,27146000,313178000,81097000,26756000,26756000,393794000,88062000,20637000,821790000,300313000,96712000,43288000,25899000,7946000,440313000,1262103000,275311000,150461000,124850000,275311000,128213000,128213000,128213000,403524000,872026000,16991000,-30438000,858579000,858579000,1262103000,27146000,27146000,15775000,18724000,19705000,81350000,-21831000,-88855000,-33897000,-45720000,-53225000,-53225000,-53225000,61467000,0,78160000,0.28896,0.07689,0.04568,0.03162,0.02151,2.87925,2.98495,0.46999,5.42101086242752e-20,0.30233,0.29652,6.61841,9.56229,0.87049,0.04386,0.07921,-5.09506,-6.85411
