"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",115220.301587302,"Up",3.2037e+10,1.5531e+10,1.1456e+10,5.05e+09,-2.4412e+10,-1.6738e+10,-7.674e+09,7.625e+09,-2.527e+09,-2.527e+09,5.098e+09,5.148e+09,5.148e+09,-1.336e+09,3.812e+09,3.812e+09,-1.79e+08,3.633e+09,3.633e+09,2.567e+10,2.567e+10,3.3222e+10,6.451e+09,6.5343e+10,9.0514e+10,1.20975e+11,1.20975e+11,7.9488e+10,4.8714e+10,3.0774e+10,2.90977e+11,3.5632e+11,2.8266e+10,2.8266e+10,5.7627e+10,1.18503e+11,3.4603e+10,8.667e+09,7.5233e+10,1.7613e+11,2.04396e+11,3.8042e+10,8.986e+10,1.9307e+10,1.47209e+11,4.715e+09,1.51924e+11,3.5632e+11,3.812e+09,9.15e+08,3.24e+08,-1.738e+09,3.313e+09,-1.17e+09,8.28e+08,-1.4911e+10,-1.18e+08,-1.5371e+10,7.279e+09,-8.5e+07,7.194e+09,-4.864e+09,-4.864e+09,-2.4e+07,-4.888e+09,6.013e+09,5.7627e+10,4.441e+09,0.23801,0.15913,0.1134,0.02391,0.0102,1.22241,2.31172,1.34538,0.16173,2271.80776,2271.80776,20033.55497,92053.55038,2777.07081,-19.0971976098878,0.01107,0.01354,5.31465,6.26854
"2","2010_Q3",119659.375,"Up",3.1709e+10,1.721e+10,7.733e+09,6.766e+09,-2.6037e+10,-1.9252e+10,-6.785e+09,5.672e+09,-2.734e+09,-2.734e+09,2.938e+09,2.938e+09,2.938e+09,-8.48e+08,2.09e+09,2.09e+09,-1.22e+08,1.968e+09,1.968e+09,2.7953e+10,2.7953e+10,3.3076e+10,6.563e+09,6.7592e+10,9.1147e+10,1.11544e+11,1.11544e+11,7.8904e+10,4.9113e+10,2.9791e+10,2.81595e+11,3.49187e+11,2.8361e+10,2.8361e+10,5.797e+10,1.15342e+11,3.008e+10,1.0791e+10,7.4471e+10,1.73312e+11,2.01673e+11,3.8085e+10,9.1828e+10,1.285e+10,1.42763e+11,4.751e+09,1.47514e+11,3.49187e+11,2.09e+09,1.1e+09,-7.38e+08,1.095e+09,3.547e+09,-1.546e+09,5.67e+08,-4.52e+08,-9.8e+07,-1.529e+09,376000000.000001,1.1e+07,387000000.000001,2.405e+09,2.405e+09,-1.22e+08,2.283e+09,4.038e+09,5.797e+10,4.435e+09,0.17888,0.09266,0.06206,0.01334,0.00564,2.25356,2.38327,1.36714,0.16601,1194.77287,1194.77287,19250.53501,86671.42228,2692.48865,-6.4428875610488,0.00613,0.01382,7.43363,10.21681
"3","2010_Q4",121711.640625,"Up",3.6274e+10,1.7408e+10,1.1651e+10,7.215e+09,-2.9107e+10,-1.969e+10,-9.417e+09,7.167e+09,-2.633e+09,-2.633e+09,4.534e+09,4.534e+09,4.534e+09,-1.415e+09,3.119e+09,3.119e+09,-1.3e+08,2.989e+09,2.989e+09,3.4461e+10,3.4461e+10,3.3485e+10,6.924e+09,7.487e+10,9.2024e+10,1.17077e+11,1.17077e+11,8.0008e+10,4.9196e+10,3.0812e+10,2.89109e+11,3.63979e+11,2.9365e+10,2.9365e+10,5.8663e+10,1.21354e+11,3.2606e+10,1.1052e+10,7.7696e+10,1.80017e+11,2.09382e+11,3.8131e+10,9.4817e+10,1.6723e+10,1.49671e+11,4.926e+09,1.54597e+11,3.63979e+11,3.119e+09,1.094e+09,1.75e+09,1.008e+09,6.971e+09,-1.575e+09,7.33e+08,-1.3e+07,-3.95e+08,-1.25e+09,6.35e+08,2.5e+07,6.6e+08,6.381e+09,6.381e+09,1.27e+08,6.508e+09,5.628e+09,5.8663e+10,6.476e+09,0.19758,0.12499,0.0824,0.01933,0.00821,2.16661,2.54963,1.35437,0.16117,1813.57603,1813.57603,22009.25294,90812.89344,3929.31361,1.22284497558048,0.00893,0.01935,4.30028,5.33789
"4","2011_Q1",125108.822580645,"Up",3.6165e+10,1.7076e+10,1.1756e+10,7.333e+09,-2.696e+10,-1.9542e+10,-7.418e+09,9.205e+09,-2.724e+09,-2.724e+09,6.481e+09,6.481e+09,6.481e+09,-2.008e+09,4.473e+09,4.473e+09,-9.6e+07,4.377e+09,4.377e+09,3.8227e+10,3.8227e+10,3.6143e+10,7.101e+09,8.1471e+10,9.3126e+10,1.17711e+11,1.17711e+11,7.9921e+10,4.9006e+10,3.0915e+10,2.90758e+11,3.72229e+11,2.9361e+10,2.9361e+10,5.8574e+10,1.2136e+11,3.6352e+10,8.371e+09,7.6637e+10,1.79934e+11,2.09295e+11,3.7541e+10,9.9194e+10,2.0583e+10,1.57318e+11,5.616e+09,1.62934e+11,3.72229e+11,4.473e+09,1.17e+09,-1.9e+09,3.21e+08,4.064e+09,-1.689e+09,1.626e+09,-5.48e+08,4.84e+08,-1.27e+08,-7e+07,-46000000.0000001,-1.16e+08,3.821e+09,3.821e+09,-5.5e+07,3.766e+09,7.651e+09,5.8574e+10,8.291e+09,0.25453,0.17921,0.12103,0.02686,0.01176,1.89422,2.7748,1.28454,0.15736,2655.66138,2655.66138,21942.42487,95449.69988,5030.40632,5,0.01277,0.02418,2.65939,3.13948
"5","2011_Q2",118530.80952381,"Down",3.372e+10,1.6772e+10,9.535e+09,7.413e+09,-2.8847e+10,-1.9431e+10,-9.416e+09,4.873e+09,-2.639e+09,-2.639e+09,2.234e+09,2.234e+09,2.234e+09,-6.29e+08,1.605e+09,1.605e+09,-9.4e+07,1.511e+09,1.511e+09,4.1178e+10,4.1178e+10,3.4503e+10,7.564e+09,8.3245e+10,9.3773e+10,1.19385e+11,1.19385e+11,8.0093e+10,4.908e+10,3.1013e+10,2.93251e+11,3.76496e+11,2.9582e+10,2.9582e+10,5.6546e+10,1.26103e+11,3.7198e+10,8.087e+09,8.0818e+10,1.82649e+11,2.12231e+11,3.7586e+10,1.00705e+11,2.1764e+10,1.60055e+11,4.21e+09,1.64265e+11,3.76496e+11,1.605e+09,1.135e+09,4.061e+09,-3.299e+09,3.502e+09,-1.482e+09,2.55e+08,-1.31e+08,4.219e+09,2.861e+09,-2.046e+09,-1.513e+09,-3.559e+09,2.804e+09,2.804e+09,1.47e+08,2.951e+09,3.369e+09,5.6546e+10,-7.83e+08,0.14451,0.06625,0.04481,0.0092,0.00401,-0.5182,2.81404,1.292,0.15019,916.64033,916.64033,20456.06345,97096.53721,-475.0029,5.98857751220976,0.00436,-0.00226,4.56159,6.87914
"6","2011_Q3",108443.640625,"Down",3.8274e+10,1.8336e+10,1.247e+10,7.468e+09,-3.0226e+10,-2.0606e+10,-9.62e+09,8.048e+09,-2.783e+09,-2.783e+09,5.265e+09,5.265e+09,5.265e+09,-1.725e+09,3.54e+09,3.54e+09,-1.23e+08,3.417e+09,3.417e+09,4.7891e+10,4.7891e+10,3.3595e+10,7.96e+09,8.9446e+10,9.4952e+10,1.18156e+11,1.18156e+11,8.0142e+10,4.9125e+10,3.1017e+10,2.9325e+11,3.82696e+11,2.9718e+10,2.9718e+10,5.6717e+10,1.29477e+11,3.7809e+10,8.086e+09,8.3582e+10,1.86194e+11,2.15912e+11,3.7779e+10,1.04122e+11,2.1106e+10,1.63007e+11,3.777e+09,1.66784e+11,3.82696e+11,3.54e+09,1.141e+09,472999999.999999,1.327e+09,6.481e+09,-1.962e+09,-3.853e+09,-40999999.9999995,6.188e+09,3.32e+08,1.09e+08,-2.56e+08,-1.47e+08,6.666e+09,6.666e+09,47000000.0000001,6.713e+09,6.406e+09,5.6717e+10,7.496e+09,0.21027,0.13756,0.08928,0.02049,0.00893,2.19374,3.00983,1.29456,0.1482,2072.09835,2072.09835,23209.68459,98848.85446,4545.63922,5.28857751220976,0.00968,0.02124,1.37777,1.67635
"7","2011_Q4",114029,"Up",3.3739e+10,1.8573e+10,7.338e+09,7.828e+09,-2.7575e+10,-2.0956e+10,-6.619e+09,6.164e+09,-2.801e+09,-2.801e+09,3.363e+09,3.363e+09,3.363e+09,-9.53e+08,2.41e+09,2.41e+09,-1.32e+08,2.278e+09,2.278e+09,3.4776e+10,3.4776e+10,3.3837e+10,9.265e+09,7.7878e+10,9.8446e+10,1.21792e+11,1.21792e+11,8.7378e+10,5.331e+10,3.4068e+10,3.07616e+11,3.85494e+11,3.1235e+10,3.1235e+10,6.0484e+10,1.29894e+11,3.7156e+10,1.0421e+10,8.2317e+10,1.90378e+11,2.21613e+11,3.7794e+10,1.064e+11,1.5781e+10,1.59957e+11,3.924e+09,1.63881e+11,3.85494e+11,2.41e+09,1.142e+09,-5.82e+08,3.029e+09,5.999e+09,-2.229e+09,-5.959e+09,-1.2812e+10,2.1e+07,-2.0979e+10,1.989e+09,-4.1e+07,1.948e+09,-1.3032e+10,-1.3032e+10,-8.3e+07,-1.3115e+10,4.505e+09,6.0484e+10,6.258e+09,0.1827,0.09968,0.06752,0.0139,0.00591,2.74715,2.49329,1.35228,0.1569,1379.52669,1379.52669,20431.89238,96867.84461,3789.76207,4,0.00643,0.01767,5.70655,7.64437
"8","2012_Q1",119086.741935484,"Up",3.7955e+10,1.9122e+10,1.0703e+10,8.13e+09,-3.0418e+10,-2.1582e+10,-8.836e+09,7.537e+09,-3.085e+09,-3.085e+09,4.452e+09,4.452e+09,4.452e+09,-1.261e+09,3.191e+09,3.191e+09,-1.43e+08,3.048e+09,3.048e+09,3.7299e+10,3.7299e+10,3.2946e+10,8.975e+09,7.922e+10,1.00391e+11,1.25172e+11,1.25172e+11,8.7864e+10,5.3213e+10,3.4651e+10,3.13427e+11,3.92647e+11,3.2706e+10,3.2706e+10,6.0384e+10,1.30596e+11,3.7804e+10,1.0139e+10,8.2653e+10,1.9098e+11,2.23686e+11,3.7815e+10,1.09448e+11,1.7654e+10,1.6485e+11,4.111e+09,1.68961e+11,3.92647e+11,3.191e+09,2.074e+09,-1.638e+09,8.67e+08,4.494e+09,-2.518e+09,1.0923e+10,-701000000.000004,-9.107e+09,-1.403e+09,-408999999.999999,-5e+07,-458999999.999999,2.632e+09,2.632e+09,-1.09e+08,2.523e+09,6.526e+09,6.0384e+10,6.136e+09,0.19858,0.1173,0.08031,0.01804,0.00776,2.01312,2.42219,1.32389,0.15379,1846.36745,1846.36745,22991.75737,99860.12919,3716.96544,4,0.00847,0.01705,3.53739,5.18531
"9","2012_Q2",121127.714285714,"Up",3.8147e+10,1.9264e+10,1.0987e+10,7.896e+09,-3.0137e+10,-2.1466e+10,-8.671e+09,8.01e+09,-3.079e+09,-3.079e+09,4.931e+09,4.931e+09,4.931e+09,-1.565e+09,3.366e+09,3.366e+09,-1.21e+08,3.245e+09,3.245e+09,3.7826e+10,3.7826e+10,3.5165e+10,9.055e+09,8.2046e+10,1.01727e+11,1.39102e+11,1.39102e+11,8.8487e+10,5.3166e+10,3.5321e+10,3.29316e+11,4.11362e+11,3.2281e+10,3.2281e+10,6.1835e+10,1.36977e+11,4.3238e+10,9.055e+09,8.4684e+10,1.98812e+11,2.31093e+11,3.7854e+10,1.12693e+11,2.5517e+10,1.75997e+11,4.272e+09,1.80269e+11,4.11362e+11,3.366e+09,1.253e+09,2.25e+09,-2.219e+09,4.65e+09,-2.16e+09,-2.309e+09,-3.39e+08,-7.33e+08,-5.541e+09,1.398e+09,-5.5e+07,1.343e+09,4.52e+08,4.52e+08,7.5e+07,5.27e+08,6.184e+09,6.1835e+10,3.37e+09,0.20998,0.12926,0.08507,0.018,0.00789,1.03852,2.54162,1.28193,0.15032,1965.54214,1965.54214,23106.17441,106603.85816,2041.2564,6,0.00856,0.00889,3.88244,4.86899
"10","2012_Q3",128269.317460317,"Up",3.8546e+10,2.0814e+10,9.922e+09,7.81e+09,-3.0755e+10,-2.2588e+10,-8.167e+09,7.791e+09,-3.176e+09,-3.176e+09,4.615e+09,4.615e+09,4.615e+09,-1.384e+09,3.231e+09,3.231e+09,-1.23e+08,3.108e+09,3.108e+09,4.0661e+10,4.0661e+10,3.4856e+10,9.525e+09,8.5042e+10,1.02831e+11,1.3539e+11,1.3539e+11,8.8093e+10,5.3145e+10,3.4948e+10,3.26314e+11,4.11356e+11,3.1841e+10,3.1841e+10,6.1132e+10,1.36668e+11,4.2721e+10,1.0137e+10,8.381e+10,1.978e+11,2.29641e+11,3.7864e+10,1.15801e+11,2.3781e+10,1.77379e+11,4.336e+09,1.81715e+11,4.11356e+11,3.231e+09,1.265e+09,-4.82e+08,8.45e+08,4.859e+09,-2.419e+09,926000000.000002,-1.3e+08,3.51e+08,-1.272e+09,-7.2e+08,3.6e+07,-6.84e+08,2.903e+09,2.903e+09,-6.8e+07,2.835e+09,5.88e+09,6.1132e+10,5.69e+09,0.20212,0.11973,0.08063,0.0171,0.00756,1.83076,2.67083,1.26374,0.14861,1881.91185,1881.91185,23339.82435,107404.00312,3445.32768,3,0.00819,0.01499,3.48146,4.43575
