"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",40.714126984127,"Up",109087000,-19443000,89644000,-86710000,-74661000,-10699000,-1350000,2934000,-1363000,-1480000,117000,1571000,1571000,-865000,706000,706000,1088000,1088000,216124173.534582,128399973.786602,65346092.1138118,65346092.1138118,95657386.7097361,23908261.3505086,9400190.93314572,401035913.708638,56166177.0663346,425543173.748968,116836785.377499,106006171.273576,-261123542.607389,38188568.7944877,550876088.269425,951912001.978063,97472162.1786377,97472162.1786377,31659470.4646562,31659470.4540073,128965815.288932,269666445.081451,-5499761.11074022,3863126.37514654,-30249831.2164329,264166683.970711,393132499.259643,562676322.38178,-10992344.535864,-6111306.02948542,545572671.818873,558779502.71842,951912001.978063,706000,8104000,7967000,-7639000,9138000,-8402000,-8402000,89000,6628000,6628000,-3526000,3102000,12329000,12329000,-78000,12251000,11038000,0,-4138000,0.82177,0.0269,0.00997,0.543050108742643,0.303849126941267,-3.80331,3.14678895372519,0.643070810511714,0.274161188319059,0.02797,0.02716,2.80444,13.9637244166413,-0.10638,0.352141467141246,-0.243317910819876,2.32912664258438,-0.440757544498791
"2","2010_Q3",32.8271875,"Down",119584000,-21014000,98570000,-90286000,-77726000,-11205000,-1355000,8284000,-1520000,-1490000,-30000,6764000,6764000,-573999.999999996,6190000,6190000,6723000,6723000,179179000,67513000,68230000,68230000,93106000,3768000,3768000,344283000,89801000,217552000,100833000,101938000,-80318271.3036943,14781000,341399000,685682000,53909000,53909000,30876000,30876000,84785000,2.3e+08,27810000,3774063.18757327,27810000,257810000,342595000,513111000,-181889000,-849000,330373000,343087000,685682000,6190000,8961000,8688000,-7516000,16323000,-13657000,-13657000,-29135000,5335000,5335000,-2586000,2749000,-10063000,-10063000,-88000,-10151000,17245000,2.3e+08,-3354000,0.82427,0.06927,0.05622,0.0196,0.0098,-0.49888,4.06066,0.99857,0.33543,0.17131,0.16516,3.04719,8.41843,-0.08547,0.01119,-0.00558,2.947,6.13484
"3","2010_Q4",27.57078125,"Down",120262000,-21580000,98682000,-89144000,-77717000,-10085000,-1342000,9538000,-1474000,-1468000,-6000,8064000,8064000,40000,8104000,8104000,8542000,8542000,177136000,70590000,71617000,71617000,98789000,4520000,4520000,352062000,101120000,218078000,101670000,101938000,15991576.2321019,14470000,358827000,710889000,59608000,59608000,31264000,31264000,90872000,2.3e+08,29480000,3714687.72919109,29480000,259480000,350352000,520987000,-173347000,621000,348261000,360537000,710889000,8104000,10339000,9906000,-9888000,18461000,-14563000,-14563000,-15967000,805000,805000,-492000,313000,2807000,2807000,270000,3077000,19877000,2.3e+08,-4614000,0.82056,0.07931,0.07103,0.02369,0.01202,-0.54015,3.87426,0.97175,0.32354,0.21681,0.21143,3.05249,8.83956,-0.11711,0.01378,-0.00743999999999999,2.65956,5.54246
"4","2011_Q1",27.345,"Down",129304000,-23102000,106202000,-94868000,-84571000,-8937000,-1360000,11334000,-1819000,-1474000,-345000,9515000,9515000,52018000,61533000,61533000,61932000,61932000,179055000,92597000,74361000,74361000,107577000,10778000,6353000,371771000,102165000,277458000,107121000,103070000,52033000,15234000,430258000,802029000,76261000,76261000,33041000,33041000,109302000,2.3e+08,16495000,3685000,12810000,246495000,355797000,545154000,-111415000,616000,434355000,446232000,802029000,61533000,9333000,-45089000,-3872000,21905000,-9224000,-9224000,-782000,2063000,2063000,-1145000,917999.999999996,22041000,22041000,-33999.9999999999,22007000,20667000,2.3e+08,-44447000,0.82134,0.08765,0.47896,0.13879,0.07722,-0.71767,3.40132,0.79734,0.28677,1.56933,1.01713,3.27651,11.00636,-1.12627,0.0894,-0.06416,2.46504,4.49488
"5","2011_Q2",30.7631746031746,"Up",124466000,-23526000,100940000,-96331000,-84220000,-10769000,-1342000,4609000,-1091000,-1588000,497000,3518000,3518000,-1540000,1978000,1978000,2359000,2359000,192977000,134101000,75952000,75952000,114388000,9175000,4750000,392492000,105066000,276358000,105817000,103070000,52033000,15438000,414238000,806730000,69542000,69542000,33494000,33494000,103036000,2.3e+08,16414000,3685000,12729000,246414000,349450000,553524000,-109056000,1316000,445784000,457280000,806730000,1978000,7781000,9963000,-5178000,14544000,-1.8e+07,-1.8e+07,27167000,425000,425000,-709000,-284000,41427000,41427000,77000,41504000,12390000,2.3e+08,-9248000,0.81098,0.03703,0.01895,0.00516000000000003,0.00292000000000002,-3.92031,3.80927,0.76419,0.2851,0.05955,0.05823,3.14181,11.25263,-0.23344,0.00335000000000001,-0.01314,2.98814,8.03276
"6","2011_Q3",25.15578125,"Down",132966000,-25508000,107458000,-95976000,-84323000,-10258000,-1395000,11482000,-1684000,-1764000,80000,9798000,9798000,-4776000,5021999.99999999,5021999.99999999,5379999.99999999,5379999.99999999,519629000,505084000,80532000,80532000,117952000,9149000,4724000,727262000,115566000,425494000,101435000,103070000,52033000,168956000,545663000,1272925000,67803000,67803000,33955000,33955000,101758000,543696000,105255000,3685000,12670000,648951000,750709000,613056000,-103676000,1698000,511078000,522216000,1272925000,5021999.99999999,8107000,12385000,-12364000,13150000,-14944000,-14944000,-5570000,3909000,3909000,-32047000,363410000,370990000,370990000,-7000,370983000,19589000,543696000,-2942999.99999999,0.80816,0.08635,0.0404600000000001,0.0103,0.00423,-0.54703,7.14698,1.43755,0.42712,0.13522,0.13163,3.34203,12.84567,-0.07397,0.00459,-0.00251,1.2286,2.09606
"7","2011_Q4",14.5028571428571,"Down",132880000,-26015000,106865000,-97078000,-85482000,-10092000,-1504000,9787000,-5293000,-7019000,1726000,4494000,-96706000,29031000,-67675000,-67675000,-67552000,-67552000,372306000,220943000,78637000,78637000,122588000,9525000,5100000,583056000,118125000,367024000,100044000,103070000,76260000,87650000,531742000,1114798000,70063000,70063000,134828000,134828000,204891000,427974000,16773000,3685000,13088000,444747000,649638000,625427000,-171228000,-54000,454145000,465160000,1114798000,-67675000,8959000,20991000,63447000,25722000,-11491000,-11491000,-191671000,127000,127000,-117856000,-117943000,-283892000,-283892000,-249000,-284141000,18746000,427974000,41671000,0.80422,0.07365,-0.50837,-0.14522,-0.0606,-0.61687,2.84569,1.39659,0.3839,-1.6932,-1.78162,3.33066,11.38322,1.04449,-0.07424,0.0458,2.96959,5.68795
"8","2012_Q1",15.3693548387097,"Up",150194000,-37062000,113132000,-104684000,-95027000,-7289000,-2368000,8448000,-6955000,-6730000,-225000,1493000,-16674000,6328000,-10346000,-10346000,-10036000,-10036000,309720000,163492000,87736000,87736000,119313000,75068000,20518000,591837000,124754000,374468000,108140000,159349000,19857000,87122000,531725000,1123562000,73959000,73959000,133421000,133421000,207380000,394019000,17413000,3952000,13461000,411432000,618812000,674832000,-181264000,477000,494045000,504750000,1123562000,-10346000,11395000,-4600000,13100000,9549000,-13935000,-13935000,-31650000,2391000,2391000,-37806000,-35304000,-57405000,-57405000,-46000,-57451000,19843000,394019000,12680000,0.75324,0.05625,-0.0668199999999999,-0.01988,-0.00893,-1.26345,2.85388,1.22598,0.35069,-0.23788,-0.237880000000001,3.55994,11.71,0.30055,-0.01095,0.01384,4.2483,9.97857
"9","2012_Q2",19.3338095238095,"Up",151691000,-36933000,114758000,-107512000,-94678000,-9988000,-2846000,7246000,-6180000,-6617000,437000,1066000,1066000,-597000,469000,469000,673000,673000,358597000,270180000,85570000,85570000,122027000,63759000,9209000,629953000,131041000,383146000,105307000,160745000,19857000,97237000,519186000,1149139000,80052000,80052000,133289000,133289000,287652000,322796000,18645000,3952000,14693000,341441000,629093000,689035000,-180591000,1101000,509545000,520046000,1149139000,469000,12087000,13866000,13318000,39740000,-14567000,-14567000,66597000,314000,314000,76000,390000,106727000,106727000,-39000,106688000,19333000,397107000,18681000,0.75652,0.04777,0.00444,0.00129000000000002,0.00059,27.7578,2.18998,1.20969,0.34557,0.01571,0.01551,3.54054,11.89303,0.43602,0.000719999999999993,0.01996,1.99193,5.31466
"10","2012_Q3",22.1611111111111,"Up",154419000,-36534000,117885000,-104853000,-92615000,-9335000,-2903000,13032000,-7319000,-6768000,-551000,5713000,5713000,-3103000,2610000,2610000,2863000,2863000,241812000,121156000,85749000,85749000,128559000,62680000,8130000,518800000,129435000,495301000,105128000,160745000,19857000,209571000,648443000,1167243000,81978000,81978000,32290000,32290000,188579000,325941000,119716000,3952000,115764000,445657000,634236000,700452000,-177728000,35000,522759000,533007000,1167243000,2610000,13226000,14683000,-4500000,26019000,-9363000,-9363000,-178058000,2780000,2780000,166000,2946000,-149093000,-149093000,69000,-149024000,26258000,400252000,15498000,0.76341,0.08439,0.01854,0.00537,0.00245,5.4132,2.7511,1.18992,0.3429,0.06605,0.0646,3.56239,12.05987,0.35753,0.00272,0.01472,6.03397,12.15777
