"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",48.068125,"Up",-9206000,-1064000,-8142000,-6986000,251000,81000,-6735000,-6735000,-6735000,-6735000,-6735000,-6751000,32400000,25704000,1226000,1176000,35227000,3902000,3902000,4286000,4286000,8188000,43415000,5441000,3083000,2358000,17519000,22960000,4557000,27517000,3e+06,-64262000,15898000,15898000,43415000,-6735000,314000,488000,-2048000,-7981000,-75000,5925000,28000,28000,-535000,-2591000,-2591000,-2591000,-6672000,0,-0.42464,-0.1555,1.53428,1.73085,0,-2.64626,-2.64626,-24.01625,-0.33004,4.85612,4.63785
"2","2018_Q3",56.3666666666667,"Up",-11105000,-1979000,-9126000,-9439000,416000,259000,-9023000,-9023000,-9023000,-9023000,-9023000,-9023000,94447000,46732000,1462000,1412000,97111000,3938000,3938000,1674000,1674000,5612000,102723000,4451000,1664000,2787000,20363000,24814000,1234000,26048000,149973000,-73285000,76675000,76675000,102723000,-9023000,325000,810000,-24999.9999999998,-7913000,-388000,-41370000,11000,11000,70311000,21028000,21028000,21028000,-9114000,0,-0.11768,-0.08784,3.91356,0.33972,0,-1.23347,-1.23347,10.48171,-0.11581,10.36285,10.00604
"3","2018_Q4",29.5892063492063,"Down",-12619000,-2367000,-10252000,-10576000,408000,405000,-10168000,-10168000,-10168000,-10168000,-10168000,-10168000,87120000,49296000,960000,960000,89499000,3613000,3613000,1674000,1674000,5287000,94786000,6298000,803000,5495000,20086000,26384000,871000,27255000,151008000,-83453000,67531000,67531000,94786000,-10168000,330000,745000,1518000,-7575000,-86000,9914000,175000,175000,175000,2514000,2514000,2514000,-10246000,0,-0.15057,-0.10727,3.39217,0.40359,0,-1.35379,-1.35379,8.99126,-0.14865,8.50283,8.23752
"4","2019_Q1",17.0924590163934,"Down",-12809000,-2044000,-10765000,-9004000,398000,408000,-8606000,-8606000,-8606000,-8606000,-8606000,-8606000,78594000,55671000,740000,740000,81002000,3251000,3251000,1674000,1674000,4925000,85927000,6996000,1519000,5477000,17949000,24945000,748000,25693000,152305000,-92059000,60234000,60234000,85927000,-8606000,352000,832000,-1598000,-9020000,0,1.5e+07,395000,395000,395000,6375000,6375000,6375000,-8652000,0,-0.14288,-0.10015,3.24722,0.42655,0,-1.14462,-1.14462,8.01127,-0.14112,9.08391,8.72879
"5","2019_Q2",13.3085714285714,"Down",-14894000,-2491000,-12403000,-11841000,150000,150000,-11691000,-11691000,-11691000,-11691000,-11691000,-11691000,67103000,59114000,757000,757000,69900000,9279000,9279000,2101000,2101000,11380000,81280000,7903000,1836000,6067000,18442000,26345000,5645000,31990000,153042000,-103750000,49290000,49290000,81280000,-11691000,330000,1012000,-1169000,-11518000,-42000,14950000,11000,11000,11000,3443000,3443000,3443000,-11511000,5645000,-0.23719,-0.14384,2.65325,0.64902,0.06945,-1.5545,-1.5545,6.55387,-0.21282,5.33907,5.19027
"6","2019_Q3",8.1290625,"Down",-13679000,-3062000,-10617000,-10541000,25000,25000,-10516000,-10516000,-10516000,-10516000,-10516000,-10516000,55863000,55863000,1243000,1243000,58598000,8609000,8609000,2101000,2101000,10710000,69308000,7589000,1660000,5929000,16718000,24307000,5243000,29550000,154024000,-114266000,39758000,39758000,69308000,-10516000,331000,1219000,-2378000,-11344000,0,7996000,97000,97000,97000.0000000005,-3251000,-3251000,-3251000,-10210000,5243000,-0.2645,-0.15173,2.41075,0.74325,0.07565,-1.37878,-1.37878,5.21278,-0.23368,4.95788,4.8022
"7","2019_Q4",4.08234375,"Down",-13056000,-2721000,-10335000,-12036000,31000,31000,-12005000,-11923000,-11923000,-11923000,-11923000,-11923000,45882000,45882000,1216000,1216000,47978000,7804000,7804000,2102000,2102000,9906000,57884000,8132000,1594000,6538000,16298000,24430000,4831000,29261000,154812000,-126189000,28623000,28623000,57884000,-11923000,318000,1049000,349000,-10207000,226000,226000,0,0,0,-9981000,-9981000,-9981000,-11718000,4831000,-0.41655,-0.20598,1.9639,1.02229,0.08346,-1.55525,-1.55525,3.73362,-0.3564,3.50324,3.41068
"8","2020_Q1",2.77935483870968,"Down",-13048000,-2694000,-10354000,2240000,61000,61000,2301000,2297000,2297000,2297000,2297000,2297000,37424000,37424000,1167000,1167000,40591000,7150000,7150000,1682000,1682000,8832000,49423000,10314000,3183000,7131000,2934000,13248000,4413000,17661000,155654000,-123892000,31762000,31762000,49423000,2297000,314000,-170000,-10886000,-8445000,-13000.0000000001,-13000,0,0,-2.3283064365387e-10,-8458000,-8458000,-8458000,2554000,4413000,0.0723199999999999,0.04648,3.06393,0.55604,0.08929,0.29962,0.29962,4.14309,0.0635,-12.92522,-14.73705
"9","2020_Q2",1.8552380952381,"Down",-13172000,-3674000,-9498000,-6141000,47000,47000,-6094000,-6094000,-6094000,-6094000,-6094000,-6094000,29604000,29604000,1581000,1581000,31185000,6499000,6499000,1255000,1255000,7754000,38939000,6751000,628000,6123000,2499000,9250000,3987000,13237000,155688000,-129986000,25702000,25702000,38939000,-6094000,295000,-39000,-2055000,-7893000,4346213.4902058,5082166.41276823,73000,73000,73000,-7820000,-7820000,-7820000,-5846000,3987000,-0.2371,-0.1565,3.37135,0.51502,0.10239,-0.80885,-0.80885,3.41138,-0.20526,4.38197,4.17147
"10","2020_Q3",10.4259375,"Up",-7931000,-2802000,-5129000,-7403000,10000,3000,-7393000,-7393000,-7393000,-7393000,-7393000,-7393000,21342000,21342000,2607000,2607000,23949000,5851000,5851000,1255000,1255000,7106000,31055000,6259000,632000,5627000,2010000,8269000,3545000,11814000,156620000,-137379000,19241000,19241000,31055000,-7393000,286000,870000.000000002,-2087000,-8324000,9400481.43553811,9870127.90249582,62000.0000000005,62000.0000000005,62000.0000000037,-8262000,-8262000,-8262000,-7117000,3545000,-0.38423,-0.23806,2.89624,0.614,0.11415,-0.95056,-0.95056,2.47394,-0.32445,2.50063,2.40403
