"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","derivative_hedging_assets_short_term","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.8185714285714,"Up",609546000,-449393000,160153000,-57833000,-7869000,-49964000,102320000,-21233000,-5417000,-15816000,81087000,81087000,-32136000,2951000,51902000,51902000,51902000,51902000,664360839.309829,664360839.309829,912071851.434732,555240574.884676,-578499227.238931,-449708645.345509,1641908190.16035,3131023090.58333,930480878.486926,1471471184.87686,-540990306.389937,7999338.52102017,43397070.5569253,-405439053.861676,938480216.832144,4069503307.41547,766867215.394545,16794590.0920252,24139210.2715206,725933415.031,3224174318.54973,-1466628783.07738,382062771.523749,-493744989.533257,-1354946565.06787,2524412750.86689,541750175.59134,194426836.552057,25187613.1819664,97030.840621653,435491650.458613,-23356986.6343723,-242992471.294772,736177012.143397,3260589763.01029,808913544.405184,808913544.405184,4069503307.41547,51902000,8103000,20047000,-132251000,-52199000,-10343000,-1097000,-15740000,-13249000,56054000,-5885000,3109000,5149000,42069000,-25870000,-25870000,-25870000,110423000,0,-35000,0.26274,0.16786,0.08515,-0.0376695613957587,-0.0315654699011728,-0.00067,1.75213853225478,4.08513666228923,1.28983112308618,0.6236,0.61787,7.32363,9.53510939833166,-0.00042,0.15919,-0.0509267919768362,-2.72994142810037,0.25527,-2024.05004251641,-2318.96520256581
"2","2010_Q3",12.210625,"Up",918346000,-703377000,214969000,-66133000,-7931000,-58202000,148836000,-31087000,-5291000,-25796000,117749000,117749000,-46485000,2953000,74217000,74217000,74217000,74217000,301980946.43661,301980946.43661,417760617.144911,399180524.961559,-125057409.079644,-90274548.4485031,629735730.053449,1397975696.86111,1037237959.49564,1484528728.29229,-447290768.796646,383563779.507007,18731023.5189751,135244982.046108,1420801738.94405,2818777435.80516,407138738.464849,37198530.0306751,16807736.7571735,353132471.677,1021780439.51658,-355825927.69246,142637923.84125,-144344663.177752,-354119188.355958,1073093250.28896,467364725.197113,506742278.850686,71621871.0606555,5214010.28020722,344196883.486204,-4202328.8781241,89911842.9017428,974107004.047799,2047200254.33676,771577181.468395,771577181.468395,2818777435.80516,74217000,8164000,6546000,208267000,297194000,-17488000,-3335000,-20823000,-14146000,-103958000,-12473000,3262000,5999.99999999907,-130571000,145800000,145800000,145800000,1.57e+08,0,394264000,0.23408,0.16207,0.08082,-0.0264031871319196,-0.0134251566337243,5.31231,1.47682617741826,2.63680888742974,0.547580374362062,0.89593,0.89102,11.08605,9.27228646611055,4.75946,0.17077,-0.0160689306589454,-0.837407142700122,0.190600000000001,-748.180860838803,-746.712604188604
"3","2010_Q4",13.7284375,"Up",479894000,-440791000,39103000,-51373000,-8136000,-43237000,-12270000,-10443000,-5238000,-5205000,-22713000,-22713000,10555000,1981000,-10177000,-10177000,-10177000,-10177000,91653000,91653000,285268000,382829000,86554000,50383000,245892000,768083000,1101271000,1518985000,-417714000,576120000,8929000,398509000,1677391000,2445474000,280864000,45768000,14008000,221088000,191620000,138980000,65244000,1879000,71857000,611464000,434927000,657923000,91141000,7342000,298750000,4177000,256513000,1092850000,1704314000,741160000,741160000,2445474000,-10177000,8361000,44539000,-131774000,-89051000,-22325000,-1820000,-24145000,-11765000,64121000,-3297000,43000,-326000,48733000,-64463000,-64463000,-64463000,-3909000,626547000,-168563000,0.08148,-0.02557,-0.02121,-0.01373,-0.00416,16.56313,1.25614,2.29952,0.25621,-0.12339,-0.12339,5.81845,8.98615,-2.04373,0.14264,0.00078,-0.08322,-1.15604,-136.83653,-43.59364
"4","2011_Q1",13.988064516129,"Up",631518000,-573997000,57521000,-51459000,-8331000,-43128000,6062000,-10053000,-5305000,-4748000,-3991000.00000001,-3991000.00000001,3374000,2132000,1515000,1515000,1515000,1515000,943000,943000,342233000,434421000,135186000,55880000,243355000,785008000,1135719000,1558845000,-423126000,642406000,7957000,475505000,1778125000,2563133000,291697000,47297000,13998000,230402000,178857000,235244000,78447000,23737000,133060000,705798000,428925000,702927000,93742000,7656000,285100000,5640000,310789000,1131852000,1837650000,725483000,725483000,2563133000,1515000,8564000,-31909000,5301000,-16529000,-40022000,-949000,-40250000,-13977000,-19211000,-1508000,73000,765000,-33931000,-90710000,-90710000,-90710000,14626000,607782000,-23469000,0.09108,0.00960000000000001,0.00239999999999999,0.00209,0.000589999999999999,-15.49109,1.11223,2.533,0.23712,0.0183899999999999,0.0181899999999999,7.66722,8.80804,-0.28494,0.16969,0.00761,-0.01153,9.22574,41.49043,100.10541
"5","2011_Q2",14.6580952380952,"Up",713152000,-589696000,123456000,-62568000,-8454000,-54114000,60888000,-25443000,-5263000,-20180000,35445000,35445000,-13853000,2917000,24509000,24509000,24509000,24509000,6667000,6667000,371593000,459625000,103373000,11982000,342691000,917611000,1153149000,1581060000,-427911000,639932000,9043000,461390000,1793081000,2710692000,326338000,45260000,14867000,266211000,353185000,162106000,101725000,12031000,48350000,841629000,432450000,699099000,91018000,7126000,286699000,4467000,309789000,1131549000,1973178000,737514000,737514000,2710692000,24509000,8454000,56306000,-221124000,-131855000,-27837000,-1506000,-29343000,-14023000,171962000,3014000,3014000,5969000,166922000,5724000,5724000,5724000,69342000,785635000,-165766000,0.17311,0.08538,0.03437,0.03323,0.00904,-6.76347,1.09028,2.67544,0.28983,0.29686,0.29522,8.63798,8.93307,-2.00782,0.16985,0.01734,-0.07459,0.57216,11.23371,12.79346
"6","2011_Q3",15.04265625,"Up",976987000,-783619000,193368000,-70677000,-8477000,-62200000,122691000,-33762000,-5078000,-28684000,88929000,88929000,-28612000,3610000,63927000,63927000,63927000,63927000,76391000,76391000,200987000,386676000,69966000,2305000,296878000,709555000,1166700000,1569635000,-402935000,625436000,6153000,447316000,1792136000,2501691000,288441000,44451000,14873000,229117000,159768000,137021000,63644000,45572000,27805000,585230000,429990000,701397000,92966000,6927000,289496000,4517000,307491000,1131387000,1716617000,785074000,785074000,2501691000,63927000,8915000,-8297999.99999999,248320000,312864000,-27644000,-2099000,-29743000,-14894000,-195843000,-2939000,4283000,279000.000000002,-213397000,69724000,69724000,69724000,131606000,589758000,380894000,0.19792,0.12558,0.06543,0.08143,0.02555,5.95826,1.21244,2.18657,0.23574,0.77296,0.7698,11.81306,9.49258,4.60551,0.18009,0.03796,0.18345,0.232980000000001,3.90079,4.18423
"7","2011_Q4",15.822380952381,"Up",648169000,-557120000,91049000,-53843000,-8514000,-45329000,37206000,-13592000,-4744000,-8848000,23614000,23614000,-6197000,2957000,20374000,20374000,20374000,20374000,60814000,60814000,255023000,418520000,59018000,40622000,310150000,741667000,1205554000,1612710000,-407156000,626735000,5081000,448677000,1832289000,2573956000,317685000,59526000,14901000,243258000,150224000,163174000,45138000,27695000,90341000,631083000,428200000,718393000,95090000,9051000,310558000,4029000,299665000,1146593000,1777676000,796280000,796280000,2573956000,20374000,8076000,18430000,-668000,46212000,-34365000,-4470000,-38835000,-14830000,-11342000,3210000,3210000,8000,-22954000,-15577000,-15577000,-15577000,45282000,578424000,16446000,0.14047,0.0574,0.03143,0.02559,0.00792,0.80721,1.17523,2.23248,0.22472,0.24617,0.2449,7.83153,9.62109,0.19871,0.17918,0.01682,0.00786,0.72789,11.43081,13.912
"8","2012_Q1",16.1,"Up",670901000,-620136000,50765000,-61639000,-8925000,-52714000,-10874000,-9989000,-4538000,-5451000,-20863000,-20863000,10997000,2355000,-7511000,-7511000,-7511000,-7511000,7440000,7440000,301870000,415724000,100338000,54311000,259577000,732367000,1295927000,1706164000,-410237000,621150000,6515000,455572000,1917077000,2649444000,333563000,65960000,14912000,252691000,166925000,202896000,68698000,778000,133420000,703384000,426797000,743006000,114305000,7633000,334009000,6341000,280718000,1169803000,1873187000,776257000,776257000,2649444000,-7511000,9755000,-3087000,23722999.9999999,22880000,-79316000,2102000,-77214000,-14903000,13985000,226000,3197000,1652000,960000,-53374000,-53374000,-53374000,-1118999.99999999,593722000,-67709000,0.07567,-0.01621,-0.0112,-0.00968,-0.00283,9.01465,1.04121,2.4131,0.22409,-0.0906600000000001,-0.09018,8.09837,9.37011,-0.817309999999999,0.17989,0.0035,-0.03204,-1.98416,-523.93387,-53.91595
"9","2012_Q2",14.8447619047619,"Down",642411000,-492047000,150364000,-61088000,-9600000,-51488000,89276000,-18536000,-5005000,-13531000,70740000,70740000,-16037000,2654000,57357000,57357000,57357000,57357000,7806000,7806000,300062000,529615000,119626000,60256000,349733000,870818000,1371180000,1785819000,-414639000,610636000,7364000,445995000,1981816000,2852634000,312607000,70900000,15744000,225963000,324782000,204149000,79313000,5505000,119331000,841538000,431550000,759034000,94740000,6165000,370235000,7496000,280398000,1190584000,2032122000,820512000,820512000,2852634000,57357000,9600000,11786000,-156208000,-77465000,-67095000,-2323000,-69418000,-14946000,156080000,-469000,3248000,6584000,147249000,366000,366000,366000,98876000,756332000,-108390000,0.23406,0.13897,0.08928,0.0699,0.02011,-1.88974,1.03479,2.47665,0.26513,0.69215,0.68854,7.75222,9.90143,-1.30798,0.18036,0.03095,-0.0464,0.26058,7.57035,8.3844
"10","2012_Q3",15.88,"Up",612921000,-460356000,152565000,-68067000,-10439000,-57628000,84498000,-21887000,-5427000,-16460000,62611000,62611000,-11094000,3018000,54535000,54535000,54535000,54535000,7802000,7802000,182950000,467496000,103506000,23803000,340187000,674676000,1396775000,1814338000,-417563000,598288000,3333000,437906000,1995063000,2669739000,250798000,63268000,15780000,171750000,199417000,183971000,92028000,17295000,74648000,634186000,429450000,743861000,95176000,5966000,359303000,3751000,279665000,1173311000,1807497000,862242000,862242000,2669739000,54535000,10439000,-5884000,122999000,182089000,-37530000,-4442000,-41972000,-15749000,-127365000,2833000,3916000,160000.000000001,-140121000,-3999.99999999255,-3999.99999999255,-3999.99999999255,94937000,628867000,191500000,0.24891,0.13786,0.08898,0.06325,0.02043,3.51151,1.06385,2.09628,0.23555,0.65689,0.65398,7.38281,10.38596,2.30667,0.1897,0.03145,0.08568,0.28879,6.54185999999997,7.35005999999999
