"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",51.2842857142857,"Up",221216000,-35793000,185423000,-81251000,-58266000,-22800000,104172000,2207000,1747000,460000,106379000,106379000,-36886000,69493000,69493000,-407000,69086000,69086000,-1419459740.32757,-1395023036.89122,-24436703.4363542,115670222.428214,115670222.428214,-112734330.756747,-26994951.837307,-77376359.3183813,-1443518800.49341,146125487.232543,2631959461.66764,539815223.862223,118021166.594058,221423124.07504,136818566.576497,63552366.6166266,3317900172.7624,1874381372.26899,-64219942.5111263,203741382.832233,244763682.863543,-512725008.206902,3504483.60373473,-43680921.6640862,19884726.7046627,111636668.279962,65344058.9300805,21663137.2659942,745328177.763077,1106004093.98955,-32426021.6365118,1818906250.11612,33811984.8868773,1852718235.003,1874381372.26899,69493000,7806000,-2618000,23783000,98464000,-10619000,-130129000,-140873000,-6403000,9258000,-15661000,4653000,-2148000,-44557000,-44557000,-883000,-45440000,111978000,0,162028000,0.8382,0.47091,0.3123,0.189209187295577,0.173272763191447,2.34531,-0.6010398189016,-0.011244510026413,0.0367132414616909,0.60557,0.59486,1.93905,15.9848675546997,1.42024,0.183027940905535,0.0437824123411105,15.5413952976882,18.6261403859128
"2","2010_Q3",48.62421875,"Down",243421000,-29623000,213798000,-81720000,-56354000,-25248000,132078000,1851000,1842000,9000,133929000,133929000,-47610000,86319000,86319000,-421000,85898000,85898000,198977086.557476,-15250345.630406,214227432.187882,62409074.1427379,62409074.1427379,-24698443.5855824,80661349.3875643,-6091119.77279376,317349066.502196,110518162.410848,900957487.222546,421132741.287408,83495722.1980195,245612041.358347,63712188.8588325,28312788.8722089,1432608390.9208,1749957457.423,97346685.8296246,70615460.9440775,84864894.2878476,-58133669.4023006,11086827.8679116,115228359.445305,45639242.2348876,52824222.7599872,63772352.9766935,179000712.421998,499509725.921026,1052371031.32985,-7149673.87883726,1544731083.37204,26225661.6289591,1570956745.001,1749957457.423,86319000,9588000,-1285000,-8603999.99999999,86018000,-7274000,-13906000,-21180000,-55642000,11821000,-67463000,5631000,-50403000,14435000,14435000,-3324000,11111000,141666000,0,173398000,0.87831,0.54259,0.35288,0.0824930624318589,0.0738109210638157,2.01865,3.90323006036613,0.115191829991196,0.0146444138205636,0.75359,0.74053,2.13555,13.5720725182332,1.52124,0.0794659803018449,0.0843774707803702,-1.41247490077059,-1.01308653802906
"3","2010_Q4",51.49390625,"Up",230269000,-40056000,190213000,-94273000,-65692000,-27513000,95940000,2142000,1487000,655000,98082000,98082000,-34394000,63688000,63688000,-236000,63452000,63452000,822869000,519098000,303771000,47650000,47650000,16989000,124730000,23007000,1012238000,95486000,222664000,372798000,69322000,258853000,29272000,15351000,690948000,1703186000,157900000,13284000,17841000,126775000,12041000,171616000,53993000,29316000,58463000,230079000,375354000,1070911000,4558000,1450823000,22284000,1473107000,1703186000,63688000,8151000,-45000,3175000,74969000,-6989000,107720000,100031000,-78595000,15929000,-94524000,6606000,-72391000,102609000,102609000,-860000,101749000,104091000,6145000,134671000,0.82605,0.41664,0.27556,0.04307,0.03725,2.12241,5.89827,0.15619,0.00361,0.56026,0.55041,2.03321,12.81035,1.18911,0.04138,0.08783,-7.84625,-8.51286
"4","2011_Q1",44.4583870967742,"Down",227807000,-26343000,201464000,-104273000,-69201000,-29417000,97191000,1431000,1519000,-88000.0000000001,98622000,98622000,-35295000,63327000,63327000,1684000,65011000,65011000,848130000,545861000,302269000,54257000,54257000,28338000,129688000,26930000,1060413000,94097000,190837000,366425000,67019000,264580000,19948000,14878000,651359000,1711772000,156109000,3606000,7895000,144608000,9647000,165756000,51337000,27015000,51337000,217093000,330014000,1135922000,7801000,1473737000,20942000,1494679000,1711772000,63327000,9392000,11909000,-16781000,67847000,-10440000,33706000,17665000,-58324000,5390000,-63714000,4980000,-59832000,25680000,25680000,1083000,26763000,106583000,9.31322574615479e-10,114657000,0.88436,0.42664,0.28538,0.04349,0.03798,1.76366,6.39743,0.14524,-4.33680868994202e-19,0.57796,0.56959,2.02524,13.10175,1.01932,0.04205,0.07416,-7.95746,-8.72643
"5","2011_Q2",37.6360317460317,"Down",242712000,-29139000,213573000,-104371000,-75259000,-28327000,109202000,1864000,1331000,533000,111066000,111066000,-24301000,86765000,86765000,-378000,86387000,86387000,704231000,433638000,270593000,68638000,68638000,27799000,123389000,25475000,924057000,99109000,367727000,369238000,67340000,266236000,20593000,15069000,836074000,1760131000,136265000,11183000,14154000,110928000,8065000,144330000,43949000,29867000,43949000,188279000,320357000,1222309000,8032000,1550698000,21154000,1571852000,1760131000,86765000,9539000,-1674000,-23978000,70652000,-9025000,-149835000,-162210000,-30217000,15749000,-45966000,9386000,-20831000,-112389000,-112389000,166000,-112223000,118741000,0,110039000,0.87994,0.44992,0.35592,0.05496,0.04908,1.27379,6.40239,0.11978,0,0.77107,0.75969,2.16639,13.84119,0.98218,0.05346,0.0681,-5.93082,-6.44888
"6","2011_Q3",28.4971875,"Down",250026000,-28457000,221569000,-101099000,-72700000,-28399000,120470000,2024000,1868000,156000,122494000,122494000,-40012000,82482000,82482000,-421000,82061000,82061000,787086000,520268000,266818000,73657000,73657000,31382000,130310000,35654000,1022435000,103590000,347092000,352851000,61804000,267255000,17657000,6135000,803533000,1825968000,137037000,7874000,820999.999999998,128342000,10575000,147612000,38220000,23775000,38220000,185832000,303536000,1304370000,10355000,1618261000,21875000,1640136000,1825968000,82482000,11506000,20715000,-13764000,100939000,-7729000,20204000,12475000,-29692000,-534000.000000006,-29158000,1919000,-27773000,85641000,85641000,989000,86630000,131976000,-2.3283064365387e-10,150495000,0.88618,0.48183,0.32821,0.05003,0.04494,1.83394,6.9265,0.1133,0,0.73177,0.72399,2.22959,14.43072,1.34203,0.04889,0.08967,-5.96386,-6.53346
"7","2011_Q4",24.172380952381,"Down",218999000,-27933000,191066000,-103161000,-69123000,-34086000,87905000,2546000,2360000,186000,90451000,90451000,-28404000,62047000,62047000,-299000,61748000,61748000,903671000,594604000,309067000,39370000,39370000,23416000,127459000,36058000,1093916000,108334000,280380000,348597000,55463000,268009000,18811000,6314000,737311000,1831227000,123640000,5621000,3675000,114344000,12976000,136616000,38745000,23274000,38745000,175361000,255686000,1366118000,11895000,1633699000,22167000,1655866000,1831227000,62047000,12930000,13183000,34408000,122568000,-10503000,20455000,9952000,-59671000,7705000,-67376000,1338000,-58333000,74187000,74187000,149000,74336000,100835000,0,153144000,0.87245,0.40139,0.28196,0.03729,0.03372,2.48015,8.00723,0.1059,0,0.55382,0.54961,1.96422,14.6528,1.37356,0.03644,0.09037,-8.96188,-10.28009
"8","2012_Q1",29.6227419354839,"Up",249328000,-25642000,223686000,-111530000,-75753000,-33108000,112156000,4476000,4444000,32000,116632000,116632000,-37344000,79288000,79288000,-217000,79071000,79071000,942793000,551512000,391281000,61815000,61815000,26244000,127746000,36877000,1158598000,117107000,272797000,335885000,51573000,263260000,14779000,6273000,725789000,1884387000,132684000,10887000,4762000,117035000,26701000,159385000,39652000,23455000,39652000,199037000,210791000,1445189000,7533000,1663513000,21837000,1685350000,1884387000,79288000,10019000,27250000,-7027999.99999999,109529000,-16538000,-80381000,-96919000,-44912000,4998000,-49910000,-10649000,-55561000,-42951000,-42951000,-141000,-43092000,122175000,2.91038304567337e-11,135953000,0.89716,0.44983,0.31714,0.04692,0.04196,1.71938,7.26918,0.1181,-3.3881317890172e-21,0.71813,0.71359,2.26442,15.10815,1.23474,0.04584,0.07881,-7.71674,-8.40609
"9","2012_Q2",33.0084126984127,"Up",234178000,-20410000,213768000,-112475000,-79281000,-32826000,101293000,1911000,1711000,2e+05,103204000,103204000,-29838000,73366000,73366000,-207000,73159000,73159000,1021826000,654414000,367412000,54211000,54211000,33515000,119498000,26916000,1229050000,123536000,247273000,339261000,47922000,263780000,20390000,7169000,710070000,1939120000,125220000,9773000,18662000,96785000,24412000,149632000,45400000,27637000,45400000,195032000,196654000,1518348000,7108000,1722110000,21978000,1744088000,1939120000,73366000,9929000,9834000,2663000,95792000,-12231000,44407000,31601000,-25255000,813000,-26068000,1027000,-24228000,103165000,103165000,-263000,102902000,111222000,0,131492000,0.91284,0.43255,0.31241,0.04195,0.03773,1.79735,8.21382,0.11182,0,0.6719,0.66847,2.15071,15.81601,1.20763,0.04088,0.07348,-9.18727,-10.08782
"10","2012_Q3",28.3649206349206,"Down",262759000,-23592000,239167000,-118121000,-82975000,-34236000,121046000,1469000,1409000,60000,122515000,122515000,-34198000,88317000,88317000,-197000,88120000,88120000,1098723000,747988000,350735000,57762000,57762000,16562000,120958000,26099000,1294005000,135517000,209804000,346074000,44816000,264750000,20337000,16171000,691395000,1985400000,123080000,5444000,9391000,108245000,26718000,149798000,48435000,31445000,48435000,198233000,149189000,1606468000,9130000,1764787000,22380000,1787167000,1985400000,88317000,10174000,14888000,5498000,118877000,-17504000,50313000,32809000,-54263000,5818000,-60081000,-3709000,-57972000,93714000,93714000,-140000,93574000,131220000,-9.09494701772928e-13,153412000,0.91021,0.46067,0.33536,0.04931,0.04438,1.74094,8.63833,0.11092,0,0.8128,0.80718,2.42364,16.27807,1.41504,0.04801,0.08358,-8.37314,-9.0769
