"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",18.96609375,"Up",126343000,-80983000,45360000,-45854000,-45854000,-39135000,-6719000,-494000,-5240000,-374000,-4866000,-5734000,-1346000,40000,-1306000,-1306000,-1306000,-1306000,26294000,5525000,42793000,67273000,6690000,2800000,143050000,93837000,10466000,6586000,3026000,104303000,247353000,47644000,30909000,16735000,17972000,16492000,78963000,91658000,4022000,77366000,9552000,101658000,180621000,-2.64697796016969e-23,50177000,94620000,-78065000,66732000,66732000,247353000,-1306000,8138000,1670000,-787000,7715000,-2077000,-2077000,-6526000,-5331000,307000,307000,307000,7644000,23347000,4740000,0.35902,-0.00391,-0.01034,-0.01957,-0.00528,-3.6294,1.81161,2.70666,0.09439,-0.08381,-0.08381,8.10775,4.28236,0.30418,-0.00719000000000002,0.02608,-0.38553,5.96559
"12","2014_Q1",21.464262295082,"Up",132668000,-87826000,44842000,-47479000,-47479000,-39862000,-7617000,-2637000,-1522000,-227000,-1295000,-4159000,-4172000,1194000,-2978000,-2978000,-2978000,-2978000,23224000,2678000,43922000,60867000,11736000,3243000,139749000,92159000,12228000,6277000,5484000,104387000,244136000,47497000,27740000,19757000,6094000,5171000,76550000,75748000,5132000,59876000,9888000,85748000,162298000,0,51108000,94080000,-63350000,81838000,81838000,244136000,-2978000,7764000,-2034000,1355000,4107000,-5666000,-5666000,-1296000,-1288000,-2847000,-2847000,-2847000,5127000,32959000,-378000,0.338,-0.01988,-0.02245,-0.03639,-0.0122,0.12693,1.82559,1.98316,0.135,-0.17857,-0.17523,7.95496,4.90712,-0.0226700000000001,-0.01563,-0.00198,1.89877,-3.6917
"13","2014_Q2",20.0747619047619,"Down",129529000,-81524000,48005000,-45114000,-45114000,-36614000,-8500000,2891000,-902000,-264000,-638000,1989000,2112000,-306000,1806000,1806000,1806000,1806000,25355000,4930000,42840000,68682000,9234000,2748000,146111000,90225000,11930000,6061000,5402000,102155000,248266000,49245000,29374000,19871000,7232000,6309000,79395000,75226000,5082000,60064000,9192000,85226000,164621000,0,52015000,95885000,-64255000,83645000,83645000,248266000,1806000,7424000,5948000,-7905000,7273000,-4465000,-4465000,-558000,-556000,2252000,2252000,2252000,10315000,32918000,-1749000,0.37061,0.02232,0.01394,0.02159,0.00727,-0.96844,1.8403,1.96809,0.13259,0.11429,0.11387,8.19692,5.29326,-0.11068,0.00942,-0.00912,0.733199999999999,2.61605
"14","2014_Q3",22.87390625,"Up",143129000,-88755000,54374000,-48651000,-48651000,-38322000,-10329000,5723000,-539000,-283000,-256000,5184000,5111000,-403000,4708000,4708000,4708000,4708000,28417000,7864000,46368000,62568000,7224000,3490000,144577000,94589000,13072000,5845000,6760000,107661000,252238000,49712000,29482000,20230000,6442000,5519000,75215000,75843000,7818000,59175000,7867000,85843000,161058000,0,48567000,100593000,-57980000,91180000,91180000,252238000,4708000,7054000,2136000,-744000,13154000,-7330000,-7330000,-3013000,-2890000,2934000,2934000,2934000,12777000,29061000,5106000,0.3799,0.03998,0.03289,0.05163,0.01866,1.08454,1.92218,1.76637,0.11521,0.29707,0.2952,9.03134,5.75339,0.32218,0.02401,0.02604,0.0504,0.11253
"15","2014_Q4",28.505,"Up",125525000,-77473000,48052000,-50090000,-50090000,-42592000,-7498000,-2038000,4777000,-163000,4940000,2739000,2702000,-195000,2507000,2507000,2507000,2507000,26727000,5156000,45170000,67018000,21902000,3193000,160817000,95773000,13990000,5628000,7895000,109763000,270580000,52716000,33563000,19153000,6651000,5728000,72458000,74431000,8074000,58598000,6797000,74431000,146889000,0,51164000,103101000,-30574000,123691000,123691000,270580000,2507000,6857000,6812000,-2749000,13427000,-7167000,-7167000,-10284000,-8968000,-2708000,-2708000,-2708000,4819000,13091000,-4902000,0.38281,-0.01624,0.01997,0.02027,0.00927,-1.95533,2.21945,1.18755,0.04838,0.15721,0.15589,7.87159,7.75658,-0.3074,0.01187,-0.02321,-2.82963,6.69087
"16","2015_Q1",26.6572131147541,"Down",130197000,-84714000,45483000,-46957000,-46957000,-37560000,-9397000,-1474000,585000,-119000,703999.999999999,-889000,2912000,199000,3111000,3111000,3111000,3111000,34625000,11993000,42230000,71044000,9561000,4180000,157460000,95641000,13076000,5628000,7034000,108717000,266177000,66526000,44336000,22190000,6487000,5318000,76870000,74443000,7604000,60226000,5924000,74443000,151313000,0,52479000,106212000,-43827000,114864000,114864000,266177000,3111000,5999000,-11618000,21549000,19041000,-1769000,-1769000,-10474000,-10435000,6837000,6837000,6837000,4525000,3857000,24106000,0.34934,-0.01132,0.02389,0.02708,0.01169,7.74863,2.04839,1.31732,0.01449,0.19393,0.19243,8.11614,7.16032,1.5027,0.01611,0.1248,-6.79956,20.87381
"17","2015_Q2",24.6320634920635,"Down",135984000,-87863000,48121000,-45459000,-45459000,-38450000,-7009000,2662000,112000,-118000,230000,2774000,2713000,-198000,2515000,2515000,2515000,2515000,26845000,4782000,46172000,71931000,7290000,3561000,152238000,93989000,12598000,5628000,6556000,106587000,258825000,55668000,40096000,15572000,6641000,5472000,68077000,72907000,7604000,59544000,5041000,72907000,140984000,0,54319000,108727000,-45205000,117841000,117841000,258825000,2515000,6256000,-2835000,-9759000,-3823000,-4832000,-4832000,863000,1444000,-7211000,-7211000,-7211000,8918000,5768000,-5475000,0.35387,0.01958,0.01849,0.02134,0.00972,-2.17694,2.23626,1.19639,0.02229,0.15715,0.15591,8.49698,7.36331,-0.34211,0.0128,-0.02786,-2.36342,-7.91773
"18","2015_Q3",23.66609375,"Down",144809000,-91667000,53142000,-49459000,-49459000,-39599000,-9860000,3683000,-357000,-118000,-239000,3326000,3148000,-252000,2896000,2896000,2896000,2896000,28433000,4746000,46183000,70677000,5867000,4919000,151160000,92141000,12087000,5628000,6045000,104228000,255388000,56951000,37245000,19706000,6351000,5182000,72021000,72110000,8124000,59050000,4156000,72110000,144131000,0,51086000,111623000,-51452000,111257000,111257000,255388000,2896000,6163000,-4448000,1633000,6244000,-4425000,-4425000,-1802000,-1855000,-35999.9999999981,-35999.9999999981,-35999.9999999981,9846000,8719000,7306000,0.36698,0.02543,0.02,0.02603,0.01134,2.52279,2.09883,1.29548,0.03414,0.18066,0.17891,9.03353,6.94048,0.45577,0.01508,0.03804,-2.00223,-5.3527
"19","2015_Q4",29.969375,"Up",132507000,-85938000,46569000,-43297000,-43297000,-37653000,-5644000,3272000,-1385000,-110000,-1275000,1887000,-2790000,218000,-2572000,-2572000,-2572000,-2572000,33382000,9412000,44300000,57351000,11492000,3630000,146525000,90377000,13156000,6741000,6001000,103533000,250058000,46732000,29040000,17692000,7350000,6181000,77227000,70850000,8124000,58349000,3592000,70850000,148077000,-8.67361737988404e-19,53123000,109051000,-60193000,101981000,101981000,250058000,-2572000,6135000,-424000,-1048000,2091000,-4092000,-5292000,7488000,7867000,4666000,4666000,4666000,9407000,23145000,4049000,0.35145,0.02469,-0.01941,-0.02522,-0.01029,-1.57426,1.89733,1.45201,0.09256,-0.15524,-0.1539,7.99763,6.1552,0.24438,-0.01312,0.02066,-1.08823,-3.12867
"20","2016_Q1",26.8026229508197,"Down",132582000,-83378000,49204000,-44711000,-44711000,-36051000,-8660000,4493000,-6e+05,-42000,-558000,3893000,-2017000,-170000,-2187000,-2187000,-2187000,-2187000,38825000,15160000,40161000,50522000,6177000,4640000,135685000,90201000,15057000,6691000,7615000,105258000,240943000,50028000,27023000,23005000,7542000,6152000,64874000,86058000,10964000,71342000,2824000,86058000,150932000,0,54801000,106864000,-71654000,90011000,90011000,240943000,-2187000,5625000,17260000,1720000,22418000,-5594000,-5594000,-11030000,-11076000,5748000,5748000,5748000,10118000,7304000,6414000,0.37112,0.03389,-0.0165,-0.0243,-0.00908,-2.93278,2.09152,1.67682,0.03031,-0.13748,-0.13635,8.33419,5.65815,0.40319,-0.01193,0.03498,-3.11534,-7.01558
"21","2016_Q2",29.90296875,"Up",133445000,-82866000,50579000,-45906000,-45906000,-36441000,-9465000,4673000,-599000,-17000,-582000,4074000,-1162000,88000,-1074000,-1074000,-1074000,-1074000,45602000,22765000,42973000,56744000,5756000,3685000,151075000,90271000,15004000,6641000,7612000,105275000,256350000,62343000,38892000,23451000,7929000,6539000,76962000,88552000,10964000,71011000,5668000,88552000,165514000,1.38777878078145e-17,56372000,105790000,-71326000,90836000,90836000,256350000,-1074000,5295000,10180000,-2993000,11408000,-3243000,-3243000,-893000,-560000,7605000,7605000,7605000,9968000,6690000,3644000,0.37903,0.03502,-0.00805,-0.01182,-0.00419,-3.39292,1.96298,1.82212,0.0261,-0.06601,-0.06601,8.20222,5.58325,0.22398,-0.00577,0.01958,-3.90369,-8.32698
"22","2016_Q3",32.25984375,"Up",142307000,-89399000,52908000,-47362000,-47362000,-37853000,-9509000,5546000,563000,7000,556000,6109000,5924000,-362999.999999999,5561000,5561000,5561000,5561000,37359000,13046000,45589000,53036000,5057000,4447000,141041000,98739000,14641000,6591000,7299000,113380000,254421000,48555000,26199000,22356000,7324000,5934000,58665000,93003000,11383000,70653000,9967000,93003000,151668000,0,53759000,111351000,-62357000,102753000,102753000,254421000,5561000,5192000,987000,-19188000,-7448000,-2314000,-8052000,-724000.000000002,5781000,-9719000,-9719000,-9719000,10738000,2786000,-10401000,0.37179,0.03897,0.03908,0.05412,0.02186,-1.87035,2.40418,1.47604,0.01095,0.34089,0.33532,8.72338,6.29873,-0.63758,0.02801,-0.05239,-3.21969,-6.23386
"23","2016_Q4",33.8596825396825,"Up",134468000,-81908000,52560000,-49424000,-49424000,-38447000,-10977000,3136000,929000,28000,901000,4065000,1235000,-43000,1192000,1192000,1192000,1192000,38144000,13330000,46568000,54550000,15061000,4091000,154323000,100871000,15107000,6541000,7815000,115978000,270301000,50049000,27186000,22863000,8331000,6941000,60558000,103186000,11383000,70302000,20501000,103186000,163744000,2.22044604925031e-16,54940000,112543000,-60926000,106557000,106557000,270301000,1192000,5234000,-2906000,1932000,5452000,-4646000,-12400000,-865000,7232000,284000,284000,284000,8370000,2178000,5699000,0.39087,0.02332,0.00886,0.0111900000000001,0.00441,4.78104,2.54835,1.53668,0.00806,0.07063,0.07016,7.96764,6.31383,0.33768,0.00561999999999999,0.02689,-4.29701,-11.46875
"24","2017_Q1",33.6306451612903,"Down",134162000,-119041000,15121000,-22538000,-22538000,-10519000,-12019000,-7417000,849000,53000,796000,-6568000,-6445000,72557000,66112000,66112000,66112000,66112000,46686000,21095000,44364000,46378000,15937000,4557000,153365000,118416000,97210000,6219000,9933000,215626000,368991000,48459000,23919000,24540000,6946000,6946000,56837000,129560000,11459000,88855000,29246000,129560000,186397000,0,55878000,196782000,-70066000,182594000,182594000,368991000,66112000,5053000,-71322000,18373000,18216000,-9901000,-15835000,-634000.000000002,5384000,7765000,7765000,7765000,-2364000,1432000,-66449000,0.11271,-0.05528,0.49278,0.36207,0.17917,-1.0051,2.69833,1.02083,0.00388,3.99452,3.96669,8.10613,11.03241,-4.01488,0.21083,-0.2119,19.14298,6.10139
"25","2017_Q2",32.9015873015873,"Down",130488000,-79290000,51198000,-47374000,-47374000,-38438000,-8936000,3824000,196000,-260000,456000,4020000,2701000,-1083000,1618000,1618000,1618000,1618000,42519000,16502000,46914000,51102000,15235000,4210000,155770000,140674000,93521000,6441000,7781000,234195000,389965000,51336000,34837000,16499000,50807000,50807000,103604000,100395000,11459000,88137000,798999.999999996,100395000,203999000,0,56903000,198400000,-69337000,185966000,185966000,389965000,1618000,5008000,2170000,-4974000,3822000,-8182000,-22536000,-36080000,14121000,-4593000,-4593000,-4593000,8832000,1461000,-3241000,0.39236,0.02931,0.0124,0.00870000000000004,0.00414999999999996,-2.00309,1.50351,1.09697,0.00375,0.09769,0.09698,7.87829,11.22781,-0.19568,0.00561999999999996,-0.01126,-4.64878,-10.73692
"26","2017_Q3",30.9634920634921,"Down",139025000,-83929000,55096000,-52890000,-52890000,-39097000,-13793000,2206000,-2418000,-365000,-2053000,-212000,33492000,-13416000,20076000,20076000,20076000,20076000,34633000,8443000,50277000,56559000,4731000,4457000,146200000,165110000,91376000,14696000,7390000,256486000,402686000,71005000,53446000,17559000,7348000,7348000,98536000,98566000,10248000,87769000,549000,98566000,197102000,0,56232000,218476000,-69124000,205584000,205584000,402686000,20076000,5078000,-23886000,6224000,7492000,-15350000,-33962000,18090000,18411000,-8059000,-8059000,-8059000,7284000,20183000,11574000,0.3963,0.01587,0.14441,0.09765,0.04986,0.576509999999999,1.48372,0.95874,0.05012,1.21056,1.20165,8.38303,12.39645,0.6979,0.0619,0.03569,-1.9838,-6.55032
"27","2017_Q4",33.0198412698413,"Up",138187000,-84367000,53820000,-49573000,-49573000,-40377000,-9196000,4247000,947000,-370000,1317000,5194000,3005000,-1411000,1594000,1594000,1594000,1594000,32268000,5727000,50426000,60712000,5082000,4789000,148488000,171977000,102469000,19172000,7311000,274446000,422934000,63384000,45216000,18168000,7074000,7074000.00000001,116103000,98751000,10248000,87514000,989000,98751000,214854000,-2.8421709430404e-14,57546000,220070000,-69536000,208080000,208080000,422934000,1594000,6527000,2375000,-11280000,-784000,-7981000,-27521000,25177000,25589000,-2716000,-2716000,-2716000,10774000,45645000,-7076000,0.38947,0.03073,0.01154,0.00766,0.00377,-4.43915,1.27893,1.03255,0.10792,0.09599,0.09533,8.32187,12.53095,-0.42613,0.00452,-0.02008,1.2416,3.14975000000001
"28","2018_Q1",31.477868852459,"Down",133800000,-107063000,26737000,-26642000,-26642000,-15622000,-11020000,94999.9999999991,-293000,-7039000,6746000,-198000,-1832000,1095000,-736999.999999996,-736999.999999996,-736999.999999996,-737000,6609000,6241000,46446000,79790000,7858000,7540000,140703000,176066000,90384000,18618000,6837000,266450000,407153000,57129000,39784000,17345000,9702000,9702000,97267000,80334000,7548000,71069000,1717000,80334000,177601000,0,58341000,236993000,-65782000,229552000,229552000,407153000,-736999.999999996,6357000,1785000,24177000,31582000,-9604000,-22705000,-16880000,-8363000,514000,514000,514000,6452000,30436000,19930000,0.19983,0.000709999999999995,-0.00551000000000001,-0.00321,-0.00181,-27.04206,1.44656,0.77369,0.07475,-0.04355,-0.0432799999999999,7.90658,13.56481,1.17771,-0.00217,0.05856,3.69296,250.81053
"29","2018_Q2",28.7996875,"Down",131713000,-85630000,46083000,-44215000,-44215000,-32856000,-11359000,1868000,-412000,-2167000,1755000,1456000,1433000,-592000,841000,841000,841000,841000,7656000,7297000,47076000,64789000,8268000,8070000,127789000,172680000,101890000,18315000,6717000,274570000,402359000,63996000,45620000,18376000,9745000,9745000,106885000,78957000,7548000,70039000,1370000,78957000,185842000,-4.54747350886464e-13,59147000,222186000,-64816000,216517000,216517000,402359000,841000,7253000,-363000,-627000,7104000,-6857000,-8254000,2206000,2206000,1056000,1056000,1056000,9121000,33144000,2229000,0.34987,0.01418,0.00639,0.00388000000000001,0.00209,2.65042,1.19557,0.85833,0.08237,0.05036,0.05036,7.88709,12.96523,0.13347,0.00256,0.00678,2.79443,13.64454
"30","2018_Q3",28.6507936507937,"Down",167366000,-111089000,56277000,-56433000,-56433000,-42128000,-14305000,-156000,-282000,-2505000,2223000,-438000,-273000,-16788000,-17061000,-17061000,-17061000,-17190000,5414000,5414000,62275000,73284000,9382000,9176000,150355000,178148000,125753000,51036000,7263000,303901000,454256000,68504000,51218000,17286000,10991000,10991000,166062000,78254000,6365000,69617000,2272000,78254000,244316000,15000,70222000,203289000,-63586000,209940000,209940000,454256000,-17061000,8077000,17181000,-16834000,-8637000,-7730000,-47518000,54012000,54272000,-1883000,-1883000,-1883000,7921000,86567000,145000,0.33625,-0.00093,-0.10271,-0.08188,-0.03784,-0.00844000000000422,0.90541,1.16374,0.19057,-1.0279,-1.0279,10.00783,12.5527,0.00867000000000009,-0.04587,0.00039,10.2453,-520.21154
