"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.27515625,"Up",376600000,-280400000,96200000,-44500000,-41900000,-2600000,51700000,-3700000,-9e+06,5300000,4.8e+07,4.8e+07,-1.6e+07,3.2e+07,3.2e+07,3.2e+07,3.2e+07,635866763.939516,846112142.733909,72777808.7263907,72777808.7263907,158583070.972754,-35071656.5286968,20545292.6479367,-52847827.7621929,832155987.109964,357341662.821372,-84689707.0071379,390163013.704698,163533053.443919,114351721.843951,112278238.416829,662814969.518932,1494970956.6289,389963875.992232,13052842.3723617,376911033.619871,1104326.54360093,400823702.358154,260951931.351866,98112283.0069039,77940980.0427013,72377484.05602,2879541.60316996,17291761.3610326,359064214.35877,759887916.716924,1399694519.48842,-431791880.207838,-232819599.36861,735083039.911972,735083039.911972,1494970956.6289,3.2e+07,10800000,10800000,17500000,71100000,-9e+06,-8900000,337656122.667104,-51200000,-51200000,1.1e+07,1.1e+07,1300000,12300000,62500000,0,8.7e+07,0.25544,0.13728,0.08497,-0.0565678840967101,-0.0217082976923865,2.71875,1.33547110939966,1.08975161187769,0.192573899092807,0.31746,0.31746,3.73611,8.81486439489622,0.8631,-3.4213636716911,-0.00703689088208282,0.534640692740594,-5.26635176421059,1.20762242488818,2.02682237631259
"2","2011_Q1",13.8427419354839,"Up",373300000,-269900000,103400000,-43700000,-43400000,-3e+05,59700000,-6e+06,-9e+06,3e+06,53700000,51900000,-15400000,36500000,36500000,36500000,36500000,304700000,304700000,231200000,231200000,275800000,12600000,6100000,1900000,824300000,473600000,49700000,3.6e+08,1.92e+08,96200000,71800000,883300000,1707600000,203600000,7e+06,196600000,2200000,220100000,537400000,188900000,130100000,119500000,33200000,25600000,726300000,946400000,1.4e+09,-486500000,-152300000,761200000,761200000,1707600000,36500000,11300000,-2800000,13300000,58300000,-13300000,-121900000,-14500000,-5e+05,321800000,258200000,258200000,99999.9999999991,258300000,7.1e+07,539600000,86400000,0.27699,0.15992,0.09778,0.04795,0.02138,2.36712,3.74512,1.2433,0.316,0.3621,0.3621,3.70337,7.55159,0.85714,0.14385,0.03424,0.058,0.39726,3.30845,3.93467
"3","2011_Q2",16.2177777777778,"Up",420400000,-2.74e+08,146400000,-45400000,-43700000,-1700000,1.01e+08,-6500000,-7900000,1400000,94500000,91200000,-30900000,60300000,60300000,60300000,60300000,171386078.686828,90129285.7553636,321232397.091203,321232397.091203,307872309.675749,20848885.5095656,2468235.78402109,12499275.920731,821339670.963345,508761112.392876,102938235.669046,349245662.098434,193605648.852027,90999426.0520164,64640587.1943904,960945010.160356,1782284681.1237,168245374.669256,10065719.2092128,158179655.460043,2548557.81879969,181700432.547282,586707689.549378,213962572.331032,141569673.3191,129865838.647993,43956819.46561,28436079.5463225,800670261.88041,982370694.427692,1400151826.83719,-478419373.264054,-121818466.87713,799913986.696009,799913986.696009,1782284681.1237,60300000,11600000,10400000,-61100000,21200000,-13300000,-129200000,-72400000,-5e+05,-7.3e+07,-1.81e+08,-1.81e+08,2700000,-178300000,112600000,0,69100000,0.34824,0.24025,0.14343,0.09451596136557,0.0425694325641288,1.14594,4.24138296353345,1.22141446270744,0.331545366969064,0.59821,0.59821,4.17063,7.14345270170126,0.68552,0.71825,0.0572714636273609,-0.0294293975801979,1.20066,3.33157752503727,3.7426117078958
"4","2011_Q3",13.74015625,"Down",537500000,-340500000,1.97e+08,-53700000,-51100000,-2600000,143300000,-5900000,-6800000,9e+05,137400000,137400000,-48400000,8.9e+07,8.9e+07,8.9e+07,8.9e+07,151800000,72200000,3.58e+08,3.58e+08,308800000,11100000,4800000,1800000.00000001,829700000,498100000,106400000,352500000,177800000,93200000,81500000,9.57e+08,1786700000,218700000,1.8e+07,200700000,2300000,2.26e+08,509400000,203600000,132300000,121400000,43200000,28100000,7.13e+08,9.39e+08,1400200000,-4.27e+08,-125500000,847700000,847700000,1786700000,8.9e+07,12200000,2.3e+07,-65200000,5.9e+07,-11300000,-29900000,-17400000,-65700000,-83100000,-53999999.9999999,-53999999.9999999,-2e+05,-54200000,155500000,511700000,127400000,0.36651,0.2666,0.16558,0.10499,0.04981,1.43146,3.67124,1.1077,0.28639,0.7679,0.7679,4.63762,7.31406,1.09922,0.15013,0.06807,0.08151,0.19551,2.31447,2.51151
"5","2011_Q4",11.0680952380952,"Down",5.48e+08,-337100000,210900000,-52400000,-49900000,-2500000,158500000,-8900000,-7e+06,-1900000,149600000,149700000,-63800000,85900000,85900000,85900000,85900000,156600000,112100000,333400000,333400000,336700000,13700000,7400000,1500000,840400000,478800000,94800000,362700000,154500000,94100000,114100000,936300000,1776700000,287800000,24200000,263600000,2200000,294800000,400700000,192200000,125600000,1.15e+08,39600000,2.7e+07,592900000,887700000,1400200000,-358500000,-152700000,8.89e+08,8.89e+08,1776700000,85900000,12100000,22600000,42600000,163200000,-14100000,-14400000,-17400000,-89700000,-107200000,41600000,41600000,-1700000,39900000,170600000,402900000,262900000,0.38485,0.28923,0.15675,0.09663,0.04835,3.06054,2.85075,0.99854,0.22677,0.74116,0.74116,4.72821,7.67041,2.26833,0.15013,0.0696,0.17714,0.20256,1.44373,1.55394
"6","2012_Q1",13.4079032258065,"Up",437400000,-243300000,194100000,-52400000,-50300000,-2100000,141700000,-1400000,-4e+06,2600000,140300000,138800000,-5.3e+07,85800000,85800000,85800000,85800000,103400000,82500000,270300000,270300000,444200000,47100000,5700000,31500000,8.65e+08,485500000,98400000,3.75e+08,1.33e+08,89200000,152800000,958900000,1823900000,3.11e+08,25200000,285800000,2200000,3.28e+08,362900000,208700000,140300000,127600000,4.1e+07,27400000,571600000,899600000,1400200000,-290100000,-185800000,924300000,924300000,1823900000,85800000,11600000,2e+07,-65200000,52200000,-29900000,-44600000,-17400000,-18900000,-36300000,-28700000,-28700000,-9e+05,-29600000,153300000,365100000,111200000,0.44376,0.32396,0.19616,0.09283,0.04704,1.29604,2.6372,0.97328,0.20018,0.74029,0.74029,3.77394,7.97498,0.95945,0.15013,0.06889,0.07423,0.2028,1.70711,1.84686
"7","2012_Q2",11.3485714285714,"Down",561300000,-299800000,261500000,-52200000,-48800000,-3400000,209300000,-3900000,-4e+06,1e+05,205400000,205400000,-68500000,136900000,136900000,136900000,136900000,47900000,47900000,432300000,432300000,5.85e+08,18300000,6700000,1800000,1083500000,497100000,88100000,393400000,115200000,1.08e+08,170200000,978600000,2062100000,307900000,39300000,268600000,2e+06,316200000,479500000,211500000,141700000,128600000,41300000,28500000,6.91e+08,1007200000,1400200000,-170600000,-174700000,1054900000,1054900000,2062100000,136900000,11900000,5600000,-259100000,-104700000,-23300000,-19800000,-17400000,1.07e+08,89600000,-34900000,-34900000,3e+05,-34600000,221200000,481500000,7300000,0.46588,0.37288,0.2439,0.12978,0.06639,0.05332,3.42663,0.95478,0.2335,1.18119,1.18119,4.84297,9.10181,0.06299,0.15013,0.08828,0.00418,0.1271,1.96022,2.07167
"8","2012_Q3",9.67507936507936,"Down",545300000,-3.82e+08,163300000,-53100000,-47100000,-6e+06,110200000,-4300000,-4700000,4e+05,105900000,98700000,-34200000,64500000,64500000,64500000,64500000,91600000,91600000,437900000,437900000,641300000,17900000,6100000,2e+06,1188700000,466900000,69600000,390600000,106300000,108600000,175700000,927100000,2115800000,364400000,2.5e+07,339400000,21700000,3.92e+08,475300000,194500000,131900000,1.19e+08,34800000,27800000,669800000,1061800000,1400300000,-123500000,-222800000,1.054e+09,1.054e+09,2115800000,64500000,1.2e+07,6100000,-44900000,37700000,-8600000,-11800000,-17400000,41300000,19400000,45300000,45300000,-1600000,43700000,122200000,4.97e+08,102900000,0.29947,0.20209,0.11828,0.0612,0.03048,1.59535,3.0324,1.0074,0.2349,0.55651,0.55651,4.70492,9.09405,0.88783,0.15013,0.04692,0.05895,0.26977,3.31751,3.67877
"9","2012_Q4",9.02629032258065,"Down",472900000,-386900000,8.6e+07,-46500000,-43300000,-3200000,39500000,-5700000,-4700000,-1e+06,33800000,33800000,1400000,35200000,35200000,35200000,35200000,110900000,110900000,316300000,316300000,604200000,23200000,11500000,1900000,1054600000,491400000,75600000,414600000,104400000,119300000,190900000,981600000,2036200000,277800000,20900000,256900000,21500000,305500000,416100000,1.99e+08,1.36e+08,122400000,3.4e+07,2.9e+07,615100000,920600000,1400300000,-105700000,-1.79e+08,1115600000,1115600000,2036200000,35200000,11500000,-14700000,92500000,124500000,-13600000,-25900000,-17400000,-61800000,-81800000,16800000,16800000,2500000,19300000,5.1e+07,437600000,128500000,0.18186,0.08353,0.07443,0.03155,0.01729,3.65057,3.45205,0.82521,0.21491,0.30371,0.30371,4.08024,9.62554,1.10871,0.15013,0.03002,0.07334,0.49432,6.40588,8.27089
"10","2013_Q1",10.8671666666667,"Up",396800000,-347200000,49600000,-4.7e+07,-44200000,-2800000,2600000,-4800000,-4300000,-5e+05,-2200000,-7100000,-1.1e+07,-18100000,-18100000,-18100000,-18100000,282700000,282700000,285800000,285800000,638300000,16600000,9800000,2700000,1223400000,522500000,21600000,259500000,120500000,109900000,29100000,803600000,2.027e+09,254700000,23100000,231600000,21200000,328400000,378900000,257600000,203300000,189200000,2.4e+07,30300000,636500000,964900000,1400300000,-141100000,-197100000,1062100000,1062100000,2.027e+09,-18100000,12400000,7e+06,18100000,19400000,-29300000,207200000,-17300000,-37900000,-55300000,171300000,171300000,4e+05,171700000,1.5e+07,400100000,14800000,0.125,0.00655,-0.04561,-0.01704,-0.00893,-0.817680000000001,3.72533,0.90848,0.19739,-0.15617,-0.15617,3.42364,9.16393,0.1277,0.14927,-0.000470000000000002,0.00860999999999999,-0.9558,7.82667,45.15385
"11","2013_Q2",9.663125,"Down",463600000,-459700000,3900000,-52600000,-49400000,-3200000,-48700000,-4300000,-6100000,1800000,-5.3e+07,-59600000,18500000,-41100000,-41100000,-41100000,-41100000,102200000,102200000,3.87e+08,3.87e+08,531300000,1.5e+07,9e+06,1900000,1035500000,503200000,27700000,293900000,168700000,100100000,25100000,824800000,1860300000,298100000,31500000,266600000,21100000,329800000,278600000,269400000,195500000,181500000,42500000,31400000,5.48e+08,877800000,1400300000,-199600000,-218200000,982500000,982500000,1860300000,-41100000,12600000,-12500000,1700000,-39300000,-1.9e+07,-18300000,-17400000,-103500000,-120900000,-178500000,-178500000,-2e+06,-180500000,-36100000,299700000,-71900000,0.00841,-0.10505,-0.08865,-0.04183,-0.02209,1.74939,3.13978,0.89344,0.1611,-0.35462,-0.35462,4,8.47714,-0.62036,0.15013,-0.01527,-0.04634,-0.42336,-5.47091,-4.05544
