"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.668253968254,"Down",133816000,-84042000,49774000,-34807000,-21719000,-11324000,-1764000,14967000,-1732000,-1732000,13235000,13235000,-4203000,9032000,9032000,9032000,9032000,489833715.008243,489833715.008243,878145158.387689,878145158.387689,-301356031.021992,26585135.249659,-2499964.90468993,1093207977.6236,13332788.9343216,65781260.1768086,-49770347.1278687,137353999.998862,-21804375.3411132,79114049.1111302,1172322026.73473,706479123.453768,966464171.860275,-225184144.95715,403821488.289256,-88018494.6339889,-88018494.6339889,618464294.185807,-54209509.3903223,19994701.1044102,-74204210.4947326,145786810.083846,764251104.269653,364609456.924062,-115593787.652755,159055253.193769,408070922.465076,408070922.465076,1172322026.73473,9032000,4666000,1790000,-2467000,13021000,468000,468000,2487476.64298586,1110000,1110000,6000,1116000,14605000,14605000,14605000,19633000,0,21837000,0.37196,0.11185,0.0675,-0.648793515281171,-0.448824570125694,2.41774,-8.76094422283475,1.28149063607921,0.174301400913882,0.32003,0.2652,4.74155,27.3251586262881,0.77376,-0.0910659684902246,-0.288088965897103,1.12138292858557,-0.152935159355137,58.2889618065135,67.3733218139845
"2","2010_Q3",16.0575,"Down",171132000,-107631000,63501000,-36105000,-22909000,-11431000,-1765000,27396000,-1788000,-1788000,25608000,25608000,-9275000,16333000,16333000,16333000,16333000,560588857.504121,560588857.504121,492540579.193844,492540579.193844,-96846015.510996,26179567.6248295,4756517.54765504,982462988.811799,25422894.4671608,134252630.088404,2661826.43606565,137353999.999431,-5764187.67055661,159675524.555565,1142138513.36736,425849561.726884,501867085.930137,-102825072.478575,216832244.144628,-36655247.3169945,-36655247.3169945,389196147.092903,-20084754.6951612,13646850.5522051,-33731605.2473663,179913405.041923,569109552.134827,355509728.462031,-36043393.8263774,253562626.596884,573028961.232538,573028961.232538,1142138513.36736,16333000,4683000,2715000,-8789000.00000001,14942000,-1583000,-1583000,0,642000,642000,99000,741000,14100000,14100000,14100000,32079000,0,30982000,0.37106,0.16009,0.09544,-0.282201757640586,-0.195872285062847,1.8969,-2.06274711141737,0.895390318039607,0.176435700456941,0.57816,0.47924,6.05777,25.703199313144,1.09671,0,-0.127084482948552,0.552201464292785,0,22.2251959032568,26.1473109069923
"3","2010_Q4",19.70078125,"Up",216303000,-141512000,74791000,-38765000,-25628000,-11383000,-1754000,36026000,-1665000,-1665000,34361000,34361000,-12565000,21796000,21796000,21796000,21796000,596699952.501374,596699952.501374,257504526.397948,257504526.397948,20553661.4963347,25177855.8749432,8148172.51588501,899935996.2706,31740964.8223869,173927543.362801,33526275.4786886,137353999.99981,3046937.4431478,205668508.185188,1105604504.45579,244743520.575628,220664695.310046,-31659024.1595249,106370081.381543,-4420749.10566482,-4420749.10566482,240323382.364301,441081.76827961,9942950.18406837,-9501868.41578876,200440468.347308,440763850.711609,351196576.15401,-1489464.60879247,315133542.198961,664840653.744179,664840653.744179,1105604504.45579,21796000,4714000,7584000,20451000,54545000,-1162000,-1162000,0,718000,718000,21000,739000,54122000,54122000,54122000,40740000,0,72594000,0.34577,0.16655,0.10077,-0.0732972525468619,-0.051514095020949,3.33061,2.54201096286088,0.652326772679869,0.18118856681898,0.77045,0.63948,7.64592,24.9411031043814,2.56607,0,-0.0315381609828505,0.221933821430928,0,0.975438634418918,1.63996030233075
"4","2011_Q1",18.4962903225806,"Down",256954000,-174422000,82532000,-43692000,-29627000,-12054000,-2011000,38840000,-1493000,-1493000,37347000,24098000,-10629000,13469000,13469000,13469000,13469000,607594000,607594000,135840000,135840000,73562000,23823000,8876000,840819000,33727000,192016000,48091000,137354000,6571000,225743000,1066562000,141439000,77844000,1531000,53398000,12780000,12780000,154219000,10711000,8193000,2518000,210711000,364930000,350368000,-185000,351449000,701632000,701632000,1066562000,13469000,5004000,11780000,11759000,42012000,-3200000,-3200000,0,507000,507000,-1999.99999999997,505000,39317000,39317000,39317000,43844000,2e+08,63032000,0.32119,0.15116,0.05242,0.0192,0.01263,4.67978,5.45211,0.52012,0.18752,0.47563,0.39529,9.07388,24.77689,2.22586,0,0.01476,0.06909,0,-9.29646,-10.49418
"5","2011_Q2",18.6125396825397,"Up",178160000,-113926000,64234000,-36653000,-24015000,-10751000,-1887000,27581000,-1369000,-1369000,26212000,38712000,-13056000,25656000,25656000,25656000,25656000,602698000,602698000,90350000,90350000,84898000,22358000,8141000,800304000,32821000,195728000,51624000,137354000,6750000,228549000,1028853000,94214000,28392000,9962000,38879000,19042000,19042000,113256000,14068000,7707000,6361000,214068000,327324000,351722000,-20383000,370190000,701529000,701529000,1028853000,25656000,4825000,2817000,-14001000,19297000,-2e+06,-4400000,-3530725.77709143,-19253000,899000,-540000,-19793000,-4896000,-4896000,-4896000,32406000,2e+08,29461000,0.36054,0.15481,0.14401,0.03657,0.02494,1.14831,7.06633,0.46659,0.19439,0.91241,0.75971,6.33593,24.94858,1.04773,0.128921050164284,0.02802,0.03218,0.21554256596845,-12.42665,-14.60056
"6","2011_Q3",18.79390625,"Up",162811000,-101901000,60910000,-35646000,-23175000,-10467000,-2004000,25264000,-1464000,-1464000,23800000,23800000,-7704000,16096000,16096000,16096000,16096000,593338000,593338000,80864000,80864000,79947000,21199000,7356000,775348000,30491000,192724000,49670000,137354000,5700000,223215000,998563000,78926000,23391000,8230000,41784000,18889000,18889000,97815000,14500000,8193000,6307000,214500000,312315000,353650000,-46989000,379587000,686248000,686248000,998563000,16096000,5686000,2232000,929000.000000004,24943000,-1400000,-1550000,-6915000,-25952000,7e+05,114000,-32753000,-9360000,-9360000,-9360000,30950000,2e+08,38183000,0.37411,0.15517,0.09886,0.02346,0.01612,2.3722,7.92668,0.45511,0.20029,0.59157,0.48724,5.98372,25.22136,1.40332,0.25414,0.02555,0.04239,0.42961,-12.70882,-15.56911
"7","2011_Q4",21.482380952381,"Up",131081000,-74110000,56971000,-35053000,-22552000,-10328000,-2173000,21918000,-1578000,-1578000,20340000,20340000,-6085000,14255000,14255000,14255000,14255000,588941000,588941000,70185000,70185000,81428000,20589000,7722000,761143000,28177000,190214000,47497000,137354000,5363000,218391000,979534000,73853000,17828000,9552000,43076000,16416000,16416000,90269000,15350000,8961000,6389000,215350000,305619000,354850000,-68256000,387321000,673915000,673915000,979534000,14255000,5905000,3021000,1510000,24691000,-1418000,-1718000,-6699000,-20704000,563000,33000,-27370000,-4397000,-4397000,-4397000,27823000,2e+08,3.4e+07,0.43462,0.16721,0.10875,0.02115,0.01455,2.38513,8.43194,0.4535,0.20418,0.53586,0.43996,4.92749,25.33325,1.2781,0.25182,0.02356,0.03823,0.46994,-13.97912,-17.74528
"8","2012_Q1",22.123064516129,"Up",140327000,-81396000,58931000,-38396000,-24399000,-11970000,-2027000,20535000,-1583000,-1583000,18952000,18952000,-7064000,11888000,11888000,11888000,11888000,558804000,558804000,70801000,70801000,74661000,18799000,7270000,723065000,26638000,187806000,45470000,137354000,4982000,214444000,937509000,85046000,23501000,7631000,49858000,11011000,11011000,96057000,12272000,5912000,6360000,212272000,308329000,357874000,-121803000,393109000,629180000,629180000,937509000,11888000,5928000,3556000,7057000,28429000,-2370000,-2370000,-6521000,-49730000,1816000,55000,-56196000,-30137000,-30137000,-30137000,26463000,2e+08,38214000,0.41995,0.14634,0.08472,0.01889,0.01268,3.2145,7.52746,0.49005,0.21333,0.46733,0.37999,5.51643,24.73386,1.50224,0.25635,0.02188,0.04541,0.54854,-13.5587,-17.4728
"9","2012_Q2",21.1971428571429,"Down",113361000,-62081000,51280000,-35521000,-24118000,-9684000,-1719000,15759000,-1650000,-1650000,14109000,14109000,-1508000,12601000,12601000,12601000,12601000,474322000,474322000,74472000,74472000,74700000,18230000,6863000,641724000,25661000,185988000,43751000,137354000,4883000,211649000,853373000,75759000,18631000,9133000,43573000,8937000,8937000,84696000,11915000,5580000,6335000,211915000,296611000,360109000,-202955000,399608000,556762000,556762000,853373000,12601000,4139000,1254000,-18766000,-772000,-1443000,-1443000,-6100000,-76123000,2528000,-44000,-82267000,-84482000,-84482000,-84482000,19898000,2e+08,1197000,0.45236,0.13902,0.11116,0.02263,0.01477,0.09499,7.57679,0.53274,0.23436,0.54182,0.43233,4.87427,23.93955,0.05147,0.26229,0.02433,0.00156,0.48409,-13.78641,-17.40732
"10","2012_Q3",20.0046031746032,"Down",99141000,-57725000,41416000,-30762000,-19626000,-9444000,-1692000,10654000,-1749000,-1749000,8905000,8905000,-3084000,5821000,5821000,5821000,5821000,400216000,400216000,60902000,60902000,75207000,20639000,8747000,556964000,24515000,183921000,42059000,137354000,4508000,208436000,765400000,6.2e+07,18668000,6905000,36427000,8048000,8048000,70048000,11238000,4932000,6306000,211238000,281286000,361584000,-277547000,400077000,484114000,484114000,765400000,5821000,4053000,934000,1164000,11972000,-1217000,-1217000,-6102000,-78479000,615000,-280000,-84861000,-74106000,-74106000,-74106000,14707000,2e+08,17738000,0.41775,0.10746,0.05871,0.01202,0.00761,3.04724,7.95118,0.58103,0.2613,0.28979,0.2234,4.93558,24.10086,0.88306,0.30378,0.01715,0.02551,1.04827,-13.61365,-18.79257
