"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",2.76825396825397,"Down",7890000,-6072000,1818000,-5578000,-2570000,-3008000,-3760000,68000,1000,67000,-3692000,-3692000,-2965000,-2965000,-2965000,-2965000,-2965000,578000,353000,-2460000,-4494000,-208000,-2527000,-34000,16350000,16350000,16316000,9295000,9295000,9295000,-3182000,0,0.23042,-0.47655,-0.37579,-0.11917,-0.11917,0.31711
"2","2010_Q3",2.79640625,"Up",9304000,-7486000,1818000,-5797000,-2607000,-3190000,-3979000,7000.00000000001,3000,4000,-3972000,-3972000,-3974000,-3974000,-3974000,-3974000,-3974000,552000,396000,-10000,-3036000,-184000,865000,-23000,-50000,-50000,-73000.0000000037,-2244000,-2244000,-2244000,-3427000,0,0.1954,-0.42767,-0.42713,-0.15972,-0.15972,0.37394
"3","2010_Q4",2.80109375,"Up",10565000,-7545000,3020000,-7944000,-2986000,-4958000,-4924000,-3000,-3000,0,-4927000,-4927000,-4939000,-4939000,-4939000,-4939000,-4939000,561000,384000,-1124000,-5118000,-326000,1466000,1417000,-36000,-36000,1381000,-2271000,-2271000,-2271000,-4363000,0,0.28585,-0.46607,-0.46749,-0.1985,-0.1985,0.42462
"4","2011_Q2",2.28634920634921,"Down",1.2e+07,-8196000,3804000,-6601000,-2917000,-3684000,-2797000,-25000,-25000,-43337.7484784418,-2822000,-2822000,-2822000,-2822000,-2822000,-2822000,-2822000,581000,353000,-1407000,-3295000,-110000,715000,-263000,-6000,-6000,-269000,-2849000,-2849000,-2849000,-2216000,1643000,0.317,-0.23308,-0.23517,-0.11342,-0.11342,0.4823
"5","2011_Q3",1.646875,"Down",16001000,-11064000,4937000,-6338000,-2583000,-3755000,-1401000,-109000,-50000,-59000,-1510000,-1510000,-1511000,-1511000,-1511000,-1511000,-1511000,602000,465000,-1964000,-2408000,-134000,307000,2430000,0,0,2430000,329000,329000,329000,-799000,4082000,0.30854,-0.08756,-0.09443,-0.06047,-0.06047,0.64035
"6","2011_Q4",2.15238095238095,"Up",16347000,-10819000,5528000,-6494000,-2511000,-3983000,-966000,-71000,-72000,1000,-1037000,-1037000,-1039000,-1039000,-1039000,-1039000,-1039000,534000,464000,-794000,-835000,-326000,-328000,-420000,-5000,-5000,-425000,-1588000,-1588000,-1588000,-432000,3670000,0.33817,-0.05909,-0.06356,-0.04151,-0.04151,0.65312
"7","2012_Q1",3.41661290322581,"Up",16381000,-10389000,5992000,-6196000,-2694000,-3502000,-204000,-79000,-81000,1999.99999999999,-283000,-283000,-227000,-227000,-227000,-227000,-227000,525000,432000,-1616000,-886000,-174000,-174000,-537000,2030000,2030000,1493000,433000,433000,433000,321000,3262000,0.36579,-0.01245,-0.01386,-0.00892,-0.00892,0.64376
"8","2012_Q2",2.57730158730159,"Down",13967000,-8531000,5436000,-6451000,-2609000,-3842000,-1015000,-66000,-71000,5000,-1081000,-1081000,-1081000,-1081000,-1081000,-1081000,-1081000,535000,523000,231000,208000,-317000,-317000,-607000,4055000,4055000,3448000,3339000,3339000,3339000,-480000,2845000,0.3892,-0.07267,-0.0774,-0.04044,-0.04044,0.52254
"9","2012_Q3",1.65412698412698,"Down",10552000,-7814000,2738000,-6641000,-2871000,-3770000,-3903000,-76000,-79000,3000,-3979000,-3979000,-3980000,-3980000,-3980000,-3980000,-3980000,535000,482000,86000,-2877000,-772000,-772000,882000,192000,192000,1074000,-2575000,-2575000,-2575000,-3368000,3733000,0.25948,-0.36988,-0.37718,-0.14158,-0.14158,0.37537
"10","2012_Q4",0.97,"Down",6391000,-6003000,388000,-5112000,-2497000,-2615000,-4724000,-94000,-98000,4000,-4818000,-4818000,-4822000,-4822000,-4822000,-4822000,-4822000,471000,515000,855000,-2981000,-559000,-559000,2695000,-12999.9999999995,-12999.9999999995,2682000,-858000.000000001,-858000.000000001,-858000.000000001,-4253000,3632000,0.06071,-0.73916,-0.7545,-0.171,-0.171,0.22664
"11","2013_Q1",0.725,"Down",5963000,-5126000,837000,-4716000,-2098000,-2618000,-3879000,-180000,-90000,-90000,-4059000,-4115000,-4098000,-4098000,-4098000,-4098000,-4098000,446000,509000,1834000,-1309000,-7000,-7000,-2943000,1573000,1573000,-1370000,-2686000,-2686000,-2686000,-3433000,3493000,0.14037,-0.65051,-0.68724,-0.14443,-0.14443,0.21016
"12","2013_Q2",0.69953125,"Down",5964000,-5398000,566000,-3196000,-1755000,-1441000,-2630000,-137000,-130000,-7000,-2767000,-3169000,-3170000,-3170000,-3170000,-3170000,-3170000,418000,436000,2258000,-58000,-27000,388000,-417000.000000001,17000,17000,-4e+05,-70000,-70000,-70000,-2212000,3320000,0.0949,-0.44098,-0.53152,-0.10495,-0.10495,0.19745
"13","2013_Q3",0.893125,"Up",5065000,-4818000,247000,-2641000,-1571000,-1070000,-2394000,-81000,-88000,7000,-2475000,-2862000,-2863000,-2863000,-2863000,-2863000,-2863000,395000,368000,1628000,-472000,-23000,-23000,-413000,40000,40000,-373000,-868000,-868000,-868000,-1999000,2911000,0.04877,-0.47266,-0.56525,-0.09443,-0.09443,0.16705
"14","2013_Q4",0.750625,"Down",4289000,-3896000,393000,-2673000,-1554000,-1119000,-2280000,-332000,-324000,-8000,-2612000,-3134000,-3141000,-3141000,-3141000,-3141000,-3141000,353000,-4e+05,138000,-3050000,0,-5.82076609134674e-11,2289000,973000,973000,3262000,212000,212000,212000,-1927000,4872000,0.09163,-0.53159,-0.73234,-0.10045,-0.10045,0.13717
"15","2014_Q1",1.6544262295082,"Up",7730000,-5831000,1899000,-2325000,-1387000,-938000,-426000,-362000,-390000,28000,-788000,-1592000,-1592000,-1592000,-1592000,-1592000,-1592000,310000,693000,148000,-441000,-35000,-35000,-5000,153000,153000,148000,-328000,-328000,-328000,-116000,5099000,0.24567,-0.05511,-0.20595,-0.05017,-0.05017,0.24361
"16","2014_Q2",1.43238095238095,"Down",7001000,-5016000,1985000,-2500000,-1622000,-878000,-515000,-406000,-395000,-11000,-921000,-2018000,-2018000,-2018000,-2018000,-2018000,-2018000,282000,740000,1303000,307000,-36000,-36000,-64999.9999999995,11067000,11067000,11002000,11273000,11273000,11273000,-233000,5354000,0.28353,-0.07356,-0.28824,-0.05472,-0.05472,0.18983
"17","2014_Q3",1.17546875,"Down",4887000,-3908000,979000,-3013000,-1781000,-1232000,-2034000,-387000,-393000,6000,-2421000,-3491000,-3493000,-3493000,-3493000,-3493000,-3493000,253000,837000,697000,-1706000,-40000,-40000,-44000,0,0,-44000,-1790000,-1790000,-1790000,-1781000,5554000,0.20033,-0.41621,-0.71475,-0.08423,-0.08423,0.11784
