"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",6.97590163934426,"Down",-7.582e+09,6.692e+09,-8.9e+08,1.258e+09,8.45e+08,1e+07,4.03e+08,3.68e+08,3.3e+07,3.3e+07,0,4.01e+08,1.74e+08,5.75e+08,9.89e+08,1.564e+09,1.385e+09,1.385e+09,1.385e+09,9.842e+09,9.842e+09,8.538e+09,8.538e+09,2.198e+09,9.386e+09,9.386e+09,2.9964e+10,9.886e+09,4.0066e+10,1.93e+09,2.7261e+10,1.0875e+10,4.9952e+10,7.9916e+10,6.304e+09,5.828e+09,4.76e+08,6.91e+08,1.4998e+10,5.154e+09,9.844e+09,2.1993e+10,1.5103e+10,4.7452e+10,4.7452e+10,6.2555e+10,8.4548e+10,0,0,-5.015e+09,-5.015e+09,3.83e+08,-4.632e+09,7.9916e+10,1.385e+09,9.88e+08,-7.11e+08,2.12e+08,-1.646e+09,7.23e+08,-1.82e+09,-5.82e+08,4e+07,8.61e+08,-2.139e+09,-1.58e+08,-6.25e+08,1.13e+08,1.13e+08,-7.38e+08,-7.38e+08,-1.4e+07,5.6e+07,-7e+07,6e+07,0,-5.79e+08,1e+07,-1.02e+08,7.897e+09,7.805e+09,7.068e+09,7.068e+09,7.068e+09,1.356e+09,1.5794e+10,-2.078e+09,0.11738,-0.04854,-0.18267,-0.29901,0.01733,-1.50036,1.36243,-18.25302,0.19763,0.76774,0.75518,-4.20288,-2.77993,-1.15188,-0.00554,0.02346,-0.03545,-0.00722,4.38938,16.17391
"2","2016_Q2",8.5028125,"Up",1.2724e+10,-9.112e+09,3.612e+09,-2.801e+09,-1.998e+09,-5.85e+08,-2.18e+08,8.11e+08,-8e+07,-8e+07,0,7.31e+08,-4.12e+08,3.19e+08,-51999999.9999999,2.67e+08,2.67e+08,2.67e+08,2.67e+08,8.505e+09,8.505e+09,7.898e+09,7.898e+09,2.345e+09,9.008e+09,9.008e+09,2.7756e+10,9.7e+09,3.9896e+10,1.708e+09,2.7458e+10,1.073e+10,4.9596e+10,7.7352e+10,5.305e+09,4.908e+09,3.97e+08,9.1e+08,1.4136e+10,5.154e+09,8.982e+09,2.0351e+10,1.5229e+10,1.0138e+10,1.0138e+10,2.5367e+10,4.5718e+10,3.6255e+10,8.6e+07,-5.092e+09,3.1249e+10,3.85e+08,3.1634e+10,7.7352e+10,2.67e+08,9.89e+08,8.02e+08,1.65e+08,2.45e+08,3.92e+08,-2.133e+09,6.12e+08,-1.82e+08,-7.88e+08,-1.775e+09,-7.5e+07,-7.56e+08,7.6e+07,7.6e+07,-8.32e+08,-8.32e+08,-1e+06,1.43e+08,-1.44e+08,65000000.0000001,-1372632.08691256,-6.92e+08,-9.6e+07,1.93e+08,5.26e+08,-5.7e+08,-1.337e+09,-1.337e+09,-1.337e+09,1.8e+09,1.6139e+10,-1.037e+09,0.28387,0.06374,0.02098,0.00843999999999995,0.00345,-3.8839,1.36386,1.44521999999999,0.20864,0.15162,0.15017,7.22544,17.74503,-0.58887,0.05451,0.00627,-0.01791,0.35955,4.24111,9.41307
"3","2016_Q3",10.33609375,"Up",4.317e+09,-1.756e+09,2.561e+09,-1.946e+09,-1.326e+09,-6.18e+08,-2e+06,6.15e+08,-4.6e+07,-4.6e+07,0,5.69e+08,-1.45e+08,4.24e+08,-7e+06,4.17e+08,3.2e+08,3.2e+08,3.2e+08,9.01e+09,9.01e+09,7.707e+09,7.707e+09,2.099e+09,1.2331e+10,8.254e+09,3.1147e+10,9.674e+09,3.7243e+10,1.436e+09,2.4244e+10,1.1563e+10,4.6917e+10,7.8064e+10,5.751e+09,5.289e+09,4.62e+08,9.65e+08,1.3881e+10,4.817e+09,9.064e+09,2.0597e+10,1.5247e+10,1.0196e+10,1.0196e+10,2.5443e+10,4.604e+10,3.65e+10,3.01e+08,-5.167e+09,3.1634e+10,3.9e+08,3.2024e+10,7.8064e+10,3.2e+08,9.6e+08,1.26e+08,1.38e+08,-2.76e+08,2.64e+08,-2.99e+08,-2.46e+08,-4e+06,3.76e+08,-4.25e+08,1.107e+09,-5.96e+08,1.24e+08,1.24e+08,-7.2e+08,-7.2e+08,-7e+07,1.27e+08,-1.97e+08,2.37e+08,0,-4.29e+08,-9.4e+07,-1.3e+07,-2.8e+07,-1.36e+08,5.42e+08,5.42e+08,5.42e+08,1.575e+09,1.6212e+10,6.87e+08,0.59324,0.14246,0.07413,0.00999,0.0041,2.14688,1.51221,1.43767,0.20768,0.18551,0.18265,2.50261,18.33855,0.39826,0.05449,0.00709,0.01176,0.29375,4.5727,11.71057
"4","2016_Q4",11.2146031746032,"Up",8.005e+09,-5.089e+09,2.916e+09,-2.237e+09,-1.575e+09,-5.51e+08,-1.11e+08,6.79e+08,-1.41e+08,-6.9e+07,-7.2e+07,5.38e+08,2.026e+09,2.564e+09,-1.07e+08,2.457e+09,2.272e+09,2.272e+09,2.272e+09,1.0743e+10,1.0743e+10,6.951e+09,6.951e+09,1.848e+09,8.928e+09,8.022e+09,2.847e+10,9.579e+09,3.8097e+10,1.211e+09,2.4171e+10,1.2715e+10,5.0351e+10,7.8821e+10,5.396e+09,5.03e+09,3.66e+08,9.11e+08,1.3177e+10,4.749e+09,8.428e+09,1.9484e+10,1.5354e+10,1.1157e+10,1.1157e+10,2.6511e+10,4.5995e+10,3.5117e+10,2.486e+09,-5.177e+09,3.2426e+10,4e+08,3.2826e+10,7.8821e+10,2.272e+09,9.54e+08,-2.493e+09,1.29e+08,-9.81e+08,-1.641e+09,9.81e+08,6.22e+08,1.89e+08,-2.71e+08,4.41e+08,1.714e+09,-7.43e+08,1.17e+08,1.17e+08,-8.6e+08,-8.6e+08,3e+07,2.29e+08,-1.99e+08,2.464e+09,0,1.751e+09,-9.1e+07,-1.7e+07,5e+06,-1.492e+09,1.973e+09,1.973e+09,1.973e+09,1.633e+09,1.6265e+10,1.978e+09,0.36427,0.08482,0.28382,0.06921,0.02882,0.870599999999999,1.4612,1.40118,0.20635,1.35158,1.32478,4.76205,19.28971,1.17668,0.05413,0.03922,0.03283,0.04005,3.38151,8.13255
"5","2017_Q1",11.3148387096774,"Up",5.234e+09,-4.55e+09,6.84e+08,-3.82e+08,-4.81e+08,4e+07,5.9e+07,3.02e+08,-9.3e+07,-8.9e+07,-4e+06,2.09e+08,3.44e+08,5.53e+08,-4.57e+08,9.6e+07,3.02e+08,3.02e+08,3.02e+08,1.2987e+10,1.2987e+10,3.151e+09,3.151e+09,1.72e+09,1.1059e+10,6.054e+09,2.8917e+10,6.375e+09,4.1689e+10,6.75e+08,1.609e+10,1.0476e+10,5.0712e+10,7.9629e+10,5.106e+09,4.945e+09,1.61e+08,3.525e+09,1.3898e+10,2.996e+09,1.0902e+10,2.2529e+10,1.2168e+10,1.3414e+10,8.874e+09,2.5582e+10,4.8111e+10,3.5265e+10,2.782e+09,-6.599e+09,3.1448e+10,7e+07,3.1518e+10,7.9629e+10,3.02e+08,8.72e+08,9.7e+07,1.26e+08,-3.33e+08,3.04e+08,1.039e+09,3e+06,3.1e+07,7.49e+08,2.56e+08,2.31e+09,-7.35e+08,1.33e+08,1.33e+08,-8.68e+08,-8.68e+08,-3e+07,8.6e+07,-1.16e+08,5.54e+08,1.86264514923096e-09,-2.11e+08,-9.2e+07,7e+06,-9e+06,-1.32e+08,1.967e+09,1.967e+09,1.967e+09,1.174e+09,1.5693e+10,1.935e+09,0.13068,0.0577,0.0577,0.00958,0.00379,6.40728,1.28355,1.52646,0.19708,0.17838,0.1765,3.09155,18.57531,1.14294,0.05434,0.0065,0.03192,0.30464,2.30494,8.96026
"6","2017_Q2",11.7271428571429,"Up",6.902e+09,-4.689e+09,2.213e+09,-1.626e+09,-1.204e+09,-3.56e+08,-6.6e+07,5.87e+08,-1e+08,-7.8e+07,-2.2e+07,4.87e+08,-1.52e+08,3.35e+08,-8.4e+07,2.51e+08,2.67e+08,2.67e+08,2.67e+08,9.858e+09,9.858e+09,6.482e+09,6.482e+09,1.988e+09,7.197e+09,7.197e+09,2.5525e+10,9.497e+09,3.902e+10,1.164e+09,2.4252e+10,1.3604e+10,5.1137e+10,7.6662e+10,6.073e+09,5.535e+09,5.38e+08,3.52e+09,1.2093e+10,4.712e+09,7.381e+09,2.1686e+10,1.227e+10,1.1132e+10,1.1132e+10,2.3402e+10,4.5088e+10,3.4865e+10,2.76e+09,-6.124e+09,3.1501e+10,7.3e+07,3.1574e+10,7.6662e+10,2.67e+08,8.4e+08,3.51e+08,1.45e+08,-1.25e+08,3.31e+08,-2.648e+09,4.66e+08,-1.32e+08,-2.31e+08,-2.751e+09,-1.19e+09,-8.39e+08,8.4e+07,8.4e+07,-9.23e+08,-9.23e+08,-5999999.99999999,999999.999999985,-7e+06,-3.12e+08,0,-1.157e+09,-1.09e+08,10000000.0000001,3037934834.4429,-7.82e+08,-3.129e+09,-3.129e+09,-3.129e+09,1.427e+09,1.579e+10,-1.976e+09,0.32063,0.08505,0.03868,0.00846,0.00348,-7.40075,1.17703,1.42801,0.20597,0.15998,0.15706,4.13541,18.87418,-1.18394,0.06531,0.00643,-0.03378,0.40824,4.15697,10.10562
"7","2017_Q3",11.5195238095238,"Down",6.808e+09,-4.799e+09,2.009e+09,-1.677e+09,-1.229e+09,-3.76e+08,-7.2e+07,3.32e+08,-8.9e+07,-8.6e+07,-3e+06,2.43e+08,-1.3e+08,1.13e+08,-5.91e+08,-4.78e+08,-6.12e+08,-6.12e+08,-6.12e+08,8.101e+09,8.101e+09,3.81e+09,3.81e+09,2.041e+09,6.321e+09,6.321e+09,2.0273e+10,6.692e+09,3.7885e+10,1.54e+09,2.5498e+10,1.0847e+10,4.7197e+10,6.747e+10,5.949e+09,5.194e+09,7.55e+08,2.01e+09,9.619e+09,3.829e+09,5.79e+09,1.7578e+10,1.1904e+10,8.941e+09,8.941e+09,2.0845e+10,3.8423e+10,3.4422e+10,-1.867e+09,-3.544e+09,2.9011e+10,3.6e+07,2.9047e+10,6.747e+10,-6.12e+08,7.92e+08,1.174e+09,1.07e+08,6.31e+08,4.36e+08,-6.15e+08,-1.65e+08,-7.8e+07,3.6e+08,-7.32e+08,7.39e+08,-7e+08,5.8e+07,5.8e+07,-7.58e+08,-7.58e+08,-1.8e+07,1e+06,-1.9e+07,-1.758e+09,-1.77e+08,-2.653e+09,-1.07e+08,-1.543e+09,2.449e+09,1.57e+08,-1.757e+09,-1.757e+09,-1.757e+09,1.124e+09,1.3914e+10,4e+08,0.29509,0.04877,-0.08989,-0.02107,-0.00907,-0.65359,1.15332,1.32279,0.20622,-0.36912,-0.36912,4.10615,17.49759,0.24125,0.06454,-0.00973,0.00771,-0.17484,5.17171,17.50904
"8","2017_Q4",12.0190476190476,"Up",7.501e+09,-5.306e+09,2.195e+09,-1.772e+09,-1.285e+09,-3.9e+08,-9.7e+07,4.23e+08,-8.6e+07,-8.7e+07,1e+06,3.37e+08,-2.12e+08,1.25e+08,1.6e+08,2.85e+08,1.65e+08,1.65e+08,1.65e+08,7.757e+09,7.757e+09,3.845e+09,3.845e+09,2.144e+09,9.397e+09,9.397e+09,2.3143e+10,6.73e+09,3.8432e+10,1.411e+09,2.5491e+10,1.153e+10,4.7788e+10,7.0931e+10,6.184e+09,5.717e+09,4.67e+08,2.069e+09,1.0026e+10,3.828e+09,6.198e+09,1.8279e+10,1.4527e+10,9.075e+09,9.075e+09,2.3602e+10,4.1881e+10,3.4048e+10,-1.676e+09,-3.36e+09,2.9012e+10,3.8e+07,2.905e+10,7.0931e+10,1.65e+08,7.37e+08,24999999.9999998,9.7e+07,-3.61e+08,2.89e+08,2.8e+07,-50999999.9999999,-1.31e+08,5.23e+08,-3.13e+08,9.55e+08,-4.63e+08,2.61e+08,2.61e+08,-7.24e+08,-7.24e+08,7e+06,1.2e+07,-5e+06,0,-1.58e+08,-6.14e+08,-1.07e+08,2.607e+09,-2.615e+09,-6.85e+08,-3.44e+08,-3.44e+08,-3.44e+08,1.16e+09,1.6596e+10,5.65e+08,0.29263,0.05639,0.022,0.00567999999999999,0.00233,3.42424,1.2661,1.44169,0.23397,0.10055,0.0989800000000001,4.57099,17.67946,0.3443,0.0652,0.00497,0.01033,0.64848,7.61983,20.89598
"9","2018_Q1",14.443606557377,"Up",7.66e+09,-5.383e+09,2.277e+09,-1.738e+09,-1.288e+09,-3.64e+08,-8.6e+07,5.39e+08,-7.5e+07,-7.6e+07,1e+06,4.64e+08,-7.65e+08,-3.01e+08,6.79e+08,3.78e+08,5.24e+08,5.24e+08,5.24e+08,9.579e+09,9.579e+09,3.073e+09,3.073e+09,2.315e+09,6.477e+09,6.463e+09,2.1444e+10,6.269e+09,3.1158e+10,1.042e+09,1.7516e+10,1.26e+10,3.9962e+10,6.1406e+10,6.501e+09,6.072e+09,4.29e+08,3.85e+09,8.573e+09,3.128e+09,5.445e+09,1.8924e+10,1.0182e+10,8.795e+09,8.795e+09,1.8977e+10,3.7901e+10,3.3599e+10,-7.238e+09,-2.895e+09,2.3466e+10,3.9e+07,2.3505e+10,6.1406e+10,5.24e+08,6.82e+08,-4.87e+08,7.9e+07,-1.267e+09,7.01e+08,1.12e+08,2.07e+08,-2.01e+08,3.4e+08,-2.34e+08,8.31e+08,-4.56e+08,2.76e+08,2.76e+08,-7.32e+08,-7.32e+08,1e+07,2.4e+07,-1.4e+07,-1.52e+08,1.15e+08,-4.83e+08,-1.05e+08,-2.58e+09,4.712e+09,1.474e+09,1.822e+09,1.822e+09,1.822e+09,1.221e+09,1.4032e+10,1.98e+08,0.29726,0.07037,0.06841,0.02229,0.00853,0.37786,1.13316,1.61247,0.22851,0.32426,0.31358,4.7401,14.52104,0.12252,0.06498,0.01358,0.00427,0.20038,3.64701,8.2616
"10","2018_Q2",14.163125,"Down",7.674e+09,-5.491e+09,2.183e+09,-1.668e+09,-1.202e+09,-3.88e+08,-7.8e+07,5.15e+08,1e+06,-2.1e+07,2.2e+07,5.16e+08,-1.173e+09,-6.57e+08,2.139e+09,1.482e+09,1.436e+09,1.436e+09,1.436e+09,7.673e+09,7.673e+09,3.098e+09,3.098e+09,2.431e+09,7.297e+09,7.263e+09,2.0499e+10,6.338e+09,3.2221e+10,9.65e+08,1.7516e+10,1.374e+10,4.112e+10,6.1619e+10,6.358e+09,5.948e+09,4.1e+08,3.915e+09,9.07e+09,3.135e+09,5.935e+09,1.9343e+10,1.004e+10,8.247e+09,8.247e+09,1.8287e+10,3.763e+10,3.2963e+10,-6.057e+09,-2.955e+09,2.3951e+10,3.8e+07,2.3989e+10,6.1619e+10,1.436e+09,6.35e+08,-9.37e+08,1.03e+08,-1.335e+09,2.95e+08,-9.92e+08,-3.4e+07,-1.46e+08,-1.07e+08,-7.05e+08,1.42e+08,-5.54e+08,1.15e+08,1.15e+08,-6.69e+08,-6.69e+08,-3e+06,-7.45058059692383e-09,-3e+06,-5.96046447753906e-08,-5.62e+08,-1.119e+09,-1.2e+08,1.4e+07,-9.8e+07,-9.29e+08,-1.906e+09,-1.906e+09,-1.906e+09,1.15e+09,1.3955e+10,-2.535e+09,0.28447,0.06711,0.18713,0.05986,0.0233,-1.76532,1.05976,1.56864,0.22647,0.90258,0.88697,4.82338,15.05405,-1.59334,0.07542,0.03369,-0.05488,0.08357,5.46261,12.19806
