"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","dividend_payout_ratio"
"1","2016_Q2",4.089375,"Up",62158000,-62816000,-658000,-8968000,-2937000,-6031000,175122503.805029,-9626000,7825000,7505000,320000,-1801000,75140000,73339000,73295000,73295000,73419000,-1395000,72024000,73295000,6031000,-89135000,455000,-9354000,-69942080.1840509,-69905695.9685353,-6795000,-9394000,11530000,488000,2624000,-13525000,-13525000,-13525000,-3595000,0,-0.01059,-0.15486,1.15872,1.08056,1.05476,0.93254,0.14094,0.13043
"2","2016_Q3",4.35515625,"Up",84484000,-74716000,9768000,-10207000,-3723000,-6484000,68577668.6960155,-439000,8518000,8004000,514000,8079000,-4782999.99999999,3296000,3158000,3158000,3046000,-1395000,1651000,3158000,6484000,-12643000,876000.000000002,-2125000,-28984026.728017,-28971898.6561784,3017000,-9394000,30275000,-1638000,19243000,20135000,20135000,20135000,6045000,0,0.11562,-0.00519999999999998,0.0195400000000001,0.0247599999999999,0.0239600000000002,1.26698,0.14088,5.68988
"3","2016_Q4",4.28666666666667,"Down",83162000,-75277000,7885000,-10423000,-3688000,-6735000,11059250.7610058,-2538000,19677000,19172000,505000,17139000,3318000,20457000,20495000,20495000,20318000,-1395000,18923000,20495000,6735000,-30215000,-233000,-3218000,-9147000,-9147000,-374472000,-9403000,469922000,-801000,459718000,82028000,82028000,82028000,4197000,0,0.09481,-0.03052,0.22754,0.28357,0.27394,1.24623,0.14091,0.49691
"4","2017_Q1",4.16064516129032,"Down",69076000,-47805000,21271000,-36776000,-18826000,-7246000,-10704000,-15505000,-1451000,3742000,-5193000,-16956000,-2611000,-19567000,-19612000,-19612000,-19704000,-1395000,-21099000,-19612000,7246000,9061000,27365000,24060000,-3424000,-3424000,227920000,-9400000,-234378000,-416000,-244194000,7786000,7786000,7786000,-8259000,111585000,0.30794,-0.22446,-0.30545,-0.31598,-0.30626,1.03449,0.14078,-0.44552
"5","2017_Q2",3.60825396825397,"Down",59141000,-54541000,4600000,-13280000,-7487000,-5793000,-9983333.58700194,-8680000,2331000,2454000,-123000,-6349000,-6066000,-12415000,-12954000,-12954000,-12954000,-1395000,-14349000,-12954000,5793000,-3410000,759000,-9812000,-3971000,-3971000,295769000,-9414000,-291230000,2326000,-298318000,-12361000,-12361000,-12361000,-2887000,0,0.07778,-0.14677,-0.24262,-0.21467,-0.21467,0.88479,0.14084,-0.65607
"6","2017_Q3",2.90444444444444,"Down",81360000,-68037000,13323000,-13080000,-7058000,-5972000,-50000.0000000037,243000,1557000,1264000,293000,1800000,-5996000,-4196000,-4706000,-4706000,-4706000,-1395000,-6101000,-4706000,5972000,-4434000,1494000,-1674000,-3781000,-3781000,-1982000,-1395000,-3867000.00000006,-1897000,-7159000,-10815000,-10815000,-10815000,6215000,0,0.16375,0.00298999999999999,-0.07499,-0.09123,-0.09123,1.21661,0.02086,-0.22865
"7","2017_Q4",4.74857142857143,"Up",81691000,-69104000,12587000,-14517000,-8189000,-6187000,-141000,-1930000,3850000,3648000,202000,1920000,-2391000,-471000,-469000,-469000,-469000,-1395000,-1864000,-469000,6187000,-11333000,2099000,-3516000,-9153000,-9153000,378827000,-1395000,-308721000,-156000,-310272000,65039000,65039000,65039000,4257000,112383000,0.15408,-0.02363,-0.02282,-0.02785,-0.02785,1.22048,0.02084,-0.74839
"8","2018_Q1",5.10622950819672,"Up",70402000,-62073000,8329000,-36570000,-8679000,-6352000,-21539000,-28241000,-4063000,-3785000,-278000,-32304000,8150000,-24154000,-24072000,-24072000,-24072000,-1395000,-25467000,-24072000,6352000,-6419000,26766000,2627000,-17387000,-17387000,-16048000,-1395000,-1099000.00000012,1196000,-1298000,-14719000,-14719000,-14719000,-21889000,112105000,0.11831,-0.40114,-0.36174,-0.38031,-0.38031,1.05134,0.02083,-0.05478
"9","2018_Q2",6.03140625,"Up",66660000,-61419000,5241000,-16296000,-9192000,-5548000,-1556000,-11055000,-4009000,-3603000,-406000,-15064000,-1231000,-16295000,-16295000,-16295000,-16295000,-1395000,-17690000,-16295000,5548000,-2436000,-2336000,-15519000,-15378000,-15378000,-15378000,-1395000,-1141000,756000,-1780000,-32677000,-32677000,-32677000,-5507000,112156000,0.07862,-0.16584,-0.26538,-0.26412,-0.26412,0.99527,0.02083,-0.07886
"10","2018_Q3",6.33047619047619,"Up",91004000,-73235000,17769000,-14832000,-10270000,-4315000,-247000,2937000,-7831000,-4132000,-3699000,-4894000,89000.0000000019,-4805000,-4805000,-4805000,-4805000,-1395000,-6200000,-4805000,4315000,169000,3955000,3634000,-12499000,-12499000,-12499000,-1395000,-1203000,747000,-1851000,-10716000,-10716000,-10716000,7252000,112268000,0.19526,0.03227,-0.06813,-0.09257,-0.09257,1.35873,0.02083,-0.225
"11","2018_Q4",4.9368253968254,"Down",87419000,-75510000,11909000,-14889000,-10149000,-4495000,-245000,-2980000,-6875000,-3823000,-3052000,-9855000,-4220000,-14075000,-14075000,-14075000,-14075000,-1395000,-15470000,-14075000,4495000,-1533000,881000,-10232000,-13725000,-16911000,-13732000,-1395000,-1368000,1009000,-1754000,-25718000,-25718000,-25718000,1515000,11582000,0.13623,-0.03409,-0.17696,-0.23092,-0.23092,1.30491,0.02082,-0.09017
"12","2019_Q1",4.50983606557377,"Down",69286000,-61783000,7503000,-14730000,-8949000,-5346000,-435000,-7227000,6750000,-3287000,10037000,-477000,-2747000,-3224000,-3508000,-3508000,-3508000,-1395000,-4903000,-3508000,5346000,-11337000,24414000,14915000,58131000,-17571000,67538000,-1395000,-104078000,1262000,-104211000,-21758000,-21758000,-21758000,-1881000,10489000,0.10829,-0.10431,-0.0707600000000001,-0.07315,-0.07315,1.0337,0.02081,-0.28452
