"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",14.3498360655738,"Down",12383000,-6304000,6079000,-36685000,-25840000,-10845000,-30606000,-874000,-874000,-31480000,-31480000,-1448000,-32928000,-32928000,-32928000,-32928000,269424000,119423000,150001000,13594000,10886000,10886000,293904000,6552000,6880000,6880000,13432000,307336000,28627000,16755000,11872000,28627000,23097000,4792000,4792000,27889000,56516000,640406000,-388081000,-1505000,250820000,250820000,307336000,-32928000,1148000,4473000,1186000,-26121000,-1054000,-124984000,-126038000,1717000,159541000,159541000,161258000,9099000,9099000,9099000,-29458000,23097000,-27878000,0.49091,-2.47161,-2.65913,-0.13128,-0.10714,0.84664,10.26667,0.22532,0.07515,-0.39384,-0.39384,0.14811,2.99999,-0.33344,-0.11814,-0.10003,8.36197,8.04832
"2","2016_Q2",12.5196875,"Down",13053000,-7982000,5071000,-37009000,-25564000,-11445000,-31938000,-549000,-549000,-32487000,-32487000,-2950000,-35437000,-35437000,-35437000,-35437000,235774000,115932000,119842000,16446000,11421000,11421000,263641000,7090000,8287000,8287000,15377000,279018000,29428000,18578000,10850000,29428000,23193000,5971000,5971000,29164000,58592000,645919000,-423518000,-1975000,220426000,220426000,279018000,-35437000,1103000,5545000,-2188000,-30977000,-1002000,28447000,27445000,-16000,57000.0000000298,57000.0000000298,41000,-3491000.00000001,-3491000.00000001,-3490999.99999999,-30835000,23193000,-31075000,0.38849,-2.44679,-2.71485,-0.16077,-0.12701,0.87691,8.95885,0.26581,0.08312,-0.41988,-0.41988,0.15466,2.61177,-0.3682,-0.14198,-0.1245,6.89415,6.65605
"3","2016_Q3",9.1203125,"Down",17919000,-9797000,8122000,-38947000,-27629000,-11318000,-30825000,-555000,-555000,-31380000,-37792000,-2820000,-40612000,-40612000,-40612000,-40612000,200850000,80871000,119979000,21215000,12633000,12633000,234698000,8813000,7008000,7008000,15821000,250519000,34618000,22007000,12611000,34618000,23292000,5963000,5963000,29255000,63873000,652460000,-464130000,-1684000,186646000,186646000,250519000,-40612000,1407000,9714000,97000,-29394000,-2338000,-4287000,-6625000,-2000,904000,904000,902000,-35117000,-35117000,-35061000,-29418000,23292000,-28839000,0.45326,-1.72024,-2.26642,-0.21759,-0.16211,0.71011,6.77965,0.34221,0.09297,-0.47625,-0.47625,0.21013,2.18876,-0.33819,-0.1881,-0.13358,6.03569,5.76019
"4","2016_Q4",8.0431746031746,"Down",21674000,-11118000,10556000,-38821000,-28588000,-10233000,-28265000,-2189000,-2189000,-30454000,-30454000,-3174000,-33628000,-33628000,-33628000,-33628000,235546000,115822000,119724000,23972000,11912000,11912000,271430000,9886000,9777000,9777000,19663000,291093000,29712000,15243000,14469000,29712000,95970000,7168000,7168000,103138000,132850000,658086000,-497758000,-2085000,158243000,158243000,291093000,-33628000,1553000,6633000,-8054000,-33496000,-1715000,-2699000,-4414000,72853000,0,0,72853000,34943000,34943000,34951000,-26712000,95970000,-33307000,0.48704,-1.3041,-1.55154,-0.21251,-0.11552,0.99045,9.13537,0.83953,0.32969,-0.39205,-0.39205,0.25268,1.84486,-0.38831,-0.12866,-0.12743,5.22522,4.93812
"5","2017_Q1",7.22096774193548,"Down",30242000,-10973000,19269000,-37146000,-28675000,-8471000,-17877000,-2854000,-2854000,-20731000,-20731000,-1437000,-22168000,-22168000,-22168000,-22168000,219634000,99780000,119854000,25549000,10351000,10351000,261873000,9812000,10396000,10396000,20208000,282081000,36882000,18356000,18526000,36882000,96231000,6623000,6623000,102854000,139736000,664154000,-519926000,-1883000,142345000,142345000,282081000,-22168000,1589000,6393000,461000,-13725000,-619000,-2972000,-3591000,-18000,648000,648000,1328000,-15988000,-15988000,-16042000,-16288000,96231000,-15009000,0.63716,-0.59113,-0.73302,-0.15573,-0.07859,0.67706,7.10029,0.98167,0.34115,-0.25543,-0.25543,0.34846,1.64016,-0.17294,-0.09041,-0.06121,7.57631,6.90289
"6","2017_Q2",12.9103174603175,"Up",34880000,-11664000,23216000,-36589000,-27178000,-9411000,-13373000,-2446000,-2446000,-15819000,-15819000,-2226000,-18045000,-18045000,-18045000,-18045000,189251000,84587000,104664000,25949000,16435000,16435000,243460000,10039000,11129000,11129000,21168000,264628000,31915000,14799000,17116000,31915000,96492000,7321000,7321000,103813000,135728000,669462000,-538641000,-1921000,128900000,128900000,264628000,-18045000,1660000,-73000,-10450000,-26908000,-1031000,13944000,12913000,-18000,77000.0000000002,77000.0000000002,59000.0000000149,-13936000,-13936000,-13925000,-11713000,96492000,-20968000,0.6656,-0.3834,-0.51735,-0.13999,-0.06819,1.16198,7.62839,1.05297,0.36463,-0.20634,-0.20634,0.39884,1.47393,-0.23976,-0.07754,-0.0901,7.91932,6.93629
"7","2017_Q3",19.6536507936508,"Up",38376000,-13152000,25224000,-40754000,-31383000,-9371000,-15530000,-2183000,-2183000,-17713000,-17713000,-3461000,-21174000,-21174000,-21174000,-21174000,184376000,80190000,104186000,25147000,13081000,13081000,236492000,9621000,10929000,10929000,20550000,257042000,35171000,13161000,22010000,35171000,96765000,7561000,7561000,104326000,139497000,679099000,-559815000,-1739000,117545000,117545000,257042000,-21174000,1811000,11086000,2401000,-5876000,-375000,-211000,-586000,-19000,2067000,2067000,2067000,-4395000,-4395000,-4396000,-13719000,96765000,-8232000,0.65729,-0.40468,-0.55175,-0.18014,-0.08238,0.38878,6.72406,1.18675,0.37646,-0.24002,-0.24002,0.43501,1.33242,-0.09331,-0.09543,-0.0371,6.38611,5.6414
"8","2017_Q4",19.2563492063492,"Down",50109000,-15153000,34956000,-40875000,-31602000,-9273000,-5919000,-2156000,-2156000,-8075000,-8075000,-3423000,-11498000,-11498000,-11498000,-11498000,186557000,82104000,104453000,24642000,7688000,7688000,241887000,9361000,11030000,11030000,20391000,262278000,40985000,14143000,26842000,40985000,97049000,7559000,7559000,104608000,145593000,689460000,-571313000,-1462000,116685000,116685000,262278000,-11498000,2053000,14704000,-2711000,2548000,-545000,-1208000,-1753000,-18999.9999999981,1732000,1732000,1713000,2508000,2508000,2506000,-3866000,97049000,-3699000,0.6976,-0.11812,-0.22946,-0.09854,-0.04384,0.32171,5.90184,1.24774,0.37002,-0.12901,-0.12901,0.56223,1.30922,-0.0415,-0.05196,-0.01672,23.15261,15.12215
"9","2018_Q1",21.5081967213115,"Up",53661000,-15640000,38021000,-42527000,-32479000,-10048000,-4506000,-2384000,-2384000,-6890000,-6890000,-4055000,-10945000,-10945000,-10945000,-10945000,183311000,78592000,104719000,22025000,10231000,10231000,245134000,9031000,11133000,11133000,20164000,265298000,50202000,17206000,32996000,50202000,97342000,4190000,4190000,101532000,151734000,697165000,-582258000,-1343000,113564000,113564000,265298000,-10945000,2153000,3871000,2023000,-2898000,-508000,-1438000,-1946000,-20000,1349000,1349000,1329000,-3515000,-3515000,-3515000,-2353000,97342000,3217000,0.70854,-0.08397,-0.20397,-0.09638,-0.04126,-0.29392,4.88295,1.33611,0.36692,-0.12244,-0.12244,0.60031,1.27044,0.03599,-0.05088,0.01496,36.53591,19.07878
"10","2018_Q2",27.81609375,"Up",52125000,-18238000,33887000,-46564000,-35460000,-11104000,-12677000,-4853000,-4853000,-17530000,-17530000,-3194000,-20724000,-20724000,-20724000,-20724000,216315000,111603000,104712000,20386000,12097000,12097000,282842000,8902000,11735000,11735000,20637000,303479000,44759000,19419000,25340000,44759000,149160000,3442000,3442000,152602000,197361000,708266000,-600820000,-1328000,106118000,106118000,303479000,-20724000,2203000,9162000,-7465000,-16824000,-737000,-1120000,-1857000,49133000,2581000,2581000,51714000,33033000,33033000,33043000,-10474000,149160000,-15482000,0.65011,-0.2432,-0.39758,-0.19529,-0.06829,0.74706,6.31922,1.85983,0.4915,-0.2303,-0.2303,0.57926,1.17928,-0.17205,-0.0801,-0.05984,6.41159,5.29739
"11","2018_Q3",39.8036507936508,"Up",61514000,-19833000,41681000,-48766000,-37404000,-11362000,-7085000,-2860000,-2860000,-9945000,-9945000,-5565000,-15510000,-15510000,-15510000,-15510000,218955000,114456000,104499000,19906000,13385000,13385000,289889000,8891000,11096000,11096000,19987000,309876000,45247000,20434000,24813000,45247000,149195000,3353000,3353000,152548000,197795000,729684000,-616330000,-1273000,112081000,112081000,309876000,-15510000,2287000,8652000,-2922000,-7493000,-854000,12000,-842000,-24000,11212000,11212000,11188000,2853000,2853000,2864000,-4798000,149195000,-3009000,0.67759,-0.11518,-0.25214,-0.13838,-0.05005,0.194,6.40681,1.76475,0.48147,-0.16982,-0.16982,0.67352,1.22718,-0.03295,-0.05861,-0.01137,14.53939,9.84615
"12","2018_Q4",36.5666666666667,"Down",64756000,-18949000,45807000,-51053000,-37979000,-13074000,-5246000,-2397000,-2397000,-7643000,-7643000,-4051000,-11694000,-11694000,-11694000,-11694000,227702000,122959000,104743000,21641000,12094000,12094000,296825000,8564000,10123000,10123000,18687000,315512000,48087000,20053000,28034000,48087000,149231000,3258000,3258000,152489000,200576000,744087000,-628024000,-1127000,114936000,114936000,315512000,-11694000,2311000,11424000,3597000,5638000,-573000,-432000.000000002,-1005000,-22000,3924000,3924000,3902000,8535000,8535000,8533000,-2935000,149231000,4140000,0.70738,-0.08101,-0.18059,-0.10174,-0.03706,-0.35403,6.17267,1.74511,0.47298,-0.12586,-0.12586,0.69697,1.23705,0.04456,-0.04373,0.01548,26.73629,14.95825
