"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2018_Q2",12.54203125,"Down",14967000,-7127000,7840000,-30986000,-28596000,-2390000,-23146000,8849000,2747000,-3607000,9709000,-14297000,-14297000,-14297000,-14297000,9065000,-5232000,-5232000,-14297000,3891000,-2622000,-58125000,-71153000,-7000,-7000,-7000,370000,6048000,-5131000,-5131000,-70236000,-70236000,-70236000,-19255000,0,0.52382,-1.54647,-0.34957,-0.03614,-0.02313,0.10337
"2","2018_Q3",10.9990476190476,"Down",13090000,-6815000,6275000,-30122000,-29015000,-1107000,-23847000,12544000,2910000,9003000,631000,-11303000,-11303000,-11303000,-11303000,6143000,-5160000,-5160000,-11303000,3921000,-6811000,-79600000,-93793000,-345000,-345000,-345000,1231000,-876000,9.31322574615479e-10,-5e+06,-99669000,-99669000,-99669000,-19926000,0,0.47937,-1.82177,-0.39419,-0.03562,-0.02297,0.09036
"3","2018_Q4",7.88698412698413,"Down",12988000,-6774000,6214000,-27247000,-26220000,-1027000,-21033000,-906000,3062000,-4028000,60000,-21939000,-21939000,-21939000,-21939000,11920000,-10019000,-10019000,-21939000,3931000,6661000,-63414000,-74761000,-678000,-678000,-678000,-8290000,-8968000,0,0,-83729000,-83729000,-83729000,-17102000,0,0.47844,-1.61942,-0.7714,-0.06915,-0.04472,0.08964
"4","2019_Q1",7.52409836065574,"Down",7945000,-3081000,4864000,-15705000,-15152000,-553000,-10841000,-382000,3048000,-3531000,101000,-11223000,-11223000,-20406000,-20406000,6103000,-14303000,-14303000,-20406000,1517000,15388000,-100088000,-103589000,-2075000,-2075000,-2075000,6450000,4375000,0,0,-99214000,-99214000,-99214000,-9324000,557004000,0.61221,-1.36451,-1.80025,-0.09871,-0.09874,0.05483
"5","2019_Q2",7.94460317460317,"Up",13073000,-7616000,5457000,-27674000,-25773000,-1901000,-22217000,11346000,2454000,8882000,10000,-10871000,53999000,52733000,52733000,-28925000,23808000,23808000,52733000,5578000,-69170000,-72793000,-83652000,-1196000,-1196000,-1196000,1463000,267000,1445000,-38682000,-122067000,-122067000,-122067000,-16639000,492171000,0.41743,-1.69946,1.82116,0.16388,0.10602,0.08999
"6","2019_Q3",7.3909375,"Down",12387000,-7479000,4908000,-27192000,-25993000,-1199000,-22284000,-344000,2316000,-2669000,9000,-22628000,-22628000,-22628000,-22628000,12116000,-10512000,-10512000,-22628000,5558000,6111000,-70114000,-81073000,-81000,-81000,-81000,524000,443000,-4.65661287307739e-10,0,-80630000,-80630000,-80630000,-16726000,492469000,0.39622,-1.79898,-0.84863,-0.07223,-0.04676,0.08511
"7","2019_Q4",6.83375,"Down",12014000,-7699000,4315000,-27251000,-25863000,-1388000,-22936000,-19000,1724000,-1750000,7000,-22955000,-22955000,-22955000,-22955000,12292000,-10663000,-10663000,-22955000,6084000,5150000,-74747000,-86468000,-193000,-193000,-193000,0,-193000,-587000,124413000,37752000,37752000,37752000,-16852000,615663000,0.35916,-1.90911,-0.88755,-0.07326,-0.04742,0.08254
"8","2020_Q1",7.25677419354839,"Up",146906000,-102811000,44095000,-27034000,-25957000,-1077000,17061000,-764000,1350000,-2136000,22000,16297000,16297000,15118000,15118000,-8718000,6400000,6400000,15118000,3413000,6788000,-6166000,19153000,-206000,-206000,-206000,0,-206000,20534000,-2525000.00000001,16422000,16422000,16422000,20474000,616046000,0.30016,0.11614,0.04357,0.04396,0.02849,1.00916
"9","2020_Q2",5.03079365079365,"Down",9220000,-6051000,3169000,-26571000,-24626000,-1945000,-23402000,-29817000,1006000,-30911000,88000,-53219000,-53219000,-53219000,-53219000,28413000,-24806000,-24806000,-53219000,3711000,33923000,-73841000,-89426000,-704000,-704000,-704000,1721000,1017000,-10669000,-10669000,-99078000,-99078000,-99078000,-19691000,616430000,0.34371,-2.53818,-2.69046,-0.17004,-0.16758,0.0632
"10","2020_Q3",4.84953125,"Down",24307000,-16277000,8030000,-18011000,-16312000,-1699000,-9981000.00000001,24219000,226000,23905000,88000,14238000,14238000,14238000,14238000,-7606000,6632000,6632000,14238000,3737000,1281000.00000001,-78213000,-58957000,-781000,-781000,-781000,33900000,33119000,-6831000,-6831000,-32669000,-32669000,-32669000,-6244000,0,0.33036,-0.41062,0.27284,0.04546,0.0448,0.16662
"11","2020_Q4",4.98875,"Up",8377000,-6120000,2257000,-18420000,-17656000,-764000,-16163000,52585000,71000,52423000,91000,36422000,36422000,36422000,36422000,-19458000,16964000,16964000,36422000,3771000,7043000,-14566000,32670000,-639000,-639000,-639000,23632000,22993000,-580000,-580000,55083000,55083000,55083000,-12392000,0,0.26943,-1.92945,2.02507,0.11624,0.11456,0.0574
"12","2021_Q1",6.68590163934426,"Up",111715000,-77791000,33924000,-25629000,-24910000,-719000,8295000,-2897999.99999999,66000,-3053000,89000,5397000,5397000,3653000,3653000,-2871000,782000.000000002,782000.000000002,3653000,2923000,6869000,23769000,37214000,-23000,-23000,-23000,-4166000,-4189000,-5461000,-5461000,27564000,27564000,27564000,11218000,617581000,0.30367,0.0742499999999993,0.00700000000000056,0.00536,0.00526000000000001,0.7652
"13","2021_Q2",7.57793650793651,"Up",13180000,-10777000,2403000,-21123000,-19538000,-1585000,-18720000,-2325000,27000,-3556000,1204000,-21045000,-21045000,-21045000,-21045000,11266000,-9779000,-9779000,-21045000,9252000,4872000,-45575000,-52496000,-103000,-103000,-103000,55000,-48000,-15930000,-15930000,-68474000,-68474000,-68474000,-9468000,617843000,0.18232,-1.42033,-0.74196,-0.06674,-0.06674,0.08995
"14","2021_Q3",8.1203125,"Up",8304000,-5848000.00000001,2456000,-20636000,-19218000,-1418000,-18180000,13258000,26000,12119000,1113000,-4922000,-4922000,-4927000,-4927000,2638000,-2289000,-2289000,-4927000,4119000,-11974000,-52556000,-65338000,-34000,-34000,-34000,78065000,78031000,-5846000,-5846000,6847000,6847000,6847000,-14061000,618349000,0.29576,-2.18931,-0.27565,-0.01562,-0.01562,0.05667
"15","2021_Q4",6.7509375,"Down",20695000,-8075000,12620000,-22852000,-20757000,-2095000,-10232000,2022000,21000,485000,1516000,-8210000,-8210000,-8210000,-8210000,4362000,-3848000,-3848000,-8210000,6342000,1277000,-43876000,-44467000,0,140966.857362446,140966.857362446,330000,330000,-1246000,-1246000,-45383000,-45383000,-45383000,-3890000,618732000,0.60981,-0.49442,-0.18594,-0.02625,-0.02625,0.14116
"16","2022_Q1",6.12112903225806,"Down",182215000,-112771000,69444000,-19329000,-17605000,-1724000,50115000,-2953000,20000,-2860000,-113000,47162000,47162000,47492000,47492000,-25008000,22484000,22484000,47492000,6275000,6977000,20137000,80881000,-17000,254422.476483261,254422.476483261,-2981000,-2998000.00000001,-3555000,-3555000,74328000,74328000,74328000,56390000,619116000,0.38111,0.27503,0.12339,0.33345,0.33345,2.70231
"17","2022_Q2",5.16096774193548,"Down",4886000,-2684000,2202000,-18630000,-16791000,-1839000,-16428000,-899000,21000,-1032000,112000,-17327000,-36764000,-36769000,-36769000,19639000,-17130000,-17130000,-36769000,1592000,5135000,-27927000,-57969000,-47511.5429525895,216666.857362446,216666.857362446,484000,484000,-4330000,-4330000,-61815000,-61815000,-61815000,-14836000,619500000,0.45068,-3.36226,-3.50594,-0.25397,-0.11934,0.07244
"18","2022_Q3",3.655,"Down",5393000,-2200000,3193000,-15029000,-12651000,-2378000,-11836000,872000,117000,643000,112000,-10964000,-10964000,-10972000,-10972000,5861000,-5111000,-5111000,-10972000,1442000,18000,-66050000,-75562000,-62000,-62000,-62000,965000,903000,-1168000,-1168000,-75827000,-75827000,-75827000,-10394000,619884000,0.59206,-2.1947,-0.94771,-0.07459,-0.07337,0.0787099999999998
