"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",6.88507936507937,"Up",23727000,-11624000,-4321000,-7303000,12103000,-7698000,-7698000,8785791.61849287,4405000,-19128653.2237258,4405000,4405000,4405000,4405000,4405000,2675000,2675000,6664000,6664000,40370000,680635000,706175000,746545000,17804000,17804000,43344000,382603000,0,0,382603000,425947000,347197000,-26599000,320598000,320598000,746545000,4405000,7303000,829000,3927000,16464000,-29850000,-10359000,-40209000,-12213000,-791000,-370000,-370000,-2456000,-15830000,-39575000,-39575000,-39575000,19406000,382603000,0.51009,0.18565,0.01374,0.0059,0.93139,1.3286,0.5125,0.11894,0.11886,0.64065,8.6564,0.32976,0.02363,2.77253,19.57786,31.39123
"2","2012_Q3",8.46333333333333,"Up",25117000,-11046000,-3489000,-7557000,14071000,-7898000,-7898000,0,6173000,-250000,5923000,5923000,5923000,5923000,5923000,3110000.00000001,3110000.00000001,28269000,28269000,54400000,698578000,724118000,778518000,11181000,11181000,36721000,425372000,0,0,425372000,462093000,349643000,-33218000,316425000,316425000,778518000,5923000,7557000,763000,-6620000,7622999.99999999,-25700000,-11547000,-37247000,-12250000,42774000,514000,514000,-979000,30059000,435000,435000,435000,21628000,425372000,0.56022,0.23582,0.01872,0.00761,1.48144,1.46036,0.54639,0.15944,0.15926,0.67611,8.51764,0.32975,0.0245,2.06821,19.52386,30.00938
"3","2012_Q4",9.76854838709677,"Up",26038000,-11274000,-3778000,-7496000,14764000,-9085000,-9085000,0,5679000,-453000.000000001,5226000,5226000,5226000,5226000,5226000,30477000,30477000,27289000,27289000,84417000,733054000,758594000,843011000,17778000,17778000,43318000,488374000,0,0,488374000,531692000,351477000,-40158000,311319000,311319000,843011000,5226000,7496000,1073000,10020000,23815000,-42500000,-1244000,-43744000,-12239000,63145000,0,0,-3610000,47296000,27367000,27367000,27367000,22260000,488374000,0.56702,0.20071,0.01679,0.0062,1.94877,1.70787,0.57932,0.14056,0.13949,0.70035,8.37357,0.32919,0.02184,2.34194,20.5704,31.01443
"4","2013_Q1",11.9363333333333,"Up",28288000,-12423000,-4516000,-7907000,15865000,-7458000,-9654000,2196000,8407000,-4448000,3959000,3959000,3959000,3959000,3959000,17101000,17101000,18821000,16606000,65535000,827135000,851347000,916882000,11694000,11694000,35906000,575488000,-1.0842021724855e-19,-1.0842021724855e-19,575488000,611394000,354232000,-48744000,305488000,305488000,916882000,3959000,7907000,6192000,-9708000,8350000,-108420000,10970000,-97450000,-12227000,87797000,-91000.0000000075,-91000.0000000075,245000,75724000,-13376000,-13376000,-13376000,23772000,575488000,0.56084,0.13995,0.01296,0.00432,1.82518,2.00137,0.62766,0.10735,0.10538,0.76702,8.28323,0.33153,0.01837,3.08841,23.48927,35.19616
"5","2013_Q2",13.48,"Up",32022000,-12963000,-4717000,-8246000,19059000,-9502000,-10002000,5e+05,9557000,9.31322574615479e-10,9557000,9557000,9557000,9557000,9253000,53565000,53565000,30256000,30256000,121328000,819026000,843238000,964566000,18414000,18414000,42626000,481800000,0,0,481800000,524426000,492384000,-52302000,440140000,440140000,964566000,9557000,8246000,-2200000,6e+06,21603000,2208000,-12873000,-15311000,-12716000,-93489000,136449000,136449000,-72000,30172000,36464000,36464000,36464000,27305000,481800000,0.59518,0.28896,0.02102,0.00959,2.84634,1.1915,0.4995,0.24816,0.24518,0.85882,11.80284,0.34104,0.02383,1.37426,15.68339,22.46891
"6","2013_Q3",11.64890625,"Down",32275000,-11644000,-3422000,-8222000,20631000,-11543000,-10143000,-1400000,9088000,-9750000,-662000,-662000,-662000,-662000.000000002,-3185000,92770000,92770000,48806000,48806000,180659000,817228000,841440000,1022099000,14519000,14519000,38731000,557801000,3.46944695195361e-18,3.46944695195361e-18,557801000,596532000,493852000,-68343000,425567000,425567000,1022099000,-662000,8222000,-491000.000000001,-5686000,1383000.00000001,-6174999.99999999,-12597000,-19270000,-14693000,78046000,-955000.00000003,-955000.00000003,-5306000,57092000,39205000,39205000,39205000,28853000,557801000,0.63923,-0.09868,-0.00747999999999999,-0.00312,4.66445,1.40173,0.54574,-0.08526,-0.0841700000000001,0.86395,11.39019,0.39331,0.0117,-4.61319,16.11725,22.5404
"7","2013_Q4",12.35453125,"Up",32926000,-11315000,-3057000,-8258000,21611000,-9439000,-9739000,3e+05,12172000,-351000,11821000,11821000,11821000,11821000,9242000,96641000,96641000,52932000,52932000,193767000,809271000,833483000,1027250000,23069000,23069000,47281000,556779000,0,0,556779000,604060000,495175000,-72043000,423190000,423190000,1027250000,11821000,8258000,-2459000,8605000,26225000,0,-1311000,-2791000,-15268000,-888000,-187000,-187000,-3220000,-19563000,3871000,3871000,3871000,29869000,556779000,0.65635,0.28069,0.02184,0.009,4.0982,1.4274,0.54201,0.24739,0.2448,0.88136,11.32631,0.40869,0.02501,1.65202,15.4052,21.29184
"8","2014_Q1",13.3434426229508,"Up",37557000,-13782000,-5227000,-8555000,23775000,-10776000,-10576000,-2e+05,12999000,0,12999000,12999000,12999000,12999000,10439000,4308000,4308000,190645000,190645000,258205000,915418000,915418000,1173623000,22229000,22229000,22229000,691230000,2.77555756156289e-17,2.77555756156289e-17,691230000,713459000,535027000,-74921000,460164000,460164000,1173623000,12999000,8555000,-1718000,-6948000,12888000,-119780000,-139943000,-260137000,-15474000,134587000,37459000,37459000,-1656000,154916000,-92333000,-92333000,-92333000,32330000,691230000,0.63304,0.27795,0.02269,0.00889,11.61568,1.55045,0.58897,0.2743,0.26797,0.98687,12.09005,0.40661,0.02251,1.48233,21.2472,28.89262
"9","2014_Q2",14.3004761904762,"Up",40850000,-15203000,-5853000,-9350000,25647000,-10834000,-11134000,3e+05,14813000,-22134000,-7321000,-7321000,-7321000,-7303000,-9864000,4286000,4286000,205967000,205967000,285440000,1021704000,1045916000,1331356000,26315000,26315000,50527000,842106000,0,0,842106000,892633000,537679000,-98996000,438741000,438723000,1331356000,-7321000,9350000,-756000,-66000,1207000,-108650000,-19484000,-128139000,-16597000,154028000,-648000,-648000,-9873000,126910000,-22000,-22000,-22000,34997000,842106000,0.62783,-0.24147,-0.02248,-0.00741,5.64926,2.03462,0.63252,-0.25313,-0.25313,1.04829,11.2574,0.42591,0.00526,-1.68258,23.93977,32.66737
"10","2014_Q3",13.8296875,"Down",42973000,-17681000,-4932000,-9755000,25292000,-10334000,-10994000,660000,14958000,-162000,14796000,14796000,14796000,14801000,12241000,15085000,15085000,231912000,231912000,315987000,1036312000,1060524000,1376511000,21084000,21084000,45296000,675400000,0,0,675400000,720696000,760731000,-104951000,655838000,655815000,1376511000,14796000,9755000,956000,2207000,27714000,-9739000,-19672000,-35864000,-20528000,-180808000,220547000,220547000,-262000.000000002,18949000,10799000,10799000,10799000,35047000,675400000,0.58856,0.28485,0.01867,0.00889000000000001,6.97605,1.09893,0.49066,0.2804,0.2776,0.98437,15.02178,0.47023,0.02462,1.67699,18.84084,26.10766
"11","2014_Q4",13.9409375,"Up",43984000,-15988000,-6226000,-9762000,27996000,-10640000,-10540000,-1e+05,17356000,-158000,17198000,17198000,17198000,17204000,14643000,25479000,25479000,257211000,257211000,424886000,1568268000,1592480000,2017366000,40719000,40719000,64931000,1288714000,0,0,1288714000,1353645000,772320000,-108628000,663750000,663721000,2017366000,17198000,9762000,-231000,15589000,42318000,-604641000,-19813000,-629296000,-20529000,613314000,9926000,9926000,-5339000,597372000,10394000,10394000,10394000,37758000,1288714000,0.6365,0.33292,0.02206,0.00726,6.54365,2.03948,0.63881,0.30919,0.30584,0.92872,14.01378,0.43347,0.01801,1.40197,33.45609,45.12198
"12","2015_Q1",16.6301639344262,"Up",55711000,-23799000,-6804000,-14465000,31912000,-13590000,-14290000,7e+05,18322000,3914000,22236000,22236000,22236000,22250000,19690000,61793000,61793000,258607000,258607000,419087000,1645805000,1645805000,2064892000,31775000,31775000,31775000,1091294000,0,0,1091294000,1123069000,1054191000,-112383000,941866000,941823000,2064892000,22236000,14465000,-9515000,-13088000,14098000,-22656000.0000001,-21817000,-33173000,-23835000,-197441000,280322000,280322000,-3657000,55389000,36314000,36314000,36314000,46377000,1091294000,0.57281,0.35343,0.02091,0.00954,13.18921,1.19244,0.5285,0.35527,0.34778,1.0052,16.99323,0.43006,0.02141,1.21051,22.19853,32.26062
