"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q1",11.5863333333333,"Up",24571000,-7802000,16769000,-14672000,-4665000,-10007000,2097000,-69000,-69000,2028000,2028000,-251000,1777000,1777000,1777000,1777000,58944000,58944000,9485000,9485000,6786000,2604000,1226000,517000,77819000,1686000,2234000,426000,1538000,3920000,81739000,14942000,6481000,530000,7931000,8002000,8002000,22944000,52346000,52146000,52346000,75290000,4228000,2221000,6449000,6449000,81739000,1777000,287000,904000,3979000,6947000,-242000,-7374000,145000,145000,11795000,11368000,11368000,11368000,2384000,0,6372000,0.68247,0.08534,0.07232,0.27555,0.02174,3.58582,3.39169,11.67468,0,0.22187,0.1874,3.06786,0.8052,0.79559,0.03022,0.10838,-24.72483,-28.10873
"2","2013_Q2",15.18109375,"Up",25921000,-7516000,18405000,-15498000,-4025000,-11473000,2907000,-2000,-2000,2905000,2905000,-303000,2602000,2602000,2602000,2602000,74276992.2940223,74254471.9572963,14415783.3859306,14415783.3859306,8829236.82124779,1898947.46203646,-162648.06210702,756437.79421338,99420959.9632371,1964890.57594666,791339.749960125,-224987.693032316,909777.909215638,2756230.32590678,102177190.289144,22152507.4411091,13548161.0135795,1992352.13825551,6611994.28927414,5506154.92859454,5506154.59129157,27658662.3697037,21024596.2799438,20945140.9647463,21024596.2799438,48683258.6496475,44763110.5809211,8730805.29152128,53493931.6394964,53493931.6394964,102177190.289144,2602000,311000,933000,-3066000,780000,-147000,-155000,125000,125000,125000,750000,750000,750000,3218000,0,308000,0.71004,0.11215,0.10038,0.201968449560643,0.0805611044864372,0.118370000000001,3.41403067697513,4.84992607583143,0,0.34604,0.2881,3.44723,11.8268561073137,0.0409600000000001,0.103537671169282,0.11915854155409,8.10393254341929,8.65440005614641
"3","2013_Q3",17.01140625,"Up",27958000,-8626000,19332000,-13540000,-4184000,-9356000,5792000,4000,4000,5796000,5796000,-570000,5226000,5226000,5226000,5226000,85985392.2940223,85962871.9572963,16953383.3859306,16953383.3859306,9387436.82124779,2297047.46203646,281751.93789298,602237.79421338,114623259.963237,2131890.57594666,954039.749960125,-99587.6930323159,1028077.90921564,3085930.32590678,117709190.289144,24091007.4411091,13131961.0135795,1942152.13825552,9016894.28927414,4026254.92859454,4026254.59129157,28117262.3697037,5747296.27994385,5727840.96474627,5747296.27994385,33864558.6496475,70605610.5809211,13239005.2915213,83844631.6394964,83844631.6394964,117709190.289144,5226000,322000,1011000,-1279000,5280000,-155000,107000,90000,90000,90000,5477000,5477000,5477000,6114000,0,5250000,0.69147,0.20717,0.18692,0.127576449560643,0.0806951044864372,1.00459,3.97284967697513,1.41950707583143,0,0.68805,0.57392,3.68095,12.7908801073137,0.69121,0.102637671169282,0.0802235415540902,6.19985754341928,7.21035105614641
"4","2013_Q4",22.94546875,"Up",35669000,-12679000,22990000,-15405000,-4603000,-10802000,7585000,137000,137000,7722000,7722000,-1005000,6717000,6717000,6717000,6717000,94820000,94820000,18243000,18243000,9141000,3119000,1516000,270000,125323000,2283000,1946000,426000,1520000,4229000,129552000,23051000,9345000,1115000,12591000,3412000,3412000,26463000,1115000,1115000,1115000,27578000,85208000,16766000,101974000,101974000,129552000,6717000,182000,1350000,-5257000,2992000,-695000,-702000,718000,718000,27359000,29649000,29649000,29649000,7767000,0,2820000,0.64454,0.21265,0.18831,0.06587,0.05185,0.41983,4.73578,0.270440000000002,0,0.55813,0.50197,2.9638,8.47319,0.23432,0.06516,0.02736,-12.20806,-12.50099
"5","2014_Q1",30.6181967213115,"Up",31518000,-11584000,19934000,-16312000,-5114000,-11198000,3622000,-3000,-3000,3619000,3619000,24000,3643000,3643000,3643000,3643000,100494000,100494000,20153000,20153000,8918000,3583000,2360000,3000,133148000,2536000,2919000,938000,1981000,5455000,138603000,21379000,7051000,286000,14042000,3451000,3451000,24830000,1441000,1441000,1441000,26271000,91923000,20409000,112332000,112332000,138603000,3643000,192000,1567000,-3940000,1462000,-531000,-264000,677000,677000,4476000,5674000,5674000,5674000,3814000,0,-681000,0.63246,0.11492,0.11558,0.03243,0.02628,-0.18693,5.36238,0.23387,0,0.13544,0.1276,1.1718,4.17638,-0.02532,0.03202,-0.00599,-26.34872,-27.74544
"6","2014_Q2",26.4319047619048,"Down",33941000,-12248000,21693000,-16474000,-5157000,-11317000,5219000,-4999.99999999999,-4999.99999999999,5214000,5214000,-473000,4741000,4741000,4741000,4741000,104277000,104277000,23467000,23467000,9325000,3061000,1839000,3000,140130000,2976000,3133000,1079000,2054000,6109000,146239000,21342000,9987000,171000,11184000,4024000,4024000,25366000,1470000,1470000,1470000,26836000,94253000,25150000,119403000,119403000,146239000,4741000,194000,1518000,-3237000,3216000,-579000,-579000,1080000,1080000,1146000,3783000,3783000,3783000,5413000,0,2070000,0.63914,0.15377,0.13968,0.03971,0.03242,0.43662,5.52432,0.22475,0,0.17522,0.16311,1.25443,4.41303,0.07651,0.03922,0.01713,-19.26418,-19.98026
"7","2014_Q3",33.10875,"Up",37710000,-14419000,23291000,-16359000,-5385000,-10974000,6932000,-11000,-11000,6921000,6921000,-667000,6254000,6254000,6254000,6254000,118310000,118310000,21881000,21881000,9913000,2700000,1478000,3000,152804000,3219000,3130000,1135000,1995000,6349000,159153000,23998000,11440000,381000,12177000,4891000,4891000,28889000,1461000,1461000,1461000,30350000,97399000,31404000,128803000,128803000,159153000,6254000,287000,1416000,4766000,12723000,-701000,-701000,1835000,1835000,2011000,14033000,14033000,14033000,7219000,0,11951000,0.61763,0.18382,0.16584,0.04855,0.0393,1.91094,5.28935,0.23563,0,0.22819,0.20954,1.37591,4.69958,0.43605,0.04801,0.09174,-16.3887,-17.06722
"8","2014_Q4",46.71921875,"Up",45990000,-16689000,29301000,-19237000,-5761000,-13476000,10064000,-12000,-12000,10052000,10052000,-926000,9126000,9126000,9126000,9126000,128051000,128051000,25449000,25449000,13010000,3074000,1998000,3000,169584000,3025000,3075000,1105000,1970000,6100000,175684000,26282000,14139000,77000,12066000,3552000,3552000,29834000,1427000,1427000,1427000,31261000,103893000,40530000,144423000,144423000,175684000,9126000,308000,2217000,-4661000,6990000,-91000,-90999.9999999981,2596000,2596000,2842000,9741000,9741000,9741000,10372000,0,6546000,0.63712,0.21883,0.19843,0.06319,0.05195,0.71729,5.68425,0.21645,0,0.32789,0.30067,1.65238,5.18898,0.23519,0.06257,0.04488,-12.34583,-12.72367
"9","2015_Q1",60.695737704918,"Up",100637000,-35786000,64851000,-35205000,-12994000,-22211000,29646000,203000,203000,29849000,29849000,601000,30450000,30450000,30450000,30450000,143394000,143394000,18837000,18837000,10452000,4553000,2951000,3000,177236000,3018000,3053000,1134000,1919000,6071000,183307000,20571000,8321000,545000,11705000,4831000,4831000,25402000,1544000,1544000,1544000,26946000,110298000,46063000,156361000,156361000,183307000,30450000,546000,7977000,-9644000,29329000,10000,-38690000,5903000,5903000,8701000,-660000,-660000,-660000,30192000,0,19957000,0.64441,0.29458,0.30257,0.19474,0.16611,0.6554,6.97725,0.17233,0,1.07119,0.96895,3.54029,5.50059,0.70206,0.19284,0.12639,-4.7494,-4.83688
"10","2015_Q2",87.4022222222222,"Up",40921000,-15325000,25596000,-19669000,-6755000,-12914000,5927000,49000,49000,5976000,5976000,-716000,5260000,5260000,5260000,5260000,155616000,129480000,21305000,21305000,10034000,4225000,2621000,5000,191180000,2950000,3133000,1260000,1873000,6083000,197263000,23191000,13408000,449000,9334000,4817000,4817000,28008000,1556000,1556000,1556000,29564000,116368000,51323000,167699000,167699000,197263000,5260000,299000,2702000,2009000,10270000,-224000,-26618000,2160000,2160000,2434000,-13914000,-13914000,-13914000,6226000,0,8727000,0.6255,0.14484,0.12854,0.03137,0.02666,1.65913,6.82591,0.17629,0,0.18153,0.1656,1.41222,5.78745,0.30118,0.03108,0.05156,-24.99454,-26.25544
