"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",94.1909523809524,"Up",343609000,286534000,38948000,18127000,14927000,3200000,-33700000,-47169000,203825000,-4293000,-4293000,199532000,199532000,-166000,199366000,199366000,-42768000,156598000,-5595000,151003000,-11455449601.9784,-5851791189.32726,-109275710.798586,-323641358.752842,-11608200181.9321,-29348358042.7891,-22716706709.6523,-6937507438.34919,6615988802.90726,-23038225345.0942,400000330.328398,-12581972858.0442,-12581972858.0442,1390521367.70114,3683541.02061981,-10787767618.994,4477634921.29912,-6310132697.69489,-29348358042.7891,199366000,8305000,-355369000,194337000,46639000,301194000,301194000,-17494000,-147943000,-428173000,-80340000,-80340000,-529000,-80869000,212130000,0,0.59319,0.43946,-0.326511968311422,-0.104697789452842,-2.90351627736115,-0.603117124720818,3.66174,3.60363,8.33234,-594.497806183775,0.42422,-0.0998514610763385,0.11585,65.9648607667775,81.7575103720638
"2","2014_Q3",94.55140625,"Up",331174000,260416000,34541000,36217000,27128000,9089000,-33477000,-49795000,166514000,-4292000,-4292000,162222000,162222000,204000,162426000,162426000,-36078000,126348000,-5596000,120752000,-2858629300.98918,-2201574594.66363,-230851855.399293,-103313179.376421,-5314652090.96603,-10709021021.3946,-10151315354.8262,-3349683719.1746,3327841401.45363,-10173157672.5471,400000165.164199,-6082255929.02208,-6082255929.02208,2427427683.85057,3477770.5103099,-3251350309.497,2715486960.64956,-535863348.847443,-10709021021.3946,162426000,7114000,-254695000,211902000,126747000,-98106000,-92106000,-17247000,3847000,-65199999.9999999,-30559000,-30559000,-2147000,-32706000,173628000,0,0.5028,0.36462,-0.114780984155711,-0.027073894726421,-1.17002313868058,-0.279043562360409,3.03886,2.98928,8.33436,-218.186003091887,0.43404,-0.0187557305381693,0.14283,24.7125703833888,31.1862751860319
"3","2014_Q4",91.87515625,"Down",266496000,258979000,24941000,-17424000,-31097000,13673000,-37550000,-50877000,108422000,-4290000,-4290000,104132000,104132000,-245000,103887000,103887000,-30477000,73410000,-5595000,67815000,3051979899.67027,-234964864.887877,13246381.533569,34095273.541193,-1524477363.65534,1339879326.20181,-2503347118.27538,-1048318906.39153,1823936800.48454,-1727729224.18237,400000055.054733,-2065708309.67403,-2065708309.67403,3072772894.61686,3424923.50343663,1410489563.501,1657118986.88319,3067608550.38419,1339879326.20181,103887000,14851000,314920000,-213655000,220003000,-80794000,-80794000,-16879000,37005000,-140681000,-1472000,-1472000,7562000,6090000,123273000,0,0.40684,0.25447,-0.00418699471857039,0.010802035091193,-0.0288477128935254,-0.0774378541201363,1.73996,1.71962,6.83761,-3.60085769729582,0.43307,0.0195714231539436,0.2489,4.46768679446292,6.08538506201063
"4","2015_Q1",92.7190163934426,"Up",318798000,256487000,25886000,36425000,30475000,5950000,-39749000,-65547000,225505000,-4527000,-4527000,220978000,220978000,-400999.999999998,220577000,220577000,-44215000,176362000,-5595000,170767000,6743750000,525584000,440007000,110059000,384150000,8203550000,1412510000,249522000,1544095000,3206127000,4e+08,38442000,38442000,3423857000,3416000,3865715000,1131708000,4997423000,8203550000,220577000,17501000,276459000,-247269000,267268000,13359000,13359000,-16673000,-4615999.99999999,-60624000,220003000,220003000,5034000,225037000,243006000,249522000,0.70736,0.53566,0.03417,0.02082,0.64156,0.03042,4.52351,4.47761,8.44476,91.80459,0.44166,0.02815,0.09764,-1.13603,-1.22419
"5","2015_Q2",95.8452380952381,"Up",381920000,296760000,39707000,45453000,41749000,3704000,-43401000,-91154000,170512000,-5316000,-5316000,165196000,165196000,47904000,213100000,213100000,-39662000,173438000,-5595000,167843000,8684053000,557618000,866418000,146053000,1033056000,11287198000,2781568000,826774000,1928136000,5536478000,4e+08,800967000,800967000,3577980000,3342000,4782289000,968431000,5750720000,11287198000,213100000,4813000,-387075000,50557000,-118605000,742656000,62004000,-19315000,-180285000,97777000,41176000,41176000,-9142000,32034000,175325000,826774000,0.44646,0.43947,0.02919,0.01487,0.96275,0.07325,4.23514,4.19387,9.6369,110.5773,0.48737,0.02,0.11508,1.53518,1.57852
"6","2015_Q3",97.87078125,"Up",397567000,379828000,38604000,-20865000,-26712000,5847000,-61666000,-67541000,99016000,-9862000,-9862000,89154000,89154000,1842000,90996000,90996000,-12167000,78829000,-5596000,73233000,9280267000,398090000,1068819000,173408000,1132602000,12053186000,2847648000,972362000,2407420000,6227430000,4e+08,796497000,796497000,3637454000,2993000,4836944000,988812000,5825756000,12053186000,90996000,7582000,-273777000,264434000,89235000,-379417000,-372417000,-19355000,-6779000.00000003,121342000,-161840000,-161840000,2312000,-159528000,106598000,972362000,0.24905,0.1842,0.01257,0.00608,1.06895,0.08067,1.61652,1.60398,8.77573,97.9393,0.42723,0.0096,0.26429,5.38727,5.79979
"7","2015_Q4",103.455,"Up",358240000,362388000,28338000,-32486000,-41138000,8652000,-78126000,-61840000,118246000,-10542000,-10542000,107704000,107704000,4573000,112277000,112277000,-31153000,81124000,-5595000,75529000,8999764000,524546000,864198000,213599000,1304614000,11906721000,2796062000,969221000,2421767000,6187050000,4e+08,595804000,595804000,3699579000,2260000,4697643000,1022028000,5719671000,11906721000,112277000,-8558000,268118000,-180320000,191517000,155001000,155001000,-18999000,-275000,-215888000,130630000,130630000,-4174000,126456000,109688000,969221000,0.33007,0.21083,0.01321,0.00634,1.08171,0.0814,1.69484,1.6816,8.03878,96.43755,0.42633,0.00997,0.25155,4.054,3.76059
"8","2016_Q1",106.493114754098,"Up",377375000,361575000,45918000,-30118000,-42817000,12699000,-55399000,-75091000,144872000,-10550000,-10550000,134322000,134322000,-8453000,125869000,125869000,-28068000,97801000,-5595000,92206000,8999068000,506885000,778009000,199380000,1071945000,11555287000,2767045000,960495000,2049599000,5777139000,4e+08,551375000,551375000,3778701000,2108000,4732184000,1045964000,5778148000,11555287000,125869000,14342000,167745000,-45117999.9999999,262838000,-183627000,-183627000,-18679000,-15941000,-97144000,-17933000,-17933000,272000,-17661000,159214000,960495000,0.38389,0.24434,0.01596,0.00798,0.99983,0.08312,2.13786,2.11914,8.74971,100.44479,0.43309,0.01167,0.20258,2.84906,3.13111
"9","2016_Q2",107.879375,"Up",448120000,353606000,28863000,65651000,61653000,3998000,-65592000,-64460000,191463000,-10538000,-10538000,180925000,180925000,-2744000,178181000,178181000,-44591000,133590000,-5595000,127995000,9040201000,449149000,1094116000,287291000,1283156000,12153913000,2811523000,957536000,2542924000,6311983000,4e+08,465517000,465517000,3893411000,1665000,4760593000,1081337000,5841930000,12153913000,178181000,8752000,-609798000,421227000,-1638000,101132000,101132000,-18880000,-58443000,-162489000,-62995000,-62995000,5259000,-57736000,200215000,957536000,0.42726,0.28563,0.02191,0.01053,1.08046,0.07878,3.0062,2.98273,10.52493,102.41663,0.44343,0.01528,0.14751,2.53921,2.65528
"10","2016_Q3",111.15046875,"Up",483284000,351402000,54124000,77758000,69772000,7986000,-69005000,-56825000,189704000,-10536000,-10536000,179168000,179168000,-6612000,172556000,172556000,-30635000,141921000,-5596000,136325000,9010217000,455521000,1332667000,331152000,1415206000,12544763000,2844243000,954577000,2920323000,6719143000,4e+08,284057000,284057000,4016823000,2337000,4703217000,1122403000,5825620000,12544763000,172556000,2284000,-448134000,400173000,126879000,74425000,74425000,-18509000,6465000.00000001,-191881000,9423000,9423000,-3051000,6372000,191988000,954577000,0.39253,0.28208,0.0234,0.01087,1.15338,0.07609,3.26973,3.25482,11.59149,103.21198,0.44394,0.01609,0.13577,2.59941,2.63071
"11","2016_Q4",121.111587301587,"Up",442466000,346521000,51423000,44522000,59870000,-15348000,-80580000,-52030000,197281000,-10536000,-10536000,186745000,186745000,1316000,188061000,188061000,-35641000,152420000,-5595000,146825000,9214555000,493330000,1181331000,351841000,1418474000,12659531000,2861099000,951620000,2874469000,6687188000,4e+08,254209000,254209000,4150960000,2621000,4807790000,1164553000,5972343000,12659531000,188061000,7307000,104103000,-44347000,255124000,-150229000,-149829000,-18283000,-3880000,-66594000,38701000,38701000,-892000,37809000,204588000,951620000,0.44587,0.33183,0.02458,0.0116,1.11969,0.07517,3.62423,3.60484,10.92185,108.80208,0.4513,0.01687,0.12452,2.24006,2.32303
