"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",4.62634920634921,"Down",1496025000,-1488996000,7029000,-3648000,-3648000,3381000,469000,469000,3850000,36000,3886000,-1520000,2366000,2366000,2366000,2366000,63980916.3006479,63980916.3006479,182104740.164562,182104740.164562,27061324.5951801,9725758.16397213,-602785.68572436,282872739.224363,799270.493265766,13244924.6780181,-4429999.32959826,3032231.50601827,4883939.86104268,-6505564.9466128,276367174.27775,181026236.051449,164431338.789242,16594897.2622066,124905382.254816,-100637350.520913,-100803965.670143,205294267.785352,-1090018.1076876,-12.7788345656151,-1090018.54404907,204204249.241303,31158438.9805999,41004525.6375251,72162964.618125,72162925.0364465,276367174.27775,2366000,220000,-35000,-13555000,-11004000,-196000,-350000,-546000,-5e+06,4700000,6902000,6602000,-4948000,-4948000,-4948000,3601000,0,-8630000,0.0047,0.00226,0.00158,0.0105892105997263,0.00560370982621829,-3.64751,1.33869030218081,1.91421670922639,0.440810335922307,0.15305,0.15022,96.77372,4.51000408196579,-0.55825,0.32344,-0.176812582414563,2.00097566732457,2.11327,62.9708820485216,74.548687206143
"2","2014_Q3",4.64625,"Up",1488691000,-1480819000,7872000,-4503000,-4503000,3369000,476000,476000,3845000,24000,3869000,-1621000,2248000,2248000,2248000,2248000,15015000,15015000,102473000,102473000,160029000,868000,868000,278385000,1226000,4007641.55933936,13826000,2949000,4884000,15052000,293437000,97210000,84610000,12600000,1.06e+08,36732000,36732000,239942000,552000,0,552000,240494000,24519000,28424000,52943000,52943000,293437000,2248000,223000,110000,9534999.99999997,12116000,-68000,2.3283064365387e-10,-68000,1.86264514923096e-09,6300000,-19950000,-13650000,-1602000,-1602000,-1602000,3592000,1.06e+08,14680000,0.00529,0.00226,0.00151,0.04246,0.00766,6.53025000000001,1.16022,4.54251,0.36124,0.14542,0.14254,96.30328,3.42488,0.949649999999998,5.55111512312578e-17,0.01409,0.09204,0,25.3299,27.00653
"3","2014_Q4",4.05671875,"Down",1581590000,-1574010000,7580000,-4352000,-4352000,3228000,347000,347000,3575000,-60000,3515000,-1419000,2096000,2096000,2096000,2096000,7873000,7873000,81587000,81587000,193801000,939000,939000,284200000,1541000,5e+05,13730000,2853000,4884000,15771000,299971000,73439000,62244000,11195000,119800000,58304000,58304000,251543000,552000,0,552000,252095000,22356000,25520000,47876000,47876000,299971000,2096000,238000,35000,-41532000,-39163000,-457000,0,-957000,-5e+06,13800000,24178000,32978000,-7142000,-7142000,-7142000,3466000,119800000,-37104000,0.00479,0.00204,0.00133,0.04378,0.00699,-17.70229,1.12983,5.26558,0.39937,0.14069,0.13945,106.16052,3.21356,-2.49052,0.33561,0.04218,-0.22056,2.3855,32.29284,34.67379
"4","2015_Q1",4.03360655737705,"Down",1413048000,-1408088000,4960000,-3067000,-3067000,1893000,374000,374000,2267000,-6000,2261000,-712000,1549000,1549000,1549000,1549000,13193000,13193000,102824000,102824000,175554000,3752000,613000,295323000,1678000,5e+05,7637000,2753000,4884000,9815000,305138000,87130000,77426000,9704000,135200000,33319000,33319000,255649000,33000,0,33000,255682000,22387000,27069000,49456000,49456000,305138000,1549000,253000,6538000,12966000,21306000,-290000,-3771000,-4061000,9.31322574615479e-10,15400000,-25127000,-11925000,5320000,5320000,5320000,2146000,135200000,15534000,0.00351,0.00134,0.0011,0.03132,0.00508,10.02841,1.15519,5.16989,0.44308,0.10737,0.10931,97.94511,3.42803,1.07674,0,0.00839,0.08411,0,56.85322,64.45166
"5","2015_Q2",4.23857142857143,"Up",1453466000,-1447736000,5730000,-4219000,-4219000,1511000,414000,414000,1925000,-9000,1916000,-778000,1138000,1138000,1138000,1138000,4657000,4657000,143482000,143482000,159240000,3867000,728000,311246000,1599000,1611000,7541000,2657000,4884000,10751000,321997000,110697000,104922000,5775000,1.28e+08,32611000,32611000,271308000,33000,0,33000,271341000,22449000,28207000,50656000,50656000,321997000,1138000,228000,-29000,4297000,5634000,-53000,-1809000,-2973000,0,-7200000,-3997000,-11197000,-8536000,-8536000,-8536000,1739000,1.28e+08,6761000,0.00394,0.00104,0.00078,0.02247,0.00353,5.94112,1.14721,5.35654,0.39752,0.08172,0.08053,104.37454,3.63765,0.48551,0,0.00637,0.03784,0,70.92754,81.63005
"6","2015_Q3",4.30515625,"Up",1538871000,-1531678000,7193000,-4754000,-4754000,2439000,429000,429000,2868000,-75000,2793000,-1131000,1662000,1662000,1662000,1662000,5113000,5113000,125206000,125206000,223771000,3994000,658000,358084000,1491000,1611000,12752000,2561000,4884000,15854000,373938000,84183000,80767000,3416000,1.51e+08,86344000,86344000,321527000,33000,0,33000,321560000,22509000,29869000,52378000,52378000,373938000,1662000,227000,-5956000,-82145000,-86212000,-23000,3644000,3621000,0,2.3e+07,60047000,83047000,456000,456000,456000,2666000,1.51e+08,-78371000,0.00467,0.00158,0.00108,0.03173,0.00444,-47.15463,1.1137,6.13922,0.40381,0.11935,0.11772,110.50754,3.76131,-5.62788,1.38777878078145e-17,0.00817,-0.38528,1.11022302462516e-16,54.72131,59.81427
"7","2015_Q4",6.1359375,"Up",1624495000,-1618871000,5624000,-4089000,-4089000,1535000,450000,450000,1985000,-123000,1862000,-177000,1685000,1685000,1685000,1685000,16201000,16201000,107781000,107781000,186572000,12141000,2481000,322695000,1375000,1611000,8406000,2465000,4884000,11392000,334087000,92906000,87331000,5575000,132800000,54609000,54609000,280315000,0,5.6843418860808e-14,0,280315000,22567000,31205000,53772000,53772000,334087000,1685000,223000,5237000,62620000,69765000,-11000,-7571000,-7582000,-349000,-18200000,-32546000,-51095000,11088000,11088000,11088000,1758000,132800000,64544000,0.00346,0.00094,0.00104,0.03134,0.00504,38.30504,1.15119,5.21303,0.3975,0.121,0.1193,116.65195,3.86127,4.63478,0.02506,0.0109,0.34595,0.20712,66.3248,75.96026
"8","2016_Q1",7.64032786885246,"Up",1453402000,-1447451000,5951000,-4069000,-4069000,1882000,469000,469000,2351000,226000,2577000,-11000,2566000,2566000,2566000,2566000,20927000,20927000,30025000,30025000,191501000,70173000,1202000,312626000,2850000,2500000,8686000,2369000,4884000,14036000,326662000,55969000,50639000,5330000,1.47e+08,66822000,48925000,269791000,909000,0,909000,270700000,22540000,33422000,55962000,55962000,326662000,2566000,217000,-533000,3872000.00000003,6122000,-1637000,-3932000,-6458000,-349000,14200000,-8788999.99999999,5062000.00000001,4726000,4726000,4726000,2099000,1.47e+08,4345000,0.00409,0.00129,0.00177,0.04585,0.00786,1.69329999999999,1.15877,4.83721,0.45001,0.18425,0.18164,104.35834,4.01823,0.31198,0.02506,0.0143,0.02131,0.13601,60.06336,66.98884
"9","2016_Q2",7.3078125,"Down",2006936000,-1992512000,14424000,-6408000,-6408000,8016000,1111000,699000,9127000,-39000,9088000,-3469000,5619000,5619000,5619000,5619000,5044000,5044000,47899000,47899000,254506000,68585000,1074000,376034000,2832000,2500000,7830000,2273000,4884000,13162000,389196000,84334000,78499000,5835000,176900000,66932000,54039000,328166000,-2.3283064365387e-10,9.09494701772928e-13,0,328166000,22593000,38437000,61030000,61030000,389196000,5619000,303000,1216000,-61633000,-54495000,-189000,-1355000,-1544000,-349000,29900000,10605000,40156000,-15883000,-15883000,-15883000,8319000,176900000,-50034000,0.00719,0.00399,0.0028,0.09207,0.01444,-8.90443,1.14587,5.37713,0.45453,0.40288,0.39802,143.89733,4.37585,-3.58744,0.02502,0.02508,-0.21029,0.06211,20.65825,21.43912
"10","2016_Q3",6.8575,"Down",1529143000,-1523467000,5676000,-4528000,-4528000,1148000,954000,860000,2102000,150000,2252000,-863000,1389000,1389000,1389000,1389000,3375000,3375000,22557000,22557000,239779000,81861000,648000,347572000,3009000,4836000,7662000,2178000,4884000,15507000,363079000,63531000,56059000,7472000,162500000,74668000,54738000,300699000,312000,0,312000,301011000,22647000,39421000,62068000,62068000,363079000,1389000,303000,87000,22017000,23796000,-385000,-8471000,-11192000,-347000,-14400000,474000,-14273000,-1669000,-1669000,-1669000,1451000,162500000,23946000,0.00371,0.00075,0.00091,0.02238,0.00383,17.23974,1.15588,4.8497,0.44756,0.09959,0.0975599999999999,109.63956,4.45028,1.71693,0.02488,0.00772,0.10648,0.24982,109.66575,138.61063
