"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",33.6567741935484,"Up",2097605000,-1287466000,810139000,-451943000,-451943000,358196000,-34105000,-30399000,-3706000,324091000,324091000,-90761000,233330000,241046000,241046000,241046000,794099000,794099000,1412311000,1412311000,923389000,150793000,107011000,3280592000,1113918000,5515635000,1344594000,4047293000,123748000,6629553000,9910145000,1043102000,607164000,13377000,422561000,3134000,326659000,1372895000,2192162000,1132422000,506577000,625845000,3324584000,4697479000,5212666000,9910145000,233330000,90315000,-5606000,-32226000,285813000,-62979000,0,5637000,-57342000,-63419000,-469000,-175943000,-239831000,-11360000,-675000,8809000,8134000,448511000,2195296000,444067000,0.38622,0.17076,0.11491,0.04624,0.02432,1.84225,2.38954,0.90117,0.22152,1.07121,1.05829,9.32175,1.97343,0.28183,7,0.03565,0.052,0.2631,3.12411,3.91182
"12","2013_Q1",39.2011666666667,"Up",536140000,-289472000,246668000,-148940000,-148940000,97728000,-31963000,-31124000,-839000,65765000,65765000,-40585000,25180000,159860000,159860000,159860000,800076000,800076000,1225898000,1225898000,872841000,526574000,79094000,3425389000,1167052000,5851502000,1625420000,4114650000,111432000,7018554000,10443943000,1120230000,651358000,30920000,437952000,610766000,464590000,2195586000,2189350000,1139777000,462244000,677533000,3329127000,5524713000,4919230000,10443943000,25180000,-31226000,15828000,268086000,277868000,60887000,-726163000,7184000,-658092000,-61826000,604517000,-327379000,192304000,-187920000,-9003999.99999999,14981000,5977000.00000001,66502000.0000001,2800116000,436060000,0.46008,0.18228,0.29817,0.0325,0.01531,2.72776,1.56013,1.12308,0.26811,0.72867,0.71935,2.44382,1.98764,0.28181,6,0.02502,0.04922,0.38675,30.07488,20.46537
"13","2013_Q2",41.56875,"Up",1763977000,-1082359000,681618000,-416437000,-416437000,265181000,-27395000,-30284000,2889000,237786000,237786000,-70573000,167213000,210003000,210003000,210003000,571359000,571359000,1309446000,1309446000,905952000,539029000,65898000,3325786000,1141477000,5767651000,1574664000,4081545000,111442000,6909128000,10234914000,1015508000,648409000,27199000,339900000,702598000,438165000,2156271000,2189521000,1127341000,487878000,639463000,3316862000,5473133000,4761781000,10234914000,167213000,70702000,44000,-180246000,57713000,-22618000,0,1125000,-21493000,-60297000,91849000,-284224000,-252672000,-216452000,-220235000,-8482000,-228717000,335883000,2892119000,203592000,0.38641,0.15033,0.11905,0.0441,0.02052,0.96947,1.54238,1.14939,0.28257,0.97799,0.96619,8.21491,0.94814,0.28081,6,0.03078,0.02318,0.28712,6.90943,8.75161
"14","2013_Q3",48.04765625,"Up",1932411000,-1176593000,755818000,-435620000,-435620000,320198000,-31879000,-30232000,-1647000,288319000,288319000,-30261000,258058000,330049000,330049000,330049000,605950000,605950000,1398829000,1398829000,917217000,498713000,63076000,3420709000,1137645000,5790902000,1564006000,4106345000,120551000,6928547000,10349256000,1061321000,664058000,21839000,375424000,665781000,380182000,2107284000,2189811000,1071289000,480937000,590352000,3261100000,5368384000,4980872000,10349256000,258058000,71809000,16259000,-96738000,249388000,-27854000,-65261000,1926000,-91189000.0000001,-59941000,-36830999.9999999,-61912000,-158684000,-485000,37694000,-3103000,34591000,392007000,2855592000,297676000,0.39113,0.1657,0.1708,0.06626,0.03189,0.90191,1.62328,1.0778,0.27592,1.55804,1.54017,9.12223,1.40522,0.28296,6,0.04378,0.03342,0.18161,5.73878,7.02578
"15","2013_Q4",51.22546875,"Up",1940211000,-1183864000,756347000,-408264000,-408264000,348083000,-30413000,-30236000,-177000,317670000,317670000,-91435000,226235000,269114000,269114000,269114000,739824000,739824000,1437513000,1437513000,949618000,511715000,69857000,3638670000,1148784000,5877676000,1552751000,4158710000,166215000,7026460000,10665130000,1096359000,677994000,8802000,409563000,672135000,383473000,2151967000,2190156000,1038582000,519347000,519235000,3228738000,5380705000,5284425000,10665130000,226235000,72599000,-1919000,-15579000,281336000,-39109000,-49973000,-1050000,-90132000,-63873000,6290000,-26418000,-112479000,78725000,122458000,11416000,133874000,420682000,2862291000,457429000,0.38983,0.1794,0.1387,0.05093,0.02523,1.69976,1.69086,1.01822,0.26838,1.27462,1.25691,9.1895,2.16654,0.30252,7,0.03625,0.0498,0.23735,5.0453,6.09759
"16","2014_Q1",52.2598360655738,"Up",1518497000,-933689000,584808000,-356600000,-356600000,228208000,-25997000,-29902000,3905000,202211000,202211000,-56190000,146021000,193963000,193963000,193963000,803882000,803882000,1076641000,1076641000,715311000,2901201000,62037000,5497035000,787849000,4570297000,1258911000,3108580000,202806000,5358146000,10855181000,893361000,522713000,10469000,360179000,229278000,755230000,1877869000,2599201000,1000715000,491851000,508864000,3599916000,5477785000,5377396000,10855181000,146021000,62923000,34293000,147938000,391175000,-28312000,-131147000,596000,-158863000,-63709000,-41778000,-46395000,-154707000,77605000,65240000,-1182000,64058000,291131000,2828479000,466947000,0.38512,0.15029,0.12773,0.03607,0.01787,2.4074,2.92727,1.01867,0.26056,0.92172,0.90785,7.21594,2.21895,0.30275,7,0.02799,0.05072,0.32846,6.95425,8.87172
"17","2014_Q2",58.9431746031746,"Up",1802570000,-1094710000,707860000,-433404000,-433404000,274456000,-32846000,-32655000,-191000,241610000,241610000,-71569000,170041000,160138000,160138000,160138000,486039000,486039000,1238368000,1238368000,840490000,426193000,74596000,2991090000,817818000,4855482000,1312466000,3329435000,213581000,5673300000,8664390000,938434000,607616000,35146000,295672000,77095000,329908000,1345437000,2602334000,968541000,511826000,456715000,3570875000,4916312000,3748078000,8664390000,170041000,75873000,8501000,-226054000,28361000,-31497000,-109870000,-4236000,-145603000,-63985000,-152247000,-288413000,-151774000,-269016000,-314152000,-3691000,-317843000,350329000,2679429000,164347000,0.39269,0.15226,0.08884,0.04273,0.01848,1.02628,2.22314,1.31169,0.30925,0.76202,0.75199,8.57752,0.78204,0.30447,6,0.0303,0.02222,0.39956,6.26094,7.99177
"18","2014_Q3",59.60296875,"Up",1962636000,-1194537000,768099000,-438824000,-438824000,329275000,-25728000,-31961000,6233000,303547000,303547000,-92966000,210581000,213959000,213959000,213959000,547388000,547388000,1303431000,1303431000,890606000,369988000,101365000,3111413000,821589000,4862072000,1279558000,3350687000,231827000,5683661000,8795074000,953411000,625513000,2624000,325274000,50749000,333270000,1337430000,2596344000,964674000,503792000,460882000,3561018000,4898448000,3896626000,8795074000,210581000,75548000,7912000,-109028000,185013000,-41910000,-28735000,-17530000,-88175000,-62445000,-26298000,-13420000,-114201000,-17363000,59394000,1955000,61349000,404823000,2647093000,346851000,0.39136,0.16777,0.10902,0.05491,0.02433,1.62111,2.32641,1.2571,0.30097,1.03816,1.02351,9.52298,1.68297,0.30299,6,0.03681,0.0462,0.29185,5.18672,6.37675
"19","2014_Q4",52.75859375,"Down",2009575000,-1235153000,774422000,-426160000,-426160000,348262000,-30199000,-31231000,1032000,318063000,318063000,-92380000,225683000,231844000,231844000,231844000,706234000,706234000,1338586000,1338586000,908048000,174350000,105299000,3127218000,818730000,5013238000,1327232000,3446317000,239689000,5831968000,8959186000,1010498000,649805000,7305000,353388000,153066000,311131000,1474695000,2570257000,992295000,533994000,458301000,3562552000,5037247000,3921939000,8959186000,225683000,74481000,8297000,-16449000,292012000,-25427000,-48833000,0,-74260000,-66203000,100952000,-72487000,-38534000,179218000,175726000,-16880000,158846000,422743000,2723323000,473247000,0.38537,0.1733,0.11537,0.05911,0.02588,2.04123,2.12059,1.28438,0.30397,1.12801,1.11245,9.77734,2.30252,0.3221,7,0.03902,0.06196,0.28555,4.77143,5.79187
"20","2015_Q1",49.2649180327869,"Down",1977947000,-1254079000,723868000,-460377000,-460377000,263491000,-32504000,-31332000,-1172000,230987000,230987000,-59152000,171835000,169294000,169294000,169294000,681581000,681581000,1186746000,1186746000,863737000,429076000,101905000,3161140000,837069000,5032082000,1369520000,3491557000,171005000,5869151000,9030291000,994616000,615332000,10566000,368718000,777956000,316995000,2089567000,2253041000,986958000,504618000,482340000,3239999000,5329566000,3700725000,9030291000,171835000,81286000,-11823000,203480000,444778000,-52826000,-423468000,1775000,-474519000,-65854000,322527000,-206420000,49020000,19279000,-2843000,-21810000,-24653000,344777000,3030997000,554583000,0.36597,0.13321,0.08559,0.04575,0.01875,3.27586,1.51282,1.44014,0.33565,0.83118,0.82301,9.71108,2.72282,0.32332,6,0.03046,0.07185,0.38899,6.81431,8.91649
