"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",6.99125,"Up",7589000,-6664000,-3458000,-1610000,925000,-6388000,-7454000,1066000,-5463000,-5463000,1931000,-3532000,-3532000,-3532000,-3532000,25581000,25581000,1538000,1538000,3014000,880000,2134000,30133000,194761000,262023000,-67262000,13504000,12772000,732000,208265000,238398000,7962000,1001000,6961000,143000,1643000,1639000,9748000,114486000,98373000,1861000,76779000,212859000,222607000,21275000,15791000,15791000,238398000,-3532000,1610000,1109000,-4088000,-4901000,-1263000,2351000,1088000,-1243000,17094000,-6247000,17976000,14163000,14163000,14163000,2535000,114629000,-4747000,0.12189,-0.46541,-0.22367,-0.01482,1.344,3.0912,14.09708,0.48083,-0.18422,-0.18422,0.39583,0.82364,-0.2476,0.06483,-0.01,-0.02075,-0.35193,35.12742,96.26811
"2","2016_Q4",6.98603174603175,"Down",8180000,-5292000,-2207000,-1524000,2888000,-801999.999999998,-1310000,508000,2086000,2086000,-8e+05,1286000,1286000,1286000,1286000,26282000,26282000,1509000,1509000,3338000,1132000,2206000,31129000,196325000,267692000,-71367000,13658000,12772000,886000,209983000,241112000,10754000,2653000,8101000,138000,1506000,1504000,12398000,114464000,98363000,2426000,76204000,212827000,225225000,20399000,15887000,15887000,241112000,1286000,1524000,661000,1162000,4633000,-1879000,44000,-1835000,-1331000,-36000,-730000,-2097000.00000001,701000,701000,701000,4412000,114602000,4495000,0.35306,0.15721,0.08095,0.00533,3.49533,2.51081,14.17669,0.47531,0.0656800000000001,0.06558,0.41775,0.81134,0.22956,0.06797,0.01144,0.01964,1.03499,20.01813,30.58172
"3","2017_Q1",7.41129032258065,"Up",7214000,-6276000,-3329000,-1528000,938000,-824000,-1265000,441000,114000,114000,-66000,48000,48000,48000,48000,20498000,20498000,1471000,1471000,2771000,819000,1952000,24740000,200489000,273366000,-72877000,13590000,12772000,818000,214079000,238819000,9393000,1791000,7602000,25000,1483000,1482000,10901000,114317000,98612000,2585000,76287000,212929000,223830000,19164000,14989000,14989000,238819000,48000,1528000,1005000,-2854000,-273000,-4075000,35000,-4040000,-1302000,-270000,101000,-1471000,-5784000,-5784000,-5784000,2466000,114342000,-4397000,0.13002,0.00665,0.0032,2e-04,-91.60417,2.26952,14.93295,0.47878,0.00245,0.00245,0.36823,0.7651,-0.22444,0.06646,0.00592,-0.01929,27.125,38.05515,100.04691
"4","2017_Q2",7.9552380952381,"Up",6791000,-5690000,-2570000,-1646000,1101000,-742000,-1308000,566000,359000,359000,-170000,189000,189000,189000,189000,14807000,14807000,1328000,1328000,2871000,796000,2075000,19006000,207349000,281428000,-74079000,13690000,12772000,918000,221039000,240045000,11501000,3039000,8462000,7000.00000000001,1414000,1406000,12922000,114280000,98606000,2440000,76427000,212886000,225808000,18702000,14237000,14237000,240045000,189000,1646000,257000,7000,2099000,-6505000,-7000,-6512000,-1322000,-67000,111000,-1278000,-5691000,-5691000,-5691000,2747000,114287000,-3581000,0.16213,0.02783,0.01328,0.00079,-18.94709,1.47082,15.86064,0.47611,0.00965,0.00963,0.34681,0.72707,-0.18288,0.06751,0.00665,-0.01577,6.99471,36.21405,90.35422
"5","2017_Q3",8.39873015873016,"Up",8145000,-6433000,-3174000,-1808000,1712000,-996000,-1299000,303000,716000,716000,-291000,425000,425000,425000,425000,9125000,9125000,1679000,1679000,3543000,1201000,2342000,14347000,209898000,282084000,-72186000,13532000,12772000,760000,223430000,237777000,8748000,845000,7903000,9000,1428000,1423000,10185000,114349000,99979000,2981000,77259000,214328000,224513000,16825000,13264000,13264000,237777000,425000,1808000,1308000,-1962000,1579000,-6266000,4000,-6262000,-1333000,-13000,159000,-999000,-5682000,-5682000,-5682000,3520000,114358000,-4417000,0.21019,0.05218,0.03204,0.00179,-10.39294,1.40864,16.92649,0.48095,0.02169,0.02163,0.41578,0.67709,-0.22547,0.06805,0.00772,-0.01941,3.13647,29.89574,61.46787
"6","2017_Q4",8.39793650793651,"Down",8472000,-5662000,-2378000,-1710000,2810000,-841000,-1268000,427000,1969000,1969000,-766000,1203000,1203000,1203000,1203000,7838000,7838000,1588000,1588000,3294000,914000,2380000,12720000,211837000,285623000,-73786000,13614000,12772000,842000,225451000,238171000,9068000,241000,8827000,8000,1403000,1401000,10479000,114355000,99952000,3719000,76494000,214307000,224786000,15743000,13385000,13385000,238171000,1203000,1710000,1041000,648000,4602000,-3831000,-209000,-4040000,-1357000,0,-679000,-1849000,-1287000,-1287000,-1287000,4520000,114363000,2103000,0.33168,0.142,0.08988,0.00505,1.74813,1.21386,16.79387,0.48017,0.06132,0.06117,0.43185,0.68228,0.1072,0.06917,0.01124,0.00924,1.12801,23.56748,37.90925
"7","2018_Q1",7.92524590163934,"Down",7800000,-6079000,-2747000,-1744000,1721000,-815000,-1231000,416000,906000,906000,1828000,2734000,2734000,2734000,2734000,5248000,5248000,1528000,1528000,2889000,7e+05,2189000,9665000,213459000,289051000,-75592000,15444000,12772000,2672000,228903000,238568000,7573000,321000,7252000,8000,1395000,1395000,8976000,114363000,100369000,3114000,77509000,214732000,223708000,14484000,14860000,14860000,238568000,2734000,1744000,-219000,-1383000,2876000,-4283000,99000,-4184000,-1387000,-4000,109000,-1282000,-2590000,-2590000,-2590000,3465000,114371000,-4029000,0.22064,0.35051,0.18398,0.01146,-1.47366,1.07676,15.05437,0.47941,0.13926,0.13919,0.39731,0.75693,-0.20523,0.07065,0.01795,-0.01755,0.50732,31.49293,63.40674
"8","2018_Q2",8.1865625,"Up",7425000,-6061000,-2753000,-1799000,1364000,-903000,-1224000,321000,461000,461000,-141000.000000001,320000.000000001,320000.000000001,320000.000000001,320000.000000001,6915000,6915000,1354000,1354000,2946000,684000,2262000,11215000,212766000,287160000,-74394000,15413000,12772000,2641000,228179000,239394000,9408000,1576000,7832000,29000,1381000,1381000,10818000,114444000,100245000,3228000,77271000,214689000,225507000,13191000,13887000,13887000,239394000,320000.000000001,1799000,211000,1657000,3987000,-1101000,1999.99999999988,-1099000,-1391000,-7000,177000,-1221000,1667000,1667000,1667000,3163000,114473000,3860000,0.1837,0.0431,0.02304,0.00134,12.0625,1.0367,16.23871,0.47818,0.0163,0.01627,0.37822,0.70739,0.19663,0.07086,0.00748,0.01689,4.34688,34.00506,78.85484
"9","2018_Q3",8.8652380952381,"Up",10838000,-6734000,-3224000,-1889000,4104000,-1082000,-1296000,214000,3022000,3022000,-766000,2256000,2256000,2256000,2256000,3778000,3778000,1705000,1705000,3308000,769000,2539000,8791000,212734000,287564000,-74830000,17114000,12772000,2599000,229848000,238639000,8005000,523000,7482000,39000,1374000,1374000,9418000,114472000,99161000,3966000,77837000,213633000,223051000,12636000,15588000,15588000,238639000,2256000,1889000,1387000,-4220000,1312000,-1357000,-2605000,-3962000,-1395000,-8000,166000,-487000,-3137000,-3137000,-3137000,5993000,114511000,1182000,0.37867,0.20816,0.14473,0.00945,0.52394,0.93343,14.30915,0.47985,0.11487,0.11462,0.55182,0.79367,0.06018,0.07103,0.01593,0.00516,0.61835,18.47706,26.98173
"10","2018_Q4",9.49428571428571,"Up",8999000,-6943000,-3328000,-1807000,2056000,-1202000,-1336000,134000,854000,854000,-221000,633000,633000,633000,633000,20173000,20173000,1776000,1776000,3523000,1023000,2500000,25472000,211685000,288363000,-76678000,17052000,12772000,2537000,228737000,254209000,9635000,366000,9269000,46000,1416000,1416000,11097000,114509000,99161000,4162000,77641000,213670000,224767000,25858000,29442000,29442000,254209000,633000,1807000,1220000,1217000,4877000,-946000,-17999.9999999995,-964000.000000001,-1522000,3000,-1949000,12482000,16395000,16395000,16395000,3863000,114555000,4355000,0.22847,0.07034,0.0215,0.00249,6.87994,2.2954,7.63423,0.45063,0.03002,0.02997,0.42673,1.39612,0.20651,0.07217,0.00886,0.01791,2.40442,24.43231,45.90564
