"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","accounts_notes_receivable","net_loans","net_fixed_assets","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.535873015873,"Up",6.56e+09,1.307e+09,1.905e+09,-5.98e+08,5.253e+09,1.406e+09,3.847e+09,-9.43e+08,5.617e+09,-4.365e+09,-3.804e+09,1.252e+09,1.252e+09,1.252e+09,-3.67e+08,8.85e+08,8.85e+08,8.85e+08,8.85e+08,3.29e+08,1.8893e+10,2.0217e+10,3.3197e+10,5.2721e+10,2.731e+09,1.2499e+10,1.43314e+11,2.812e+10,1.931e+09,7.2293e+10,2.7545e+10,1.29889e+11,1.154e+10,2.925e+09,-1.04e+09,1.3425e+10,1.3425e+10,1.43314e+11,8.85e+08,8.85e+08,2.21e+08,9.43e+08,2.13e+08,0,2.262e+09,-1.47e+08,2.344e+09,2.636e+09,-2.54e+08,7.68e+09,-2.16e+08,-5.389e+09,1.21e+08,1.823e+09,-3.661e+09,6.281e+09,6.281e+09,2.8e+07,6.309e+09,1.473e+09,7.4224e+10,1.693e+09,0.19085,0.13491,0.06592,0.00618,1.91299,9.67516,0.51791,0.74684,0.74307,5.53586,11.32911,1.42869,0.18228,0.00768,0.01181,0.24407,50.16633,59.02157
"2","2010_Q3",35.380625,"Down",6.805e+09,1.188e+09,1.798e+09,-6.1e+08,5.617e+09,1.451e+09,4.166e+09,-6.52e+08,6.153e+09,-4.558e+09,-3.922e+09,1.595e+09,1.595e+09,1.595e+09,-5.78e+08,1.017e+09,1.017e+09,1.017e+09,1.017e+09,1.85e+09,1.8423e+10,1.7742e+10,3.4188e+10,5.2815e+10,2.714e+09,1.3173e+10,1.43763e+11,2.8352e+10,2.609e+09,6.9345e+10,2.8944e+10,1.2925e+11,1.1825e+10,3.724e+09,-1.036e+09,1.4513e+10,1.4513e+10,1.43763e+11,1.017e+09,1.017e+09,2.2e+08,6.52e+08,6.17e+08,-3.18e+08,2.188e+09,-1.75e+08,1.023e+09,-2.269e+09,-2.98023223876953e-08,-2.195e+09,-2.17e+08,-2.378e+09,1.74e+08,2.45e+08,-2.176e+09,-2.183e+09,-2.183e+09,-3.8e+07,-2.221e+09,1.815e+09,7.1954e+10,1.9e+09,0.23439,0.14945,0.07008,0.00707,1.86824,8.90581,0.5005,0.85462,0.84962,5.71849,12.1958,1.59664,0.18235,0.00858,0.01322,0.21337,38.62479,43.95235
"3","2010_Q4",35.6225,"Up",6.973e+09,1.184e+09,1.794e+09,-6.1e+08,5.789e+09,1.525e+09,4.264e+09,-3.73e+08,6.6e+09,-4.96e+09,-4.259e+09,1.64e+09,1.64e+09,1.64e+09,-5.47e+08,1.093e+09,1.093e+09,1.093e+09,1.093e+09,2.159e+09,1.8784e+10,1.7568e+10,3.4751e+10,5.3282e+10,2.799e+09,1.3432e+10,1.46056e+11,2.8365e+10,1.919e+09,6.8828e+10,3.1024e+10,1.30136e+11,1.1955e+10,4.582e+09,-6.17e+08,1.592e+10,1.592e+10,1.46056e+11,1.093e+09,1.093e+09,2.48e+08,3.73e+08,9e+07,9.73e+08,2.777e+09,-2.64e+08,3.36e+08,-3.01e+08,0,-1.87e+08,-2.17e+08,-1.898e+09,8e+07,-1.3e+07,-2.048e+09,5.42e+08,5.42e+08,1.12e+08,6.54e+08,1.888e+09,7.0747e+10,3.144e+09,0.23519,0.15675,0.06866,0.00748,2.87649,8.17437,0.48438,0.91695,0.91312,5.84983,13.3557,2.63758,0.18205,0.00897,0.02153,0.19854,36.32839,41.82195
"4","2011_Q1",37.9145161290323,"Up",7.244e+09,9.71e+08,1.576e+09,-6.05e+08,6.273e+09,1.743e+09,4.53e+09,-2.39e+08,7.005e+09,-5.528e+09,-7.426e+09,1.477e+09,1.477e+09,1.477e+09,-4.15e+08,1.062e+09,1.062e+09,1.062e+09,1.062e+09,2.145e+09,1.3557e+10,1.4664e+10,3.688e+10,5.7616e+10,2.905e+09,1.5368e+10,1.46689e+11,2.9727e+10,3.414e+09,6.6416e+10,3.0902e+10,1.30459e+11,1.2175e+10,4.972e+09,-9.17e+08,1.623e+10,1.623e+10,1.46689e+11,1.062e+09,1.062e+09,2.28e+08,2.39e+08,5.02e+08,-5.29e+08,1.502e+09,-2.92e+08,2.755e+09,-6.455e+09,-1.46e+08,-6.527e+09,-2.17e+08,-8.25e+08,-3.02e+08,1.351e+09,6999999.99999952,-5.018e+09,-5.018e+09,3.3e+07,-4.985e+09,1.705e+09,6.983e+10,1.299e+09,0.20389,0.1466,0.06543,0.00724,1.22316,8.03814,0.47604,0.8962,0.8887,6.11308,13.6962,1.0962,0.18312,0.00872,0.00886,0.20433,39.69795,45.826
"5","2011_Q2",41.4788888888889,"Up",7.031e+09,1.07e+09,1.663e+09,-5.93e+08,5.961e+09,1.584e+09,4.377e+09,-9.7e+07,6.934e+09,-5.202e+09,-4.539e+09,1.732e+09,1.732e+09,1.732e+09,-5.55e+08,1.177e+09,1.177e+09,1.177e+09,1.177e+09,1.927e+09,1.9549e+10,1.1053e+10,3.7229e+10,5.5232e+10,2.987e+09,1.2445e+10,1.43979e+11,3.1756e+10,3.375e+09,6.073e+10,3.0636e+10,1.26497e+11,1.2429e+10,5.902e+09,-8.49e+08,1.7482e+10,1.7482e+10,1.43979e+11,1.177e+09,1.177e+09,2.27e+08,9.7e+07,-5.3e+07,-9.11e+08,5.37e+08,-2.55e+08,3.521e+09,2.522e+09,-5.77e+08,8.663e+09,-2.17e+08,-5.639e+09,2.29e+08,2.011e+09,-3.616e+09,5.584e+09,5.584e+09,8.7e+07,5.671e+09,1.959e+09,6.4105e+10,1.348e+09,0.24634,0.1674,0.06733,0.00817,1.14528,7.23584,0.44524,0.98742,0.98247,5.89849,14.66611,1.13087,0.18205,0.00968,0.00936,0.18437,31.73966,35.89954
"6","2011_Q3",41.6240625,"Up",7.618e+09,1.083e+09,1.66e+09,-5.77e+08,6.535e+09,1.72e+09,4.815e+09,-3.57e+08,7.261e+09,-5.496e+09,-4.751e+09,1.765e+09,1.765e+09,1.765e+09,-4.7e+08,1.295e+09,1.331e+09,1.331e+09,1.331e+09,2.253e+09,2.0361e+10,9.897e+09,3.9728e+10,5.6566e+10,3.062e+09,1.2274e+10,1.47796e+11,3.2291e+10,3.702e+09,6.1395e+10,3.2203e+10,1.29591e+11,1.2519e+10,6.437e+09,-7.51e+08,1.8205e+10,1.8205e+10,1.47796e+11,1.295e+09,1.331e+09,2.78e+08,3.57e+08,5.89e+08,9.2e+08,3.439e+09,-3.03e+08,1.219e+09,-4.091e+09,-5e+06,-3.156e+09,-2.16e+08,986999999.999999,-5.49e+08,5.34e+08,7.56e+08,1.039e+09,1.039e+09,1.6e+07,1.055e+09,2.043e+09,6.5097e+10,3.13e+09,0.23169,0.17472,0.07311,0.00901,2.35162,7.11843,0.44045,1.11849,1.11195,6.40168,15.29832,2.63025,0.18151,0.01047,0.02118,0.16228,30.76065,35.60567
"7","2011_Q4",40.8861904761905,"Down",7.571e+09,1.113e+09,1.688e+09,-5.75e+08,6.458e+09,1.706e+09,4.752e+09,-2.49e+08,7.322e+09,-5.611e+09,-7.019e+09,1.711e+09,1.711e+09,1.711e+09,-4.76e+08,1.235e+09,1.235e+09,1.235e+09,1.235e+09,1.942e+09,2.2608e+10,9.664e+09,3.9371e+10,5.6427e+10,3.187e+09,1.1977e+10,1.48693e+11,3.3142e+10,3.649e+09,6.1767e+10,3.2035e+10,1.30593e+11,1.2383e+10,6.52e+09,-8.03e+08,1.81e+10,1.81e+10,1.48693e+11,1.235e+09,1.235e+09,2.28e+08,2.49e+08,7.36e+08,-5e+07,2.398e+09,-3.27e+08,1.4e+07,-4.02e+08,-2.8e+07,-5.61e+08,-2.13e+08,5.88e+08,-1.123e+09,9.1e+08,1.62e+08,1.999e+09,1.999e+09,-1.36e+08,1.863e+09,1.939e+09,6.5416e+10,2.038e+09,0.22599,0.16312,0.06823,0.00831,1.6502,7.21508,0.43994,1.05106,1.04572,6.4434,15.40426,1.73447,0.18128,0.00974,0.01371,0.17247,32.73543,37.0976
"8","2012_Q1",45.2696774193548,"Up",7.742e+09,1.11e+09,1.685e+09,-5.75e+08,6.632e+09,1.678e+09,4.954e+09,-4.09e+08,7.333e+09,-5.585e+09,-5.585e+09,1.748e+09,1.748e+09,1.748e+09,-5.56e+08,1.192e+09,1.192e+09,1.192e+09,1.192e+09,3.514e+09,2.0572e+10,7.954e+09,4.0452e+10,6.1166e+10,3.367e+09,1.2655e+10,1.53337e+11,3.7898e+10,4.337e+09,5.957e+10,3.2738e+10,1.34543e+11,1.2449e+10,7.221e+09,-8.76e+08,1.8794e+10,1.8794e+10,1.53337e+11,1.192e+09,1.192e+09,1.85e+08,4.09e+08,-1.53e+08,1.761e+09,3.394e+09,-3.04e+08,1.338e+09,-6.387e+09,-2.98023223876953e-08,-5.437e+09,-2.15e+08,-2.278e+09,-2.63e+08,4.777e+09,2.021e+09,-2.2e+07,-2.2e+07,-3e+07,-51999999.9999995,1.933e+09,6.3907e+10,3.946e+09,0.22578,0.15397,0.06342,0.00777,3.3104,7.15883,0.41677,1.03203,1.02759,6.70303,16.27186,3.41645,0.18615,0.00918,0.02573,0.18037,31.24315,34.54977
"9","2012_Q2",49.478253968254,"Up",7.587e+09,1.133e+09,1.707e+09,-5.74e+08,6.454e+09,1.644e+09,4.81e+09,-4.12e+08,7.175e+09,-5.402e+09,-5.402e+09,1.773e+09,1.773e+09,1.773e+09,-5.17e+08,1.256e+09,1.256e+09,1.256e+09,1.256e+09,3.063e+09,2.3804e+10,6.894e+09,4.1083e+10,5.8882e+10,3.451e+09,1.178e+10,1.51784e+11,3.8219e+10,3.758e+09,5.6844e+10,3.3056e+10,1.31877e+11,1.2669e+10,8.015e+09,-7.77e+08,1.9907e+10,1.9907e+10,1.51784e+11,1.256e+09,1410501024.32605,2.54e+08,4.12e+08,1.4e+08,1.37e+09,3.432e+09,-2.66e+08,5.68e+08,1.724e+09,-2e+06,1.948e+09,-2.11e+08,-3.432e+09,6e+07,2.67e+08,-3.316e+09,2.064e+09,2.064e+09,1.25e+08,2.189e+09,2.027e+09,6.0602e+10,3.648e+09,0.23369,0.16555,0.06309,0.00827,2.90446,6.62465,0.39926,1.08276,1.07719,6.54052,17.16121,3.14483,0.1819,0.00967,0.02403,0.16799,28.38629,32.4529
"10","2012_Q3",49.8587301587302,"Up",7.965e+09,1.121e+09,1.671e+09,-5.5e+08,6.844e+09,1.711e+09,5.133e+09,-4.61e+08,7.504e+09,-5.625e+09,-5.625e+09,1.879e+09,1.879e+09,1.879e+09,-5.4e+08,1.339e+09,1.339e+09,1.339e+09,1.339e+09,3.053e+09,1.8949e+10,6.396e+09,4.1148e+10,5.991e+10,3.442e+09,1.2459e+10,1.48128e+11,3.5961e+10,3.553e+09,5.5953e+10,3.3394e+10,1.28861e+11,1.2501e+10,7.717e+09,-9.51e+08,1.9267e+10,1.9267e+10,1.48128e+11,1.339e+09,1575447046.26144,2.53e+08,4.61e+08,2.43e+08,1.014e+09,3.31e+09,-2.3e+08,3.14e+08,-2.358e+09,-4.55e+08,-3.719e+09,-2.35e+08,-8.25e+08,-1.64e+09,-1.77e+09,-4.47e+09,-4.879e+09,-4.879e+09,-1.31e+08,-5.01e+09,2.132e+09,5.9506e+10,3.456e+09,0.23591,0.16811,0.0695,0.00904,2.58103,6.68817,0.40172,1.16943,1.16233,6.95633,16.82707,3.01834,0.20524,0.01063,0.02333,0.1755,26.47889,30.04417
