"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",10.19578125,"Up",18726000,-7935000,10791000,-13330000,-10702000,-7805000,-2897000,-2628000,-2539000,0,0,-2539000,-2539000,-97000,-2636000,-2636000,-2636000,-2636000,80698000,11377000,69321000,8736000,8736000,11106000,1976000,1947000,102516000,1301000,3106000,316000,4407000,106923000,11693000,2718000,8975000,8745000,8745000,20438000,5776000,4596000,1180000,5776000,26214000,104298000,-23607000,80709000,80709000,106923000,-2636000,329000,1109000,-64000,-1262000,-107000,1226000,1119000,655000,655000,618000,475000,475000,475000,-2210000,0,-2284000,0.57626,-0.13559,-0.14077,-0.03266,-0.02465,0.86646,5.01595,0.3248,0,-0.18386,-0.18386,1.30613,5.62942,-0.15931,4,-0.03048,-0.02641,36.51493,31.78338
"20","2015_Q1",13.0398360655738,"Up",25499000,-11679000,13820000,-15412000,-12763000,-9356000,-3407000,-2649000,-1592000,8000,8000.00000000003,-1584000,-1584000,-41000,-1625000,-1625000,-1625000,-1625000,81146000,9803000,71343000,11137000,11137000,10988000,1617000,1591000,104888000,1461000,2564000,269000,4025000,108913000,14090000,3083000,11007000,8898000,8898000,22988000,5417000,4346000,1071000,5417000,28405000,105735000,-25232000,80508000,80508000,108913000,-1625000,347000,1635000,111000,468000,-344000,-2099000,-2443000,592000,592000,401000,-1574000,-1574000,-1574000,-1245000,1.05879118406788e-22,-1437000,0.54198,-0.06243,-0.06373,-0.02018,-0.01492,0.88431,4.56273,0.35282,0,-0.11265,-0.11265,1.76769,5.58114,-0.09962,3,-0.01891,-0.01672,65.17751,50.97111
"21","2015_Q2",14.2915873015873,"Up",19071000,-9052000,10019000,-13621000,-11176000,-8187000,-2989000,-2445000,-3602000,8000,8000,-3594000,-3594000,-50000,-3644000,-3644000,-3644000,-3644000,76057000,13462000,62595000,10400000,10400000,11855000,1725000,1699000,100037000,1545000,2442000,291000,3987000,104024000,11801000,2855000,8946000,8971000,8971000,20772000,4679000,3714000,965000,4679000,25451000,107423000,-28876000,78573000,78573000,104024000,-3644000,327000,1067000,-3764000,-6014000,-407000,8689000,8282000,1452000,6002000,1391000,3659000,3659000,3659000,-3275000,0,-7396000,0.52535,-0.18887,-0.19108,-0.04638,-0.03503,2.02964,4.81595,0.32392,0,-0.2494,-0.2494,1.30525,5.37766,-0.50619,1,-0.04377,-0.08884,23.22351,21.11521
"22","2015_Q3",14.84953125,"Up",22563000,-9687000,12876000,-14808000,-12080000,-9066000,-3014000,-2728000,-1932000,96000,96000,-1836000,-1836000,-53000,-1889000,-1889000,-1889000,-1889000,66335000,11627000,54708000,8919000,8919000,13521000,1652000,1625000,90427000,1512000,2305000,283000,3817000,94244000,13905000,3597000,10308000,8659000,8659000,22564000,3986000,3107000,879000,3986000,26550000,98442000,-30765000,67694000,67694000,94244000,-1889000,295000,1121000,1853000,1380000,-271000,7778000,7507000,-10688000,2506000,-10722000,-1835000,-1835000,-1835000,-1637000,1.6940658945086e-21,-2000,0.57067,-0.08563,-0.08372,-0.0279,-0.02004,0.00105999999999939,4.00758,0.39221,-2.52435489670724e-29,-0.12674,-0.12674,1.51379,4.5417,-0.000129999999999852,5,-0.02635,-3.00000000000022e-05,40.5223,34.33489
"23","2015_Q4",13.53953125,"Down",23085000,-9594000,13491000,-14475000,-11727000,-8790000,-2937000,-2748000,-984000,84000,84000,-9e+05,-9e+05,-57000,-957000,-957000,-957000,-957000,47744000,10055000,37689000,9013000,9013000,13479000,2046000,1977000,72282000,1386000,2249000,291000,3635000,75917000,14893000,2659000,12234000,8470000,8470000,23363000,3220000,2495000,725000,3220000,26583000,81056000,-31722000,49334000,49334000,75917000,-957000,290000,1012000,-959000,-614000,-25000,16941000,16916000,-17826000,1046000,-17874000,-1572000,-1572000,-1572000,-694000,0,-1621000,0.58441,-0.04263,-0.04146,-0.0194,-0.01261,1.69383,3.09387,0.53884,0,-0.07166,-0.07166,1.7287,3.69432,-0.12139,5,-0.01821,-0.03084,68.79539,48.52033
"24","2016_Q1",11.3532786885246,"Down",30042000,-12145000,17897000,-15900000,-13088000,-9899000,-3189000,-2812000,1997000,105000,105000,2102000,2102000,-52000,2050000,2050000,2050000,2050000,48407000,10868000,37539000,11669000,11669000,12078000,1675000,1675000,73829000,1473000,2216000,350000,3689000,77518000,15793000,1959000,13834000,8638000,8638000,24431000,3053000,2287000,766000,3053000,27484000,79795000,-29672000,50034000,50034000,77518000,2050000,274000,1111000,454000,3889000,-43000,-16000,-59000,-1944000,1525000,-3017000,813000,813000,813000,2271000,-2.71050543121376e-20,2734000,0.59573,0.06647,0.06824,0.04097,0.02645,1.33366,3.02194,0.54931,0,0.15806,0.15806,2.31627,3.85767,0.21079,7,0.03862,0.0515,-21.31528,-24.23986
"25","2016_Q2",10.970625,"Down",22423000,-9949000,12474000,-14645000,-11936000,-8716000,-3220000,-2709000,-2171000,144000,144000,-2027000,-2027000,-24000,-2051000,-2051000,-2051000,-2051000,44449000,6265000,38184000,11168000,11168000,13475000,1953000,1953000,71045000,1428000,2221000,376000,3649000,74694000,13649000,2570000,11079000,8836000,8836000,22485000,2620000,1986000,634000,2620000,25105000,81332000,-31723000,49589000,49589000,74694000,-2051000,240000,1344000,-3577000,-4044000,-97000,-624000,-721000,465000,744000,162000,-4603000,-4603000,-4603000,-1931000,0,-5581000,0.5563,-0.09682,-0.09147,-0.04136,-0.02746,2.72111,3.15966,0.50626,0,-0.15765,-0.15765,1.72352,3.81161,-0.42898,4,-0.03928,-0.1069,23.01864,20.47398
"26","2016_Q3",11.1021875,"Up",27477000,-11472000,16005000,-17421000,-14709000,-10712000,-3997000,-2712000,-1416000,217000,217000,-1199000,-1199000,-30000,-1229000,-1229000,-1229000,-1229000,43322000,7420000,35902000,11181000,11181000,14702000,2619000,2619000,71824000,1577000,2232000,401000,3809000,75633000,15953000,2752000,13201000,8919000,8919000,24872000,2429000,1685000,744000,2429000,27301000,81322000,-32952000,48332000,48332000,75633000,-1229000,244000,675000,2000.00000000047,-308000,-34000,2257000,2223000,-380000,2206000,-760000,1155000,1155000,1155000,-1172000,-4.33680868994202e-19,-1174000,0.58249,-0.05153,-0.04473,-0.02543,-0.01625,0.95525,2.88775,0.56486,0,-0.0935900000000001,-0.09359,2.09237,3.68048,-0.0894000000000001,5,-0.02421,-0.02313,36.96416,30.59463
"27","2016_Q4",14.9571428571429,"Up",30281000,-12538000,17743000,-16204000,-13290000,-10574000,-2716000,-2914000,1539000,166000,166000,1705000,1705000,-61000,1644000,1644000,1644000,1644000,46383000,11275000,35108000,11680000,11680000,16478000,2507000,2507000,77048000,1720000,2209000,410000,3929000,80977000,18069000,3283000,14786000,8312000,8312000,26381000,2187000,1426000,761000,2187000,28568000,83771000,-31308000,52409000,52409000,80977000,1644000,249000,588000,-878000,1603000,-163000,711000,548000,1840000,3848000,1704000,3855000,3855000,3855000,1788000,0,808000,0.58594,0.05082,0.05429,0.03137,0.0203,0.49148,2.92059,0.5451,0,0.12489,0.12489,2.30029,3.98124,0.06138,6,0.03011,0.0148,-25.94128,-30.1384
"28","2017_Q1",19.7274193548387,"Up",37875000,-15962000,21913000,-17468000,-14571000,-11561000,-3010000,-2897000,4445000,-204000,-204000,4241000,4241000,-28000,4213000,4213000,4213000,4213000,54074000,13775000,40299000,16547000,16547000,14977000,2251000,2251000,87849000,1907000,2098000,377000,4005000,91854000,19995000,2598000,17397000,8394000,8394000,28389000,2455000,1705000,750000,2455000,30844000,88128000,-27046000,61010000,61010000,91854000,4213000,249000,1121000,-842000,4741000,-223000,-5219000,-5442000,3313000,3313000,3201000,2500000,2500000,2500000,4694000,0,3657000,0.57856,0.11736,0.11123,0.06905,0.04587,0.86803,3.09447,0.50556,-5.16987882845642e-26,0.30992,0.26824,2.78616,4.48801,0.26902,6,0.06638,0.05762,-11.51981,-12.16513
