"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",21.8238095238095,"Up",29299000,-13778000,15521000,-16934000,-13989000,-10773000,-3216000,-2945000,-1413000,273000,273000,-1140000,-1140000,118000,-1022000,-1022000,-1022000,-1022000,48433000,11443000,36990000,17859000,17859000,15672000,2403000,2403000,84367000,1802000,2122000,394000,3924000,88291000,18039000,3089000,14950000,8275000,8275000,26314000,2535000,1801000,734000,2535000,28849000,87583000,-28068000,59442000,59442000,88291000,-1022000,248000,1344000,-4355000,-3785000,-44000,3318000,3274000,-949000,1751000,-1821000,-2332000,-2332000,-2332000,-1165000,0,-5682000,0.52975,-0.04823,-0.03488,-0.01719,-0.01158,5.55969,3.20616,0.48533,0,-0.07384,-0.07384,2.11698,4.29494,-0.41055,3,-0.01649,-0.09168,41.57339,34.27672
"30","2017_Q3",32.9563492063492,"Up",36389000,-15343000,21046000,-19316000,-16335000,-12787000,-3548000,-2981000,1730000,276000,276000,2006000,2006000,-59000,1947000,1947000,1947000,1947000,50949000,18679000,32270000,18191000,18191000,16913000,5130000,2840000,91183000,1867000,2101000,381000,3968000,95151000,23266000,4293000,18973000,8901000,8901000,32167000,2756000,1982000,774000,2756000,34923000,86417000,-26121000,60228000,60228000,95151000,1947000,244000,1237000,4247000,7675000,-126000,2385000,2259000,-2221000,2120000,-2698000,7236000,7236000,7236000,1974000,5.55111512312578e-17,6154000,0.57836,0.04754,0.05351,0.03233,0.02046,3.16076,2.83468,0.57985,8.27180612553028e-25,0.13971,0.12622,2.61115,4.32176,0.44159,5,0.03091,0.09771,-25.81003,-29.45029
"31","2017_Q4",42.1849206349206,"Up",38173000,-15963000,22210000,-15994000,-16527000,-13148000,-3379000,-3467000,6216000,197000,197000,6413000,6413000,-225000,6188000,6188000,6188000,6188000,50476000,14784000,35692000,19604000,19604000,23728000,2894000,2894000,96702000,1842000,2104000,384000,3946000,100648000,28008000,5805000,22203000,8801000,8801000,36809000,2626000,1950000,676000,2626000,39435000,81209000,-19933000,61213000,61213000,100648000,6188000,258000,975000,-3706000,3715000,-220000,-1093000,-1313000,-6040000,695000,-6297000,-3895000,-3895000,-3895000,6474000,0,2773000,0.58182,0.16284,0.1621,0.10109,0.06148,0.44813,2.62713,0.64423,0,0.44279,0.41438,2.73152,4.38018,0.19843,4,0.09693,0.04344,-7.79673,-8.12033
"32","2018_Q1",48.8360655737705,"Up",47632000,-20299000,27333000,-22790000,-19309000,-15362000,-3947000,-3481000,4543000,138000,138000,4681000,4681000,18199000,22880000,22880000,22880000,22880000,35912000,14184000,21728000,20777000,20777000,28782000,2903000,2903000,88374000,2096000,20768000,19055000,22864000,111238000,33850000,7002000,26848000,9461000,9461000,43311000,3034000,2195000,839000,3034000,46345000,62038000,2947000,64893000,64893000,111238000,22880000,266000,-17176000,712000.000000001,6682000,-412000,13886000,13474000,-20522000,869000,-20756000,-6e+05,-6e+05,-6e+05,4809000,-8.88178419700125e-16,-13090000,0.57384,0.09538,0.48035,0.35258,0.20569,-0.57212,2.04045,0.71418,-1.32348898008484e-23,1.66509,1.55509,3.46641,4.72258,-0.95262,5,0.33683,-0.19271,-7.46766,-7.90491000000001
"33","2018_Q2",46.0596875,"Down",34125000,-16791000,17334000,-22083000,-18527000,-13088000,-5439000,-3556000,-4749000,98000,98000,-4651000,-4651000,2619000,-2032000,-2032000,-2032000,-2032000,23972000,10910000,13062000,19862000,19862000,30979000,2601000,2601000,77414000,2214000,28498000,21792000,30712000,108126000,28289000,8206000,20083000,8847000,8847000,37136000,3135000,2168000,967000,3135000,40271000,62071000,5888000,67855000,67855000,108126000,-2032000,254000,-651000,-7618000,-10047000,-104000,8654000,8550000,633000,633000,-1777000,-3274000,-3274000,-3274000,-4495000,0,-14836000,0.50796,-0.13916,-0.05955,-0.02995,-0.01879,7.30118,2.08461,0.59349,0,-0.14955,-0.14955,2.51159,4.99411,-1.09193,1,-0.02862,-0.20899,5.33304,5.0478
"34","2018_Q3",36.4412698412698,"Down",42553000,-20176000,22377000,-24532000,-20437000,-15535000,-4902000,-4095000,-2155000,-129000,-129000,-2284000,-2284000,712000,-1572000,-1572000,-1572000,-1572000,29005000,18432000,10573000,22122000,22122000,30138000,3469000,3469000,84734000,2632000,28365000,21219000,30997000,115731000,33499000,10743000,22756000,9288000,9288000,42787000,3570000,2519000,1051000,3570000,46357000,66305000,3156000,69374000,69374000,115731000,-1572000,290000,2504000,2322000,3544000,-439000,2500000,2061000,2405000,2405000,1917000,7522000,7522000,7522000,-1865000,1.4210854715202e-14,-693999.999999998,0.52586,-0.05064,-0.0369399999999999,-0.0226599999999999,-0.01358,0.441479999999999,1.98037,0.66822,-2.11758236813575e-22,-0.11465,-0.11465,3.10357,5.05973,-0.0506199999999999,3,-0.02155,-0.00950999999999999,15.55228,13.4594
"35","2018_Q4",20.4022222222222,"Down",40573000,-18688000,21885000,-22883000,-19639000,-14479000,-5160000,-3244000,-998000,-49000,31000,-1047000,-1047000,174000,-873000,-873000,-873000,-873000,26884000,21866000,5018000,25444000,25444000,31322000,3716000,3716000,87366000,2784000,28789000,21402000,31573000,118939000,36225000,13321000,22904000,8939000,8939000,45164000,3372000,2380000,992000,3372000,48536000,68194000,2283000,70403000,70403000,118939000,-873000,305000,2560000,-3608000,-1616000,-630000,5550000,4920000,565000,565000,130000,3434000,3434000,3434000,-693000,0,-5105000,0.5394,-0.0246,-0.02152,-0.0124,-0.00734,5.84765,1.93442,0.6894,0,-0.06302,-0.06302,2.92882,5.08215,-0.36851,1,-0.01183,-0.0692,38.79365,26.93788
"36","2019_Q1",15.6775409836066,"Down",45469000,-26683000,18786000,-24276000,-20812000,-15318000,-5494000,-3464000,-5490000,-43000,154558.870185472,-5533000,-5533000,-20760000,-26293000,-26293000,-26293000,-26293000,35575000,26052000,9523000,19637000,19637000,28014000,3972000,3972000,87198000,2672000,7767000,457000,10439000,97637000,34579000,11279000,23300000,13041000,9882000,47620000,3631000,2684000,947000,3631000,51251000,70465000,-24010000,46386000,46386000,97637000,-26293000,360000,23514000,10846000,8427000,-274000,-4484000,-4758000,796000,796000,517000,4186000,4186000,4186000,-5130000,0,26202000,0.41316,-0.12074,-0.57826,-0.56683,-0.26929,-0.996540000000001,1.83112,1.10488,-1.6940658945086e-21,-1.8871,-1.8871,3.2634,3.32922,1.88057,3,-0.52568,0.52386,6.9347,6.47996
"37","2019_Q2",17.8749206349206,"Up",36026000,-18717000,17309000,-25335000,-21629000,-16104000,-5525000,-3706000,-8026000,-79000,118268.407908108,-8105000,-8105000,-115000,-8220000,-8220000,-8220000,-8220000,27097000,19158000,7939000,19136000,19136000,26659000,4864000,4864000,77756000,2407000,17192000,451000,19599000,97355000,32125000,10337000,21788000,14770000,10263000,46895000,11340000,2828000,8512000,11340000,58235000,71413000,-32230000,39120000,39120000,97355000,-8220000,411000,2204000,-2348000,-7953000,-65000,1614000,1549000,131000,131000,-490000,-6894000,-6894000,-6894000,-7615000,0,-9913000,0.48046,-0.22278,-0.22817,-0.21012,-0.08443,1.20596,1.65809,1.48862,0,-0.58643,-0.58643,2.57016,2.7909,-0.70721,2,-0.1629,-0.19645,3.55837,3.37615
"38","2019_Q3",27.48484375,"Up",47774000,-21943000,25831000,-25532000,-22259000,-16992000,-5267000,-3273000,299000.000000001,46000,-32999.9999999999,345000,345000,242999.999999998,588000,588000,588000,588000,31670000,27668000,4002000,24919000,24919000,26889000,4536000,4536000,88014000,2834000,17098000,458000,19932000,107946000,38467000,11441000,27026000,14392000,10717000,52859000,11905000,3142000,8763000,11905000,64764000,74884000,-31642000,43182000,43182000,107946000,588000,404000,3165000,-123000,4034000,-231000,3966000,3735000,1032000,1032000,741000,8510000,8510000,8510000,703000,3.63797880709171e-12,105999.999999996,0.54069,0.00626000000000002,0.01231,0.01362,0.00545000000000001,0.18027,1.66507,1.49979,2.71050543121376e-20,0.0417499999999998,0.0417500000000001,3.39184,3.06581,0.00753000000000081,6,0.01067,0.00191999999999992,-45.04979,-105.91973
"39","2019_Q4",33.79,"Up",46117000,-19884000,26233000,-28641000,-24998000,-17690000,-7308000,-3643000,-2408000,-147000,-147000,-2555000,-2555000,-73000,-2628000,-2628000,-2628000,-2628000,29327000,22879000,6448000,23222000,23222000,34042000,5334000,5334000,91925000,2771000,16540000,459000,19311000,111236000,42236000,14140000,28096000,13030000,10164000,55266000,11980000,3309000,8671000,11980000,67246000,78319000,-34270000,43990000,43990000,111236000,-2628000,369000,4504000,-4520000,-2275000,-183000,-2434000,-2617000,437000,437000,103000,-4789000,-4789000,-4789000,-2039000,0,-6669000,0.56884,-0.05222,-0.05699,-0.05974,-0.02363,2.53767,1.66332,1.52867,0,-0.18529,-0.18529,3.25157,3.1016,-0.47021,3,-0.04695,-0.11915,14.38303,12.17899
"40","2020_Q1",25.2417741935484,"Down",51795000,-23005000,28790000,-30719000,-26256000,-20323000,-5933000,-4463000,-1929000,-19000,-19000,-1948000,-1948000,-140000,-2088000,-2088000,-2088000,-2088000,33921000,26316000,7605000,21556000,21556000,33921000,5648000,5648000,95046000,2817000,15875000,423000,18692000,113738000,42992000,12685000,30307000,15630000,10831000,58622000,9174000,3391000,5783000,9174000,67796000,82360000,-36358000,45942000,45942000,113738000,-2088000,364000,3415000,2286000,3977000,-467000,-1133000,-1600000,1294000,1294000,1060000,3437000,3437000,3437000,-1565000,-2.91038304567337e-11,393999.999999998,0.55585,-0.03724,-0.04031,-0.04545,-0.01836,-0.1887,1.62134,1.47569,0,-0.14467,-0.14467,3.58865,3.18312,0.0273,5,-0.03788,0.00715000000000002,21.67476,17.58476
"41","2020_Q2",13.1825396825397,"Down",32239000,-17903000,14336000,-26465000,-22595000,-14789000,-7806000,-3870000,-12129000,-207000,-207000,-12336000,-12336000,-78000,-12414000,-12414000,-12414000,-12414000,19520000,14774000,4746000,15660000,15660000,36941000,4831000,4831000,76952000,2687000,14791000,408000,17478000,94430000,38267000,14604000,23663000,14149000,10180000,52416000,8478000,2789000,5689000,8478000,60894000,82307000,-48772000,33536000,33536000,94430000,-12414000,360000,3337000,-3249000,-11966000,-230000,2870000,2640000,201000,201000,-2216000,-11542000,-11542000,-11542000,-11769000,0,-15170000,0.44468,-0.37622,-0.38506,-0.37017,-0.13146,1.22201,1.4681,1.81578,0,-0.86011,-0.86011,2.2337,2.32356,-1.05106,1,-0.29547,-0.36107,1.65859,1.60937
"42","2020_Q3",15.44296875,"Up",26369000,-14745000,11624000,-22556000,-19564000,-11034000,-8530000,-2992000,-10932000,3000.00000000006,3000,-10929000,-10929000,-465000,-11394000,-11394000,-11394000,-11394000,46553000,33659000,12894000,13826000,13826000,31240000,5313000,5313000,96932000,2417000,14068000,419000,16485000,113417000,32104000,11681000,20423000,12531000,9345000,44635000,9134000,2434000,6700000,16283000,60918000,112662000,-60166000,52499000,52499000,113417000,-11394000,355000,6833000,-1779000,-5985000,-205000,-8137000,-8342000,647000.000000002,646999.999999998,33212000,18885000,18885000,18885000,-10577000,7149000,-12096000,0.44082,-0.41458,-0.4321,-0.21703,-0.10046,1.06161,2.17166,1.16036,0.06303,-0.66807,-0.66807,1.54612,3.07822,-0.70923,2,-0.16565,-0.17586,3.72544,3.60446
"43","2020_Q4",21.3696875,"Up",39132000,-17386000,21746000,-22957000,-19525000,-12286000,-7239000,-3432000,-1211000,-382000,-382000,-1593000,-1593000,-664000,-2257000,-2257000,-2257000,-2257000,42440000,29394000,13046000,17597000,17597000,29333000,6892000,6892000,96262000,2391000,24774000,5e+05,27165000,123427000,32443000,6799000,25644000,12685000,9580000,45128000,19126000,2244000,16882000,26293000,71421000,114428000,-62423000,52006000,52006000,123427000,-2257000,341000,2709000,-4244000,-3451000,-339000,-144000,-483000,28806000,28806000,-331000,-4265000,-4265000,-4265000,-870000,7167000,-4789000,0.55571,-0.03095,-0.05768,-0.0434,-0.01829,2.12184,2.13309,1.37332,0.05807,-0.12812,-0.12812,2.22139,2.9522,-0.27186,2,-0.02883,-0.06116,40.54368,29.12717
"44","2021_Q1",29.5668852459016,"Up",49943000,-21877000,28066000,-26622000,-22594000,-14657000,-7937000,-4028000,1444000,7000,6999.99999999988,1451000,1451000,737000,2188000,2188000,2188000,2188000,47047000,47047000,-1906357.15819347,21962000,21962000,28508000,8779000,8779000,106296000,2299000,24138000,643000,26437000,132733000,38979000,6684000,32295000,11749000,9489000,54358000,17940000,1748000,16192000,21495000,75853000,117115000,-60235000,56880000,56880000,132733000,2188000,338000,3065000,-1123000,4468000,-475000,13049000,12574000,-28075000,-28075000,611000,17653000,17653000,17653000,1782000,7185000,-553000,0.56196,0.02891,0.04381,0.03847,0.01648,-0.25274,1.95548,1.33356,0.05413,0.12314,0.12314,2.81084,3.20126,-0.03112,6,0.02668,-0.00674,-22.36925,-27.60526
"45","2021_Q2",36.7185714285714,"Up",49668000,-21958000,27710000,-26545000,-22433000,-15068000,-7365000,-4112000,1165000,-1214000,-1023000,-49000,-101000,-258000,-359000,-359000,-359000,-359000,164932000,164932000,-22772151.2398609,24151000,24151000,34578000,10339000,10339000,2.34e+08,2373000,23360000,598000,25733000,259733000,46360000,5031000,41329000,13409000,10019000,66121000,17546000,1718000,15828000,151982000,218103000,102224000,-60594000,41630000,41630000,259733000,-359000,361000,3022000,-1771000,1253000,-49000,18185079.8522672,-49000,396000,396000,116681000,117885000,117885000,117885000,1526000,140788000,-36000,0.5579,0.02346,-0.00723,-0.00862,-0.00138,0.10028,3.53897,5.23908,0.54205,-0.0202,-0.0202,2.79536,2.34298,-0.00203,5,-0.0018,-0.00018,-15.82176,-20.72446
"46","2021_Q3",49.33234375,"Up",58589000,-24800000,33789000,-31721000,-26871000,-18410000,-8461000,-4850000,2068000,-1170000,-392000,898000,7868000,-122000,7746000,7746000,7746000,7746000,169200000,169200000,-37580547.4049387,25903000,25903000,34591000,8856000,8856000,238550000,2148000,23465000,592000,25613000,264163000,47553000,6210000,41343000,12766000,9695000,60319000,16701000,1708000,14993000,150501000,210820000,106191000,-52848000,53343000,53343000,264163000,7746000,346000,-2830000,-1697000,3565000,-250000,12821379.2331159,-249999.999999998,1501000,1501000,953000,4268000,4268000,4268000,2414000,133800000,589000,0.57671,0.0353,0.13221,0.14521,0.02932,0.0760399999999995,3.95481,3.95216,0.50651,0.43366,0.32353,3.28009,2.9864,0.03298,6,0.038,0.00289,-14.66446,-17.11799
"47","2021_Q4",41.00296875,"Down",57384000,-23959000,33425000,-32799000,-26997000,-21377773.2631778,-10790998.7955347,-5802000,626000,-1329000,-561000,-703000,-928000,-462000,-1390000,-1390000,-1390000,-1390000,162486000,162486000,-34360710.8133636,30760000,30760000,35493000,13350000,13350000,242089000,2205000,24152000,589000,26357000,268446000,51554000,7259000,44295000,11582000,9188000,63136000,15942000,1492000,14450000,149967000,213103000,109581000,-54238000,55343000,55343000,268446000,-1390000,307000,4679000,-9842000,-6246000,-12000,-3821061.31216902,-12000,159000,159000,-456000,-6714000,-6714000,-6714000,933000,134025000,-8459000,0.58248,0.01091,-0.02422,-0.02512,-0.00518,6.08561,3.83441,3.85059,0.49926,-0.07744,-0.10474,3.19688,3.08318,-0.47125,4,-0.00677,-0.0412,-30.50482,-45.46486
"48","2022_Q1",40.4396774193548,"Down",65629000,-27448000,38181000,-40210000,-33406000,-23300064.8038404,-12909344.6880675,-6804000,-2029000,-1207000,-430000,-3236000,-3454000,-481000,-3935000,-3935000,-3935000,-3935000,164164000,164164000,-1141806.62507182,31449000,31449000,39503000,14545000,14545000,249661000,3019000,27613000,778000,30632000,280293000,61991000,7891000,54100000,11909000,9490000,73900000,15581000,1335000,14246000,149824000,223724000,114742000,-58173000,56569000,56569000,280293000,-3935000,330000,3818000,2450000,2663000,-633000,-32521201.2383026,-633000,709000,709000,348000,2378000,2378000,2378000,-1699000,134243000,599000,0.58177,-0.03092,-0.05996,-0.06956,-0.01404,-0.15222,3.37836,3.95489,0.47894,-0.21621,-0.23424,3.60599,3.10819,0.03291,5,-0.01907,0.00289999999999999,17.61095,14.74667
"49","2022_Q2",52.7883870967742,"Up",58014000,-26226000,31788000,-44945000,-38446000,-24944000,-13502000,-6499000,-13157000,-1533000,-755000,-14690000,-14909000,-233000,-15142000,-15142000,-15142000,-15142000,131779000,57732000,74046999.9999999,33169000,33169000,51680000,20156000,20156000,236784000,3009000,26898000,737000,29907000,266691000,61690000,13646000,48044000,12347000,9719000,74037000,15032000,1345000,13687000,149494000,223531000,116486000,-73315000,43160000,43160000,266691000,-15142000,427000,5519000,-20408000,-29604000,-321000,-74058000,-74379000,151000,151000,-2449000,-106432000,-106432000,-106432000,-12730000,134462000,-33226000,0.54794,-0.22679,-0.26101,-0.35083,-0.05678,2.19429,3.19818,5.17912,0.50419,-0.8375,-0.8375,3.20874,2.38717,-1.83772,1,-0.0786,-0.17246,-0.21076,-0.20392
"50","2022_Q3",45.60390625,"Down",64224000,-29180000,35044000,-45108000,-38249000,-27001000,-11248000,-6859000,-10064000,-2677000,-1528000,-12741000,-47462000,186000,-47276000,-47276000,-47276000,-47276000,278176000,75050000,203126000,32148000,32148000,45410000,17579000,17579000,373313000,24470000,26309000,698000,50779000,424092000,72904000,25365000,47539000,12812000,10098000,85716000,14646000,1429000,13217000,314502000,400218000,144648000,-120591000,23874000,23874000,424092000,-47276000,502000,40526000,5767000.00000001,-480999.999999993,-7917000,-129251000,-137168000,1288000,1288000,154967000,17318000,17318000,17318000,-9562000,299856000,-11898000,0.54565,-0.1567,-0.73611,-1.98023,-0.11148,0.25167,4.35523,16.76376,0.70705,-2.52813,-2.52813,3.43444,1.27668,-0.63626,3,-0.13971,-0.03516,-2.26731,-2.15421
