"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",2.24,"Up",-4232000,-1627000,-2605000,-4232000,10000,10000,-4222000,-4222000,-4222000,-4222000,-4222000,-4242000,209872107.824361,54393669.969312,155478437.855049,2391211.88897827,2459741.89555945,-68530.0065811754,212263319.713339,-57239.7409263669,-57239.7409359535,-10153507.5920331,-10153507.5920331,-10210747.304503,202052572.408836,511015.968184255,-310211.031803402,821226.999987657,511225.069242731,-55679.1915279862,455545.877719081,658064689.793612,-111713275.620751,201597026.531117,201597026.531117,202052572.408836,-4222000,58000,175000,63000,-3926000,-331992.76510239,4562000,4537000,8000,8000,8000,619000,619000,619000,-4174000,0,1.63961316434468,0.82884495943991,45.3106064226891,-2.02936862282973,-1.11523693342358e-08,-196.87698,-196.87698,14891.1815797686,1.6393788956174,34.9777276676284,34.703298176377
"2","2017_Q1",2.24,"Up",-4448000,-1356000,-3092000,-4448000,6000,6000,-4442000,-4442000,-4442000,-4442000,-4442000,-4460000,20715000,20715000,0,358000,333000,25000,21073000,107000,107000,841000,841000,948000,22021000,4071000,1971000,2100000,4071000,11000,4082000,2536000,-114342000,17939000,17939000,22021000,-4442000,42000,194000,-27000,-4233000,-137664.25503413,1484000,1484000,-2.91038304567337e-11,-2.91038304567337e-11,18960000,16211000,16211000,16211000,-4406000,0,-0.24862,-0.20253,5.17637,0.22755,0,-206.2628,-206.2628,-5170.72178,-0.24847,4.70154,4.65715
"3","2017_Q2",9.13714285714286,"Up",-4589000,-1647000,-2942000,-4589000,32000,32000,-4557000,-4557000,-4557000,-4557000,-4557000,-4577000,-24184619.2747869,8730110.01022933,-32914729.2850162,45262.7036739095,-26663.9651864823,71926.6688603918,-24139356.571113,152329.913642122,152329.913645318,4160085.86401105,4160085.86401105,4312415.76816767,-19826940.8029453,5453994.67727191,2569987.01060113,2884007.66667078,5453924.97691909,30476.3971759954,5484401.37409364,-140575563.264537,-118479908.126416,-25311342.177039,-25311342.177039,-19826940.8029453,-4557000,22000,190000,-1607000,-5952000,-38000,-7265000,-7303000,75000,75000,569000,-12686000,-12686000,-12686000,-4567000,0,-0.771691888114892,-0.47924248647997,-4.79743297422971,0.864739540943244,3.71745644474528e-09,-211.54166,-211.54166,-9635.99763158954,-0.771451298539135,-2.82637505587612,-2.80682939212568
"4","2017_Q3",250.838095238095,"Up",-4952000,-1791000,-3161000,-4952000,29000,29000,-4923000,-4923000,-4923000,-4923000,-4923000,-4944000,11343000,9397000,1946000,649000,561000,88000,11992000,109000,109000,3004000,3004000,3113000,15105000,5471000,2212000,3259000,5471000,-1.45519152283669e-11,5471000,3044000,-123822000,9633999.99999997,9633999.99999997,15105000,-4923000,23000,268000,1127000,-3505000,-9000,5318000,5309000,5000,5000,-436000,1368000,1368000,1368000,-4929000,6.93889390390723e-18,-0.51318,-0.32731,2.19192,0.56788,0,-219.49189,-219.49189,-5362.01289999999,-0.51318,2.30128,2.29059
"5","2017_Q4",239.68253968254,"Down",-6426000,-2601000,-3825000,-6426000,167000,167000,-6259000,-6259000,-6259000,-6259000,-6259000,-6259000,56865000,13428000,43437000,1252000,1164000,88000,58117000,111000,111000,808000,808000,919000,59036000,5023000,1650000,3373000,5023000,0,5023000,184100000,-130081000,54013000,54013000,59036000,-6259000,40000,527000,456000,-5236000,-27000,-41408000,-41435000,20000,20000,50702000,4031000,4031000,4031000,-6386000,0,-0.11588,-0.10602,11.57018,0.093,0,-8.97995,-8.97995,77.49382,-0.11588,8.90464,8.84921
"6","2018_Q1",178.232786885246,"Down",-7041000,-2730000,-4311000,-7041000,176000,176000,-6865000,-6865000,-6865000,-6865000,-6865000,-6865000,50752000,11863000,38889000,1088000,1e+06,88000,51840000,154000,154000,694000,694000,848000,52688000,4891000,1600000,3291000,4891000,-2.91038304567337e-11,4891000,184776000,-136946000,47797000,47797000,52688000,-6865000,44000,601000,382000,-5838000,-68000,4584999.99999999,4517000.00000001,11000,11000,-244000,-1565000,-1565000,-1565000,-6997000,0,-0.14363,-0.1303,10.59906,0.10233,-3.30872245021211e-24,-9.18448000000001,-9.18448000000001,63.9461599999994,-0.14363,7.25339,7.20807
"7","2018_Q2",113.20625,"Down",-7763000,-2917000,-4846000,-7763000,175000,175000,-7588000,-7588000,-7588000,-7588000,-7588000,-7588000,43291000,6782000,36509000,1155000,1067000,88000,44446000,134000,134000,1251000,1251000,1385000,45831000,4856000,1796000,3060000,4856000,0,4856000,185559000,-144534000,40975000,40975000,45831000,-7588000,46000,723000,-110000,-6929000,-7000,2407000,2400000,16000,16000,16000,-4513000,-4513000,-4513000,-7717000,0,-0.18519,-0.16556,9.1528,0.11851,0,-10.30118,-10.30118,55.62612,-0.18519,5.60982,5.57658
"8","2018_Q3",67.2742857142857,"Down",-9659000,-4339000,-5320000,-9659000,168000,168000,-9491000,-9491000,-9491000,-9491000,-9491000,-9491000,35791000,11980000,23811000,1415000,1390000,25000,37206000,4123000,4123000,1248000,1248000,5371000,42577000,6364000,1583000,4781000,6364000,3345000,9709000,186905000,-154025000,32868000,32868000,42577000,-9491000,36000,1274000,725000,-7456000,-206000,12785000,12579000,12000,12000,12000,5135000,5135000,5135000,-9623000,1.77635683940025e-15,-0.28876,-0.22291,5.84632,0.29539,0,-12.8803,-12.8803,44.60538,-0.26209,3.71932,3.70546
"9","2018_Q4",40.1739682539683,"Down",-7498000,-3177000,-4321000,-7498000,64000,64000,-7434000,-7434000,-7434000,-7434000,-7434000,-7434000,27945000,7716000,20229000,2108000,2083000,25000,30053000,6832000,6832000,1248000,1248000,8080000,38133000,7105000,2994000,4111000,7105000,4997000,12102000,187493000,-161459000,26031000,26031000,38133000,-7434000,87000,497000,-28000,-6878000,-2278000,3682000,1404000,0,0,1210000,-4264000,-4264000,-4264000,-7411000,0,-0.28558,-0.19495,4.22984,0.46491,0,-10.08862,-10.08862,35.32644,-0.23959,3.77075,3.72699
"10","2019_Q1",31.1547540983607,"Down",-6982000,-3021000,-3961000,-6982000,-52000,-52000,-7034000,-7034000,-7034000,-7034000,-7034000,-7034000,20695000,10635000,10060000,1080000,1055000,25000,21775000,7290000,7290000,1247000,1247000,8537000,30312000,5370000,1731000,3639000,5370000,5342000,10712000,188098000,-168493000,19600000,19600000,30312000,-7034000,49000,522000,-2e+05,-6663000,-1932000,10237000,8305000,14000,14000,1277000,2919000,2919000,2919000,-6933000,1.4210854715202e-14,-0.35888,-0.23205,4.05493,0.54653,0,-9.54031,-9.54031,26.58376,-0.28201,2.985,2.96405
