"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",17.298125,"Up",353046000,-261636000,91410000,-59751000,-54179000,-5572000,31659000,-10567000,-10567000,21092000,22753000,-8746000,14007000,14007000,14007000,14007000,-422218442.861568,-422218442.861568,219220990.551749,219220990.551749,219844160.746799,-10550637.2768916,-17824230.2872171,6296071.1600883,217884248.63532,422391218.580336,264134602.100276,115233424.575281,6451837.24646948,36571354.6583104,640275467.215656,646571538.375744,121387523.563552,55994369.0791742,25794799.0478986,39598355.4364792,132088820.509569,186776576.783409,256606543.748487,4199094.74837824,4199094.74837824,37529961.1730269,214877487.82653,443383120.531897,575471941.041466,230423025.842864,-2580000,-145463040.308104,-11280388.2004818,71099597.3342783,71099597.3342783,646571538.375744,14007000,13249000,13104000,-10148000,30212000,-4365000,0,45000,-4320000,26000,26000,-16908356.4320945,3000,-18633000,7259000,7259000,8000,7267000,44908000,0,39141000,0.25892,0.08967,0.03967,0.240325979148878,0.0429228234920694,2.79439,0.902653047965465,6.04572814845015,0.387698099587795,0.22415,0.22415,5.64964,1.15806063199879,0.62636,0.0522146918280241,-0.194438169839754,-3.60310401626075,-17.6545044813339
"2","2016_Q4",20.5630158730159,"Up",395724000,-284203000,111521000,-69958000,-64392000,-5566000,41563000,-10169000,-10169000,31394000,31394000,-10749000,20645000,20645000,20645000,20645000,131109000,131109000,235812000,235812000,164302000,26572000,18098000,557795000,209248000,393173000,260520000,115829000,2307000,14517000,602421000,1160216000,209802000,112095000,5390000,92317000,211069000,630204000,119065000,27592000,27592000,18749000,72724000,749269000,960338000,353183000,-2580000,-130017000,-20708000,199878000,199878000,1160216000,20645000,13322000,3290000,-34396000,2861000,-4482000,2.3283064365387e-10,16999.9999999998,-4465000,0,0,-5636118.81069817,-26999.9999999998,-1693999.99999999,-3298000.00000003,-3298000.00000003,-70000,-3368000,54885000,631471000,26756000,0.28182,0.10503,0.05217,0.10329,0.01779,1.296,2.64271,4.80462,0.54427,0.33036,0.33036,6.33239,3.19846,0.42815,0.02172,0.02815,9.11655,12.03864
"3","2017_Q1",25.7470967741935,"Up",416239000,-324003000,92236000,-62914000,-57331000,-5583000,29322000,-11181000,-11181000,18141000,19464000,-3892000,15572000,15572000,15572000,15572000,200279000,200279000,192090000,192090000,161465000,29087000,22407000,582921000,202692000,378955000,254937000,115829000,945000,7244000,581647000,1164568000,203555000,114118000,2326000,87111000,204822000,629046000,73454000,35172000,35172000,12834000,25448000,702500000,907322000,398918000,-2580000,-113142000,-25950000,257246000,257246000,1164568000,15572000,14953000,5298000,35805000,71628000,-3259000,2400000,940000,81000,0,0,0,-141000,-2241000,69468000,69468000,-298000,69170000,44275000,630313000,80713000,0.22159,0.07045,0.03741,0.06053,0.01337,5.18321,2.84599,3.52706,0.54124,0.24917,0.24395,6.66025,4.1162,1.29149,0.0162,0.08399,9.7128,14.66592
"4","2017_Q2",23.5393650793651,"Down",337591000,-245926000,91665000,-49517000,-43928000,-5589000,42148000,-9830000,-9830000,32318000,22889000,-5507000,17382000,17382000,17382000,17382000,87973000,87973000,158952000,158952000,178836000,22131000,18818000,447892000,198062000,373282000,249349000,115829000,944000,7160000,571344000,1019236000,172900000,102315000,4410000,66175000,177128000,489519000,72134000,34935000,34935000,12475000,24724000,561653000,738781000,406319000,-2580000,-95760000,-27524000,280455000,280455000,1019236000,17382000,13628000,13999000,-12840000,32169000,-3964000,3024000,14000.0000000002,-926000,4680000,4680000,0,-4294000,-142414000,-111171000,-111171000,-1135000,-112306000,55776000,493747000,44479000,0.27153,0.12485,0.05149,0.06198,0.01705,2.55891,2.52863,2.63422,0.48443,0.27748,0.26368,5.38921,4.47711,0.71005,0.02054,0.05255,7.27506,9.62736
"5","2017_Q3",19.1922222222222,"Down",372791000,-285183000,87608000,-57217000,-51724000,-5493000,30391000,-5231000,-5231000,25160000,31310000,-12375000,18935000,18935000,18935000,18935000,77931000,77931000,196349000,196349000,184890000,28305000,28305000,487475000,195419000,367705000,243855000,115829000,943000,7078000,563124000,1050599000,180836000,112699000,789000,67348000,185056000,488467000,70384000,34700000,34700000,10835000,24849000,558851000,743907000,412387000,-2580000,-76825000,-26290000,306692000,306692000,1050599000,18935000,13273000,-2723000,-36557000,-7072000,-4410000,0,21000,-4389000,2485000,2485000,0,-50000,1185000,-10276000,-10276000,234000,-10042000,43664000,492687000,15072000,0.23501,0.08152,0.05079,0.06174,0.01802,0.79599,2.6342,2.42558,0.46896,0.29936,0.28309,5.89374,4.84873,0.23828,0.02177,0.01733,9.49881,13.64733
"6","2017_Q4",20.0857142857143,"Up",397745000,-305260000,92485000,-48037000,-42491000,-5546000,44448000,-5811000,-5811000,38637000,38896000,-11431000,27465000,27465000,27465000,27465000,96200000,96200000,210290000,210290000,180499000,32373000,32373000,519362000,199153000,375767000,249037000,118790000,941000,6999000,574920000,1094282000,186508000,118231000,1069000,67208000,190723000,487921000,72267000,34395000,34395000,11539000,26333000,560188000,750911000,420359000,-2580000,-49360000,-25048000,343371000,343371000,1094282000,27465000,13341000,3692000,-3812000,40686000,-6910000,-19606000,38999.9999999999,-26477000,4904000,4904000,0,-45999.9999999995,3608000,17817000,17817000,452000,18269000,57789000,492136000,58498000,0.23252,0.11175,0.06905,0.07999,0.0251,2.12991,2.72312,2.18688,0.44973,0.43037,0.4103,6.23259,5.38056,0.91665,0.03026,0.06444,6.85141,8.90785
"7","2018_Q1",21.4932786885246,"Up",395807000,-306295000,89512000,-50546000,-44767000,-5779000,38966000,-5726000,-5726000,33240000,33030000,-12173000,20857000,20857000,20857000,20857000,45718000,45718000,224427000,224427000,200003000,35611000,35611000,505759000,208619000,500714000,344289000,147716000,1657000,7052000,709333000,1215092000,207622000,125618000,2581000,79423000,211837000,571863000,70521000,25239000,25239000,17464000,27818000,642384000,854221000,423866000,-2580000,-42433000,-17982000,360871000,360871000,1215092000,20857000,14485000,7145000,13384000,55871000,-9738000,-164317000,14000,-174041000,-13839000,99000,-13938000,-50000,69861000,-48309000,-48309000,-2173000,-50482000,53451000,576078000,69270000,0.22615,0.09845,0.05269,0.0578,0.01716,3.32119,2.38749,2.36711,0.4741,0.32605,0.3132,6.18748,5.64134,1.08287,0.0207,0.06876,9.92236,13.61084
"8","2018_Q2",20.2575,"Down",414558000,-317691000,96867000,-60282000,-51595000,-8687000,36585000,-6594000,-6594000,29991000,29705000,-2516000,27189000,27189000,27189000,27189000,39761000,39761000,203733000,203733000,203841000,23216000,23216000,470551000,207487000,494013000,337067000,148061000,1881000,7004000,701500000,1172051000,187884000,116747000,2218000,68919000,192099000,527802000,63482000,24600000,24600000,12191000,26691000,591284000,783383000,430754000,-2580000,-21920000,-17586000,388668000,388668000,1172051000,27189000,17210000,-211000,4752000,48940000,-8235000,0,784000.000000002,-7451000,-3367000,3314000,-6680999.99999999,-48000.0000000002,-47665000,-6176000.00000001,-6176000.00000001,219000,-5957000.00000001,53795000,532017000,52828000,0.23366,0.08825,0.06559,0.06995,0.0232,1.94299,2.44952,2.01556,0.45392,0.42942,0.41202,6.54744,6.13854,0.83435,0.02763,0.05368,9.15059,13.45513
"9","2018_Q3",24.9757142857143,"Up",4.45e+08,-335843000,109157000,-67883000,-60118000,-7765000,41274000,-9286000,-9286000,31988000,57950000,-15392000,42558000,42558000,42558000,42558000,76892000,76892000,245355000,245355000,202517000,29786000,29786000,554550000,211840000,485652000,310161000,169107000,0,6384000,697492000,1252042000,210019000,123384000,1033000,85602000,217672000,900556000,71739000,23960000,23960000,17378000,30401000,972295000,1189967000,435323000,-2580000,-354315000,-16353000,62075000,62075000,1252042000,42558000,15853000,-19248000,-34885000,4278000,-8938000,-3350000,42685000,30397000,-373139000,1985000,-375124000,-5797000,1764000,36439000,36439000,692000,37131000,57127000,908209000,28696000,0.2453,0.09275,0.09564,0.68559,0.03399,0.67428,2.54764,19.16983,0.72538,0.82851,0.78807,8.66315,1.20846,0.55865,0.04084,0.02754,14.55209,20.14142
"10","2018_Q4",20.9334920634921,"Down",498014000,-377685000,120329000,-65176000,-57482000,-7694000,55153000,-12442000,-12442000,42711000,44551000,-10352000,34199000,34199000,34199000,34199000,109519000,109519000,260564000,260564000,207535000,26854000,26854000,604472000,212585000,477198000,300406000,170340000,0,6452000,689783000,1294255000,245247000,154331000,1808000,89108000,252877000,898509000,69106000,23200000,23200000,19100000,26806000,967615000,1220492000,444379000,-2580000,-348455000,-19581000,73763000,73763000,1294255000,34199000,16192000,2e+06,14969000,67360000,-9141000,0,637000,-8504000,-22776999.9999999,5575000,-28352000,-70000,-25147000,33709000,33709000,-1082000,32627000,71345000,906139000,87525000,0.24162,0.11075,0.06867,0.46363,0.02642,2.55929,2.39038,16.54613,0.70012,0.73925,0.70642,10.76508,1.59446,1.89194,0.0326,0.08344,11.16574,14.44382
