"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.2115873015873,"Up",189017000,-153673000,35344000,-26722000,-23195000,8622000,-786000,-786000,7836000,7836000,-3123000,4713000,4713000,4713000,4713000,79334000,79334000,111570000,106033000,13448000,204352000,1832000,1832000,180050000,162477000,181882000,386234000,147061000,92485000,51170000,147163000,46864000,1803000,48667000,195830000,119000,84805000,-43753000,148910000,323000,190404000,190404000,386234000,4713000,2488000,307000,-14145000,-6637000,-2282000,-2329000,3122000,110000,-407000,3235000,-5731000,-5731000,-12000,-5743000,11110000,46966000,-2194000,0.18699,0.04561,0.02493,0.02475,0.0122,-0.46552,1.38861,1.0285,0.1216,0.14252,0.13912,5.71575,5.75409,-0.06635,4,0.01971,-0.00917,-2.91341,-3.75412
"2","2010_Q3",4.39390625,"Up",233017000,-191283000,41734000,-27951000,-24250000,13783000,-696000,-696000,13087000,13087000,-5178000,7909000,7909000,7909000,7909000,68287000,68287000,126569000,124352000,11447000,206303000,1891000,1891000,182610000,165037000,184501000,390804000,148086000,89221000,54927000,148086000,41320000,1803000,43123000,191209000,121000,87765000,-45502000,156819000,392000,199595000,199595000,390804000,7909000,2209000,199000,-25504000,-15187000,-2258000,-2281000,5689000,638000,-1749000,6418000,-11050000,-11050000,3000,-11047000,15992000,41320000,-6592000,0.1791,0.05915,0.03394,0.03963,0.02024,-0.83348,1.39313,0.95798,0.10573,0.24329,0.23684,7.16779,6.13598,-0.20278,5,0.03259,-0.02716,-1.68628,-1.95654
"3","2010_Q4",5.3234375,"Up",229979000,-187171000,42808000,-28919000,-25210000,13889000,-585000,-585000,13304000,13304000,-5755000,7549000,7549000,7549000,7549000,59001000,59001000,140962000,139982000,21655000,221618000,1914000,1914000,178901000,160299000,180815000,402433000,158532000,97842000,56009000,158532000,34782000,1754000,36536000,195068000,124000,88309000,-45888000,164369000,451000,207365000,207365000,402433000,7549000,2167000,492000,-21017000,-10809000,-4460000,-6256000,8024000,-388000,-386000,7775000,-9290000,-9290000,4000,-9286000,16056000,34782000,-3666000,0.18614,0.06039,0.03282,0.0364,0.01876,-0.48563,1.39794,0.9407,0.08643,0.22853,0.22325,6.96219,6.27384,-0.11098,5,0.03095,-0.01503,-1.50841,-1.74375
"4","2011_Q1",6.19967741935484,"Up",66502000,-28945000,37557000,-30719000,-26273000,6838000,-497000,-497000,6341000,6341000,-2785000,3556000,3556000,3556000,3556000,75756000,75756000,127614000,121771000,9062000,212432000,1817000,1817000,174942000,156338000,176759000,389191000,143395000,85916000,57479000,143395000,29592000,4227000,33819000,177214000,125000,89792000,-45998000,167539000,519000,211977000,211977000,389191000,3556000,3108000,2109000,14462000,23235000,-193000,-234000.000000002,-7292000,667000,-110000,-6257000,16744000,16744000,11000,16755000,9946000,29592000,2.7e+07,0.56475,0.10282,0.05347,0.01678,0.00914,7.5928,1.48145,0.83601,0.07603,0.10724,0.10407,2.00556,6.38901,0.81426,8,0.01447,0.10985,-4.64146,-6.7511
"5","2011_Q2",6.11301587301587,"Down",178899000,-142770000,36129000,-29464000,-27039000,6665000,-382000,-382000,6283000,6283000,-2580000,3703000,3703000,3703000,3703000,61555000,61555000,136662000,120080000,16592000,214809000,1826000,1826000,178159000,155876000,179985000,394794000,150632000,95027000,55605000,150632000,25014000,4227000,29241000,179873000,126000,90318000,-47684000,171627000,534000,214921000,214921000,394794000,3703000,2302000,661000,-4607000,2059000,-829000,-15122000,449000,-1642000,-1686000,-1141000,-14204000,-14204000,3000,-14201000,8967000,25014000,6111000,0.20195,0.03726,0.0207,0.01723,0.00938,1.65028,1.42605,0.83693,0.06336,0.11144,0.10904,5.38373,6.46397,0.1839,5,0.01517,0.02503,-4.07505,-5.48252
"6","2011_Q3",5.93515625,"Down",203655000,-160507000,43148000,-30952000,-28597000,12196000,-348000,-348000,11848000,11848000,-4784000,7064000,7064000,7064000,7064000,45406000,45406000,156616000,151699000,12618000,214640000,1767000,1767000,161655000,139372000,163422000,378062000,136350000,87978000,48372000,136350000,22973000,4227000,27200000,163550000,126000,91390000,-56032000,178691000,337000,214512000,214512000,378062000,7064000,2566000,-70000,-31744000,-22184000,-1109000,12509000,1474000,-8176000,-8348000,-6451000,-16126000,-16126000,-23000,-16149000,14762000,22973000,-13307000,0.21187,0.05989,0.03469,0.03293,0.01868,-1.88378,1.57418,0.76243,0.06077,0.21662,0.21138,6.24505,6.57412,-0.40806,4,0.02922,-0.05505,-1.51965,-1.83937
"7","2011_Q4",6.35984126984127,"Up",224028000,-175848000,48180000,-33412000,-30474000,14768000,-334000,-334000,14434000,14434000,-5691000,8743000,8743000,8743000,8743000,54055000,54055000,177742000,171665000,15942000,247739000,1962000,1962000,164716000,142433000,166678000,414417000,169838000,118037000,51801000,169838000,23418000,4698000,28116000,197954000,127000,93077000,-64577000,187434000,402000,216463000,216463000,414417000,8743000,2451000,115000,-15687000,-4378000,-3102000,-2692000,23213000,-8175000,-8545000,15700000,8630000,8630000,19000,8649000,17219000,23418000,4121000,0.21506,0.06592,0.03903,0.04039,0.0211,0.47135,1.45868,0.91449,0.05651,0.27961,0.27212,7.16462,6.91862,0.13179,6,0.03575,0.01685,-1.77926,-2.07455
"8","2012_Q1",7.30564516129032,"Up",218999000,-174941000,44058000,-36683000,-32657000,7375000,-366000,-366000,7009000,7009000,-3152000,3857000,3857000,3857000,3857000,41174000,33778000,198936000,174599000,23514000,263624000,2086000,2086000,167978000,134459000,170064000,433688000,164285000,129898000,34387000,181947000,26328000,5786000,32114000,214061000,127000,93545000,-65416000,190906000,465000,219627000,219627000,433688000,3857000,2046000,4092000,-7088000,2907000,-439000,-32918000,10765000,-802000.000000001,-839000.000000001,9738000,-20273000,-20273000,-4000,-20277000,9421000,28055000,5046000,0.20118,0.03368,0.01761,0.01756,0.00889,1.30827,1.44891,0.97466,0.06469,0.12473,0.12851,7.08204,7.09824,0.16318,5,0.01522,0.01991,-1.39253,-1.77885
"9","2012_Q2",7.29031746031746,"Down",244724000,-196634000,48090000,-34122000,-31009000,13968000,-405000,-405000,13563000,13563000,-5501000,8062000,8062000,8062000,8062000,59051000,55359000,203949000,189666000,23997000,286997000,2116000,2116000,157717000,129137000,159833000,446830000,179144000,129295000,49849000,180871000,32780000,5786000,38566000,219437000,128000,94447000,-66565000,198968000,415000,227393000,227393000,446830000,8062000,2702000,-523000,-22148000,-11907000,-960000,13100000,21303000,-1149000,-1149000,20393000,21586000,21586000,-5000,21581000,16670000,34507000,-937000,0.19651,0.05708,0.03294,0.03545,0.01804,-0.11622,1.58675,0.96501,0.07723,0.26106,0.25519,7.92445,7.35911,-0.03034,5,0.03012,-0.0035,-1.47235,-1.75716
"10","2012_Q3",8.06238095238095,"Up",260051000,-207660000,52391000,-35037000,-32330000,17354000,-446000,-446000,16908000,16908000,-6875000,10033000,10033000,10033000,10033000,45905000,43935000,212492000,194344000,15783000,274180000,2040000,2040000,164574000,135787000,166614000,440794000,161588000,117082000,44506000,163270000,33020000,5786000,38806000,202076000,128000,96056000,-66973000,209001000,506000,238718000,238718000,440794000,10033000,2913000,142000,-8574000,4514000,-4386000,-7493000,-8743000,-230000,-408000,-8456000,-11435000,-11435000,11000,-11424000,20267000,34702000,14182000,0.20146,0.06673,0.03858,0.04203,0.02276,1.41354,1.6793,0.84651,0.07873,0.32279,0.3238,8.36664,7.67617,0.45628,6,0.03593,0.05079,-0.55277,-0.64556
"11","2012_Q4",9.24870967741935,"Up",242025000,-191037000,50988000,-34942000,-32444000,16046000,-517000,-517000,15529000,15529000,-6496000,9033000,9033000,9033000,9033000,43381000,42153000,243680000,221917000,23866000,310927000,2244000,2244000,186702000,157915000,188946000,499873000,177006000,144120000,32886000,229890000,34648000,5781000,40429000,270319000,129000,98595000,-67306000,197656000,480000,229554000,229554000,499873000,9033000,3091000,534000,8519000,21177000,-5584000,-6540000,2869000,656000,-333000,-16414000,-1777000,-1777000,-5000,-1782000,19137000,36190000,28568000,0.21067,0.0663,0.03732,0.03935,0.01807,3.16263,1.3525,1.17758,0.0724,0.28791,0.28371,7.71418,7.31257,0.91056,4,0.10729,0.10521,-0.37576,-0.44815
