"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",52.53640625,"Up",88904000,-73481000,-41281000,-32200000,15423000,88000,88000,15511000,15511000,-6540000,8971000,8971000,8971000,9226000,152787231.672526,198280649.712173,25776060.7131221,25776060.7131221,98580791.1829682,12340754.820832,36770621.8563796,277144083.568616,16864221.1236564,-42664034.5205315,-32062607.7053145,-15778062.2787421,-57862421.1021896,219281662.466427,-24303998.5614043,41501260.6472578,-12989283.3746038,104788607.391713,104788607.391713,80484608.8303086,6275694.78523017,-20907.9474258563,6275688.21754058,86760297.0478492,74359983.3988564,58375979.0010922,-214596.93909063,132521365.418577,132521365.418577,219281662.466427,8971000,2042000,19558000,-7599000,22972000,-3832000,0,-11000,-3843000,1468000,1468000,0,1468000,20597000,20597000,20597000,17465000,0,12574000,0.17348,0.10377,0.0652190304451808,0.037359825548378,1.36289,2.85928161508291,0.768112015305195,-4.13949915293916e-09,2.16268,0.13569,20.84013,-34.9576471305108,2.94749,0.0620779381719492,0.430556712429004,-13.8933102135703,-16.4410994222164
"2","2011_Q1",53.445,"Up",91847000,-79190000,-45715000,-33475000,12657000,92000,92000,12749000,12749000,-4811000,7938000,7938000,7938000,9373000,167503000,167503000,33412000,33412000,48978000,8608000,19968000,249893000,18034000,2549000,15282000,15282000,35865000,285758000,17625000,17625000,0,93883000,93883000,111508000,9119000,3737000,9119000,120627000,95473000,69658000,0,165131000,165131000,285758000,7938000,2183000,-6658000,2547000,6010000,-3138000,-4.65661287307739e-10,28000,-3110000,4180000,4180000,24842000,29022000,31922000,31922000,31922000,14840000,0,19060000,0.13781,0.10205,0.05676,0.0328,2.0335,2.24103,0.73049,0,0.21508,0.21508,2.10755,3.78915,0.43736,0.05379,0.10938,-11.28726,-13.23402
"3","2011_Q2",39.0390476190476,"Down",117307000,-96802000,-55932000,-40870000,20505000,102000,102000,20607000,20607000,-7906000,12701000,12701000,12701000,12701000,183443672.775825,162978950.095942,32656896.4289593,32656896.4289593,31993736.272344,7978081.72638932,14611376.0478735,248094305.477128,19929676.2921145,17953761.5068438,24912119.2351048,22359187.4262474,62795557.0340632,310889862.511191,23924582.8538014,11728746.4509141,13376420.0247623,86750880.869429,86750880.869429,110675463.72323,10215935.0715899,5160302.64914195,10215937.2608198,120891400.98405,108292005.533715,81652090.3329693,54365.6463635432,189998461.527141,189998461.527141,310889862.511191,12701000,2531000,20119000,5525000,40876000,-5393000,-7985000,-5159000,-18537000,1531000,1531000,1363000,2894000,25233000,25233000,25233000,23036000,0,31074000,0.1748,0.10827,0.0553919898516064,0.034140891483874,2.44658,2.3026786283057,0.627482661564935,1.37983305097972e-09,0.31703,0.18837,2.92814,14.4590373768369,0.77565,0.0525673539426836,-0.0075147374763346,-9.73269492880991,-11.3076535259279
"4","2011_Q3",31.98078125,"Down",115030000,-95680000,-56684000,-38996000,19350000,136000,136000,19486000,19486000,-7416000,12070000,12070000,12070000,12070000,198949000,172961000,29320000,29320000,35435000,9217000,17070000,263704000,22345000,17697000,18178000,18178000,58220000,321924000,15942000,15942000,25452826.699683,85021000,85021000,100963000,10345000,5304000,10345000,111308000,116165000,94429000,22000,210616000,210616000,321924000,12070000,2965000,23541000,-23675000,14901000,-5838000,-32077000,0,-37915000,2543000,2543000,695999.999999996,3239000,-19775000,-19775000,-19775000,22315000,-1.11022302462516e-16,218000,0.16822,0.10493,0.05731,0.03749,0.0180600000000002,2.61189,0.52849,0,0.54507,0.19265,5.19464,9.5112,0.00983999999999996,0.05463,0.000990000000000019,-8.91548,-10.2816
"5","2011_Q4",31.9063492063492,"Down",115387000,-94079000,-54740000,-39339000,21308000,134000,134000,21442000,21442000,-8139000,13303000,13303000,13303000,13303000,220484000,198294000,30399000,30399000,45905000,10887000,23280000,296788000,24838000,11397000,18774000,18774000,55009000,351797000,19479000,19479000,34542070.0247623,91437000,91437000,110916000,10358000,5323000,10358000,121274000,122800000,107732000,-9000,230523000,230523000,351797000,13303000,3276000,21980000,-17827000,20732000,-5766000,1e+07,0,4234000,267000,267000,1e+05,367000,25333000,25333000,25333000,24584000,0,9130000,0.18467,0.11529,0.05771,0.03781,0.68631,2.67579,0.52608,0,0.16567,0.69931,1.43697,2.87081,0.1137,0.05523,0.0379,-8.9686,-10.34748
"6","2012_Q1",29.4833870967742,"Down",119674000,-97388000,-57969000,-39419000,22286000,192000,192000,22478000,22478000,-8469000,14009000,14009000,14009000,13451000,243680000,223033000,41307000,41307000,51612000,11822000,29755000,336599000,27281000,14710000,47269000,35768000,89260000,425859000,54398000,15441000,38957000,107256000,107256000,161654000,11009000,6239000,11009000,172663000,131425000,121741000,30000,253196000,253196000,425859000,14009000,3558000,20186000,-20211000,17542000,-6079000,5158000,2698000,1777000,1797000,1797000,6023000,7820000,27139000,27139000,27139000,25844000,1.77635683940025e-15,8023000,0.18622,0.1124,0.05312,0.03159,0.59646,2.08222,0.68193,-8.27180612553028e-25,0.34576,0.11201,3.07622,6.50839,0.20623,0.05091,0.03037,-9.42888,-10.93422
"7","2012_Q2",23.3698412698413,"Down",141181000,-115543000,-68540000,-47003000,25638000,935000,935000,26573000,26573000,-10205000,16368000,16368000,16368000,13718000,187388000,117644000,46996000,46996000,60554000,15648000,36623000,294938000,31471000,72451000,74975000,33494000,178897000,473835000,69402000,29930000,39472000,113221000,113221000,182623000,12386000,7595000,12386000,195009000,139960000,138857000,9000,278826000,278826000,473835000,16368000,3651000,19731000,-2487000,37263000,-7833000,-106324000,762000,-145447000,588000,588000,1783000,2371000,-105813000,-105813000,-105813000,29289000,0,29174000,0.1816,0.09717,0.0492,0.02895,2.12669,1.61501,0.69939,0,0.40265,0.31992,4.14397,8.18416,0.85632,0.04711,0.10018,-6.3979,-7.30899
"8","2012_Q3",14.7746031746032,"Down",135043000,-117908000,-71012000,-46896000,17135000,1168000,1168000,18303000,18303000,-7434000,10869000,10869000,10869000,9113000,194412000,121349000,44637000,44637000,69400000,22781000,37264000,308449000,36006000,72541000,73887000,30347000,182434000,490883000,59026000,26103000,32923000,116006000,116006000,175032000,16024000,9748000,16024000,191056000,149029000,150748000,50000,299827000,299827000,490883000,10869000,4090000,21746000,-17422000,19283000,-9059000,-3004000,860000,-12578000,1961000,1961000,-5166000,-3205000,3500000,3500000,3500000,21225000,2.8421709430404e-14,2178000,0.12689,0.06748,0.03039,0.01856,0.239,1.76224,0.63722,0,0.26594,0.25494,3.94091,8.74973,0.0635600000000002,0.02885,0.0069,-9.15958,-11.3459
"9","2012_Q4",11.6472580645161,"Down",132759000,-117882000,-70039000,-47843000,14877000,962000,962000,15839000,15839000,-6227000,9612000,9612000,9612000,8080000,237029000,164418000,43428000,43428000,75548000,21417000,46650000,356005000,52205000,80316000,72575000,29061000,205096000,561101000,69049000,30520000,38529000,159086000,159086000,228135000,18669000,12374000,18669000,246804000,152826000,161361000,110000,314297000,314297000,561101000,9612000,4823000,19973000,-7638000,26770000,-6420000,-5864000,868000,-11390000,161000,161000,28757000,28918000,44298000,44298000,44298000,19700000,0,11869000,0.11206,0.06086,0.02571,0.0144,1.46894,1.5605,0.78526,0,0.23204,0.22553,3.8125,9.02582,0.34085,0.02427,0.03565,-12.03193,-15.93258
"10","2013_Q1",14.3266666666667,"Up",137302000,-122812000,-72179000,-50633000,14490000,933000,933000,15423000,15423000,-5053000,10370000,10370000,10370000,8709000,408834000,293590000,40441000,40441000,80944000,31952000,39128000,530219000,58376000,79474000,57659000,22226000,195509000,725728000,229862000,31411000,198451000,149545000,149545000,379407000,18557000,18557000,18557000,397964000,158698000,168960000,106000,327764000,327764000,725728000,10370000,5567000,26781000,-24006000,18712000,-17129000,-37640000,12286000,-40905000,840000,840000,150526000,151366000,129173000,129173000,129173000,20057000,0,-16025000,0.10553,0.06343,0.02657,0.012,-1.84005,1.39749,1.21418,-2.11758236813575e-22,0.24999,0.29743,3.94116,9.40823,-0.45999,0.02515,-0.04627,-20.38361,-28.21491
