"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.4909375,"Up",140093000,-106634000,33459000,-13002000,-13002000,20457000,-19778000,-12781000,2282000,-9279000,679000,-615000,64000,-317000,-253000,-253000,-32000,-285000,-285000,-1500017.3243963,-1500017.3243963,288926815.577528,288926815.577528,40922203.9116763,45251554.7238549,328349002.173665,473255634.255991,649685686.103417,411970844.439807,148988404.740239,1122941320.35941,1451290322.53307,225818762.405425,225818762.405425,37335481.1217013,9490715.84180041,5724922.70762499,272644959.368927,1387212769.05128,74440131.0606374,73665509.3956706,1461652900.11192,1734297859.48084,-283007536.947771,1451290322.53307,-253000,13002000,11715000,3194000,27658000,-12223000,94000,94000,-12317000,-12317000,-4771000,-16994000,-4961000,-6673000,3991000,3991000,-5000,3986000,33459000,0,24747000,0.23883,0.14602,-0.00203,-0.118192076430732,-0.205159427647473,-86.83158,-0.0891472340470021,-22.2594188891511,2.40480628013082,-0.00771,-0.00771,3.78837,0.6692,-0.226289774375333,-0.818469367829838,231.777513370704,-88.7803029043089
"2","2011_Q1",3.42629032258065,"Up",115435000,-109495000,5940000,-13844000,-13844000,-7904000,11986000,-12921000,-1162000,26069000,4082000,-637000,3445000,-53000,3392000,3392000,-92000,3300000,3300000,627000,627000,96094000,96094000,14304000,14304000,111025000,194230000,234259000,143353000,57348000,428489000,539514000,82619000,82619000,17357000,5288000,2313000,105264000,487217000,29506000,29229000,516723000,621987000,-82473000,539514000,3392000,13844000,341000,-847000,16730000,-6567000,591000,591000,-7158000,-7158000,-27194000,-33761000,-9215000,-6798000,-23829000,-23829000,-6000,-23835000,5940000,504574000,-1421000,0.05146,-0.0684699999999999,0.02859,-0.04001,0.00612,-0.430610000000001,1.05473,-7.5417,0.93524,0.0895400000000001,0.08954,3.13227,-0.0385599999999999,0.00731,-0.00315,84.83956,-63.75848
"3","2011_Q2",4.17825396825397,"Up",139052000,-115828000,23224000,-13921000,-13921000,9303000,-9560000,-12915000,1484000,1871000,-257000,-404000,-661000,-147000,-808000,-808000,-68000,-876000,-876000,796672.441465435,796672.441465435,67585061.4741572,67585061.4741572,9479015.36277455,8639398.42538171,77860749.275445,141804621.91467,156380521.298861,93666301.8533975,39160865.0865871,298185143.213531,376045892.488976,60123662.5315249,60123662.5315249,11422256.2927662,4222761.38606653,1631275.764125,75768680.2103577,321434993.649573,20071706.3131209,19891330.2014431,341506699.962694,417275380.173052,-41229487.6840763,376045892.488976,-808000,13921000,7835000,-5752000,15196000,-15381000,235000,235000,-15616000,-15616000,-7843000,-23224000,9410000,7647000,-381000,-381000,13000,-368000,23224000,0,2238000,0.16702,0.0669,-0.0063,-0.0310168078564228,0.0481398092158244,-2.55479,1.32987324468233,-5.10441203694965,0.639622073289726,-0.02351,-0.02351,3.73214,0.06007,0.0538490914584442,0.158637289276613,25.3990180430986,-13.768924031897
"4","2011_Q3",3.13375,"Down",147699000,-119113000,28586000,-14296000,-14296000,14290000,-11694000,-13150000,1267000,188999.999999998,2596000,1347000,3943000,-337000,3606000,3606000,-85000,3521000,3521000,178000,178000,116902000,116902000,15343000,15343000,132423000,197769000,240879000,149711000,56110000,438648000,571071000,94586000,94586000,12732000,4613000,2256000,111931000,508572000,27635000,27358000,536207000,648138000,-77067000,571071000,3606000,14296000,6187000,-16418000,7671000,-9243000,56000,56000,-9299000,-9299000,-5186000,-11960000,5688000,4186000,-103000.000000002,-103000.000000002,22000,-81000,28586000,521304000,3262000,0.19354,0.09675,0.02384,-0.04569,0.00616999999999999,0.92644,1.18308,-8.41006,0.91285,0.09425,0.08842,3.95361,0.08732,0.00746000000000004,0.00690999999999996,18.23011,36.46788
"5","2011_Q4",2.2868253968254,"Down",143021000,-117747000,25274000,-14309000,-14309000,10965000,-10698000,-13242000,1038000,1506000,267000,15000,282000,-234000,48000,48000,-9000,39000,39000,254000,254000,122036000,122036000,16303000,16303000,138593000,191431000,242210000,153895000,54389000,433641000,572234000,93840000,93840000,11895000,3690000,2165000,109425000,512048000,26945000,26668000,538993000,648418000,-76184000,572234000,48000,14309000,8291000,-11463000,11185000,-9349000,19000,19000,-9368000,-9368000,-2157000,-11235000,1805000,110000,60000,60000,16000,76000,25274000,523943000,4696000,0.17672,0.07667,0.00027,-0.00051,7e-05,120.41026,1.26656,-8.51121,0.91561,0.00104,0.00101,3.82143,0.12547,8e-05,0.00989,20.72046,47.76005
"6","2012_Q1",2.69677419354839,"Up",155349000,-125140000,30209000,-14955000,-14955000,15254000,-10547000,-13491000,1435000,1509000,4707000,-109000,4598000,-102000,4496000,4496000,51000,4547000,4547000,2089000,2089000,8326000,8326000,2751000,337000.000000002,13166000,22074000,8659999.99999997,7816000,844000.000000007,30734000,43900000.0000001,3612000,3612000,2976000,134000,134000,6722000,2330000,1749000,1749000,4078999.99999994,10801000,33099000,43900000.0000001,4496000,14955000,7356000,-3223000,23584000,-8422000,15000,15000,-8437000,-8437000,-32898000,-41320000,22341000,19990000,2254000,2254000,-53000,2201000,30209000,5305999.99999988,18666000,0.19446,0.09819,0.02927,0.13738,0.10358,4.10512000000003,1.95864,0.326320000000001,0.12087,0.12148,0.11484,4.1505,0.4987,0.11324,0.46486,0.106489999999997,0.210900000000002
"7","2012_Q2",2.88603174603175,"Up",162016000,-135400000,26616000,-14892000,-14892000,11724000,-11158000,-13567000,1262000,1147000,566000,-473000,93000,-245000,-152000,-152000,41000,-111000,-111000,1834000,1834000,133971000,133971000,19859000,19859000,155664000,220206000,250414000,159593000,52199000,470620000,626284000,111095000,111095000,11701000,5384000,2171000,128180000,545542000,21090000,20813000,566632000,694812000,-68528000,626284000,-152000,14892000,9396000,-8705000,15431000,-13552000,410000,410000,-13962000,-13962000,8e+05,-12752000,-1779000,-3305000,-626000,-626000,5000,-621000,26616000,557243000,4604000,0.16428,0.07236,-0.00069,0.00162,-0.00018,-41.47748,1.21442,-10.1391,0.88976,-0.00295,-0.00295,4.30093,0.12222,-0.00022,0.00903,20.86749,47.37368
"8","2012_Q3",2.6584126984127,"Down",165351000,-136554000,28797000,-14893000,-14893000,13904000,-10145000,-13475000,1986000,1344000,3759000,-439000,3320000,-421000.000000001,2899000,2899000,47000,2946000,2946000,234000,234000,131443000,131443000,21171000,21171000,152848000,219044000,255717000,166160000,51483000,474761000,627609000,109039000,109039000,10882000,6521000,2031000,126442000,543049000,23076000,22799000,566125000,692567000,-64958000,627609000,2899000,14893000,10423000,-2829000,25386000,-11349000,36000.0000000001,36000.0000000001,-11385000,-11385000,-9337000,-20686000,-4737000,-6321000,-1621000,-1621000,21000,-1600000,28797000,553931000,15040000,0.17416,0.08409,0.01782,-0.04535,0.00469,5.10523000000001,1.20884,-10.66177,0.88261,0.07802,0.07471,4.37888,0.39829,0.00575,0.02937,19.22759,39.82286
"9","2012_Q4",2.54645161290323,"Down",160453000,-133223000,27230000,-13369000,-13369000,13861000,-11606000,-13875000,909000,1360000,2255000,2756000,5011000,-30000,4981000,4981000,72000,5053000,5053000,388000,388000,128637000,128637000,20243000,20243000,149268000,208040000,267700000,174108000,52800000,475740000,625008000,102784000,102784000,9726000,5422000,2226000,117932000,541551000,24774000,24497000,566325000,684257000,-59249000,625008000,4981000,13369000,6946000,-10495000,14801000,-9537000,395000,395000,-9932000,-9932000,-736000,-10273000,-2864000,-4408000,120000,120000,34000,154000,27230000,551277000,7228000,0.16971,0.08639,0.03149,-0.08528,0.00808,1.43044,1.26571,-11.54884,0.88203,0.13179,0.12677,4.185,0.18852,0.00978,0.01399,20.23096,39.74381
"10","2013_Q1",2.849,"Up",159333000,-137816000,21517000,-14586000,-14586000,6931000,-10719000,-12866000,2319000,-172000,-3788000,-259000,-4047000,55923000,51876000,51876000,70000,51946000,51946000,1778000,1778000,8596999.99999997,8596999.99999997,1723000,602000,12098000,19358000,10647000,9923000,723999.999999993,30005000,42103000,2043000,2043000,1179000,167000.000000001,167000,3389000,1150000,1594000,1594000,2744000,6133000,35970000,42103000,51876000,14586000,6908000,-53719000,19651000,-8461000,708000,708000,-9169000,-9169000,-34876000,-43337000,28767000,23657000,-28999.9999999998,-28999.9999999998,3000,-26000,21517000,2329000,-96586000,0.13504,0.0435,0.32602,1.44415,1.23378,-1.85935,3.56978,0.170500000000002,0.0553200000000001,1.39513,1.29811,4.27927,-2.59405,1.30213,-2.42113,0.0256100000000004,0.079500000000003
