"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.67258064516129,"Up",81301000,-47795000,33506000,-40583000,-21866000,-15093000,-6773000,-16165000,-7077000,-19000,-38000,19000,-7096000,-7096000,-44000,-7140000,-7140000,-7140000,-7140000,57422000,57422000,56392000,56392000,30175000,21343000,4383000,165332000,17381000,184890000,116175000,1774000,202271000,367603000,50573000,16436000,34137000,30674000,30674000,81247000,896000,896000,16195000,97442000,755965000,-485937000,133000,270161000,270161000,367603000,-7140000,2222000,9125000,2503000,6710000,-1583000,-1583000,-1583000,-1583000,19000,19000,-807000,4320000,4320000,17000,4337000,-4855000,15299000,-3891000,0.41212,-0.08705,-0.08782,-0.02643,-0.01942,0.54496,2.03493,0.36068,0.04162,-0.14766,-0.14766,1.68134,5.58703,-0.08047,-0.02493,-0.01359,8.67621,5.9521
"12","2013_Q1",8.21533333333333,"Up",91424000,-54394000,37030000,-43377000,-23681000,-17249000,-6432000,-17144000,-6347000,23000,-44000,67000,-6324000,-6696000,122000,-6574000,-6574000,-6574000,-6574000,46995000,46995000,59519000,59519000,43282000,26754000,5677000,176550000,21083000,180264000,116175000,1788000,201347000,377897000,52980000,16804000,36176000,39315000,39315000,92295000,745000,745000,16527000,108822000,761454000,-492511000,132000,269075000,269075000,377897000,-6574000,2211000,8087000,-862999.999999999,2861000,-2300000,-2300000,-2300000,-14300000,1877000,1877000,1013000,-10426000,-10426000,-1000,-10427000,-4136000,15782000,-7421000,0.40504,-0.06942,-0.07191,-0.02443,-0.0174,1.12884,1.91289,0.40443,0.04176,-0.13543,-0.13543,1.88336,5.54302,-0.15287,-0.02302,-0.02598,7.54666,4.91776000000003
"13","2013_Q2",9.30765625,"Up",90548000,-49433000,41115000,-46655000,-23932000,-15801000,-8131000,-20171000,-5540000,-306000,-27000,-279000,-5846000,-5846000,-357000,-6203000,-6203000,-6203000,-6203000,48059000,48059000,70717000,70717000,39232000,32480000,6063000,190488000,19013000,175530000,116175000,1694000,194543000,385031000,50346000,13673000,36673000,48629000,48629000,98975000,1525000,1525000,18442000,117417000,766214000,-498714000,114000,267614000,267614000,385031000,-6203000,2854000,9901000,-4172000,2380000,-1326000,-1326000,-1326000,-1326000,42000,42000,42000,1096000,1096000,-32000,1064000,-2686000,16917000,-7827000,0.45407,-0.06118,-0.06851,-0.02318,-0.01611,1.26181,1.92461,0.43876,0.04394,-0.12682,-0.12682,1.85128,5.47145,-0.16003,-0.02168,-0.02736,11.59419,5.6213
"14","2013_Q3",12.24328125,"Up",94439000,-51934000,42505000,-47350000,-24763000,-17079000,-7684000,-20035000,-4845000,-83999.9999999999,-41000,-42999.9999999999,-4929000,-4929000,-224000,-5153000,-5153000,-5153000,-5153000,69379000,69379000,62726000,62726000,37402000,37194000,8126000,206701000,18547000,170787000,116175000,1591000,189334000,396035000,53378000,16714000,36664000,53763000,53763000,107141000,1394000,1394000,18729000,125870000,773888000,-503867000,144000,270165000,270165000,396035000,-5153000,2509000,9933000,13531000,20820000,-1939000,-1939000,-1939000,-1939000,2710000,2710000,2398000,21279000,21279000,41000,21320000,-2336000,17335000,9480000,0.45008,-0.0513,-0.05456,-0.01907,-0.01301,-1.83971,1.92924,0.4659,0.04377,-0.10483,-0.10483,1.92117,5.49596,0.19285,-0.01784,0.03281,22.27911,10.7418
"15","2013_Q4",10.69921875,"Down",103628000,-56221000,47407000,-47419000,-25090000,-16612000,-8478000,-19777000,-12000,-18000,-22000,4000,-30000,-30000,574000,544000,544000,544000,544000,79124000,79124000,54421000,54421000,39376000,34454000,6656000,207375000,18379000,166382000,116175000,1827000,184761000,392136000,53107000,18073000,35034000,45202000,45202000,98309000,1321000,1321000,19518000,117827000,777453000,-503323000,179000,274309000,274309000,392136000,544000,2404000,8644000,2015000,13607000,-2210000,-2210000,-2210000,-2210000,383000,383000,-1708000,9689000,9689000,56000,9745000,2392000,18197000,1623000,0.45747,-0.00012,0.00525,0.00198,0.00139,2.98346,2.10942,0.42954,0.0464,0.01095,0.01095,2.0852,5.51963,0.03266,0.00185,0.00552,-25.47115,5077.25
"16","2014_Q1",8.37967213114754,"Down",94003000,-53956000,40047000,-48103000,-26235000,-18583000,-7652000,-19316000,-8056000,-69000,-70000,1000,-8125000,-6474000,20999.9999999999,-6453000,-6453000,-6453000,-6453000,82747000,82747000,43520000,43520000,51071000,27128000,5757000,204466000,17473000,161660000,116175000,1745000,179133000,383599000,55238000,23163000,32075000,34862000,34862000,90100000,1145000,1145000,19576000,109676000,783509000,-509776000,190000,273923000,273923000,383599000,-6453000,2414000,8627000,-577000,4011000,-1512000,-1512000,-1512000,-1512000,2440000,2440000,1086000,3585000,3585000,38000,3623000,-5642000,18431000,-7752000,0.42602,-0.0857,-0.06865,-0.02356,-0.01682,1.2013,2.26932,0.40039,0.04805,-0.12929,-0.12929,1.88341,5.48823,-0.15532,-0.02199,-0.02641,11.3995,7.98361000000023
"17","2014_Q2",8.17619047619048,"Down",85820000,-48894000,36926000,-46823000,-24641000,-17390000,-7251000,-19630000,-9897000,-20000,-53000,33000,-9917000,-9917000,-110000,-10027000,-10027000,-10027000,-10027000,75169000,75169000,44134000,44134000,45060000,23007000,4869000,187370000,17122000,156893000,116175000,1618000,174015000,361385000,45457000,10887000,34570000,29013000,29013000,74470000,1090000,1090000,19559000,94029000,786958000,-519803000,201000,267356000,267356000,361385000,-10027000,2271000,8542000,-6012000,-5226000,-1908000,-1908000,-1908000,-1908000,21000,21000,-452000,-7586000,-7586000,8000,-7578000,-7626000,18469000,-15436000,0.43027,-0.11532,-0.11684,-0.0375,-0.02775,1.53944,2.51605,0.3517,0.05111,-0.19946,-0.19946,1.70715,5.31829,-0.30706,-0.03495,-0.0538,7.43509,5.72901
"18","2014_Q3",9.28984375,"Up",98005000,-53663000,44342000,-48232000,-26136000,-18455000,-7681000,-19544000,-3890000,42000,-28000,70000,-3848000,-3848000,-103000,-3951000,-3951000,-3951000,-3951000,78982000,32543000,47330000,47330000,45888000,21290000,5038000,193490000,17289000,152138000,116175000,1503000,169427000,362917000,47539000,12850000,34689000,26346000,26346000,73885000,958000,958000,19598000,93483000,793029000,-523754000,159000,269434000,269434000,362917000,-3951000,2251000,9152000,-2742000,4710000,-2420000,-2420000,-2420000,-48992000,2571000,2571000,1667000,-42615000,-42615000,-11000,-42626000,-1639000,18640000,-6698000,0.45245,-0.03969,-0.04031,-0.01466,-0.01089,1.69527,2.6188,0.34696,0.05136,-0.07812,-0.07812,1.93766,5.32699,-0.13243,-0.01367,-0.02317,36.81635,15.5120800000002
"19","2014_Q4",9.95609375,"Up",105769000,-60689000,45080000,-48824000,-26342000,-18717000,-7625000,-19930000,-3744000,11000,-7000,18000,-3733000,-3733000,-115000,-3848000,-3848000,-3848000,-3848000,87799000,39399000,42781000,42781000,43845000,18098000,6469000,192523000,20159000,147341000,116175000,1346000,167500000,360023000,50837000,13258000,37579000,20095000,20095000,70932000,1743000,1743000,20550000,91482000,796004000,-527602000,139000,268541000,268541000,360023000,-3848000,2250000,8688000,7968000,15058000,-5153000,-5153000,-5153000,-7322000,290000,290000,-838000,6898000,6898000,-42000,6856000,-1494000,18807000,1436000,0.42621,-0.0354,-0.03638,-0.01433,-0.01069,-0.37318,2.71419,0.34066,0.05224,-0.07537,-0.07537,2.07167,5.25984,0.02813,-0.01331,0.00497,46.17938,18.42735
"20","2015_Q1",8.98016393442623,"Down",111633000,-60192000,51441000,-54294000,-30535000,-21721000,-8814000,-21207000,-2853000,118000,11000,107000,-2735000,-2735000,-253000,-2988000,-2988000,-2988000,-2988000,111679000,48829000,30744000,30744000,46753000,18311000,12936000,207487000,20144000,142590000,116175000,1236000,162734000,370221000,63072000,23629000,39443000,12722000,12722000,75794000,2443000,2443000,21836000,97630000,803101000,-530590000,80000,272591000,272591000,370221000,-2988000,2491000,8819000,15211000,23533000,-2480000,-2480000,-2480000,-17222000,3413000,3413000,3198000,9509000,9509000,-79000,9430000.00000001,-362000,19393000,12622000,0.4608,-0.02556,-0.02677,-0.01096,-0.00807,-4.22423,2.73751,0.35816,0.05238,-0.05821,-0.05821,2.17494,5.31087,0.24591,-0.01015,0.04287,254.9337,32.347
"21","2015_Q2",8.1547619047619,"Down",91038000,-48548000,42490000,-54377000,-29911000,-19759000,-10152000,-21914000,-11887000,48000,0,48000,-11839000,-11839000,-91000,-11930000,-11930000,-11930000,-11930000,97775000,29618000,3.9e+07,3.9e+07,40637000,12541000,10779000,189953000,19403000,137827000,116175000,1113000,157230000,347183000,52239000,12792000,39447000,9036000,9036000,61275000,2091000,2091000,21519000,82794000,806820000,-542520000,89000,264389000,264389000,347183000,-11930000,2480000,8894000,-11341000,-11897000,-1742000,-1742000,-1742000,-7296000,564000,564000,58000,-19135000,-19135000,-76000,-19211000,-9407000,19428000,-22399000,0.46673,-0.13057,-0.13104,-0.04512,-0.03436,1.87754,3.10001,0.31315,0.05596,-0.23061,-0.23061,1.7598,5.11074,-0.43298,-0.04173,-0.07834,8.32859,6.59098
"22","2015_Q3",7.6003125,"Down",99129000,-50840000,48289000,-54054000,-28651000,-19215000,-9436000,-22851000,-5765000,88000,59000,29000,-5677000,-5677000,-102000,-5779000,-5779000,-5779000,-5779000,99457000,39672000,41985000,41985000,40710000,12741000,11457000,194893000,18790000,133315000,116175000,1241000,152105000,346998000,55083000,18538000,36545000,9132000,9132000,64215000,1903000,1903000,21274000,85489000,813050000,-548299000,135000,261509000,261509000,346998000,-5779000,2498000,9230000,-722999.999999996,5226000,-1876000,-1876000,-1876000,6239000,-486000,2891000,-1490000,9974999.99999999,9974999.99999999,79000,10054000,-3267000,19371000,-5763999.99999999,0.48713,-0.05816,-0.0583,-0.0221,-0.01665,0.9974,3.03501,0.32691,0.05582,-0.11123,-0.11123,1.90801,5.03347,-0.11094,-0.02044,-0.02038,24.51362,13.89176
"23","2015_Q4",7.826875,"Up",112297000,-59184000,53113000,-52236000,-27564000,-18424000,-9140000,-22120000,877000,230000,34000,196000,1107000,1107000,-185000,922000,922000,922000,922000,93853000,36194000,48188000,48188000,43769000,11309000,8311000,197119000,18484000,128525000,116175000,1091000,147009000,344128000,55064000,16784000,38280000,11414000,11414000,66478000,1700000,1700000,21090000,87568000,815092000,-547377000,-31000,256560000,256560000,344128000,922000,2624000,7441000,-5508000,5479000,-2325000,-2325000,-2325000,-371000,-7712000,35000,-8295000,-3187000,-3187000,-291000,-3478000,3501000,19390000,-4147000,0.47297,0.00781,0.00821,0.00359,0.00268,-4.49783,2.96518,0.34132,0.05635,0.01781,0.01781,2.16974,4.95711,-0.08013,0.00332,-0.01494,-21.26907,-84.9065
"24","2016_Q1",7.06639344262295,"Down",104999000,-58462000,46537000,-56272000,-30891000,-21165000,-9726000,-22829000,-9735000,346000,48000,298000,-9389000,-9389000,-157000,-9546000,-9546000,-9546000,-9546000,73590000,23626000,47155000,47155000,47667000,14388000,9470000,182800000,17149000,123937000,116175000,1144000,141086000,323886000,55115000,19603000,35512000,12124000,12124000,67239000,1293000,1293000,20862000,88101000,820080000,-556923000,-195000,235785000,235785000,323886000,-9546000,2660000,8027000,-5290000,-4149000,-1335000,-1335000,-1335000,6093000,-14017000,2036000,-14414000,-12470000,-12470000,-98000,-12568000,-7075000,19569000,-13543000,0.44321,-0.09272,-0.09092,-0.04049,-0.02947,1.41871,2.71866,0.37365,0.06042,-0.18898,-0.18898,2.07861,4.66772,-0.2681,-0.0372,-0.05277,7.63548000000001,5.54915
"25","2016_Q2",6.84125,"Down",98375000,-52893000,45482000,-56220000,-31746000,-19062000,-12684000,-22773000,-10738000,130000,47000,83000,-10608000,-10608000,-121000,-10729000,-10729000,-10729000,-10729000,64260000,21365000,43804000,43804000,41127000,14080000,9972000,163271000,16515000,120631000,116175000,1202000,137146000,300417000,54945000,11144000,43801000,9802000,9802000,64747000,1196000,1196000,20892000,85639000,822564000,-567652000,-148000,214778000,214778000,300417000,-10729000,1955000,6199000,7844000,5269000,-1453000,-1453000,-1453000,5567000,-12795000,14000,-13046000,-2210000,-2210000,-51000,-2261000,-8783000,19696000,-2271000,0.46233,-0.10915,-0.10906,-0.04995,-0.03571,0.21167,2.52168,0.39873,0.06556,-0.2208,-0.2208,2.02455,4.42012,-0.04674,-0.04553,-0.00964,5.07389,4.15012
"26","2016_Q3",7.49515625,"Up",107425000,-57419000,50006000,-55887000,-30854000,-19213000,-11641000,-25033000,-5881000,179000,147000,32000,-5702000,-5702000,-124000,-5826000,-5826000,-5826000,-5826000,64212000,26045000,49118000,49118000,40761000,14951000,8139000,169042000,15648000,119690000,116175000,1075000,135338000,304380000,57732000,13802000,43930000,12367000,12367000,70099000,1085000,1085000,20734000,90833000,827141000,-573478000,-130000,213547000,213547000,304380000,-5826000,2176000,3901000,-132000,119000,-1625000,-1625000,-1625000,3025000,2905000,2905000,1609000,4753000,4753000,-73000,4680000,-3705000,19649000,-5338000,0.4655,-0.05475,-0.05423,-0.02728,-0.01914,0.91624,2.41148,0.42535,0.06455,-0.12046,-0.12046,2.22113,4.41532,-0.11037,-0.02487,-0.02278,12.0278,7.57745
"27","2016_Q4",7.27952380952381,"Down",121187000,-67643000,53544000,-57309000,-29190000,-20575000,-8615000,-28119000,-3765000,110000,80000,30000,-3655000,845000,-209000,636000,636000,636000,636000,61318000,31764000,57256000,57256000,40190000,30418000,15700000,189182000,16017000,118739000,116175000,937000,134756000,323938000,68359000,19340000,49019000,16226000,16226000,84585000,979000,979000,20829000,105414000,831578000,-572842000,-226000,218524000,218524000,323938000,636000,2151000,5594000,-8509000,-128000,-2286000,-2286000,-2286000,6214000,0,0,-240000,5846000,5846000,-127000,5719000,-1614000,19850000,-12200000,0.44183,-0.03107,0.00525,0.00291,0.00196,-19.18239,2.23659,0.48239,0.06128,0.01304,0.01304,2.48446,4.47997,-0.25011,0.00266,-0.05097,25.69269,11.01408
"28","2017_Q1",7.08209677419355,"Down",131800000,-79614000,52186000,-64421000,-33477000,-24825000,-8652000,-30944000,-12235000,645000,-122000,767000,-11590000,-11590000,107000,-11483000,-11483000,-11483000,-11483000,78107000,50359000,51336000,51336000,44545000,45334000,10571000,219322000,17984000,118169000,116175000,1994000,136153000,355475000,93542000,23827000,69715000,27854000,27854000,121396000,878000,878000,21115000,142511000,837931000,-584325000,-656000,212964000,212964000,355475000,-11483000,2037000,4778000,23827000,19159000,-4475000,-4475000,-4475000,-2723000,2748000,2748000,2434000,18870000,18870000,-275000,18595000,-10198000,20237000,9047000,0.39595,-0.09283,-0.08712,-0.05392,-0.0323,-0.787860000000002,1.80667,0.66918,0.05693,-0.23346,-0.23346,2.67962,4.32977,0.18393,-0.04906,0.03865,5.67464,4.72987
"29","2017_Q2",6.77793650793651,"Down",117518000,-83141000,34377000,-66494000,-32686000,-22429000,-10257000,-33808000,-32117000,164000,44000,120000,-31953000,-32652000,-673000,-33325000,-33325000,-33325000,-33325000,51533000,26318000,64188000,64188000,46538000,52365000,11911000,214624000,18144000,116991000,116175000,816000,135135000,349759000,101535000,24520000,77015000,44416000,44416000,145951000,775000,775000,21651000,167602000,840392000,-617650000,-599000,182157000,182157000,349759000,-33325000,2463000,4428000,2980000,-23454000,-2106000,-2106000,-2106000,428000,13000,13000,-1080000,-24106000,-24106000,65000,-24041000,-29654000,20876000,-28107000,0.29253,-0.27329,-0.28357,-0.18295,-0.09528,0.84342,1.47052,0.9201,0.05969,-0.67289,-0.67289,2.3729,3.67808,-0.56753,-0.16351,-0.13791,1.03382,0.95454
"30","2017_Q3",5.70936507936508,"Down",126123000,-82800000,43323000,-61080000,-28130000,-18429000,-9701000,-32950000,-17757000,-97000.0000000001,104000,-201000,-17854000,-18811000,-177000,-18988000,-18988000,-18988000,-18988000,50209000,37294000,53392000,53392000,39572000,51206000,11112000,194379000,17959000,116986000,116175000,811000,134945000,329324000,100502000,27840000,72662000,41847000,41847000,142349000,638000,638000,21742000,164091000,842321000,-636638000,-464000,165233000,165233000,329324000,-18988000,2466000,2783000,15759000,2019999.99999999,-2609000,-2609000,-2609000,9692000,689000,689000,-847999.999999998,10864000,10864000,112000,10976000,-15291000,21104000,-1964000,0.3435,-0.14079,-0.15055,-0.11492,-0.05766,0.10343,1.36551,0.99309,0.06408,-0.37962,-0.37962,2.5215,3.3034,-0.0392700000000001,-0.10155,-0.0105,1.90341,1.63907
"31","2017_Q4",6.05238095238095,"Up",128827000,-84194000,44633000,-61284000,-28651000,-18448000,-10203000,-32633000,-16651000,-365000,-60000,-305000,-17016000,-17628000,-225000,-17853000,-17853000,-17853000,-17853000,70782000,64184000,44227000,44227000,36321000,34363000,11504000,185693000,16997000,116952000,116175000,777000,133949000,319642000,88977000,29576000,59401000,28228000,28228000,147205000,881000,881000,22054000,169259000,845204000,-654491000,-344000,150383000,150383000,319642000,-17853000,2703000,3064000,4895000,-7191000,-2071000,-2071000,-2071000,4254000,0,0,29701000,26764000,26764000,126000,26890000,-13948000,51173000,-10899000,0.34646,-0.12925,-0.13858,-0.11872,-0.05585,0.61049,1.26146,1.12552,0.16009,-0.35468,-0.35468,2.55934,2.98758,-0.21652,-0.08819,-0.05384,1.40586,1.17765
"32","2018_Q1",6.45655737704918,"Up",137899000,-87342000,50557000,-61339000,-33189000,-23475000,-9714000,-28150000,-10782000,64999.9999999999,-248000,313000,-10717000,-12698000,-168000,-12866000,-12866000,-12866000,-12866000,39775000,39775000,80392000,80392000,31529000,10759000,10759000,162455000,15681000,116934000,116175000,759000,132615000,295070000,85256000,35977000,49279000,13076000,13076000,128332000,1130000,1130000,21775000,150107000,852475000,-667357000,-169000,144963000,144963000,295070000,-12866000,3359000,2373000,-27013000,-34147000,-1240000,-1240000,-1240000,5360000,4238000,4238000,4217000,-24570000,-24570000,161000,-24409000,-7423000,50645000,-35508000,0.36662,-0.07819,-0.0933,-0.08875,-0.0436,2.75983,1.2659,1.03548,0.17164,-0.25357,-0.25357,2.71776,2.85698,-0.6998,-0.0654,-0.18048,-1.46437,-1.00816
"33","2018_Q2",7.046875,"Up",99403000,-57344000,42059000,-54532000,-28996000,-19901000,-9095000,-25536000,-12473000,-517000,-223000,-294000,-12990000,-11626000,-110000,-11736000,-11736000,-11736000,-11736000,42628000,42628000,55746000,55746000,27061000,12551000,12551000,137986000,14808000,118118000,116175000,1943000,132926000,270912000,66619000,17836000,48783000,14676000,14676000,111295000,866000,866000,21578000,132873000,855235000,-677320000,110000,138039000,138039000,270912000,-11736000,2623000,-3703000,6993000,-5823000,8475000,-1875000,-1875000,8475000,8000,8000,3000,2655000,2655000,198000,2853000,-9850000,50712000,5728000,0.42312,-0.12548,-0.11806,-0.08502,-0.04332,-0.48807,1.23982,0.96258,0.18719,-0.22739,-0.22739,1.926,2.6746,0.11098,-0.06189,0.03021,-0.82071,-0.64812
"34","2018_Q3",7.63650793650794,"Up",111702000,-60836000,50866000,-52999000,-30898000,-20527000,-10371000,-22101000,-2133000,291000,-165000,456000,-1842000,-2635000,-158000,-2793000,-2793000,-2793000,-2793000,48175000,48175000,69535000,69535000,19988000,11059000,11059000,148757000,15557000,118156000,116175000,1981000,133713000,282470000,73557000,26112000,47445000,17205000,17205000,120762000,2051000,2051000,20548000,141310000,861656000,-680113000,-397000,141160000,141160000,282470000,-2793000,2319000,2547000,1072000,3145000,-1080000,-1080000,-1080000,-1080000,3879000,3879000,3877000,5942000,5942000,-395000,5547000,186000,48497000,336000,0.45537,-0.0191,-0.025,-0.01979,-0.00989,-0.1203,1.23182,1.00106,0.17169,-0.05341,-0.05341,2.13608,2.69941,0.00643000000000002,-0.01457,0.00175000000000004,1.73118,-0.15096
