"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.11140625,"Down",45813000,-29036000,16777000,-25444000,-18253000,-5741000,-1450000,-8667000,611000,43000,-27000,70000,568000,-8056000,-8056000,-80000,-8136000,-8136000,-8136000,-8136000,120204000,86163000,27537000,27537000,11426000,11108000,318000,159167000,35410000,11000,95620000,80458000,2849000,6600000,131041000,290208000,6906000,6108000,798000,17829000,7107000,10722000,25767000,7881000,2281000,423000,5177000,8545000,34312000,450721000,-192586000,-2239000,255896000,255896000,290208000,-8136000,-8136000,8130000,2414000,244000,-934000,-96000,1274000,2652000,-2603000,-2603000,-15144000,-17747000,-5512000,0,-1358000,-7299000,-22394000,-22394000,-358000,-22752000,-537000,1696000,-2816000,0.36621,-0.18918,-0.17759,-0.03179,-0.02804,0.34612,6.17716,0.13409,0.00584,-0.08403,-0.08403,0.47319,2.64306,-0.02909,-0.03065,-0.01061,220.68529,13.67347
"12","2013_Q3",2.1940625,"Up",42763000,-28347000,14416000,-25800000,-18708000,-5650000,-1442000,-11384000,201000,58000.0000000002,-21000,79000,143000,-11183000,-11183000,-51000,-11234000,-11234000,-11234000,-11234000,118866000,82111000,24494000,24494000,10417000,10107000,310000,153777000,34057000,8000,94537000,80493000,2908000,6129000,128602000,282379000,9070000,8229000,841000,17997000,6542000,11455000,27844000,7619000,2230000,376000,5013000,8120000,35964000,453180000,-203820000,-2945000,246415000,246415000,282379000,-11234000,-11234000,7562000,3031000,5314000,3042000,946000,1326000,4673000,-4519000,-4519000,-2931000,-7331000,2000,2000,-771000,-1186000,-3844000,-3844000.00000001,-208000,-4052000,-3822000,1278000,-2976000,0.33711,-0.26621,-0.2627,-0.04559,-0.03978,0.26491,5.52281,0.14595,0.00453,-0.11671,-0.11671,0.44425,2.55994,-0.03092,-0.044,-0.01166,30.76609,10.32923
"13","2013_Q4",1.9440625,"Down",42656000,-27416000,15240000,-25462000,-18606000,-5423000,-1433000,-10222000,-484000,73000,-16000,89000,-557000,-10706000,-10706000,-197000,-10903000,-10918000,-10918000,-10918000,112265000,79222000,25667000,25667000,10571000,10232000,339000,148503000,33374000,6000,93659000,80658000,2862000,5796000,127039000,275542000,8977000,8008000,969000,18465000,6015000,12450000,28031000,7153000,1931000,357000,4865000,7565000,35596000,456250000,-214738000,-1566000,239946000,239946000,275542000,-10903000,-10918000,6711000,4129000,-724000,-1173000,252000,197000,-787000,-5563000,-5563000,3585000,-1973000,27000,27000,-180000,-431000,-3191000,-3199000,310000,-2889000,-3511000,1001000,-9601000,0.35728,-0.23964,-0.25595,-0.0455,-0.03962,0.87937,5.29781,0.14835,0.00363,-0.11262,-0.11262,0.43998,2.47497,-0.09903,-0.04401,-0.0387,31.69012,10.88476
"14","2014_Q1",2.11934426229508,"Up",42201000,-26926000,15275000,-24479000,-17811000,-5189000,-1479000,-9204000,4560000,71000,-12000,83000,4489000,-4644000,-4644000,-59000,-4703000,-5114000,-5114000,-5114000,118462000,85956000,21430000,21430000,8563000,8192000,371000,148455000,32998000,46000,86799000,77035000,1307000,6103000,119843000,268298000,6272000,5473000,799000,18545000,3523000,15022000,25283000,5326000,1500000,321000,3505000,5684000,30967000,458846000,-219852000,-1663000,237331000,237331000,268298000,-4703000,-5114000,6343000,-843000,-1739000,2611000,-2910000,-1440000,-942000,-5890000,-5890000,344000,8032000,234000,234000,-63000,-6000,7084000,7084000,-350000,6734000,-2861000,824000,-10431000,0.36196,-0.2181,-0.12118,-0.02155,-0.01906,2.03969,5.87173,0.13048,0.00307,-0.05252,-0.05252,0.43337,2.43719,-0.10712,-0.021,-0.04284,41.11779,12.78118
"15","2014_Q2",2.37349206349206,"Up",41170000,-25903000,15267000,-22926000,-17282000,-4578000,-1066000,-7659000,75000,58000,-12000,70000,17000,-7584000,-7584000,-56000,-7640000,-7640000,-7640000,-7640000,112372000,79214000,23248000,23248000,9525000,9273000,252000,145145000,31839000,45000,85822000,76998000,1323000,5492000,117706000,262851000,10676000,10128000,548000,15085000,3207000,11878000,26121000,4592000,985000,276000,3331000,4896000,31017000,460829000,-227492000,-1503000,231834000,231834000,262851000,-7640000,-7640000,5403000,2717000,-2570000,-1819000,3808000,-4559000,-2090000,-3065000,-3065000,-817000,-3882000,117000,117000,-864000,-907000,-6879000,-6879000,137000,-6742000,-2256000,664000,-7835000,0.37083,-0.18603,-0.18557,-0.03295,-0.02907,1.02552,5.55664,0.13379,0.00253,-0.078,-0.078,0.42033,2.36696,-0.07999,-0.03222,-0.03305,49.51596,14.58519
"16","2014_Q3",2.54796875,"Up",41342000,-25469000,15873000,-22849000,-17013000,-4859000,-977000,-6976000,-135000,60000,-7000,67000,-195000,-7111000,-7111000,-27000,-7138000,-6869000,-6869000,-6869000,107456000,73404000,24066000,24066000,7910000,7652000,258000,139432000,32642000,40000,85532000,77164000,1476000,5188000,118214000,257646000,10048000,9282000,766000,15490000,3411000,12079000,25791000,4312000,805000,234000,3273000,4560000,30351000,462541000,-234358000,-888000,227295000,227295000,257646000,-7138000,-6869000,5121000,2661000,858000,-817000.000000001,-512000.000000001,2187000,1502000,-5844000,-5844000,-1001000,-6431000,-587000,617000,-307000,-1057000,-5986000,-5986000,176000,-5810000,-1855000,501000,-6814000,0.38394,-0.16874,-0.16615,-0.03022,-0.02666,0.99199,5.40623,0.13353,0.00194,-0.06979,-0.06979,0.42006,2.30944,-0.06923,-0.02959,-0.02936,57.65768,15.33185
"17","2014_Q4",2.5590625,"Up",39021000,-22879000,16142000,-22366000,-16027000,-5514000,-825000,-6224000,1251000,59000,-7000,66000,1192000,-4973000,-4973000,-98000,-5071000,-5075000,-5075000,-5075000,101256000,67028000,22443000,22443000,9329000,9040000,289000,133028000,32219000,40000,84362000,76583000,1337000,5098000,116621000,249649000,9948000,9314000,634000,15748000,3503000,12245000,25915000,3763000,627000,181000,2955000,3955000,29870000,463811000,-239436000,-4596000,219779000,219779000,249649000,-5071000,-5075000,5032000,1485000,147000,1623000,-2197000,721000,1593000,-5075000,-5075000,-301000,-5376000,-1063000,233000,-284000,-1436000,-5219000,-5223000,-1153000,-6376000,-1192000,411000,-6022000,0.41367,-0.1595,-0.13006,-0.02309,-0.02033,1.1866,5.13324,0.13591,0.00165,-0.05155,-0.05155,0.39633,2.23226,-0.06116,-0.02266,-0.02689,84.60151,16.2026
"18","2015_Q1",3.16622950819672,"Up",40726000,-24598000,16128000,-21987000,-15312000,-6014000,-661000,-5859000,874000,67000,-6000,73000,807000,-4985000,-4985000,-22000,-5007000,-5007000,-5007000,-5007000,93084000,57767000,22622000,22622000,9862000,9625000,237000,125568000,32714000,40000,83019000,76133000,1364000,4451000,115773000,241341000,7313000,7065000,248000,17892000,3509000,14383000,25428000,3615000,405000,170000,3040000,3750000,29178000,464392000,-244443000,-7786000,212163000,212163000,241341000,-5007000,-5007000,4646000,1502000,-1678000,-179000,-977000,-522000,-537000,-4597000,-4597000,-1213000,-5810000,-1628000,414000,-340000,-2022000,-8369000,-8369000,-892000,-9261000,-1213000,358000,-7466000,0.39601,-0.14386,-0.12294,-0.0236,-0.02075,1.49111,4.93818,0.13753,0.00148,-0.05076,-0.05076,0.41288,2.15093,-0.07569,-0.02317,-0.03454,76.44353,15.82625
"19","2015_Q2",3.95190476190476,"Up",42329000,-25810000,16519000,-24029000,-17126000,-6263000,-640000,-7510000,1882000,70000,-4000,74000,1812000,-5628000,-5628000,-55000,-5683000,-5683000,-5683000,-5683000,80944000,45508000,27357000,27357000,8458000,8240000,218000,116759000,34139000,40000,81833000,76020000,1309000,3646000,116012000,232771000,8225000,8059000,166000,14822000,3471000,11351000,23047000,3134000,241000,144000,2749000,3134000,26181000,467512000,-250126000,-10796000,206590000,206590000,232771000,-5683000,-5683000,4793000,1383000,-5041000,-4734000,-1723000,1416000,-4548000,-6666000,-6666000,-116000,-6782000,1018000,1975000,-1107000,-447000,-11777000,-11777000,-482000,-12259000,-2717000,0,-14369000,0.39025,-0.17742,-0.13426,-0.02751,-0.02441,2.52842,5.06613,0.12673,0,-0.05762,-0.05762,0.42914,2.09447,-0.14568,-0.0271,-0.06851,29.79168,10.77816
"20","2015_Q3",3.0621875,"Down",43795000,-25646000,18149000,-24366000,-16084000,-7646000,-636000,-6217000,-55000.0000000002,75000,0,75000,-130000,-6272000,-6272000,-90000,-6362000,-6362000,-6362000,-6362000,74917000,40502000,31444000,31444000,9926000,9714000,212000,116287000,37859000,40000,82885000,76381000,1374000,4437000,120784000,237071000,14524000,14339000,185000,15533000,4142000,11391000,30057000,2808000,89000,134000,2585000,2808000,32865000,470489000,-256488000,-9795000,204206000,204206000,237071000,-6362000,-6362000,5011000,3362000,-1424000,-4088000,3389000,-725000,587000,-5395000,-5395000,-45000,-5440000,544000,544000,-837000,-293000,-5146000,-5146000,140000,-5006000,-1206000,0,-7935000,0.41441,-0.14196,-0.14527,-0.03115,-0.02684,1.24725,3.86888,0.16094,0,-0.06372,-0.06372,0.43864,2.04529,-0.07948,-0.03073,-0.03833,62.12023,12.05035
