"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",1.86640625,"Down",42049000,-26138000,15911000,-24152000,-16075000,-7429000,-648000,-8241000,555000,82000,0,82000,473000,-7686000,-7686000,-76000,-7762000,-7762000,-7762000,-7762000,69575000,35452000,27151000,27151000,9341000,9156000,185000,106067000,40149000,40000,81683000,76096000,1260000,3857000,121872000,227939000,10479000,10358000,121000,16608000,3636000,12972000,27087000,2514000,27000,133000,2354000,2514000,29601000,473500000,-264250000,-10912000,198338000,198338000,227939000,-7762000,-7762000,5284000,2776000,3366000,4293000,-1156000,229000,3664000,-8693000,-8693000,261000,-8432000,212000,212000,-335000,-123000,-4891000,-4891000,-159000,-5050000,-2957000,0,-8208000,0.37839,-0.19599,-0.18459,-0.03914,-0.03405,1.05746,3.91579,0.14925,0,-0.0772,-0.0772,0.41819,1.97253,-0.08163,-0.03865,-0.04087,23.52891,8.44254
"22","2016_Q1",1.4272131147541,"Down",42739000,-25199000,17540000,-21293000,-13610000,-6678000,-1005000,-3753000,-346000,61000,-25000,86000,-407000,-4099000,-4099000,-46000,-4145000,-4145000,-4145000,-4145000,73002000,44680000,26795000,26795000,9748000,9578000,170000,109545000,36232000,40000,79810000,76143000,1252000,2415000,116082000,225627000,9341000,9137000,204000,13747000,2890000,10857000,23554000,2540000,92000,137000,2311000,3976000,27530000,477304000,-268395000,-10812000,198097000,198097000,225627000,-4145000,-4145000,5816000,3466000,1601000,356000,-424999.999999999,1670000,6738000,-3960000,-3960000,5699000,1739000,1287000,1287000,-348000,844000,9321000,9321000,-93000,9228000,2063000,1902000,-249999.999999999,0.4104,-0.08781,-0.09698,-0.02092,-0.01837,0.0603099999999999,4.6508,0.13897,0.00843,-0.04088,-0.04088,0.42152,1.95377,-0.00246999999999999,-0.02047,-0.00123,-34.46437,18.94484
"23","2016_Q2",1.514375,"Up",41422000,-24778000,16644000,-22659000,-15711000,-6325000,-623000,-6015000,227000,-173000,-179000,6000,4e+05,-5788000,-5788000,-158000,-5946000,-5946000,-5946000,-5946000,24141000,24141000,27452000,27452000,6240000,6054000,186000,57833000,96203000,40000,79648000,76370000,1207000,2071000,175891000,233724000,7670000,7585000,85000,11998000,3379000,8619000,20489000,2355000,77000,141000,2137000,17490000,37979000,480195000,-274341000,-10109000,195745000,195745000,233724000,-5946000,-5946000,5291000,3328000,497000,-656000,-4005000,5158000,3170000,-1421000,-1421000,28315000,-35896000,43000,43000,-646000,12028000,-20698000,-20698000,159000,-20539000,-724000,15956000,-1490000,0.40182,-0.14521,-0.14355,-0.03038,-0.02544,0.25059,2.82264,0.19402,0.06827,-0.0579,-0.0579,0.40336,1.90612,-0.01451,-0.02778,-0.00696,11.30525,1.36076
"24","2016_Q3",1.6875,"Up",43560000,-24759000,18801000,-76273000,-69358000,-6289000,-626000,-57472000,-351000,-272000,-280000,8000.00000000001,-79000.0000000001,-57823000,-57823000,-115000,-57938000,-57938000,-57938000,-57938000,30885000,30885000,24872000,24872000,6413000,6278000,135000,62170000,93517000,40000,79429000,76242000,1284000,1903000,172986000,235156000,7795000,7630000,165000,30860000,2469000,28391000,39774000,38160000,52000,145000,37963000,53958000,93732000,484007000,-332279000,-10304000,141424000,141424000,235156000,-57938000,-57938000,5115000,57558000,2073000,2580000,1566000,-2073000,6808000,-259000,-259000,7.45058059692383e-09,-259000,813000,813000,-298000,196000,6745000,6745000,-1000,6744000,-52357000,16917000,-50428000,0.43161,-1.31938,-1.33007,-0.40968,-0.24638,0.87038,1.56308,0.66277,0.07194,-0.55761,-0.55761,0.41923,1.36109,-0.48533,-0.29485,-0.25663,0.266780000000008,0.243040000000001
"25","2016_Q4",2.12,"Up",39474000,-23235000,16239000,-21983000,-15743000,-5627000,-613000,-5744000,-247000,-398000,-406000,8000,151000,-5991000,-5991000,-131000,-6122000,-6122000,-6122000,-6122000,74400000,74400000,22859000,22859000,5464000,5347000,117000,102723000,29728000,40000,79602000,76437000,1317000,1848000,109370000,212093000,10063000,9922000,141000,30228000,1400000,28828000,40291000,33425000,30000,148000,33247000,33425000,73716000,486679000,-338401000,-9901000,138377000,138377000,212093000,-6122000,-6122000,5014000,3129000,-1036000,2013000,1769000,-4818000,985000,-2986000,-2986000,0,59804000,48000,48000,-362000,-17311000,43478000,43478000,37000,43515000,-730000,0,-4621000,0.41138,-0.14551,-0.15509,-0.04424,-0.02886,0.75482,2.54953,0.53272,0,-0.05838,-0.05838,0.37645,1.31965,-0.04407,-0.03563,-0.0269,101.91781,12.95265
"26","2017_Q1",2.3358064516129,"Up",43778000,-24117000,19661000,-22859000,-16175000,-6094000,-590000,-3197999.99999999,-522000,48000,-53000,101000,-570000,-3720000,-3720000,-199000,-3919000.00000001,-3919000,-3919000,-3919000,66187000,21734000,27418000,27418000,4990000,4865000,125000,98595000,30352000,40000,79142000,76243000,1105000,1794000,109534000,208129000,8978000,8790000,188000,32974000,2138000,30836000,41952000,28609000,22000,152000,28435000,28609000,70561000,490926000,-342320000,-11038000,137568000,137568000,208129000,-3919000.00000001,-3919000,5064000,-5216000,-334000,-4560000,-1087000,5313000,-4405000,-4393000,-4897000,-44629000,-49022000,1839000,1839000,-676000,1163000,-52264000,-52264000,-402000,-52666000,1866000.00000001,1.86264514923096e-09,-2661999.99999999,0.44911,-0.07305,-0.0895200000000001,-0.02849,-0.01883,0.67925,2.35019,0.51292,-6.93889390390723e-18,-0.0369899999999999,-0.03699,0.41322,1.29851,-0.02513,-0.02358,-0.01602,-35.46999,20.69637
"27","2017_Q2",2.90380952380952,"Up",44735000,-23564000,21171000,-24590000,-17781000,-6220000,-589000,-3419000,190000,103000,-14000,117000,87000,-3229000,-3229000,-108000,-3337000,-3337000,-3337000,-3337000,60828000,19152000,26191000,26191000,4088000,3989000,99000,91107000,30204000,40000,79701000,76702000,1193000,1806000,109945000,201052000,8751000,8558000,193000,30445000,1845000,28600000,39196000,23905000,13000,154000,23738000,23905000,63101000,493675000,-345657000,-10067000,137951000,137951000,201052000,-3337000,-3337000,5146000,3322000,-3996000,1227000,-1160000,-4063000,1135000,-5687000,-5745000,2724000,-2963000,111000,111000,-1036000,-925000,-2753000,-2753000,171000,-2582000,1727000,0,-7848000,0.47325,-0.07643,-0.07459,-0.02419,-0.0166,2.35181,2.3244,0.45742,0,-0.03108,-0.03108,0.41667,1.2849,-0.0731,-0.02062,-0.04849,-35.22177,17.79117
"28","2017_Q3",3.51380952380952,"Up",45370000,-23995000,21375000,-23114000,-15803000,-6714000,-597000,-1739000,266000,112000,-9999.99999999999,122000,154000,-1473000,-1473000,-152000,-1625000,-1625000,-1625000,-1625000,60596000,22972000,28154000,28154000,4233000,4121000,112000,92983000,30415000,40000,80141000,77032000,1307000,1802000,110596000,203579000,11097000,10763000,334000,32463000,1741000,30722000,43560000,19219000,15000,147000,19057000,19219000,62779000,497127000,-347282000,-9045000,140800000,140800000,203579000,-1625000,-1625000,5128000,3514000,-2794000,-1963000,3861000,-4692000,4223000,-4711000,-4733000,4000999.99999999,-710000,1077000,1077000,-880000,197000,3710000.00000001,3710000.00000001,110000,3819999.99999999,3389000,-1.16415321826935e-10,-3964000,0.47113,-0.03833,-0.03582,-0.01154,-0.00798,2.43938,2.1346,0.44587,4.33680868994202e-19,-0.01499,-0.01499,0.41845,1.29862,-0.03656,-0.01016,-0.02477,-17.8802,34.84531
"29","2017_Q4",4.9368253968254,"Up",46068000,-23793000,22275000,-23959000,-16913000,-6443000,-603000,-1684000,116000,108000,-18000,126000,8000,-1568000,-1568000,-188000,-1756000,-1756000,-1756000,-1756000,57692000,20744000,28712000,28712000,4555000,4453000,102000,90959000,29835000,40000,80112000,76925000,1393000,1794000,109987000,200946000,9187000,8804000,383000,35359000,1694000,33665000,44546000,14520000,15000,146000,14359000,14520000,59066000,499597000,-349038000,-8679000,141880000,141880000,200946000,-1756000,-1756000,5109000,-10319000,9991000,-558000,2048000,8501000,3025000,-5325000,-5328000,636000,-4689000,12000,12000,-655000,-643000,-2307000,-2307000,79000,-2228000,3425000,0,8279000,0.48352,-0.03655,-0.03812,-0.01238,-0.00874,-4.71469,2.04191,0.41631,0,-0.01606,-0.01606,0.42132,1.29758,0.07572,-0.01123,0.05293,-16.84438,34.25891
"30","2018_Q1",4.2627868852459,"Down",48187000,-25209000,22978000,-24206000,-17654000,-5965000,-587000,-1228000,294000,91000,-38000,129000,203000,-934000,-934000,22000,-912000,-912000,-912000,-912000,49316000,20912000,32381000,32381000,5495000,5397000,98000,87192000,28991000,40000,80225000,77054000,1506000,1665000,109256000,196448000,4891000,4439000,452000,37694000,1187000,36507000,42585000,9718000,16000,144000,9558000,9718000,52303000,502423000,-349950000,-8328000,144145000,144145000,196448000,-912000,-912000,5131000,-1427000,-5677000,-3669000,-730000,-1278000,-2885000,-4905000,-4919000,8465000,3560000,1448000,1448000,-1925000,-477000,198000,198000.000000001,-30000,168000,3903000,-7.27595761418343e-12,-6701000,0.47685,-0.02548,-0.01893,-0.00633,-0.00464,7.34759,2.04748,0.36285,0,-0.00828,-0.00828,0.43755,1.30889,-0.06085,-0.00593,-0.04355,-12.63541,40.15961
"31","2018_Q2",4.84703125,"Up",52114000,-25434000,26680000,-26729000,-19802000,-6339000,-588000,-49000,183000,71000,-59000,130000,112000,134000,134000,15000,149000,149000,149000,149000,43695000,19863000,32433000,32433000,5941000,5717000,224000,82069000,27371000,40000,80747000,77027000,1546000,2174000,108158000,190227000,10448000,10376000,72000,30445000,950000,29495000,40893000,5086000,16000,159000,4911000,5086000,45979000,500416000,-348307000,-7861000,144248000,144248000,190227000,149000,149000,4968000,-965000,-2493000,-52000,-2286000,-155000,1659000,-1974000,-1990000,4515000,2541000,-3770000,30000,-1606000,-5376000,-1176000,-1176000,127000,-1049000,4919000,0,437000,0.51195,-0.00094,0.00286,0.00103,0.00078,2.93289,2.00692,0.31875,0,0.00135,0.00125,0.47051,1.30234,0.00395,0.001,0.00293,-8.8829,891.73469
"32","2018_Q3",4.66698412698413,"Down",50249000,-25402000,24847000,-24244000,-17538000,-6073000,-633000,603000,14805000,15026000,-7000.00000000001,15033000,-221000,15408000,15408000,-249000,15159000,15159000,15159000,15159000,45570000,28719000,31862000,31862000,18300000,18147000,153000,95732000,26303000,40000,80433000,76648000,1550000,2235000,106776000,202508000,6398000,6179000,219000,31234000,965000,30269000,37632000,550000,37000,124000,389000,550000,38182000,506796000,-333146000,-9324000,164326000,164326000,202508000,15159000,15159000,4829000,-13317000,-3215000,571000,-3298000,-488000,3456000,-4194000,-4291000,7e+06,2806000,4032000,4032000,-1206000,2826000,9088000,9088000,-232000,8856000,5432000,0,-1728000,0.49448,0.012,0.30168,0.09225,0.07486,-0.11399,2.5439,0.23236,-2.71050543121376e-20,0.13613,0.12633,0.45124,1.47567,-0.01552,0.09194,-0.01048,-8.38918,-75.5721399999999
"33","2018_Q4",3.66365079365079,"Down",49315000,-25280000,24035000,-24116000,-17618000,-5882000,-616000,-81000,-79000,167000,-10000,177000,-246000,-160000,-160000,-113000,-273000,-273000,-273000,-273000,52635000,28678000,26147000,26147000,18013000,17859000,154000,96795000,27392000,40000,80707000,76683000,1590000,2434000,108139000,204934000,9087000,8976000,111000,28157000,853000,27304000,37244000,627000,68000,174000,385000,627000,37871000,509959000,-333419000,-9477000,167063000,167063000,204934000,-273000,-273000,4377000,1955000,5633000,5715000,3058000,-3140000,11692000,-4196000,-4214000,-7112000,-11308000,737000,737000,-996000,-259000,125000,125000,-166000,-41000,4296000,0,5846000,0.48738,-0.00164,-0.00554,-0.00163,-0.00133,-21.41392,2.59894,0.22669,0,-0.00242,-0.00225,0.43734,1.48158,0.05184,-0.00163,0.03486,-12.25209,649.81481
"34","2019_Q1",2.90245901639344,"Down",43992000,-26081000,17911000,-23224000,-16967000,-5781000,-476000,-5313000,311000,220000.000000002,-10000,230000,91000,-5002000,-5002000,-191000,-5193000,-5193000,-5193000,-5193000,50466000,25383000,26041000,26041000,14911000,14789000,122000,91418000,27378000,40000,80089000,76407000,1462000,2220000,107507000,198925000,9340000,9216000,124000,23805000,1883000,21922000,33145000,629000,42000,152000,435000,629000,33774000,513796000,-338612000,-10033000,165151000,165151000,198925000,-5193000,-5193000,4416000,13090000,-9398000,106000,-1807000,-7697000,2915000,-5614000,-5618000,-1169000,-6783000,1374000,1374000,-985000,389000,-3479000,-3479000,184000,-3295000,-897000,-1.16415321826935e-10,-15718000,0.40714,-0.12077,-0.11804,-0.03144,-0.02611,3.02677,2.75812,0.2045,0,-0.04572,-0.04329,0.38733,1.45408,-0.13839,-0.03132,-0.09481,56.26087,9.49859000000015
"35","2019_Q2",2.98634920634921,"Up",43280000,-27258000,16022000,-24653000,-18507000,-5901000,-245000,-8631000,196000,202000,-10000,212000,-6000,-8435000,-8435000,-124000,-8559000,-8559000,-8559000,-8559000,38641000,16499000,29505000,29505000,12400000,12276000,124000,80546000,32996000,40000,85426000,76707000,1508000,7211000,118462000,199008000,18044000,17858000,186000,19300000,1524000,17776000,37344000,496000,105000,128000,263000,2126000,39470000,516366000,-347171000,-9657000,159538000,159538000,199008000,-8559000,-8559000,4562000,1877000,-3843000,-3463000,2243000,-2623000,-5963000,-4989000,-5018000,2958000,-2031000,8000,8000,-894000,-886000,-8880000,-8880000,-4000,-8884000,-4069000,1630000,-12777000,0.37019,-0.19942,-0.19776,-0.05365,-0.04301,1.49281,2.15687,0.2474,0.00819,-0.07481,-0.07481,0.37829,1.39444,-0.11168,-0.05294,-0.07903,9.09585,4.28815
"36","2019_Q3",2.63765625,"Down",45904000,-27396000,18508000,-25475000,-19334000,-6014000,-127000,-6967000,28999.9999999998,99000.0000000001,-10000,109000,-70000,-6938000,-6938000,-254000,-7192000,-7192000,-7192000,-7192000,28922000,24698000,31098000,31098000,8864000,8739000,125000,68884000,35531000,40000,86840000,76848000,1443000,8549000,122411000,191295000,14616000,14346000,270000,18137000,1331000,16806000,32753000,572000,149000,140000,283000,1897000,34650000,520491000,-354363000,-9483000,156645000,156645000,191295000,-7192000,-7192000,4754000,2063000,1489000,-1594000,4230000,-1147000,1114000,-11439000,-11456000,17916000,6477000,1095000,1095000,-619000,476000,8067000,8067000,132000,8199000,-2213000,1325000,-11909000,0.40319,-0.15177,-0.15667,-0.04591,-0.0376,1.65587,2.10314,0.2212,0.00693,-0.06239,-0.06239,0.39821,1.35887,-0.10331,-0.04536,-0.07512,12.4704,3.96110000000001
"37","2019_Q4",3.9571875,"Up",51321000,-30562000,20759000,-23402000,-18069000,-5160000,-173000,-2643000,58000,71000,-10000,81000,-13000,-2585000,-2585000,-166000,-2751000,-2751000,-2751000,-2751000,18050000,14832000,35818000,35818000,9599000,9522000,77000,63467000,46304000,40000,98586000,77051000,1474000,20061000,144930000,208397000,20966000,20641000,325000,15591000,1205000,14386000,36557000,585000,162000,123000,3e+05,13916000,50473000,524875000,-357114000,-9837000,157924000,157924000,208397000,-2751000,-2751000,5134000,3322000,-7613000,-4720000,-2798000,-95000,-1908000,-7745000,-7750000,1e+06,-6745000,13000,13000,-1015000,-1002000,-9655000,-9655000,-211000,-9866000,2491000,13331000,-12701000,0.40449,-0.0515,-0.0536,-0.01742,-0.0132,4.61687,1.73611,0.3196,0.06397,-0.02366,-0.02366,0.4414,1.35828,-0.10924,-0.01601,-0.07391,-1.89442,1.78547
"38","2020_Q1",4.96887096774194,"Up",60129000,-33874000,26255000,-23739000,-17953000,-5459000,-327000,2516000,148000,-21000,-46000,25000,169000,2664000,2664000,-206000,2458000,2458000,2458000,2458000,18335000,18335000,34476000,34476000,10002000,9920000,82000,62813000,46136000,40000,100380000,77102000,1319000,21959000,146556000,209369000,12198000,12020000,178000,16430000,976000,15454000,28628000,14204000,161000,239000,13804000,14204000,42832000,530403000,-354656000,-9210000,166537000,166537000,209369000,2458000,2458000,5615000,6744000,-6314000,1342000,-2383000,-5273000,8503000,-10480000,-10480000,3211000,-7269000,3290000,3290000,-1079000,2211000,3445000,3445000,57999.9999999999,3503000,8131000,1.86264514923096e-09,-8457000,0.43664,0.04184,0.04088,0.01476,0.01174,-3.4406,2.19411,0.25719,-1.38777878078145e-17,0.0209,0.0209,0.51127,1.41606,-0.07191,0.0136,-0.04679,-2.25495,-7.28736
"39","2020_Q2",5.54746031746032,"Up",57012000,-36263000,20749000,-25735000,-19776000,-5618000,-341000,-4986000,-95000,15000,-10000,25000,-110000,-5081000,-5081000,-176000,-5257000,-5257000,-5257000,-5257000,21421000,21421000,34603000,34603000,11281000,11205000,76000,67305000,46636000,40000,99033000,76867000,1361000,20805000,145709000,213014000,14467000,14297000,170000,20960000,726000,20234000,35427000,741000,161000,262000,318000,13724000,49151000,534325000,-359913000,-10549000,163863000,163863000,213014000,-5257000,-5257000,5491000,4623000,4719000,-127000,5892000,-1046000,9576000,-6863000,-6863000,-12698689.1687868,-6863000,2138000,2138000,-1515000,623000,3336000,3336000,-250000,3086000,505000,12983000,-1463000,0.36394,-0.08746,-0.09221,-0.03208,-0.02468,0.2783,1.89982,0.29995,0.06095,-0.04419,-0.04419,0.47924,1.37742,-0.0123,-0.0296,-0.00824,-16.70891,1.69234
"40","2020_Q3",6.25734375,"Up",58546000,-34749000,23797000,-25011000,-19116000,-5571000,-324000,-1214000,-377000,-65999.9999999999,-72000.0000000001,6000,-311000,-1591000,-1591000,-135000,-1726000,-1726000,-1726000,-1726000,18200000,18200000,45246000,45246000,10309000,10241000,68000,73755000,48908000,40000,97805000,77113000,1328000,19364000,146753000,220508000,17173000,17004000,169000,20352000,934000,19418000,37525000,852000,265000,283000,304000,13168000,50693000,541485000,-361639000,-10031000,169815000,169815000,220508000,-1726000,-1726000,5684000,5567000,-7185000,-10643000,1045000,2413000,2340000,-8085000,-8085000,-39557244.6040846,-8085000,3954000,3954000,-1430000,2524000,-3221000,-3221000,0,-3221000,4470000,12316000,-10665000,0.40647,-0.02074,-0.02948,-0.01016,-0.00783000000000001,6.17903,1.96549,0.29852,0.05585,-0.01436,-0.01436,0.48695,1.41242,-0.0887,-0.00943000000000001,-0.05828,-1.31633,4.84679
"41","2020_Q4",4.56828125,"Down",59243000,-37506000,21737000,-24016000,-18207000,-5425000,-384000,-2279000,-1640000,-1665000,-1674000,9000,25000,-3919000,-3919000,-66000,-3985000,-3985000,-3985000,-3985000,124792000,75169000,42222000,42222000,12642000,12561000,81000,179656000,48921000,40000,95429000,77126000,1404657.89559869,18303000,144390000,324046000,12590000,12437000,153000,21035000,797000,20238000,33625000,1060000,230000,251000,579000,112742000,146367000,552682000,-365624000,-9379000,177679000,177679000,324046000,-3985000,-3985000,5986000,2809000,2849000,3025000,1222000,-1398000,7659000,-7179000,-7180000,-49790000,-56969000,2599000,2599000,-18239000,105960000,56650000,56650000,319000,56969000,3707000,111682000,-557000,0.36691,-0.03847,-0.06727,-0.02243,-0.0123,0.13977,5.34293,0.82377,0.34465,-0.03257,-0.03257,0.48416,1.45206,-0.00455,-0.01372,-0.00192,-3.53655,5.75252
"42","2021_Q1",3.90540983606557,"Down",55393000,-38570000,16823000,-22738000,-17130000,-5066000,-542000,-5915000,-2126000,-2154000,-2183000,29000,28000,-8041000,-8041000,-268000,-8309000,-8309000,-8309000,-8309000,123723000,46795000,31675000,31675000,15656000,15588000,68000,171054000,46418000,40000,96666000,77753000,1530000,17383000,143124000,314178000,4840000,4587000,253000,20958000,933000,20025000,25798000,12243000,220000,279000,11744000,113188000,138986000,556636000,-373933000,-7511000,175192000,175192000,314178000,-8309000,-8309000,6009000,5385000,-1332000,10546000,-9228000,-2650000,1753000,-2956000,-2957000,-27792000,-30748000,1377000,1377000,-966000,411000,-28584000,-28584000,210000,-28374000,94000,100945000,-3926000,0.3037,-0.10678,-0.15,-0.04743,-0.02645,0.4725,6.63051,0.79334,0.3213,-0.06743,-0.06743,0.44952,1.4217,-0.03186,-0.02881,-0.01361,-242.31915,3.85089
"43","2021_Q2",3.29984126984127,"Down",51195000,-38700000,12495000,-29436000,-22783000,-6113000,-540000,-16941000,-1455000,-1241000,-1286000,45000,-214000,-18396000,-25269000,-260000,-25529000,-25529000,-25529000,-25529000,116928000,35620000,29151000,29151000,14886000,14784000,102000,160965000,46863000,40000,95261000,77421000,1577000,16263000,142164000,303129000,8351000,8029000,322000,22341000,844000,21497000,30692000,11843000,226000,360000,11257000,133043000,163735000,545641000,-397785000,-8462000,139394000,139394000,303129000,-25529000,-25529000,6219000,9289000,8529000,2525000,5209000,795000,-1492000,-6628000,-6628000,-4977000,-11605000,2847000,2847000,-671000,2176000,-10921000,-10921000,-254000,-11175000,-10722000,121200000,-8561000,0.24407,-0.33091,-0.49866,-0.18314,-0.08422,0.33534,5.24453,1.17462,0.39983,-0.2054,-0.2054,0.4119,1.12152,-0.06888,-0.09371,-0.03142,-0.39843,-0.25217
"44","2021_Q3",2.634375,"Down",48348000,-38929000,9419000,-19011000,-13260000,-5202000,-549000,-9592000,-1704000,-1263000,-1305000,42000,-441000,-11296000,-13451000,-247000,-13698000,-13698000,-13698000,-13698000,119536000,44065000,24867000,24867000,14614000,14557000,57000,159017000,42406000,40000,94322000,77642000,1604000,15076000,136768000,295785000,12847000,12459000,388000,19378000,524000,18854000,32225000,11305000,272000,306000,10727000,132676000,164901000,550332000,-411483000,-7965000,130884000,130884000,295785000,-13698000,-13698000,6478000,5111000,6046000,4284000,1523000,239000,3937000,-2879000,-2986000,5281000,2402000,2613000,2613000,-457000,2156000,8495000,8495000,-50000.0000000001,8445000,-3114000,121371000,3e+05,0.19482,-0.19839,-0.28332,-0.10466,-0.04631,-0.0219,4.93458,1.2599,0.41034,-0.11021,-0.11021,0.38899,1.05305,0.00241000000000001,-0.05197,0.00114,-0.589270000000009,-0.19131
"45","2021_Q4",2.97171875,"Up",55202000,-39372000,15830000,-22454000,-16519000,-5205000,-730000,-6624000,-1500000,-1291000,-1768677.38057198,30186.5245937302,-209000,-8124000,-9894000,-211000,-10105000,-10105000,-10105000,-10105000,75786000,39585000,46179000,46179000,13458000,13396000,62000,135423000,36392000,40000,144249000,105221000,1693000,13655000,180681000,316104000,14211000,13768000,443000,27881000,7965000,19916000,42092000,11113000,307000,308000,10498000,132689000,174781000,571402000,-421588000,-8491000,141323000,141323000,316104000,-10105000,7637342.72822157,6414000,3795000,-9879000,8711813.61383111,-10113232.6235939,-2494034.4483334,-9775000,-2183000,2967271.58679488,38858000,5707000,0,0,-217000,-217000,-4285000,-4285000,-195000,-4480000,-210000,121576000,-12061000,0.28676,-0.12,-0.18305,-0.0715,-0.03197,1.19357,3.21731,1.23675,0.38461,-0.0797,-0.0797,0.43538,1.11461,-0.09513,-0.03688,-0.04402,-218.04762,-6.91274
"46","2022_Q1",4.16790322580645,"Up",62885000,-40280000,22605000,-23413000,-17289000,-5149000,-975000,-808000,-1558000,-1316000,-1956177.38057198,21586.5245937302,-242000,-2366000,-4993000,-436000,-5429000,-5429000,-5429000,-5429000,79285000,41918000,42217000,42217000,13097000,13036000,61000,134599000,33622000,40000,142840000,114511000,1893000,11823000,176502000,311101000,12504000,11631000,873000,24419000,3266000,21153000,36923000,10817000,116000,308000,10393000,132599000,169522000,576941000,-427017000,-8345000,141579000,141579000,311101000,-5429000,12988442.7282216,6191000,4456000,2126000,5711613.61383111,-13475832.6235939,-4610434.4483334,7344000,-3873000,4084871.58679488,-1478000,-5351000,725000,725000,-311000,414000,2407000,2407000,-74000,2333000,5383000,121782000,4072000,0.35947,-0.01285,-0.08633,-0.03835,-0.01745,-0.75005,3.6454,1.19737,0.39145,-0.04282,-0.04282,0.49597,1.11663,0.03212,-0.0198,0.01485,7.89467000000005,-52.5953
"47","2022_Q2",3.84961538461538,"Down",57959000,-40159000,17800000,-34069000,-23460000,-9577000,-1032000,-16269000,-1999000,-1286000,-1313000,27000,-713000,-18268000,-18966000,-206000,-19172000,-19172000,-19172000,-19172000,61926000,27175000,55040000,55040000,16107000,16044000,63000,133073000,34792000,40000,139955000,113463000,1822000,10843000,174787000,307860000,15814000,15599000,215000,24346000,2189000,22157000,40160000,10515000,282000,303000,9930000,132506000,172666000,590387000,-446189000,-9004000,135194000,135194000,307860000,-19172000,-19172000,6121000,7741000,-13161000,-12823000,3625000,-3963000,-18471000,-5350000,-5350000,2248000,-2610000,7986000,7986000,-1285000,6701000,-14380000,-14380000,-363000,-14743000,-10148000,121991000,-28453000,0.30711,-0.2807,-0.33079,-0.14181,-0.06228,1.48409,3.31357,1.27717,0.39625,-0.14305,-0.14305,0.43246,1.00874,-0.2123,-0.07162,-0.10629,-5.9189,-3.69199
