"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",25.8452459016393,"Up",6493000,-33053000,-6186000,-26867000,-26560000,-2463000,-2463000,-29023000,-29023000,-29023000,-29023000,-29134000,-29134000,150392000,150392000,26327000,5842000,179136000,4472000,3613000,2620000,50000,8085000,187221000,22029000,8778000,13251000,51783000,68681000,28782000,68681000,120464000,254051000,-186725000,-525000,66801000,66757000,187221000,-29023000,235000,6797000,-11294000,-33285000,-489000,-499000,36000,36000,83673000,83766000,49982000,49982000,49517000,-26325000,0,-0.43642,-0.15561,3.45936,1.80451,0,-1.45872,-1.45872,0.3251,3.34467,-0.21511,5.7129,5.66235
"2","2015_Q2",25.2796825396825,"Down",5810000,-42558000,-6091000,-36467000,-36748000,-4091000,-4091000,-40839000,-40839000,-40839000,-40839000,-40725000,-40725000,115136000,115136000,26746000,6632000,143897000,5104000,4152000,2620000,589000,9256000,153153000,27865000,10871000,16994000,51913000,63247000,28844000,63247000,115160000,266249000,-227450000,-648000,38151000,37993000,153153000,-40839000,232000,6374000,1171000,-33062000,-1313000,-1313000,168000,168000,-897000,-729000,-35104000,-35104000,-35256000,-36516000,0,-1.07191,-0.26591,2.77189,3.03108,0,-1.22014,-1.22014,0.17407,1.14302,-0.40226,3.15303,3.13312
"3","2015_Q3",30.42890625,"Up",6866000,-65761000,-8817000,-56944000,-58895000,-139000,-139000,-59034000,-59034000,-59034000,-59034000,-58810000,-58810000,206088000,206088000,32050000,5095000,239592000,6341000,3613000,2620000,50000,9954000,249546000,38880000,14091000,24789000,69947000,83235000,44744000,83235000,153182000,383526000,-286260000,-520000,96746000,96364000,249546000,-59034000,4e+05,4669000,33125000,-20840000,-1008000,-1008000,379000,379000,112246000,112625000,90777000,90777000,90952000,-58495000,0,-0.61029,-0.23567,3.42534,1.58962,0,-1.56108,-1.56108,0.18225,2.56806,-0.32745,3.52317,3.49924
"4","2015_Q4",25.735,"Down",7167000,-78384000,-10166000,-68218000,-71217000,-268000,-235000,-71485000,-71485000,-71485000,-71485000,-71334000,-71334000,153691000,153691000,35071000,3393000,189302000,8652000,4358000,2620000,795000,13010000,202312000,53448000,25186000,28262000,82519000,79753000,46306000,79753000,162272000,398640000,-357594000,-473000,40573000,40040000,202312000,-71485000,636000,5008000,6186000,-59655000,-2399000,-3184000,468000,468000,-5000,10463000,-52376000,-52376000,-52397000,-70581000,9.31322574615479e-10,-1.78157,-0.35259,2.29404,4.05275,-3.46944695195361e-18,-1.85636,-1.85636,0.18651,1.05585,-0.59548,2.17751,2.15807
"5","2016_Q1",16.3829508196721,"Down",10198000,-62405000,-10972000,-51433000,-52207000,-373000,-373000,-52580000,-52580000,-52580000,-52580000,-52391000,-52391000,158226000,158226000,37600000,2857000,197386000,10504000,4494000,2620000,931000,14998000,212384000,53629000,25948000,27681000,106018000,113295000,67957000,113295000,219313000,404179000,-409985000,-401000,-6207000,-6929000,212384000,-52580000,601000,6913000,50633000,5567000,-1444000,-1444000,414000,414000,-84000,330000,4453000,4453000,4535000,-51606000,0,7.56112,-0.24668,1.86182,-31.65146,0,-1.34297,-1.34297,0.26141,-0.15911,-0.49255,3.06604,3.03074
"6","2016_Q2",18.77265625,"Up",12359000,-76711000,-11398000,-65313000,-64352000,-1186000,-349000,-65538000,-65538000,-65538000,-65538000,-65388000,-65388000,179558000,179558000,30830000,4845000,211583000,10296000,4357000,2620000,794000,14653000,226236000,40677000,17904000,22773000,92920000,125702000,92729000,200194000,293114000,409816000,-475373000,-449000,-66006000,-66878000,226236000,-65538000,717000,4315000,-15810000,-76316000,-2148000,-2148000,298000,298000,-455000,99843000,21379000,21379000,21332000,-63635000,74492000,0.977719999999998,-0.28903,2.27704,-4.38282,0.32927,-1.6725,-1.6725,0.31612,-1.68831,-0.49047,1.65107,1.63268
"7","2016_Q3",27.27859375,"Up",14068000,-76804000,-11260000,-65544000,-62736000,-7414000,-5060000,-70150000,-70150000,-70150000,-70150000,-69967000,-69967000,220916000,220916000,15499000,491000,236834000,9904000,4363000,2620000,8e+05,14267000,251101000,39047000,17433000,21614000,108284000,130045000,103253000,204765000,313049000,484971000,-545340000,-524000,-60893000,-61948000,251101000,-70150000,729000,11593000,30439000,-27389000,-301000,-301000,66000,66000,69017000,69083000,41393000,41393000,41358000,-62007000,74720000,1.12945,-0.27864,2.18716,-5.05342,0.29757,-1.71916,-1.71916,0.34567,-1.4962,-0.48991,2.35773,2.33034
"8","2016_Q4",27.9834920634921,"Up",162835000,-78218000,-13645000,-64573000,84617000,-773000,1647000,83844000,83844000,83844000,83844000,83939000,83939000,159677000,159677000,17223000,578000,177319000,10675000,4363000,2620000,8e+05,15038000,192357000,50618000,22883000,27735000,58386000,27296000,26701000,102249000,160635000,494835000,-461401000,-562000,32872000,31722000,192357000,83844000,753000,7004000,-153549000,-61948000,-5e+05,-5e+05,1593000,1593000,-339000,1254000,-61194000,-61194000,-61239000,85370000,74953000,2.64608,0.43637,3.03701,5.06384,0.38966,1.93096,1.62731,3.74592,0.7562,0.62655,-0.992430000000001,-1.00126
"9","2017_Q1",24.5996774193548,"Down",844000,-74304000,-15294000,-59010000,-73460000,-2484000,-115000,-75944000,-75944000,-75944000,-75944000,-75921000,-75921000,124947000,124947000,34680000,3046000,161486000,10772000,6227000,2620000,2664000,16999000,178485000,48605000,19706000,28899000,56376000,27563000,26894000,102755000,159131000,558479000,-537322000,-630000,20527000,19354000,178485000,-75944000,797000,8549000,-20294000,-86892000,-3566000,-3566000,650000,650000,55349000,55999000,-34459000,-34459000,-34730000,-72663000,75192000,-3.92275,-0.42536,2.86445,8.22212,0.42128,-1.71051,-2.09301,0.01902,0.46248,-0.62175,0.68474,0.67731
"10","2017_Q2",19.2346031746032,"Down",161000,-72578000,-18803000,-53775000,-72417000,-2405000,-28999.9999999995,-74822000,-74822000,-74822000,-74822000,-74778000,-74778000,174824000,124924000,33410000,2926000,208260000,14873000,4362000,2620000,799000,19235000,227495000,39336000,12560000,26776000,47296000,27803000,27078000,103240000,150536000,691083000,-612100000,-807000,78176000,76959000,227495000,-74822000,865000,8507000,-7827000,-73277000,-1691000,-51578000,265000,265000,124732000,124997000,142000.000000007,142000.000000007,-23000,-71552000,75437000,-0.97166,-0.3287,4.40333,1.95605,0.3316,-1.53511,-1.53511,0.00331000000000011,1.60486,-0.41497,1.38902,1.37243
"11","2017_Q3",13.2290476190476,"Down",1395000,-58033000,-23533000,-34500000,-56638000,1236000,3620000,-55402000,-55402000,-55402000,-55402000,-55336000,-55336000,118332000,73352000,35010000,795000,153342000,14547000,4362000,2620000,799000,18909000,172251000,34569000,15752000,18817000,35947000,29760000,29760000,105447000,141394000,700249000,-667436000,-673000,32140000,30857000,172251000,-55402000,837000,6295000,-7304000,-55574000,-961000,4064000,80000,80000,-264000,-184000,-51694000,-51694000,-51572000,-55801000,75687000,-1.7933,-0.32125,4.26578,4.58223,0.4394,-1.07885,-1.07885,0.0272,0.62661,-0.40597,0.76423,0.75294
"12","2017_Q4",10.7052380952381,"Down",-9.31322574615479e-10,-56615000,-13989000,-42626000,-56615000,-2378000,14000,-58993000,-58993000,-58993000,-58993000,-58989000,-58989000,150050000,135557000,21555000,452000,171605000,13791000,4362000,2620000,799000,18153000,189758000,28348000,10139000,18209000,31430000,27477000,27477000,103421000,134851000,783365000,-726425000,-745000,56195000,54907000,189758000,-58993000,770000,8836000,7874000,-41513000,-1812000,28706000,99000.0000000001,99000.0000000001,74983000,75082000,62275000,62275000,62205000,-55845000,75944000,-1.07434,-0.31086,5.45991,2.45599,0.40022,-1.09096,-1.09096,5.20417042793042e-17,1.03928,-0.37257,1.32699,1.30895
"13","2018_Q1",10.9403278688525,"Up",0,-46466000,-14978000,-31488000,-46466000,-2603000,-203000,-49069000,-49069000,-49069000,-49069000,-49067000,-49067000,126911000,126911000,18566000,15171000,145477000,12773000,4361000,2620000,798000,17134000,162611000,24764000,15481000,9283000,28395000,27475000,27475000,103681000,132076000,808066000,-775492000,-750000,31824000,30535000,162611000,-49069000,926000,16097000,2124000,-29922000,-109000,14391000,-506000,-506000,-67602000,6892000,-8639000,-8639000,-8646000,-45540000,76206000,-1.60691,-0.30174,5.12333,4.3254,0.46864,-0.83933,-0.83933,0,0.54437,-0.36558,1.11342,1.09123
"14","2018_Q2",14.31421875,"Up",-4737895.96510542,-42032000,-16577000,-25455000,-42032000,-2270000,138000,-44302000,-44302000,-44302000,-44302000,-44297000,-44297000,95164000,82021000,17077000,14288000,112241000,11859000,4362000,2620000,799000,16221000,128462000,23759000,14331000,9428000,27624000,27452000,27452000,103926000,131550000,818759000,-819789000,-764000,-1794000,-3088000,128462000,-44302000,922000,9242000,554000,-33584000,-81000,-13181000,225000,225000,1653000.00000003,1878000,-44887000,-44887000,-44900000,-41110000,76474000,14.34488,-0.34483,4.06317,-42.60039,0.5953,-0.73678,-0.73678,-0.0720926110631877,-0.0298400000000001,-0.43929,0.45463,0.44466
"15","2018_Q3",17.7269841269841,"Up",-9646721.78049676,-44910000,-18391000,-26519000,-44910000,1225000,3642000,-43685000,-43685000,-43685000,-43685000,-43638000,-43638000,159818000,130005000,12963000,10465000,172781000,11170000,4362000,2620000,799000,15532000,188313000,21813000,13303000,8510000,22198000,27534000,27534000,104284000,126482000,927136000,-863427000,-537000,63172000,61831000,188313000,-43685000,902000,5584000,1669000,-35530000,-5000,-16604000,1048000,1048000,98844000,99892000,47758000,47758000,47984000,-44008000,76750000,-0.70576,-0.23173,7.78363,2.04561,0.40757,-0.68226,-0.68226,-0.142619859332919,0.98767,-0.2627,1.88757,1.84965
"16","2018_Q4",11.5707936507937,"Down",-8476799.61333539,-56972000,-25369000,-31603000,-56972000,-1854000,571000,-58826000,-58826000,-58826000,-58826000,-58808000,-58808000,117170000,101202000,13144000,10005000,130314000,6786000,4362000,2620000,799000,11148000,141462000,24135000,7637000,16498000,24537000,27500000,27500000,104531000,129068000,935049000,-922235000,-420000,12394000,12394000,141462000,-58826000,798000,12617000,2622000,-42789000,-489000,12811000,1269000,1269000,-211000,1058000,-28920000,-28920000,-28803000,-56174000,77031000,-4.74488,-0.41572,5.31092,10.41375,0.54453,-0.86675,-0.86675,-0.123444802071056,0.18267,-0.50295,0.71455,0.70454
"17","2019_Q1",13.3422950819672,"Up",5021548.36921732,-60502000,-33840000,-26662000,-60502000,-2094000,340000,-62596000,-62596000,-62596000,-62596000,-62596000,-62596000,72356000,72356000,10418000,10418000,84433000,6660000,8374000,2620000,4811000,15034000,99467000,32842000,15294000,17548000,33261000,27478000,27478000,104797000,138058000,946522000,-984831000,-282000,-38591000,-38591000,99467000,-62596000,613000,9168000,5452000,-47363000,-214000,15786000,1131000,1131000,1462000,2593000,-28984000,-28984000,-28846000,-59889000,77319000,1.62204,-0.62931,2.5385,-3.57747,0.77733,-0.91772,-0.91772,0.0735695034605374,-0.56578,-0.94547,-0.08287,-0.08203
