"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",45.7373015873016,"Down",688772000,-568006000,120766000,-64749000,-60851000,-3898000,56017000,6152000,-9906000,1709000,14349000,62169000,-4604000,57565000,-12278000,45287000,45287000,-352000,44935000,44935000,875859852.141962,875859852.141962,-1877382791.63606,-1877382791.63606,-473461930.690861,384042100.090738,-95756873.8212433,479798973.911988,-1090942770.09422,-292617945.625158,1072698985.15397,-37013406.4986392,88371525.6773049,-1328358891.84147,780081039.528813,-310861730.565404,-1526200291.26697,-86703335.6645912,-1439496955.60238,-133116576.835663,-1659316868.10264,483436933.341461,239818612.560172,332392394.127023,269858556.144466,62533837.982557,16407362.1216041,723255545.901634,-936061322.201005,182341741.226178,1528815804.48229,-1198854069.73887,706982377.11859,-81782785.4829887,625199591.635601,-310861730.565404,45287000,28891000,-7575000,-88199000,-21596000,-15815000,-6228000,-2466000,29000,-4205000,-32029000,-32029000,-2723000,-34752000,84908000,0,-6828000,0.17534,0.08133,0.06524,2.70080169948247,1.09395542602766,-0.15195,6.73332834959604,-0.704463207331414,0.449025307710683,2.5642,2.32293,39.30455,34.1549373830875,-0.38964,1.38813883820946,0.708979283973462,3.72105281237011,27.4789749005621
"2","2011_Q3",44.88765625,"Down",760460000,-636752000,123708000,-69538000,-65602000,-3936000,54170000,-8995000,-10649000,928000,726000,45175000,-36981000,8194000,-6541000,1653000,1653000,17369000,19022000,19022000,639481926.070981,639481926.070981,-649608395.818028,-649608395.818028,-139930965.345431,209477050.045369,-30258436.9106216,239735486.955994,59419614.9528917,226096527.187421,675309492.576985,58535796.7506804,115338762.838652,-548678945.920734,901406019.764406,960825634.717298,-427876645.633486,94729332.1677044,-522605977.80119,-41913288.4178313,-469789934.051319,469441966.670731,306598806.280086,308446697.063512,241510778.072233,66935918.9912785,33434681.060802,776040772.950817,306250838.899498,351355870.613089,704684902.241143,-532684034.869435,681750188.559295,-27175392.7414944,654574795.8178,960825634.717298,1653000,31433000,3452000,11558000,48096000,-29193000,8098000,-17000,-121000,-1987000,54207000,54207000,-436000,53771000,85603000,2.98023223876953e-08,74509000,0.16268,0.07123,0.02501,1.15462584974124,0.466887713013829,3.91699,4.12148917479802,0.734603396334293,0.336922653855342,1.08548,0.98335,43.3954,31.8829136915438,4.25183,0.592974419104729,0.414994641986731,2.63608640618506,15.352547450281
"3","2011_Q4",38.3709523809524,"Down",708544000,-599985000,108559000,-68314000,-64403000,-3911000,40245000,-17644000,-9603000,843000,-8884000,22601000,-6539000,16062000,-7963000,8099000,8099000,7559000,15658000,15658000,472182308.690327,472182308.690327,80547868.0606574,80547868.0606574,52199678.2181898,110439683.348456,8257187.69645946,102182495.651998,715369538.31763,507988175.72914,460793497.525662,110959932.250227,130270587.612884,-110208315.306911,968781673.254802,1684151211.57243,187779784.788838,203467444.055901,-15687659.2670635,10105903.8607229,197885688.64956,460439322.223577,329346268.760029,283211232.354504,214727926.024078,68483306.3304262,42015227.0202673,789785590.983606,987671279.633166,445937956.87103,274066300.747048,-164152344.956478,692549729.519765,3930202.41950188,696479931.939267,1684151211.57243,8099000,31719000,3185000,-23751000,19252000,-24868000,-35368000,-5042000,-62000,-6893000,-23009000,-23009000,-4160000,-27169000,71964000,0,31308000,0.15321,0.0568,0.0221,0.335421949913746,0.134739237671276,1.99949,2.67719972493267,1.4677277987781,0.272700884618447,0.88496,0.81706,40.04551,32.0793712305146,1.76947,0.17197147303491,0.19844154732891,2.15024880206168,8.07857248342701
"4","2012_Q1",41.4941935483871,"Up",695733000,-598177000,97556000,-70559000,-66703000,-3856000,26997000,-7473000,-10401000,1945000,983000,19524000,-4082000,15442000,6017000,21459000,21459000,1770000,23229000,23229000,361745000,361745000,433947000,433947000,139726000,70103000,26295000,43808000,1005521000,619717000,378550000,131691000,136406000,78485000,998267000,2003788000,449890000,256671000,193219000,33093000,482983000,455559000,323783000,260366000,192124000,68242000,44614000,779342000,1262325000,485654000,124674000,-12469000,723775000,17688000,741463000,2003788000,21459000,32031000,3837000,69260000,126587000,-37864000,-40255000,-2337000,-7452000,-11499000,74833000,74833000,612000,75445000,59028000,488652000,84407000,0.14022,0.0388,0.03339,0.03133,0.01159,3.63369,2.0819,1.70248,0.24386,1.3123,1.23362,39.30465,33.77537,4.76848,0.01605,0.05432,2.14995,4.70078
"5","2012_Q2",38.5112698412698,"Down",765264000,-643606000,121658000,-75873000,-72040000,-3833000,45785000,-7483000,-11187000,757000,2947000,38302000,-6094000,32208000,-8062000,24146000,24146000,-359000,23787000,23787000,295954000,295954000,531450000,531450000,159444000,71640000,30360000,41280000,1058488000,627943000,377978000,132161000,136984000,108833000,1005921000,2064409000,487575000,271500000,216075000,37200000,524775000,453931000,305631000,243591000,176313000,67278000,43696000,759562000,1284337000,490070000,144222000,3156000,759820000,20252000,780072000,2064409000,24146000,31617000,5399000,-95764000,-34602000,-24968000,-26643000,634000,-4854000,-5875000,-67120000,-67120000,1329000,-65791000,77402000,491131000,-35268000,0.15898,0.05983,0.03108,0.03049,0.01152,-1.48266,2.01703,1.64643,0.2379,1.34345,1.24625,43.2208,36.00197,-1.99188,0.01613,-0.02237,2.5216,4.2629
"6","2012_Q3",35.7530158730159,"Down",734501000,-620054000,114447000,-72862000,-68971000,-3891000,41585000,-12536000,-10814000,2792000,-4514000,29049000,507000.000000001,29556000,46226000,75782000,75782000,1534000,77316000,77316000,252057000,252057000,527768000,527768000,154461000,79009000,27297000,51712000,1013295000,606144000,403920000,124795000,135841000,80225000,1010064000,2023359000,438266000,260495000,177771000,32836000,471102000,453049000,288492000,232894000,166195000,66699000,41990000,741541000,1212643000,481597000,213164000,-25431000,791908000,18808000,810716000,2023359000,75782000,30500000,-47625000,-59320000,-663000.000000015,-25205000,-24614000,-3210000,495000,-18117000,-43394000,-43394000,-503000,-43897000,72085000,485885000,-58666000,0.15582,0.05662,0.10526,0.09537,0.03821,-0.75878,2.1509,1.49577,0.24014,4.39905,4.12549,41.79096,38.08292,-3.33792,0.04992,-0.03701,3.24378,5.62289
"7","2012_Q4",35.7051612903226,"Down",684029000,-580956000,103073000,-69287000,-65421000,-3866000,33786000,-7865000,-11325000,2342000,1118000,25921000,-10171000,15750000,-5392000,10358000,10358000,1266000,11624000,11624000,217838000,217838000,543762000,543762000,161573000,75383000,23611000,51772000,998556000,620980000,405775000,121025000,136216000,84093000,1026755000,2025311000,431084000,240816000,190268000,30153000,461237000,452043000,288088000,231955000,164384000,67571000,41961000,740131000,1201368000,479801000,219214000,-17440000,804433000,19510000,823943000,2025311000,10358000,29113000,593000,-27317000,12747000,-32367000,-32367000,-4567000,9000,-13272000,-32892000,-32892000,-1327000,-34219000,62899000,482196000,8607000,0.15069,0.04939,0.01699,0.01411,0.00574,0.74045,2.16495,1.45807,0.23808,0.66597,0.63541,39.18988,39.04928,0.49312,0.00834,0.0054,4.2029,7.82448
"8","2013_Q1",38.4213333333333,"Up",697108000,-597398000,99710000,-78702000,-74836000,-3866000,21008000,-8163000,-11436000,2887000,385999.999999999,12845000,-23074000,-10229000,-1241000,-11470000,-11470000,1547000,-9922999.99999999,-9922999.99999999,270555000,270555000,350013000,350013000,143253000,226651000,21902000,204749000,990472000,628608000,406897000,116724000,133716000,83739000,1035505000,2025977000,454360000,271355000,183005000,32556000,486916000,450809000,323178000,270246000,201104000,69142000,42131000,773987000,1260903000,471867000,201907000,-45448000,749975000,15099000,765074000,2025977000,-11470000,31501000,18976000,67912000,106919000,-33946000,-33946000,1605000,-4509000,-20812000,52161000,52161000,556000,52717000,52509000,483365000,87716000,0.14303,0.03014,-0.01423,-0.01297,-0.0049,-8.83967,2.03417,1.64808,0.23858,-0.58219,-0.55247,40.90006,36.86455,5.14639,-0.00526,0.05581,4.05283,10.12995
"9","2013_Q2",44.143125,"Up",747577000,-627264000,120313000,-78985000,-75094000,-3891000,41328000,-8804000,-11207000,2735000,-332000,32524000,-4760000,27764000,-7891000,19873000,19873000,828000,20701000,20701000,216713000,216713000,404862000,404862000,162920000,243866000,27481000,216385000,1028361000,624708000,402397000,113151000,133242000,86044000,1027105000,2055466000,487280000,281017000,206263000,34880000,522160000,450784000,316873000,265374000,197409000,67965000,42447000,767657000,1289817000,466919000,216647000,-53248000,752315000,13334000,765649000,2055466000,19873000,29847000,5584000,-68605000,-13301000,-34051000,-31931000,3134000,-1919000,-11534000,-56766000,-56766000,2924000,-53842000,71175000,485664000,-23590000,0.16094,0.05528,0.02769,0.02704,0.01007,-1.13956,1.96944,1.68461,0.23628,1.24546,1.1688,44.97753,37.92272,-1.41928,0.01425,-0.01504,3.77873,6.50772
"10","2013_Q3",49.503125,"Up",784707000,-652443000,132264000,-76603000,-72745000,-3858000,55661000,-16225000,-13575000,3363000,-6013000,39436000,-1088000,38348000,-12202000,26146000,26146000,1286000,27432000,27432000,160451000,160451000,407434000,407434000,169540000,271500000,30560000,240940000,1008925000,633358000,384850000,106756000,133360000,88074000,1018208000,2027133000,461733000,276461000,185272000,32997000,494730000,646883000,307402000,257931000,190880000,67051000,39348000,954285000,1449015000,380587000,149312000,-67950000,565438000,12680000,578118000,2027133000,26146000,28139000,11595000,-80067000,-14187000,-35752000,-35752000,204775000,-4317000,-5684000,-55623000,-55623000,-639000,-56262000,83800000,679880000,-19817000,0.16855,0.07093,0.03496,0.04745,0.01353,-0.7224,2.03934,2.50643,0.33539,1.92985,1.78771,55.20434,32.49823,-1.39413,0.01752,-0.01266,6.19844,9.33201
