"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",42.5363492063492,"Up",1677526000,-1148040000,529486000,-335215000,-288125000,-11529000,-35561000,194271000,2766000,2732000,34000,197037000,-25388000,171649000,-64317000,107332000,107332000,-628000,106704000,106704000,1033205000,1033144000,1253639000,1253639000,65316000,44914000,2352160000,528988000,62630000,7927000,54703000,591618000,2943778000,979219000,749246000,229973000,979219000,37028000,2.77555756156289e-17,37028000,1016247000,7152000,1974830000,-57091000,1924891000,2640000,1927531000,2943778000,107332000,11529000,20727000,-5194000,134394000,-9445000,176000,31027000,-42320000,-41697000,123724000,123724000,-17687000,106037000,205800000,0,255478000,0.31564,0.11581,0.06361,0.05536,0.03625,2.39427,2.40208,0.52723,0,0.55683,0.55371,8.75408,10.04494,1.3332,7,0.05431,0.13004,-5.02043,-5.31837
"22","2015_Q3",42.88578125,"Up",1691553000,-1139412000,552141000,-344454000,-297594000,-11420000,-35440000,207687000,6440000,2636000,3804000,214127000,-24971000,189156000,-70827000,118329000,118329000,-569000,117760000,117760000,1032774000,985727000,1194180000,1194180000,107801000,86871000,2334755000,536121000,61499000,7927000,53572000,597620000,2932375000,993681000,738323000,255358000,993681000,48961000,0,48961000,1042642000,4240000,1935159000,-52778000,1886621000,3112000,1889733000,2932375000,118329000,11420000,20894000,31085000,181728000,-12912000,-4.7e+07,-59912000,-103090000,-171505000,-49689000,-49689000,2272000,-47417000,219107000,0,308107000,0.32641,0.12278,0.06962,0.06232,0.04016,2.6164,2.3496,0.55174,0,0.61758,0.6136,8.87121,9.89423,1.61584,7,0.09622,0.15893,-4.71356,-4.97274
"23","2015_Q4",44.11859375,"Up",1651332000,-1081351000,569981000,-352341000,-305936000,-11475000,-34930000,217640000,-419000,2666000,-3085000,217221000,-25747000,191474000,-72738000,118736000,118736000,-426000,118310000,118310000,976943000,968683000,1166300000,1166300000,92217000,71355000,2235460000,527893000,63665000,7927000,55738000,591558000,2827018000,955202000,718555000,236647000,955202000,29624000,4.44089209850063e-16,29624000,984826000,2736000,1910388000,-74079000,1839045000,3147000,1842192000,2827018000,118736000,11475000,3444000,-979000,132676000,-9546000,-2666000,26576000,-155364000,-155364000,3888000,3888000,-20932000,-17044000,229115000,0,291328000,0.34516,0.1318,0.07165,0.06422,0.04185,2.46241,2.3403,0.53459,0,0.62789,0.62386,8.76392,9.76014,1.54613,7,0.06321,0.15564,-4.26399,-4.4888
"24","2016_Q1",41.8970491803279,"Down",1596221000,-1060052000,536169000,-331813000,-293846000,-11588000,-26379000,204356000,6418000,2387000,4031000,210774000,-26364000,184410000,-69310000,115100000,115100000,-651000,114449000,114449000,807796000,807796000,1112260000,1112260000,56453000,56453000,1976509000,524724000,64344000,7927000,56417000,589068000,2565577000,861373000,645304000,216069000,861373000,9528000,0,9528000,870901000,1852000,1771379000,-81238000,1691993000,2683000,1694676000,2565577000,115100000,11588000,18498000,-27422000,117764000,-12222000,-1131000,-5117000.00000001,-198253000,-268256000,-155609000,-155609000,-5278000,-160887000,215944000,0,245610000,0.3359,0.12802,0.0717,0.06753,0.04461,2.14602,2.2946,0.5139,0,0.61853,0.61326,8.62668,9.14428,1.32738,6,0.10641,0.14412,-3.74077,-3.95289
"25","2016_Q2",44.5203125,"Up",1418472000,-901403000,517069000,-338384000,-292787000,-11329000,-34268000,178685000,3658000,2779000,879000,182343000,-26859000,155484000,-58437000,97047000,97047000,-463000,96584000,96584000,1013917000,1013917000,1010667000,1010667000,62896000,44693000,2087480000,526941000,65322000,7927000,57395000,592263000,2679743000,854415000,623699000,230716000,854415000,42817000,0,42817000,897232000,5667000,1845356000,-71772000,1779251000,3260000,1782511000,2679743000,97047000,11329000,21341000,106236000,235953000,-14035000,-559000,-14594000,-28657000,-28657000,192702000,192702000,13419000,206121000,190014000,0,340652000,0.36453,0.12597,0.06809,0.05418,0.03604,3.527,2.44317,0.50335,0,0.53065,0.52773,7.79337,9.77557,1.87161,6,0.05291,0.18663,-5.33601,-5.67433
"26","2016_Q3",46.66375,"Up",1475164000,-922047000,553117000,-347174000,-303783000,-11642000,-31749000,205943000,4493000,2890000,1603000,210436000,-27079000,183357000,-66918000,116439000,116439000,-387000,116052000,116052000,980264000,980264000,1051373000,1051373000,95208000,75525000,2126845000,540737000,39556000,7927000,31629000,580293000,2707138000,894026000,642056000,251970000,894026000,33607000,0,33607000,927633000,1992000,1855935000,-82012000,1775915000,3590000,1779505000,2707138000,116439000,11642000,7398000,-30295000,105184000,-13279000,4414000,-8865000,-47627000,-120627000,-24308000,-24308000,-9345000,-33653000,217585000,0,240929000,0.37495,0.13961,0.07867,0.06522,0.04287,2.07604,2.37895,0.52129,0,0.63851,0.63371,8.11631,9.77104,1.32558,6,0.10427,0.13288,-4.5052,-4.75988
"27","2016_Q4",48.292380952381,"Up",1562394000,-1017135000,545259000,-350905000,-301338000,-11882000,-37685000,194354000,3849000,2924000,925000,198203000,-27091000,171112000,-63163000,107949000,107949000,-368000,107581000,107581000,1042700000,1042700000,1108516000,1108516000,84470000,64897000,2235686000,539984000,38127000,7927000,30200000,578111000,2813797000,927604000,698620000,228984000,927604000,32260000,0,32260000,959864000,2278000,1929449000,-81644000,1850083000,3850000,1853933000,2813797000,107949000,11882000,10369000,-14407000,115793000,-12659000,1617000,-11042000,-44168000,-44168000,60583000,60583000,1853000,62436000,206236000,0,242333000,0.34899,0.12439,0.06886,0.05803,0.03823,2.25256,2.41017,0.51774,0,0.59379,0.58887,8.62358,10.21147,1.33755,6,0.05704,0.12848,-5.05586,-5.36495
"28","2017_Q1",50.9320967741935,"Up",1642007000,-1093416000,548591000,-348598000,-301490000,-11943000,-35165000,199993000,4693000,2987000,1706000,204686000,-27783000,176903000,-65805000,111098000,111098000,-508000,110590000,110590000,974435000,974435000,1190130000,1190130000,54014000,54014000,2218579000,536572000,35720000,7927000,27793000,572292000,2790871000,929931000,726571000,203360000,929931000,13727000,0,13727000,943658000,4441000,1944789000,-104592000,1844638000,2575000,1847213000,2790871000,111098000,11943000,21011000,-71497000,72555000,-19114000,402000,-18695000,-31893000,-105351000,-51491000,-51491000,-16774000,-68265000,211936000,0,187130000,0.3341,0.1218,0.06735,0.05987,0.03963,1.69211,2.38575,0.51086,0,0.61375,0.60772,9.11274,10.2373,1.03853,5,0.09818,0.10056,-4.59778,-4.87235
"29","2017_Q2",51.2652380952381,"Up",1545132000,-1017527000,527605000,-353361000,-303495000,-11927000,-37939000,174244000,3039000,2741000,298000,177283000,-28130000,149153000,-55586000,93567000,93567000,-303000,93264000,93264000,1156043000,1156043000,1126488000,1126488000,119265000,119265000,2401796000,463604000,37319000,7927000,29392000,500923000,2902719000,926804000,701122000,225682000,926804000,24195000,0,24195000,950999000,6521000,2038053000,-95678000,1948896000,2824000,1951720000,2902719000,93567000,11927000,16796000,73389000,195679000,-12761000,-671000,-13432000,-8543000,-8543000,173704000,173704000,7904000,181608000,186171000,0,302385000,0.34146,0.11277,0.06036,0.04779,0.03213,3.24225,2.59148,0.48726,0,0.51795,0.51218,8.58111,10.82347,1.67934,6,0.0472,0.15304,-6.20958,-6.63462
"30","2017_Q3",53.5950793650794,"Up",1672279000,-1108646000,563633000,-366230000,-329482000,-12042000,-24706000,197403000,5570000,3380000,2190000,202973000,-29163000,173810000,-65055000,108755000,108755000,95999.9999999999,108851000,108851000,1114910000,1114910000,1215278000,1215278000,164128000,164128000,2494316000,490776000,37664000,7927000,29737000,528440000,3022756000,1007646000,774941000,232705000,1007646000,36473000,0,36473000,1044119000,12948000,2049403000,-86507000,1975844000,2793000,1978637000,3022756000,108755000,12042000,24805000,-64388000,81214000,-20380000,40000,-20340000,-32551000,-108277000,-47402999.9999999,-47402999.9999999,6270000,-41132999.9999999,209445000,0,189732000,0.33704,0.11804,0.06509,0.05501,0.03601,1.74304,2.47539,0.5277,0,0.60469,0.59797,9.28982,10.97618,1.054,5,0.0916,0.09415,-5.32316,-5.64789
"31","2017_Q4",57.497619047619,"Up",1802166000,-1203024000,599142000,-381714000,-329658000,-12272000,-39784000,217428000,3540000,3444000,96000,220968000,-30533000,190435000,-69829000,120606000,120606000,-343000,120263000,120263000,1033444000,1033444000,1349854000,1349854000,135623000,135623000,2518921000,513070000,36890000,7927000,28963000,549960000,3068881000,1076054000,836055000,239999000,1076054000,11746000,-1.45519152283669e-11,11746000,1087800000,3240000,2053723000,-78960000,1978003000,3078000,1981081000,3068881000,120606000,12272000,-15526000,-31992000,85360000,-34462000,-261000,-34723000,-136861000,-136861000,-86224000,-86224000,4758000,-81466000,229700000,0,233075000,0.33246,0.12065,0.06673,0.06071,0.03919,1.93804,2.34089,0.54909,0,0.6703,0.66156,10.04462,11.02467,1.29908,5,0.06035,0.11696,-4.4991,-4.75304
"32","2018_Q1",60.557868852459,"Up",1901371000,-1272562000,628809000,-397892000,-348775000,-13069000,-36048000,230917000,6186000,3639000,2547000,237103000,-31906000,205197000,-37742000,167455000,167455000,-488000,166967000,166967000,1051099000,1051099000,1414741000,1414741000,75612000,75612000,2541452000,525203000,50353000,7927000,29219000,575556000,3117008000,1093119000,866305000,226814000,1093119000,29516000,0,29516000,1122635000,2310000,2063512000,-73964000,1991858000,2515000,1994373000,3117008000,167455000,13069000,-17888000,-36250000,126386000,56992000,-194000,56810000,-95211000,-170884000,12312000,12312000,5343000,17655000,243986000,0,302470000,0.33071,0.12145,0.08781,0.08372,0.05357,1.81156,2.32495,0.5629,0,0.94067,0.92375,10.71207,11.22186,1.70408,5,0.11944,0.14945,-4.30803,-4.55185
"33","2018_Q2",65.98796875,"Up",1854262000,-1218424000,635838000,-406107000,-350860000,-13922000,-41325000,229731000,4938000,4314000,624000,234669000,-36913000,197756000,-61556000,136200000,136200000,-508000,135692000,135692000,1132901000,1132901000,1326168000,1326168000,179022000,179022000,2638091000,531068000,43322000,7927000,27993000,574390000,3212481000,1051645000,812200000,239445000,1198881000,31334000,0,31334000,1230215000,2941000,2041520000,-64992000,1979469000,2797000,1982266000,3212481000,136200000,13922000,13903000,71452000,235477000,-13796000,-431000,-14227000,-145963000,-145963000,75287000,75287000,6515000,81802000,243653000,0,362865000,0.34291,0.12389,0.07318,0.06845,0.04224,2.67418,2.20046,0.62061,0,0.77142,0.7563,10.54157,11.25338,2.06291,7,0.06739,0.18021,-4.64965,-4.93142
"34","2018_Q3",70.0377777777778,"Up",1957559000,-1315013000,642546000,-420891000,-361736000,-13576000,-45579000,221655000,6320000,5153000,1167000,227975000,-38071000,189904000,-48958000,140946000,140946000,-341000,140605000,140605000,1020854000,1020854000,1337716000,1337716000,205571000,205571000,2564141000,515547000,53144000,7927000,28438000,568691000,3132832000,1078403000,832011000,246392000,1240273000,0,0,0,1240273000,3343000,1977121000,-90712000,1889752000,2807000,1892559000,3132832000,140946000,13576000,21821000,-27787000,148556000,-12113000,-1564000,-13677000,-140209000,-222604000,-87725000,-87725000,-24322000,-112047000,235231000,0,244289000,0.32824,0.11323,0.07183,0.07429,0.04488,1.73741,2.0674,0.65534,0,0.80459,0.78725,11.2018,10.81378,1.3979,6,0.11613,0.12908,-4.33979,-4.6056
"35","2018_Q4",66.6895238095238,"Down",2090947000,-1429633000,661314000,-419958000,-362209000,-13335000,-44414000,241356000,5270000,4704000,566000,246626000,-38202000,208424000,-45357000,163067000,163067000,-375000,162692000,162692000,990612000,990612000,1528524000,1528524000,227337000,227337000,2746473000,510328000,77999000,7927000,26779000,588327000,3334800000,1182433000,934509000,247924000,1377468000,0,-1.86264514923096e-09,0,1377468000,3558000,2053389000,-101098000,1955849000,1483000,1957332000,3334800000,163067000,13335000,-7073000,-82608000,86721000,-11733000,1109000,-10624000,-100022000,-101268000,-25171000,-25171000,-5071000,-30242000,254691000,0,205707000,0.31627,0.11543,0.07781,0.08312,0.04879,1.2644,1.99386,0.70375,0,0.93828,0.91827,12.05894,11.2798,1.18636,5,0.08312,0.1051,-3.88947,-4.10436
"36","2019_Q1",68.8340983606557,"Up",2235597000,-1554922000,680675000,-424041000,-363800000,-13186000,-47055000,256634000,5238000,4982000,256000,261872000,-39627000,222245000,-42668000,179577000,179577000,-367000,179210000,179210000,923735000,923735000,1581530000,1581530000,229551000,229551000,2734816000,504105000,75638000,7927000,27246000,579743000,3314559000,1136496000,902259000,234237000,1326839000,1.49011611938477e-08,0,1.49011611938477e-08,1326839000,3612000,2088707000,-105481000,1986838000,882000,1987720000,3314559000,179577000,13186000,19920000,-110633000,102050000,-9832000,-38999.9999999995,-9871000,-78972000,-157903000,-65724000,-65724000,-1153000,-66877000,269820000,0,192023000,0.30447,0.11479,0.08016,0.09016,0.05407,1.0715,2.06115,0.66752,0,1.03899,1.01743,12.96118,11.51897,1.11328,5,0.12923,0.0966,-3.42352,-3.59943
"37","2019_Q2",72.1322222222222,"Up",2020051000,-1365937000,654114000,-424990000,-367986000,-13393000,-43611000,229124000,7771000,6106000,1665000,236895000,-41523000,195372000,-55261000,140111000,140111000,-412000,139699000,139699000,1189429000,1189429000,1353725000,1353725000,185840000,185840000,2728994000,500853000,413065000,7927000,367357000,913918000,3642912000,1012252000,768665000,243587000,1227927000,289551000,289551000,289551000,1517478000,5694000,2222562000,-103986000,2124270000,1164000,2125434000,3642912000,140111000,13393000,15679000,120300000,289483000,-9435000,255000,-9180000,-17144000,-17144000,263159000,263159000,2535000,265694000,242517000,0,408643000,0.32381,0.11342,0.06916,0.06573,0.03835,2.92517,2.22244,0.71396,0,0.81306,0.79651,11.75692,12.36349,2.37835,5,0.05785,0.16921,-4.90452,-5.1912
"38","2019_Q3",70.34875,"Down",2035579000,-1373884000,661695000,-428597000,-367994000,-12677000,-47926000,233098000,8778000,6516000,2262000,241876000,-40897000,200979000,-47449000,153530000,153530000,-381000,153149000,153149000,1082650000,1082650000,1382070000,1382070000,246740000,246740000,2711460000,499233000,436297000,7927000,394753000,935530000,3646990000,1048498000,811144000,237354000,1278820000,315776000,315776000,315776000,1594596000,14134000,2140935000,-104096000,2050973000,1421000,2052394000,3646990000,153530000,12677000,27188000,-37688000,155707000,-12987000,1038000,-11949000,-158302000,-250160000,-106402000,-106402000,-377000,-106779000,245775000,0,242549000,0.32506,0.11451,0.07524,0.07462,0.04199,1.58375,2.12028,0.77694,0,0.89544,0.87755,11.90174,11.99175,1.41815,5,0.10064,0.10242,-4.40505,-4.64461
"39","2019_Q4",72.11203125,"Up",2074855000,-1400499000,674356000,-425819000,-366464000,-12386000,-46969000,248537000,7396000,5501000,1895000,255933000,-41987000,213946000,-53319000,160627000,160627000,-406000,160221000,160221000,1215970000,1215970000,1319032000,1319032000,234211000,234211000,2769213000,494153000,443087000,7927000,390809000,937240000,3706453000,969027000,744002000,225025000,1183586000,313580000,313580000,313580000,1497166000,25003000,2301156000,-118774000,2207385000,1902000,2209287000,3706453000,160627000,12386000,7742000,-19256000,161499000,-15521000,232000,-15289000,-1286000,-1286000,144924000,144924000,-11604000,133320000,260923000,0,279465000,0.32501,0.11979,0.07722,0.07252,0.04323,1.74425,2.33968,0.67767,0,0.94025,0.92355,12.17624,12.95399,1.64003,6,0.06351,0.11077,-4.66026,-4.89251
"40","2020_Q1",68.955,"Down",1811932000,-1165629000,646303000,-424188000,-363873000,-12494000,-47821000,222115000,5157000,4680000,477000,227272000,-41775000,185497000,-47749000,137748000,137748000,-422000,137326000,137326000,1230491000,1230491000,1315091000,1315091000,224341000,224341000,2769923000,499344000,422617000,7927000,406656000,921961000,3691884000,948768000,735695000,213073000,1168318000,326347000,326347000,326347000,1494665000,4899000,2321316000,-131187000,2195028000,2191000,2197219000,3691884000,137748000,12494000,16356000,-1598000,1.65e+08,-9079000,-518000,-9597000,-64083000,-149206000,6197000.00000006,6197000.00000006,8324000,14521000,234609000,0,271681000,0.35669,0.12258,0.07579,0.0625,0.0372,1.97837,2.37086,0.68025,0,0.80617,0.79175,10.6369,12.88585,1.5949,6,0.08825,0.10766,-5.24486,-5.53988
"41","2020_Q2",70.802380952381,"Up",1901864000,-1286728000,615136000,-413557000,-350283000,-12660000,-50614000,201579000,8191000,4807000,3384000,209770000,-42524000,167246000,-44464000,122782000,122782000,-438000,122344000,122344000,1111973000,1111973000,1268798000,1268798000,238046000,238046000,2618817000,484588000,406562000,7927000,388955000,891150000,3509967000,924564000,700944000,223620000,1159178000,313644000,313644000,313644000,1472822000,2344000,2202208000,-169746000,2034806000,2339000,2037145000,3509967000,122782000,12660000,8270000,21288000,1.65e+08,-6127000,-143000,-6270000,-259841000,-261237000,-102507000,-102507000,-16011000,-118518000,214239000,0,273864000,0.32344,0.10599,0.06433,0.06006,0.03486,2.23848,2.2592,0.72298,0,0.72507,0.71358,11.27131,12.05918,1.62304,5,0.05204,0.1165,-5.19034,-5.51631
"42","2020_Q3",82.90453125,"Up",2352981000,-1603390000,749591000,-460590000,-398220000,-14109000,-48261000,289001000,3356000,2559000,797000,292357000,-41375000,250982000,-66794000,184188000,184188000,-319000,183869000,183869000,1180455000,1180455000,1460324000,1460324000,217492000,217492000,2858271000,497762000,454144000,7927000,440917000,951906000,3810177000,1046181000,755971000,290210000,1288069000,360510000,360510000,360510000,1648579000,13889000,2298387000,-153158000,2159118000,2480000,2161598000,3810177000,184188000,14109000,33432000,-45008000,186721000,-22114000,-67999.9999999999,-22182000,-1798000,-97783000,66756000,66756000,1726000,68482000,303110000,0,302782000,0.31857,0.12282,0.07814,0.08506,0.04826,1.64673,2.21904,0.76267,0,1.10255,1.08596,14.10939,12.94691,1.8156,7,0.10732,0.12005,-3.89448,-4.08461
"43","2020_Q4",88.84453125,"Up",2348713000,-1614334000,734379000,-439950000,-376558000,-15851000,-47541000,294429000,2484000,1504000,980000,296913000,-42484000,254429000,-62710000,191719000,191719000,-412000,191307000,191307000,1465510000,1465510000,1582424000,1582424000,361968000,361968000,3409902000,499189000,449463000,7927000,438406000,948652000,4358554000,1158687000,888761000,269926000,1496708000,357373000,357373000,357373000,1854081000,147616000,2489694000,-135281000,2502029000,2444000,2504473000,4358554000,191719000,15851000,14338000,-60320000,161588000,-9178000,1174000,-8004000,121430000,121441000,275025000,275025000,10030000,285055000,310280000,0,303492000,0.31267,0.12536,0.08145,0.07639,0.04389,1.58641,2.27827,0.74031,0,1.13654,1.11972,13.95352,14.86436,1.80302,4,0.06685,0.10605,-4.72319,-4.97746
"44","2021_Q1",94.2388524590164,"Up",2980835000,-2152250000,828585000,-503294000,-431479000,-14339000,-57476000,325291000,2096000,1545000,551000,327387000,-43480000,283907000,-84382000,199525000,199525000,-905000,198620000,198620000,1527791000,1527791000,1998055000,1998055000,437698000,437698000,3963544000,506425000,457534000,7927000,449607000,963959000,4927503000,1439317000,1136859000,302458000,1893043000,371233000,364185000,371233000,2264276000,159189000,2600201000,-99753000,2659637000,3590000,2663227000,4927503000,199525000,14339000,24373000,-96577000,141660000,-10124000,553000,-9571000,-5833000.00000001,-93915000,38174000.0000001,38174000.0000001,24107000,62281000,339630000,0,317311000,0.27797,0.10913,0.06663,0.07458,0.04031,1.59758,2.09374,0.8502,0,1.17176,1.15499,17.58542,15.69052,1.87198,5,0.09449,0.10457,-4.4984,-4.69669
"45","2021_Q2",115.743650793651,"Up",3198820000,-2247284000,951536000,-520741000,-455175000,-12987000,-52579000,430795000,4946000,1946000,3e+06,435741000,-45280000,390461000,-102511000,287950000,287950000,-730000,287220000,287220000,1793393000,1793393000,2227039000,2227039000,473763000,473763000,4494195000,497376000,463426000,7927000,455499000,960802000,5454997000,1671115000,1295178000,375937000,2195022000,381325000,369286000,381325000,2576347000,102957000,2887323000,-115486000,2874794000,3856000,2878650000,5454997000,287950000,12987000,21086000,33806000,355829000,-8391000,-34000,-8425000,-66240000,-67600000,279804000,279804000,-14202000,265602000,443782000,0,571708000,0.29746,0.13467,0.08979,0.09978,0.05265,1.99049,2.04745,0.89498,0,1.69738,1.67425,18.90399,16.9891,3.37861,5,0.0881,0.17537,-4.04116,-4.16298
"46","2021_Q3",123.10640625,"Up",3609093000,-2598633000,1010460000,-554449000,-484358000,-12675000,-57416000,456011000,4837000,2188000,2649000,460848000,-45366000,415482000,-98508000,316974000,316974000,-602000,316372000,316372000,1674121000,1674121000,2647516000,2647516000,663625000,663625000,4985262000,499282000,468627000,7927000,460700000,967909000,5953171000,1785876000,1408572000,377304000,2485226000,384294000,370333000,384294000,2869520000,81049000,3104471000,-106066000,3079454000,4197000,3083651000,5953171000,316974000,12675000,34195000,-333547000,30296999.9999999,-6539000,138000,-6401000,-39761000,-151867000,-127971000,-127971000,8699000,-119272000,468686000,0,227108000,0.27998,0.12635,0.08766,0.1026,0.05314,0.71785,2.00596,0.93056,0,1.86966,1.84419,21.32857,18.19858,1.34213,4,0.1196,0.06549,-3.57195,-3.67123
"47","2021_Q4",123.35828125,"Up",4319261000,-3705101000,614160000,-77793000,-4237000,-12753000,-60803000,536367000,3195000,2462000,733000,539562000,-46730000,492832000,-132922000,359910000,359910000,-842000,359068000,359068000,1820106000,1820106000,3330398000,3330398000,961035000,961035000,6111539000,491577000,473267000,7927000,465340000,964844000,7076383000,2216460000,1806977000,409483000,3275482000,380309000,374658000,380309000,3655791000,76619000,3463539000,-122800000,3417358000,3234000,3420592000,7076383000,359910000,12753000,11911000,-207203000,177371000,-9870000,-157000,-10027000,-19630000,-13786000,153558000,153558000,-7573000,145985000,549120000,0,464969000,0.14219,0.12418,0.08313,0.10497,0.05074,1.29493,1.86584,1.06876,0,2.11967,2.09309,25.49771,20.17354,2.74483,4,0.09447,0.12233,-3.31459,-3.3934
"48","2022_Q1",108.961290322581,"Down",5396343000,-3507137000,1889206000,-1216766000,-1134607000,-12897000,-69262000,672440000,2312000,2211000,101000,674752000,-48911000,625841000,-171830000,454011000,454011000,-1179000,452832000,452832000,1728692000,1728692000,3810286000,3810286000,1096067000,1096067000,6635045000,487870000,487014000,7927000,478358000,974884000,7609929000,2502252000,2012461000,489791000,3726297000,385641000,385641000,385641000,4111938000,4832000,3620008000,-130414000,3494426000,3565000,3497991000,7609929000,454011000,12897000,9833000,-171744000,304997000,-11447000,-345000,-11792000,-282858000,-380293000,-87088000.0000001,-87088000.0000001,-4326000,-91414000,685337000,0,673976000,0.35009,0.12461,0.08391,0.12945,0.05951,1.48836,1.7806,1.17551,0,2.65843,2.63868,31.68021,20.51466,3.9567,6,0.14167,0.17354,-2.5224,-2.57078
"49","2022_Q2",101.454516129032,"Down",4664298000,-3516111000,1148187000,-635499000,-542988000,-12975000,-79536000,512688000,9419000,1892000,7527000,522107000,-50928000,471179000,-121699000,349480000,349480000,-3371000,346109000,346109000,2139626000,2139626000,3934856000,3934856000,888247000,888247000,6962729000,504125000,489139000,7927000,475639000,993264000,7955993000,2684526000,1980439000,704087000,3721972000,384690000,384690000,384690000,4106662000,15018000,3965803000,-137429000,3843392000,5939000,3849331000,7955993000,349480000,12975000,8406000,43085000,413946000,-14412000,79000,-14333000,5751000,17759000,417372000,417372000,-6438000,410934000,525663000,0,676035000,0.24617,0.10992,0.0742,0.08991,0.0435,1.95324,1.87071,1.06685,0,2.05536,2.03243,27.69888,22.82394,4.01463,4,0.08174,0.15967,-4.07034,-4.17335
"50","2022_Q3",99.52515625,"Down",4603312000,-3440948000,1162364000,-604784000,-514109000,-14254000,-76421000,557580000,2826000,2720000,106000,560406000,-51598000,508808000,-126582000,382226000,382226000,-4421000,377805000,377805000,1976971000,1976971000,3469833000,3469833000,883345000,883345000,6330149000,495328000,535665000,7927000,508325000,1030993000,7361142000,2455487000,1914979000,540508000,3411066000,414813000,414813000,414813000,3825879000,1766000,3717316000,-193834000,3525248000,10015000,3535263000,7361142000,382226000,14254000,19913000,142253000,558646000,-38158000,-134000,-38292000,-543383000,-636491000,-116137000,-116137000,-46518000,-162655000,571834000,0,802511000,0.25251,0.12113,0.08207,0.10687,0.05132,2.12414,1.85577,1.0822,0,2.28845,2.26945,27.88331,21.35323,4.86099,4,0.12345,0.20316,-3.45725,-3.54563
