"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.1758064516129,"Down",1531664000,-1066526000,465138000,-298735000,-260746000,-10030000,-27959000,166403000,3881000,2831000,1050000,170284000,-21304000,148980000,-60253000,88727000,88727000,-237000,88490000,88490000,1367642000,1367642000,1015350000,1015350000,57003000,46048000,2439995000,551610000,40582000,9774000,30808000,592192000,3032187000,866200000,667395000,198805000,866200000,70288000,0,70288000,936488000,2208000,2082542000,5267000,2090017000,5682000,2095699000,3032187000,88727000,10030000,17572000,-47163000,69166000,-10170000,9000,-10161000,-62628000,-63746000,-4741000,-4741000,8136000,3395000,176433000,0,179353000,0.30368,0.10864,0.05777,0.04222,0.02918,2.02682,2.8169,0.44686,0,0.42111,0.4186,7.28893,9.94603,0.85351,4,0.04085,0.0828,-7.75162,-8.21885
"12","2013_Q1",35.5925,"Up",1544229000,-1074219000,470010000,-306738000,-254910000,-10695000,-41133000,163272000,5367000,3522000,1845000,168639000,-35247000,133392000,-49893000,83499000,83499000,709000,84208000,84208000,1260981000,1260842000,1031376000,1031376000,65242000,53140000,2357599000,556204000,40322000,7927000,32395000,596526000,2954125000,842558000,641593000,200965000,842558000,78997000,0,78997000,921555000,3347000,2018618000,5734000,2027699000,4871000,2032570000,2954125000,83499000,10695000,20894000,-54339000,60749000,-10554000,-16075000,-10408000,-101411000,-158311000,-107970000,-107970000,1170000,-106800000,173967000,0,158967000,0.30437,0.10573,0.05453,0.04143,0.02851,1.88779,2.79814,0.45339,0,0.40536,0.40304,7.43367,9.76102,0.76524,3,0.0673,0.07528,-7.24839,-7.72319
"13","2013_Q2",32.85921875,"Down",1413208000,-965201000,448007000,-295296000,-255674000,-11278000,-28344000,152711000,4774000,3243000,1531000,157485000,-24193000,133292000,-52682000,80610000,80610000,-295000,80315000,80315000,1394687000,1394687000,982119000,982119000,54020000,42153000,2430826000,546698000,40275000,7927000,32348000,586973000,3017799000,831680000,629190000,202490000,831680000,81498000,8.470329472543e-22,81498000,913178000,8027000,2098933000,-4265000,2102695000,1926000,2104621000,3017799000,80610000,11278000,18177000,55199000,165264000,-10068000,-444000,-10474000,-6752000,-13383000,141407000,141407000,-7562000,133845000,163989000,0,261802000,0.31701,0.10806,0.05683,0.03816,0.02661,3.25969,2.92279,0.43389,0,0.38898,0.38685,6.84445,10.18377,1.26796,7,0.03674,0.11976,-8.50476,-9.13285
"14","2013_Q3",36.5884375,"Up",1503224000,-1031352000,471872000,-303581000,-263897000,-11674000,-28010000,168291000,7395000,3070000,4325000,175686000,-24712000,150974000,-58311000,92663000,92663000,-348000,92315000,92315000,1376011000,1286109000,1018337000,1018337000,81430000,69431000,2475778000,549583000,38304000,7927000,30377000,587887000,3063665000,860213000,645196000,215017000,860213000,81510000,0,81510000,941723000,5597000,2129349000,-15105000,2119841000,2101000,2121942000,3063665000,92663000,11674000,16615000,-36926000,84026000,-17141000,-88635000,-105680000,-14052000,-75367000,-97020999.9999999,-97020999.9999999,-11557000,-108578000,179965000,0,184209000,0.31391,0.11195,0.06141,0.0435,0.03013,1.99544,2.8781,0.4438,0,0.44717,0.44555,7.2815,10.26834,0.89229,6,0.06999,0.0836,-7.64599,-8.17638
"15","2013_Q4",38.59515625,"Up",1537966000,-1053064000,484902000,-314047000,-269919000,-12629000,-31499000,170855000,4179000,2967000,1212000,175034000,-24542000,150492000,-57763000,92729000,92729000,-329000,92400000,92400000,1410158000,1310330000,1027572000,1027572000,60481000,47811000,2498211000,562125000,38227000,7927000,30300000,600352000,3098563000,863979000,656674000,207305000,863979000,53854000,6.7762635780344e-21,53854000,917833000,4498000,2181317000,-6236000,2179579000,1151000,2180730000,3098563000,92729000,12629000,-20487000,11422000,96293000,-15482000,-9685000,-25101000,-52310000,-53471000,17721000,17721000,6500000,24221000,183484000,0,237187000,0.31529,0.11109,0.06008,0.04237,0.02982,2.56696,2.89152,0.42088,0,0.44742,0.44558,7.44717,10.554,1.14851,7,0.04135,0.10614,-7.68545,-8.25354
"16","2014_Q1",36.4195081967213,"Down",1625859000,-1147787000,478072000,-319419000,-276354000,-12490000,-30575000,158653000,4175000,2530000,1645000,162828000,-24990000,137838000,-53829000,84009000,84009000,-513000,83496000,83496000,1273989000,1247652000,1073500000,1073500000,67780000,49384000,2415269000,563064000,36479000,7927000,28552000,599543000,3014812000,870200000,648156000,222044000,870200000,58281000,0,58281000,928481000,3672000,2087376000,-6265000,2084783000,1548000,2086331000,3014812000,84009000,12490000,9154000.00000001,-43700000,61953000,-10720000,-14546000,64449000,-129070000,-189807000,-63405000,-63405000,727000.000000002,-62678000,171143000,0,170552000,0.29404,0.09758,0.05136,0.04002,0.0277,2.04264,2.77553,0.44503,0,0.40821,0.40649,7.94871,10.19236,0.83382,4,0.06756,0.07953,-7.444,-8.03003
"17","2014_Q2",38.2963492063492,"Up",1491645000,-1027059000,464586000,-304221000,-264115000,-12382000,-27724000,160365000,2416000,2697000,-281000,162781000,-25162000,137619000,-53424000,84195000,84195000,-371000,83824000,83824000,1217537000,1131046000,1062924000,1062924000,54532000,36284000,2334993000,556071000,34440000,7927000,26513000,590511000,2925504000,901493000,677582000,223911000,901493000,63997000,0,63997000,965490000,2700000,1964122000,-8691000,1958131000,1883000,1960014000,2925504000,84195000,12382000,16022000,61258000,173857000,-8760000,-79460000,-67244000,-218833000,-218429000,-111816000,-111816000,-4790000,-116606000,172747000,0,278669000,0.31146,0.10751,0.0562,0.04277,0.02865,3.32445,2.59014,0.49259,0,0.41679,0.41529,7.41675,9.73621,1.3856,6,0.04141,0.13768,-7.04809,-7.59229
"18","2014_Q3",38.10671875,"Down",1599141000,-1114427000,484714000,-316870000,-270058000,-12417000,-34395000,167844000,5954000,2764000,3190000,173798000,-25401000,148397000,-56669000,91728000,91728000,-426000,91302000,91302000,1056710000,970561000,1150531000,1150531000,103229000,84081000,2310470000,556228000,63242000,7927000,55315000,619470000,2929940000,962231000,717141000,245090000,962231000,70572000,0,70572000,1032803000,4652000,1893771000,-3609000,1894814000,2323000,1897137000,2929940000,91728000,12417000,14837000,-74096000,44886000,-9635000,-43938000,-37930000,-109266000,-171578000,-164622000,-164622000,4137000,-160485000,180261000,0,153199000,0.30311,0.10496,0.05709,0.04813,0.03116,1.67794,2.40116,0.5444,0,0.46475,0.46317,8.14011,9.64518,0.77983,5,0.07832,0.07786,-5.86211,-6.29579
"19","2014_Q4",38.53109375,"Up",1705105000,-1191849000,513256000,-327729000,-281788000,-12741000,-33200000,185527000,5129000,2793000,2336000,190656000,-26396000,164260000,-61463000,102797000,102797000,-416000,102381000,102381000,1030797000,990480000,1183167000,1183167000,104008000,83226000,2317972000,545366000,62715000,7927000,54788000,608081000,2926053000,962798000,746193000,216605000,962798000,59325000,1.73472347597681e-18,59325000,1022123000,2985000,1920166000,-21778000,1901373000,2557000,1903930000,2926053000,102797000,12741000,8620000,-37467000,86691000,-8255000,-39905000,37947000,-88592000,-88545000,36093000,36093000,-16174000,19919000,198268000,0,214009000,0.30101,0.10881,0.06004,0.05377,0.03499,2.09032,2.40754,0.53685,0,0.5266,0.52503,8.77026,9.77977,1.10076,5,0.05215,0.10901,-5.19901,-5.55605
"20","2015_Q1",41.4613114754098,"Up",1768830000,-1249959000,518871000,-335149000,-287493000,-11752000,-35904000,183722000,2742000,2519000,223000,186464000,-25851000,160613000,-59873000,100740000,100740000,-1359000,99381000,99381000,967443000,927107000,1236042000,1236042000,85765000,65486000,2289250000,538415000,63240000,7927000,55313000,601655000,2890905000,983783000,770238000,213545000,983783000,35514000,0,35514000,1019297000,3029000,1903196000,-37817000,1868408000,3200000,1871608000,2890905000,100740000,11752000,-3534000,-19426000,89532000,-10822000,-862000,-11684000,-64821000,-126982000,-49134000,-49134000,-14239000,-63373000,195474000,0,225099000,0.29334,0.10387,0.05618,0.0531,0.03438,2.26501,2.32699,0.54461,0,0.516,0.51466,9.18402,9.70105,1.16875,5,0.08453,0.11803,-4.94922,-5.2658
