"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",4.89661290322581,"Up",57530000,-7529000,50001000,-54929000,-24255000,-30674000,-4928000,-7133000,-7121000,-12000,-12061000,-42172000,-54233000,-3865000,-58098000,-58098000,-58098000,-58098000,207086000,152206000,54880000,452000,452000,11566000,9759000,219104000,84255000,298466000,160408000,124969000,7575000,5514000,382721000,601825000,61109000,7841000,53268000,61109000,143875000,66015000,66015000,209890000,270999000,1068982000,-737847000,-309000,330826000,330826000,601825000,-58098000,11191000,44310000,13448000,10851000,-7454000,-4270000,-11799000,-29000,558000,558000,529000,-419000,-419000,-378000,6263000,143875000,16122000,0.86913,-0.08566,-1.00987,-0.17561,-0.09654,-0.2775,3.58546,0.81916,0.23906,-0.52423,-0.52423,0.5191,2.98509,0.14547,3,-0.10745,0.02982,-10.09277,12.82691
"12","2013_Q1",5.42316666666667,"Up",57443000,-6340000,51103000,-54643000,-21555000,-33088000,-3540000,-7206000,-7090000,-116000,-10746000,-486999.999999993,-11233000,-4899000,-16132000,-16132000,-16132000,-16132000,203330000,148984000,54346000,529000,529000,11317000,10529000,215176000,86905000,285731000,153173000,124969000,4458000,3131000,372636000,587812000,54134000,7918000,46216000,54134000,147556000,64528000,64528000,212084000,266218000,1075873000,-753979000,-3e+05,321594000,321594000,587812000,-16132000,10417000,12130000,-4126000,2289000,-6007000,446000,-5561000,-2279000,2375000,2375000,96000.0000000009,-3176000,-3176000,-3222000,6877000,147556000,1643000,0.88963,-0.06163,-0.28083,-0.05016,-0.02744,-0.10185,3.97488,0.82781,0.25103,-0.14489,-0.14489,0.51593,2.88842,0.0147599999999999,3,-0.03023,0.00307999999999999,-8.11022,15.75537
"13","2013_Q2",7.454375,"Up",66866000,-6534000,60332000,-57970000,-25122000,-32848000,2362000,-7332000,-7312000,-20000,-4970000,-921000,-5891000,-4511000,-10402000,-10402000,-10402000,-10402000,214828000,157215000,57613000,60000,60000,9826000,9038000,224714000,78218000,278734000,145930000,124969000,4806000,3029000,356952000,581666000,54171000,4036000,50135000,54171000,151487000,60211000,60211000,211698000,265869000,1080492000,-764381000,-314000,315797000,315797000,581666000,-10402000,10831000,8668000,6215000,15312000,-1703000,-3449000,-7027000,-54000,3810814.90027097,3807832.28685284,-54000,8231000,8231000,8231000,13193000,151487000,22216000,0.90228,0.03532,-0.15556,-0.03294,-0.01788,-2.13574,4.14823,0.8419,0.26044,-0.09321,-0.09321,0.59916,2.82975,0.19907,6,-0.01972,0.04212,-4.80111,-26.81668
"14","2013_Q3",9.15765625,"Up",57919000,-7365000,50554000,-44913000,-14136000,-30777000,5641000,-8845000,-7426000,-1419000,-3204000,103000,-3101000,-4743000,-7844000,-7844000,-7844000,-7844000,205640000,155276000,50364000,1003000,1003000,9482000,8694000,216125000,75831000,270888000,139395000,124969000,4806000,1718000,346719000,562844000,42512000,5300000,37212000,197985000,130423384.462775,50324000,50324000,50324000,248309000,1087056000,-772225000,-296000,314535000,314535000,562844000,-7844000,10877000,9628000,-22812000,-10151000,-1356000,7203000,5222000,-64000.0000000075,3054000,3054000,2990000,-1939000.00000001,-1939000.00000001,-1939000,16518000,155473000,-2907000,0.87284,0.09739,-0.13543,-0.02494,-0.01394,0.3706,1.09162,0.78945,0.27623,-0.06992,-0.06992,0.51629,2.80377,-0.02591,4,-0.01507,-0.00559000000000001,-3.03711,-8.89328
"15","2013_Q4",9.00578125,"Down",73294000,-8958000,64336000,-46251000,-18698000,-27553000,18085000,-8486000,-8552000,66000,9599000,-9020000,579000,-6304000,-5725000,-5725000,-5725000,-5725000,366357000,307961000,58396000,1597000,1597000,6326000,6038000,374280000,72772000,257954000,132448000,116899000,4806000,3801000,330726000,705006000,44616000,5967000,38649000,204347000,108316000,49221000,49221000,157537000,361884000,1121372000,-777950000,-3e+05,343122000,343122000,705006000,-5725000,11278000,16298000,3819000,25670000,-633000,-8050000,-8683000,137915000,1556000,1556000,135868000,152855000,152855000,152685000,29363000,268047000,38853000,0.87778,0.24675,-0.07811,-0.01669,-0.00812,-6.78655,1.83159,1.05468,0.38021,-0.05083,-0.05083,0.65069,3.04618,0.34493,6,-0.00867,0.05883,-3.34809,-5.436
"16","2014_Q1",9.38491803278689,"Up",73422000,-10358000,63064000,-45314000,-18511000,-26803000,17750000,-9818000,-9595000,-223000,7932000,-11536000,-3604000,-6173000,-9777000,-9777000,-9777000,-9777000,387662000,338696000,48966000,2251000,2251000,8458000,8253000,398371000,72642000,242366000,117172000,116899000,4797000,3498000,315008000,713379000,40449000,7001000,33448000,212842000,109629000,50679000,50679000,160308000,373150000,1128261000,-787727000,-305000,340229000,340229000,713379000,-9777000,11374000,20082000,-1468000,20211000,-991000,9362000,8215000,-1804000,3781000,3781000,2276999.99999996,30703000,30703000,30735000,29124000,273676000,32838000,0.85893,0.24175,-0.13316,-0.02874,-0.01371,-3.3587,1.87167,1.09676,0.38363,-0.08634,-0.08634,0.64839,3.00455,0.28999,5,-0.01471,0.04941,-3.91382,-6.42175
"17","2014_Q2",12.3615873015873,"Up",78288000,-10022000,68266000,-45718000,-18820000,-26898000,22548000,-9913000,-9926000,13000,12635000,641000,13276000,-5472000,7804000,7804000,7804000,7804000,403424000,346576000,56848000,7816000,7816000,9775000,8766000,421015000,70110000,229873000,109260000,116899000,643000,3071000,299983000,720998000,40983000,5555000,35428000,209641000,110962000,48410000,48410000,159372000,369013000,1132206000,-779924000,-297000,351985000,351985000,720998000,7804000,10278000,14938000,-16509000,16511000,-1895000,-8e+06,-9895000,-88000,1352000,1352000,1264000,7880000,7880000,7880000,32826000,279620000,19894000,0.87199,0.28801,0.09968,0.02217,0.01082,2.54921,2.00827,1.04838,0.38782,0.0687,0.06691,0.68922,3.09873,0.17514,6,0.01148,0.02926,-3.77152,-5.49069
"18","2014_Q3",12.61890625,"Up",76518000,-10637000,65881000,-46287000,-18619000,-27668000,19594000,-8666000,-8770000,104000,10928000,510000.000000001,11438000,-6395000,5043000,5043000,5043000,5043000,246430000,99571000,146859000,12503000,12503000,8352000,7283000,267285000,67411000,222995000,102435000,116899000,571000,3090000,290406000,557691000,19875000,5465000,14410000,30185000,112316000,48884000,48884000,161200000,191385000,1141542000,-774880000,-356000,366306000,366306000,557691000,5043000,10255000,10298000,-15653000,9943000,102000,-88953000,-88851000,-172600000,4503000,4503000,-168097000,-247005000,-247005000,-247005000,29849000,112316000,20693000,0.86099,0.25607,0.06591,0.01377,0.00904,4.10331,8.85489,0.52247,0.20139,0.04419,0.04296,0.67053,3.20994,0.18133,6,0.00956,0.03923,-4.49308,-6.84465
"19","2014_Q4",11.32625,"Down",69712000,-10540000,59172000,-45214000,-18200000,-27014000,13958000,-3608000,-3059000,-549000,10350000,510000,10860000,-5347000,5513000,5513000,5513000,5513000,271126000,125686000,145440000,5099000,5099000,9338000,7959000,285563000,65899000,215695000,95694000,116899000,560000,2542000,281594000,567157000,17537000,5697000,11840000,26276000,113692000,49589000,49589000,163281000,189557000,1147311000,-769367000,-344000,377600000,377600000,567157000,5513000,10112000,6090000,2246000,23961000,-1300000,1067000,-233000,-94000,2481000,2481000,2387000,26115000,26115000,26115000,24070000,113692000,30363000,0.84881,0.20022,0.07908,0.0146,0.00972,5.50753,10.86783,0.502,0.20046,0.04814,0.04664,0.60872,3.29715,0.26513,5,0.01019,0.05614,-6.54067,-11.27912
"20","2015_Q1",11.7575409836066,"Up",72040000,-10748000,61292000,-47576000,-19131000,-28445000,13716000,-2909000,-3065000,156000,10807000,3869000,14676000,-6835000,7841000,7841000,7841000,7841000,300109000,154126000,145983000,6001000,6001000,8728000,8541000,314838000,64023000,209418000,89371000,116899000,536000,2612000,273441000,588279000,21802000,6962000,14840000,34658000,115089000,46910000,46910000,161999000,196657000,1153550000,-761526000,-402000,391622000,391622000,588279000,7841000,9598000,-2933000,11546000,26052000,1748000,-673999.999999985,1073999.99999999,-1813000,2743000,2743000,1411000,28537000,28537000,28440000,23314000,115089000,43443000,0.85081,0.19039,0.10884,0.02002,0.01333,5.54049,9.08414,0.50216,0.19564,0.06816,0.0663,0.6262,3.40414,0.37762,5,0.01416,0.07847,-7.936,-13.48936
