"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",14.294126984127,"Up",72914000,-10756000,62158000,-47036000,-18502000,-28534000,15122000,-2951000,-3083000,132000,12171000,2770000,14941000,-5439000,9502000,9502000,9502000,9502000,317761000,171567000,146194000,6541000,6541000,11264000,10141000,335566000,61577000,202728000,83049000,116899000,447000,2333000,264305000,599871000,16174000,5697000,10477000,28029000,116508000,49392000,49392000,165900000,193929000,1158315000,-752024000,-349000,405942000,405942000,599871000,9502000,9549000,3520000,-7714000,14857000,1185000,-109000,1076000,-98000,1424000,1424000,1508000,17441000,17441000,17441000,24671000,116508000,23581000,0.85248,0.2074,0.13032,0.02341,0.01584,2.48169,11.9721,0.47773,0.19422,0.08239,0.08091,0.63219,3.51965,0.20445,5,0.01662,0.04124,-8.15747,-13.30862
"22","2015_Q3",12.9934375,"Down",72812000,-12137000,60675000,-46527000,-17339000,-29188000,14148000,-2888000,-3091000,203000,11260000,1406000,12666000,-5804999.99999999,6860999.99999999,6860999.99999999,6860999.99999999,6860999.99999999,348126000,201477000,146649000,6745000,6745000,10803000,9690000,365674000,60689000,197392000,76694000,116899000,454000.000000004,3345000,258081000,623755000,17044000,5187000,11857000,31369000,117949000,49692000,49692000,167641000,199010000,1170275000,-745164000,-366000,424745000,424745000,623755000,6860999.99999999,9391000,5400000.00000001,1888000,23540000,-898000,-512000,-1410000,-109999.999999998,7629000,7629000,7820000,29950000,29950000,29910000,23539000,117949000,30334000,0.83331,0.19431,0.0942299999999999,0.01615,0.011,4.42122,11.65718,0.46854,0.1891,0.0591299999999999,0.05673,0.62754,3.66074,0.26144,6,0.01158,0.05121,-9.77854,-16.26923
"23","2015_Q4",11.54015625,"Down",73779000,-11111000,62668000,-45644000,-17860000,-27784000,17024000,-2578000,-3117000,539000,14446000,616000,15062000,166971000,182033000,182033000,182033000,182033000,362878000,216553000,146325000,10314000,10314000,10859000,10859000,384051000,59077000,352745000,70426000,116899000,161730000,3690000,411822000,795873000,15290000,5928000,9362000,27610000,119414000,42993000,42993000,162407000,190017000,1169339000,-563129000,-354000,605856000,605856000,795873000,182033000,9348000,-167845000,-8237000,15299000,-1526000,289000,-1237000,-133000,1028000,1028000,1064000,15126000,15126000,15076000,26372000,119414000,-150362000,0.8494,0.23074,2.46727,0.30046,0.22872,-0.82602,13.90985,0.31363,0.15004,1.56327,1.52275,0.6336,5.20298,-1.29128,6,0.23694,-0.19572,-9.23191,-14.30122
"24","2016_Q1",12.397868852459,"Up",76773000,-11340000,65433000,-42457000,-16853000,-25604000,22976000,-2772000,-3122000,350000,20204000,-2642000,17562000,-4570000.00000003,12992000,12992000,12992000,12992000,287706000,143764000,143942000,16408000,16408000,10396000,10396000,315590000,56616000,345815000,64266000,116899000,162485000,2165000,402431000,718021000,16374000,4096000,12278000,28366000,119418000,43704000,43704000,163122000,191488000,1130477000,-604317000,373000,526533000,526533000,718021000,12992000,9165000,3853000,-2462000,23548000,-960000,3622000,2662000,-1854000,-96411000,3702000,-98972000,-72762000,-72762000,-72789000,32141000,119418000,33289000,0.85229,0.29927,0.16923,0.02467,0.01809,2.56227,11.12564,0.36368,0.16632,0.11657,0.11599,0.68886,4.72443,0.29869,9,0.01884,0.04827,-5.23593,-7.32451
"25","2016_Q2",12.19265625,"Down",72682000,-12207000,60475000,-51622000,-23095000,-28527000,8853000,-2899000,-3141000,242000,5954000,441000,6395000,-4517000,1878000,1878000,1878000,1878000,225572000,136629000,88943000,14617000,14617000,13017000,13017000,253206000,56403000,443216000,114325000,163805000,160464000,4622000,499619000,752825000,25406000,4874000,20532000,40115000,121069000,56920000,42243000,177989000,218104000,1137610000,-602439000,-450000,534721000,534721000,752825000,1878000,10688000,7135000,-1919000,17782000,-1599000,54585000,-27537000,-140000,3799000,3799000,2662000,-7093000,-7093000,-7135000,19541000,121069000,20540000,0.83205,0.1218,0.02584,0.00351,0.00249,10.93717,6.312,0.40788,0.16082,0.01711,0.01673,0.66235,4.87293,0.18718,5,0.00264,0.02882,-5.34788,-11.80425
"26","2016_Q3",13.209375,"Up",76501000,-14089000,62412000,-50542000,-21789000,-28753000,11870000,-2025000,-3163000,1138000,9845000,138000,9983000,-6106999.99999999,3876000,3876000,3876000,3876000,259331000,188011000,71320000,11326000,11326000,12993000,12993000,283650000,55056000,427077000,100900000,162715000,159097000,4365000,482133000,765783000,27785000,6269000,21516000,43982000,122744000,56695000,41711000,179439000,223421000,1164675000,-616117000,-6196000,542362000,542362000,765783000,3876000,11148000,7668000,9787000,32479000,-1958000,17063000,15105000,-155000,4460000.00000003,4460000,4321000,51905000,51905000,51382000,23018000,122744000,36954000,0.81583,0.15516,0.0506699999999999,0.00715,0.00506,9.53406,6.44923,0.41194,0.16029,0.0352700000000001,0.03459,0.69607,4.93487,0.33624,5,0.00537,0.0512,-5.93392,-11.50691
"27","2016_Q4",12.9474603174603,"Down",89855000,-19424000,70431000,-58615000,-24795000,-33820000,11816000,-3051000,-3193000,142000,8765000,0,8765000,-4254000,4511000,4511000,4511000,4511000,150789000,89479000,61310000,26363000,26363000,22150000,22150000,199302000,59191000,541803000,164862000,207531000,165661000,3749000,600994000,800296000,31176000,10188000,20988000,59801000,124443000,63212000,48433000,187655000,247456000,1173719000,-611606000,-9273000,552840000,552840000,800296000,4511000,13597000,-520000,-6360000,11228000,-1193000,9775000,-113418000,-181000,4018000,4018000,3884000,-98306000,-98306000,-98532000,25413000,124443000,22114000,0.78383,0.1315,0.0502,0.00816,0.00564,4.90224,3.33275,0.44761,0.1555,0.04093,0.03967,0.81528,5.01606,0.20065,5,0.00609,0.02986,-1.03671,-2.22969
"28","2017_Q1",13.1427419354839,"Up",97559000,-21370000,76189000,-64210000,-25466000,-38744000,11979000,-3030000,-3248000,218000,8949000,-11455000,-2506000,-939000,-3445000,-3445000,-3445000,-3445000,172182000,135294000,36888000,21099000,21099000,17867000,17867000,216781000,58442000,508273000,132388000,204794000,168342000,2749000,566715000,783496000,23970000,9793000,14177000,51301000,126167000,53246000,41646000,179413000,230714000,1181341000,-615051000,-13508000,552782000,552782000,783496000,-3445000,14670000,15064000,7824000,34113000,-3693000,24335000,10436000,-185000,3159000,3159000,2040000,46589000,46589000,45815000,26649000,126167000,31719000,0.78095,0.12279,-0.03531,-0.00623,-0.0044,-9.20726,4.22567,0.41737,0.16103,-0.03109,-0.03008,0.88052,4.98914,0.28628,4,-0.00471,0.04332,-1.72671,-3.84131
"29","2017_Q2",12.284126984127,"Down",97351000,-19731000,77620000,-64186000,-28186000,-3.6e+07,13434000,-3052000,-3206000,154000,10382000,-12989447.5574355,10382000,-7376000,3006000,3006000,3006000,3006000,187625000,177455000,10170000,27353000,27353000,12676000,12676000,233494000,56468000,536248000,121355000,206085000,206075000,2733000,592716000,826210000,19013000,8437000,10576000,44124000,127916000,52613000,52613000,180529000,224653000,1187627000,-573802000,-12268000,601557000,601557000,826210000,3006000,13880000,8118000,-7827000,17177000,-1901000,27048000,25147000,-190000,2247000,2247000,-536000,41788000,41788000,42161000,27314000,127916000,24962000,0.79732,0.138,0.03088,0.005,0.00364,8.30406,5.29177,0.37345,0.15482,0.02697,0.02607,0.87339,5.39687,0.22395,6,0.00384,0.03192,-2.18602,-4.44462
"30","2017_Q3",12.848253968254,"Up",94720000,-21817000,72903000,-64659000,-27137000,-37522000,8244000,-3132000,-3261000,129000,5112000,-5727239.51097497,5112000,-2507000,2605000,2605000,2605000,2605000,167953000,167207000,745999.999999998,36788000,36788000,12255000,12255000,222324000,54305000,526665000,111875000,207959000,204267000,2564000,580970000,803294000,23175000,9099000,14076000,51117000,129690000,52269000,52269000,181959000,233076000,1179392000,-600557000,-8617000,570218000,570218000,803294000,2605000,13780000,9304000,-332999.999999996,25356000,-1564000,9450000,7886000,-205000,-43938000,6098000,-44374000,-11132000,-11132000,-10248000,22024000,129690000,22634000,0.76967,0.08704,0.0275,0.00457,0.00324,8.68868,4.34932,0.40875,0.16145,0.02367,0.02314,0.86062,5.18097,0.20565,4,0.00346,0.03009,-1.73733,-4.64131
"31","2017_Q4",14.3826984126984,"Up",99134000,-19608000,79526000,-62995000,-26799000,-36196000,16531000,-3079000,-3287000,208000,13452000,479000,13931000,-6236000,7695000,7695000,7695000,7695000,183632000,182345000,1287000,49799000,49799000,10998000,10998000,249444000,54035000,520649000,102545000,209318000,206503000,2283000,574684000,824128000,19294000,7016000,12278000,182739000,132605877.377991,51852000,51852000,51852000,234591000,1188097000,-592863000,-5697000,589537000,589537000,824128000,7695000,13747000,4132000,-10260000,15314000,-1951000,0,-2071000,-230000,2447000,2447000,1516000,14759000,14759000,15138000,30278000,131490000,24303000,0.80221,0.16675,0.07762,0.01305,0.00934,3.15828,1.36503,0.39792,0.15955,0.07024,0.06803,0.90488,5.3812,0.22183,8,0.00996,0.03144,-1.72211,-3.1542
"32","2018_Q1",13.3865573770492,"Down",101891000,-17991000,83900000,-68235000,-28818000,-39417000,15665000,-3073000,-3966000,893000,12592000,-1028000,11564000,-47732000,-36168000,-36168000,-36168000,-36168000,329376000,225844000,103532000,25326000,25326000,11883000,11317000,371744000,54303000,465025000,91722000,209661000,159099000,4542999.99999999,519328000,891072000,26963000,9614000,17091000,132842000,135447000,51199000,41369000,186646000,319488000,1212908000,-636227000,-5097000,571584000,571584000,891072000,-36168000,13830000,54271000,27657000,59590000,-3936000,-102497000,-139956000,123181000,5032000,5034000,123362000,42996000,42996000,43499000,29495000,213898000,100948000,0.82343,0.15374,-0.35497,-0.06328,-0.04059,-2.79109,2.79839,0.55895,0.24005,-0.32966,-0.36247,0.9287,5.20981,0.92011,5,-0.04323,0.12065,-3.91517,-7.37172
"33","2018_Q2",13.5171875,"Up",46426000,-16479000,29947000,-70315000,-30198000,-40117000,-40368000,4695000,-4421000,9116000,-35673000,-3245000,-38918000,3229000,-35689000,-35689000,-35689000,-35689000,291220000,122361000,168859000,26734000,26734000,178212000,16770000,501762000,48392000,989505000,82083000,211356000,81999000,614067000,1037897000,1539659000,38250000,7080000,14982000,145852000,137037000,137772000,137772000,274809000,420661000,1196265000,-74255000,-3012000,1118998000,1118998000,1539659000,-35689000,13473000,1830000,37163000,16777000,-1678000,-64982000,-66660000,-241000,-48942000,1058000,-54083000,-103966000,-103966000,-103483000,-26895000,216578000,5361000,0.64505,-0.86951,-0.76873,-0.03189,-0.02318,-0.15021,3.44021,0.37593,0.14067,-0.32635,-0.32635,0.42453,10.23243,0.04902,4,-0.02422,0.00364,2.77531,1.84904
"34","2018_Q3",12.1669841269841,"Down",56458000,-15288000,41170000,-62179000,-24483000,-37696000,-21009000,3615000,-4634000,8249000,-17394000,1022000,-16372000,1015000.00000001,-15357000,-15357000,-15357000,-15357000,298340000,248284000,50056000,39263000,39263000,194062000,14456000,537706000,50235000,937832000,70940000,208680000,82111000,576101000,988067000,1525773000,44565000,8386000,17385000,152198000,138647000,129443000,129443000,268090000,420288000,1210428000,-97383000.0000001,-7560000,1105485000,1105485000,1525773000,-15357000,11325000,1925999.99999999,5759000,3653000,155000,118948000,119103000,-257999.999999985,4761000.00000001,4792000,4207999.99999999,126964000,126964000,125923000,-9684000,219295000,-4784999.99999999,0.72921,-0.37212,-0.27201,-0.01389,-0.01007,0.31158,3.53294,0.38018,0.14373,-0.14254,-0.14254,0.52404,10.26096,-0.0444100000000001,4,-0.01056,-0.00329000000000001,8.16243,3.76244
"35","2018_Q4",8.69190476190476,"Down",59754000,-11328000,48426000,-67593000,-24462000,-43131000,-19167000,4032000,-3976000,8008000,-15135000,-4.65661287307739e-10,-15135000,-89758000,-104893000,-104893000,-104893000,-104893000,248171000,134534000,113637000,42674000,42674000,178921000,14434000,476038000,49174000,818758000,65411000,208116000,3930000,541301000,867932000,1343970000,40709000,8572000,14353000,59378000,140279000,135998000,135998000,276277000,335655000,1219219000,-202276000,-8628000,1008315000,1008315000,1343970000,-104893000,7661000,97713000,31153000,31634000,-2562000,-63736000,-66298000,-81494000,3416000,3416000,-78847000,-113511000,-113511000,-113750000,-11506000,140279000,106843000,0.81042,-0.32077,-1.75541,-0.10403,-0.07805,-1.01859,8.01708,0.33289,0.10438,-0.97216,-0.97216,0.55381,9.34516,0.99023,5,-0.08165,0.08317,9.37702,5.62905
"36","2019_Q1",9.59672131147541,"Up",68563000,-10606000,57957000,-62163000,-19111000,-37395000,-4206000,3997000,-3251000,7248000,-209000,6000,-203000.000000002,-1815000.00000001,-2018000,-2018000,-2018000,-2018000,277764000,115924000,161840000,50863000,50863000,192351000,15738000,527750000,57028000,776377000,59936000,207178000,4435000,504828000,833405000,1361155000,40720000,7392000,16938000,69285000,141934000,137824000,118864000,279758000,349043000,1226697000,-204294000,-10291000,1012112000,1012112000,1361155000,-2018000,7627000,9039000,20405000,35053000,-2913000,-47918000,-54181000,-294000,2134000,2136000,1038000.00000001,-18090000,-18090000,-18282000,3421000,141934000,22728000,0.84531,-0.06135,-0.0294299999999996,-0.00199000000000001,-0.00148,-11.26264,7.61709,0.34487,0.10427,-0.0185499999999998,-0.0185499999999997,0.63013,9.30182,0.20888,6,-0.00156000000000001,0.01759,-39.70476,32.29434
"37","2019_Q2",11.4568253968254,"Up",48384000,-11198000,37186000,-68264000,-26520000,-40619000,-31078000,5142000,-2271000,7413000,-25936000,-331000,-26267000,-309000,-26576000,-26576000,-26576000,-26576000,305866000,143016000,162850000,43810000,43810000,187144000,16857000,545012000,22637000,753771000,55507000,207828000,4411000,486025000,776408000,1321420000,38304000,8274000,13666000,59925000,143612000,117996000,117996000,261608000,321533000,1234956000,-226401000,-8668000,999887000,999887000,1321420000,-26576000,9797000,8832000,36708000,28761000,-664000,-829000,-1493000,-1240000,4856000,4856000,-170000,27098000,27098000,27098000,-21281000,143612000,15072000,0.76856,-0.64232,-0.54927,-0.02658,-0.02011,-0.56713,9.0949,0.32157,0.10868,-0.24228,-0.24228,0.44109,9.1154,0.1374,5,-0.02107,0.01195,7.62436,5.22086
"38","2019_Q3",12.5371875,"Up",58297000,-13027000,45270000,-62798000,-23794000,-37890000,-17528000,4438000,-2534000,6972000,-13090000,-19518000,-32608000,-4372000,-36980000,-36980000,-36980000,-36980000,337718000,114186000,223532000,28225000,28225000,265635000,9350000,640904000,41590000,629667000,29748000,153144000,4399000,442376000,671257000,1312161000,39221000,7794000,13966000,76043000,145314000,117578000,117578000,262892000,338935000,1246988000,-263381000,-10381000,973226000,973226000,1312161000,-36980000,10045000,25868000,39766000,38699000,-2119000,-60495000,-63614000,-1240000,5363000,5363000,3638000,-21277000,-28822000,-28822000,-7483000,145314000,34536000,0.77654,-0.30067,-0.63434,-0.038,-0.02818,-0.93391,8.42818,0.34826,0.11074,-0.33353,-0.33353,0.52579,8.77769,0.31149,4,-0.02992,0.02794,25.71215,10.97695
"39","2019_Q4",13.423125,"Up",57399000,-12574000,44825000,-68177000,-26521000,-41486000,-23352000,4230000,-2497000,6727000,-19122000,479000.000000004,-18643000,1312000,-17331000,-17331000,-17331000,-17331000,338024000,91838000,246186000,38610000,38610000,269961000,9824000,656449000,38571000,604807000,35362000,164488000,6454000,398503000,643378000,1299827000,40921000,9429000,13294000,80911000,147039000,110594000,110594000,257633000,338544000,1254455000,-280712000,-12460000,961283000,961283000,1299827000,-17331000,9480000,5645000,27870000,25664000,-1349000,-22674000,-45802000,-1850000,1529000,1529000,-1715000,-21853000,-21853000,-22350000,-13872000,147039000,11337000,0.78094,-0.40684,-0.30194,-0.01803,-0.01333,-0.65415,8.11322,0.35218,0.11312,-0.15569,-0.15569,0.51564,8.6357,0.10185,4,-0.01422,0.0093,13.76766,8.17853
"40","2020_Q1",13.8511290322581,"Up",63523000,-14576000,48947000,-60870000,-23716000,-36820000,-11923000,3783000,-2550000,6333000,-8140000,3110000,-5030000,-47000,-5077000,-5077000,-5077000,-5077000,407664000,102176000,305488000,44039000,44039000,202890000,18524000,664679000,44714000,629593000,54900000,183465000,4574000,386654000,674307000,1338986000,48982000,9549000,20291000,79822000,148788000,139458000,125612000,288246000,368068000,1261254000,-290244000,-92000,970918000,970918000,1338986000,-5077000,11380000,-539000,29647000,35411000,-2311000,-59292000,-30565000,-4049000,3356000,3356000,-2051000,2795000,10340000,10340000,-543000,148788000,26840000,0.77054,-0.1877,-0.07992,-0.00523,-0.00379,-5.28659,8.32702,0.37909,0.11112,-0.04537,-0.04537,0.56763,8.67588,0.23984,3,-0.00403,0.02132,476.75138,21.71232
"41","2020_Q2",14.0850793650794,"Up",65777000,-15885000,49892000,-60318000,-23306000,-36664000,-10426000,3888000,-2555000,6443000,-6538000,964000,-5574000,-965000,-6539000,-6539000,-6539000,-6539000,435445000,175446000,259999000,44364000,44364000,189099000,17057000,678756000,47743000,592992000,50208000,183465000,4541000,354778000,640735000,1319491000,48033000,15730000,12411000,74869000,150561000,128363000,114223000,278924000,353793000,1264113000,-298227000,-188000,965698000,965698000,1319491000,-6539000,12403000,6584000,24810000,37258000,-1950000,45298000,42217000,-2551000,4005000,4005000,-5764000,73711000,73711000,73259000,1977000,150561000,25802000,0.7585,-0.15851,-0.09941,-0.00677,-0.00496,-3.94586,9.06592,0.36636,0.11411,-0.05791,-0.05791,0.58258,8.55304,0.22852,4,-0.00525,0.02073,-144.09914,27.32438
"42","2020_Q3",14.2028125,"Up",61717000,-16148000,45569000,-56657000,-21721000,-34688000,-11088000,2108000,-2580000,4688000,-8980000,0,-8980000,-160000,-9140000,-9140000,-9140000,-9140000,486077000,103275000,382802000,35198000,35198000,173418000,17970000,706247000,50858000,559542000,45624000,183222000,5350000,325346000,610400000,1316647000,50230000,14016000,16170000,78995000,152359000,120103000,105379000,272462000,351457000,1274250000,-309008000,-52000,965190000,965190000,1316647000,-9140000,12320000,8339000,50496000,62015000,-10830000,-122767000,-133597000,-4049000,3875000,3875000,-618999.999999999,-72201000,-72201000,-72168000,1232000,152359000,41058000,0.73835,-0.17966,-0.1481,-0.00947,-0.00694,-4.49212,8.9404,0.36413,0.11572,-0.08048,-0.08048,0.54342,8.49849,0.36152,5,-0.00738,0.03317,-270.875,30.09722
"43","2020_Q4",15.68640625,"Up",56915000,-15264000,41651000,-54151000,-20182000,-33733000,-12500000,968000,-2586000,3554000,-11532000,2.3283064365387e-10,-11532000,-1205000,-12737000,-12737000,-12737000,-12737000,520221000,89475000,430746000,33025000,33025000,157570000,16229000,725034000,59425000,524559000,41052000,183222000,5249000,295036000,583984000,1309018000,49050000,13323000,15719000,86306000,154182000,110284000,95145000,264466000,350772000,1280165000,-321787000,-132000,958246000,958246000,1309018000,-12737000,10800000,9291000,36765000,44119000,-8019000,-46675000,-54694000,-2552000,203000,203000,-3471000,-14046000,-14046000,-13784000,-1700000,154182000,28251000,0.73181,-0.21963,-0.22379,-0.01329,-0.00973,-2.21803,8.40074,0.36606,0.11778,-0.1119,-0.1119,0.50001,8.41837,0.24819,5,-0.01042,0.02311,215.31706,29.28312
"44","2021_Q1",20.0840983606557,"Up",61913000,-13451000,48462000,-56213000,-21232000,-34752000,-7751000,551000,-2619000,3170000,-7200000,-3253000,-10453000,-1602000,-12055000,-12055000,-12055000,-12055000,502649000,128967000,373682000,27903000,27903000,154694000,15881000,699712000,57693000,494004000,36487000,183222000,4353000,269942000,551697000,1251409000,52383000,8993000,23326000,81140000,156031000,101532000,87256000,257563000,338703000,1270538000,-357751000,-81000,912706000,912706000,1251409000,-12055000,12663000,8301000,33158000,42067000,-8929000,57430000,48501000,-4049000,-46665000,3404000,-51332000,39236000,39236000,39499000,4912000,156031000,30743000,0.78274,-0.12519,-0.19471,-0.01321,-0.00963,-2.55023,8.62351,0.3711,0.12468,-0.10908,-0.10908,0.56021,8.25851,0.27817,6,-0.0103,0.02627,-70.56555,44.71913
"45","2021_Q2",20.1253968253968,"Up",70382000,-17352000,53030000,-56145000,-23562000,-32354000,-3115000,367000,-2614000,2981000,-2748000,-368000,-3116000,503000,-2613000,-2613000,-2613000,-2613000,529128000,109554000,419574000,35937000,35937000,149345000,11616000,724336000,53687000,457757000,31872000,183222000,4372000,238291000,511444000,1235780000,42101000,7802000,14113000,73376000,157905000,95093000,80382000,252998000,326374000,1269903000,-360364000,-133000,909406000,909406000,1235780000,-2613000,10813000,8991000,22267000,39458000,-3517000,-44948000,-48465000,-3119000,920000,920000,-10256000,-19263000,-19263000,-19407000,7698000,157905000,25945000,0.75346,-0.04426,-0.03713,-0.00287,-0.00211,-9.9292,9.87157,0.35889,0.12778,-0.02329,-0.02329,0.62723,8.10443,0.23122,6,-0.00225,0.02232,-48.2233,119.17271
"46","2021_Q3",23.54,"Up",84859000,-16878000,67981000,-53882000,-22184000,-31469000,14099000,-302000,-2683000,2381000,13797000,0,13797000,-2631000,11166000,11166000,11166000,11166000,477113000,204731000,272382000,38730000,38730000,155090000,10544000,678985000,50058000,423942000,27203000,183222000,3907000,209610000,4.74e+08,1152985000,44607000,8975000,15878000,74704000,159806000,87887000,72740000,247693000,322397000,1257184000,-426413000,-183000,830588000,830588000,1152985000,11166000,11224000,10353000,18851000,51594000,-1750000,146636000,144886000,-4049000,-96802000,3266000,-101280000,95200000,95200000,95176000,25323000,159806000,45055000,0.80111,0.16615,0.13158,0.01344,0.00968,4.03502,9.089,0.38816,0.1386,0.09957,0.09715,0.7567,7.40644,0.40176,7,0.01036,0.04178,-12.53039,-22.50564
"47","2021_Q4",25.42703125,"Up",81282000,-18426000,62856000,-58161000,-22210000,-35592000,4695000,54000,-2672000,2726000,4749000,15609646.2622315,4749000,-1073000,3676000,3676000,3676000,3676000,419728000,151871000,267857000,46674000,46674000,150272000,11991000,624759000,51516000,526391000,62431000,279091000,3846000,181023000,577907000,1202666000,49055000,13281000,15331000,88674000,161733000,104416000,80528000,266149000,354823000,1270980000,-422737000,-4e+05,847843000,847843000,1202666000,3676000,11042000,10247000,21032000,45997000,-2260000,4043000,-95332000,-2658000,803000,816000,-3322000,-52657000,-52657000,-52851000,15737000,161733000,35582000,0.77331,0.05776,0.04523,0.00434,0.00306,9.67954,7.04557,0.4185,0.13448,0.03373,0.03234,0.74578,7.77916,0.32647,7,0.0033,0.03194,-16.39417,-54.95101
"48","2022_Q1",27.6795161290323,"Up",91781000,-17738000,74043000,-59773000,-23101000,-36263000,14270000,-1114000,-2737000,1623000,13156000,-5299999.99999999,7856000,-1751000,6105000,6105000,6105000,6105000,485609000,107891000,377718000,44065000,44065000,146208000,10600000,684364000,56035000,492247000,58420000,278810000,4047000,150970000,548282000,1232646000,52831000,11279000,20945000,267267000,163684774.969183,102983000,78998000,102983000,370250000,1299075000,-435227000,-1452000,862396000,862396000,1232646000,6105000,11198000,13362000,41503000,72168000,-6265000,-110479000,-116744000,-2646000,3954999.99999999,3955000,649000,-43927000,-43927000,-43978000,25468000,163687000,62457000,0.80674,0.15548,0.06652,0.00708,0.00495,10.23047,2.5606,0.42933,0.13279,0.0591,0.05203,0.88849,8.34846,0.60462,7,0.00541,0.05532,-12.64025,-22.55936
"49","2022_Q2",24.7341935483871,"Down",99050000,-22399000,76651000,-67130000,-26906000,-39815000,9521000,755000,-605000,1360000,10276000,-75980000,-65704000,-514000,-66218000,-66218000,-66218000,-66218000,343691000,179129000,164562000,51232000,51232000,144025000,12277000,545112000,54965000,460798000,57634000,279793000,3986000,119385000,515763000,1060875000,53957000,15540000,17402000,162548000,165660324.907548,105201000,80629000,105201000,267749000,1272463000,-475024000,-4313000,793126000,793126000,1060875000,-66218000,10826000,85517000,12489000,42614000,-4683000,209439000,222023000,-177674000,321000,321000,-193174000,71463000,71463000,71239000,20347000,73860000,28667000,0.77386,0.09612,-0.66853,-0.08349,-0.06242,-0.43292,3.35354,0.33759,0.06962,-0.60661,-0.57815,0.90738,7.26565,0.26261,5,-0.06811,0.02949,-13.26146,-28.34062
"50","2022_Q3",25.0009375,"Up",121132000,-24812000,96320000,-66260000,-26305000,-39538000,30060000,2390000,-348000,2738000,32450000,5500000,37950000,-2930000,35020000,35020000,35020000,35020000,351635000,171460000,180175000,63602000,63602000,156671000,9979000,581146000,81735000,448032000,58866000,291995000,2686000,94485000,529767000,1110913000,61718000,20183000,20689000,155571000,167658649.815096,117184000,92025000,117184000,272755000,1283900000,-440004000,-5738000,838158000,838158000,1110913000,35020000,11687000,4039000,5753000,56499000,-4750000,-16685000,-37367000,-28780000,3409000,3409000,-25979000,-6847000,-6847000,-7676999.99999997,41747000,49248000,45680000,0.79517,0.24816,0.28911,0.04178,0.03152,1.3044,3.73557,0.32542,0.04433,0.31708,0.3107,1.09674,7.58878,0.41359,7,0.03486,0.04547,-7.24332,-10.05945
