"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",22.4544262295082,"Up",117962000,-27009000,90953000,-36560000,-19795000,-16765000,54393000,-3546000,-3764000,113000,105000,50847000,50847000,-21984000,28863000,28863000,28863000,28863000,260820000,260820000,122634000,122634000,36148000,5689000,5151000,538000,425291000,29363000,15043000,9718000,5325000,44406000,469697000,64201000,15833000,118000,48250000,2156000,34224000,34224000,100581000,295459000,23501000,14691000,8810000,318960000,419541000,128879000,-78917000,194000,50156000,50156000,469697000,28863000,2162000,16766000,-1837000,45954000,-2311000,-2311000,-48447000,-824000,70000,70000,82290000,33089000,76732000,76732000,569000,77301000,56555000,297615000,74391000,0.77104,0.46111,0.24468,0.57546,0.06145,2.57738,4.22834,8.36472,0.63363,0.71328,0.57389,2.91516,1.23949,1.8384,1.19726,0.20823,0.20037,1.67852,0.65061,0.67647
"2","2018_Q2",22.74484375,"Up",89074000,-27119000,61955000,-38986000,-18456000,-20530000,22969000,-3400000,-3577000,-24000,201000,19569000,19569000,-1793000,17776000,17776000,17776000,17776000,307095000,307095000,88866000,88866000,29354000,5731000,3920000,1811000,431046000,29166000,13657000,8719000,4938000,42823000,473869000,51479000,14741000,1818000,34920000,2161000,27820000,27820000,81460000,294915000,25661000,16576000,9085000,320576000,402036000,131618000,-61141000,1356000,71833000,71833000,473869000,17776000,2302000,4227000,26838000,51143000,-2539000,-2539000,-2240999.99999999,-826000,675000,675000,-976000.000000015,-3368000,45236000,45236000,1039000,46275000,25271000,297076000,51363000,0.69555,0.25786,0.19956,0.24746,0.03751,2.88946,5.29151,5.59681,0.62692,0.21777,0.18993,1.09121,0.87999,0.62922,0.0274500000000002,0.05073,0.13017,0.12607,-0.39646,-0.4362
"3","2018_Q3",15.2063492063492,"Down",68722000,-19321000,49401000,-32859000,-16163000,-16696000,16542000,-3319000,-3195000,-490000,366000,13223000,13223000,8194000,21417000,21417000,21417000,21417000,342925000,342925000,70852000,70852000,33705000,4732000,4657000,75000,452214000,29237000,24756000,19953000,4803000,53993000,506207000,47989000,16251000,841000,30897000,2168000,31467000,31467000,81624000,294368000,22951000,15120000,7831000,317319000,398943000,147297000,-39724000,-309000,107264000,107264000,506207000,21417000,2366000,-11605000,19047000,31225000,-1962000,-1962000,-3245000,-825000,9472000,9472000,3639000,9041000,38304000,38304000,-1468000,36836000,18908000,296536000,27799000,0.71885,0.24071,0.31165,0.19967,0.04231,1.29799,5.54021,3.71926,0.5858,0.25721,0.22815,0.82534,1.28822,0.33386,0.03897,0.05779,0.06514,0.15152,-2.45341,-2.80432
"4","2018_Q4",14.3519047619048,"Down",71506000,-14575000,56931000,-34308000,-17905000,-16403000,22623000,-2731000,-3211000,69000,411000,19892000,19892000,-995000,18897000,18897000,18897000,18897000,308350000,308350000,79750000,79750000,41233000,3926000,3627000,299000,433259000,29641000,24944000,18791000,6153000,54585000,487844000,52832000,17796000,172000,34864000,2173000,30085000,30085000,85090000,293824000,23214000,14094000,9120000,317038000,402128000,153665000,-66523000,-1426000,85716000,85716000,487844000,18897000,2369000,1599000,-11131000,11734000,-1723000,-1723000,-986000,-825000,-41811000,3888000,-13000,-43635000,-33624000,-33624000,-945000,-34569000,24992000,295997000,13133000,0.79617,0.31638,0.26427,0.22046,0.03874,0.69498,5.09177,4.6914,0.60675,0.2192,0.20524,0.82945,0.99428,0.15234,0.01144,0.0491,0.03243,0.05218,-0.49428,-0.54604
"5","2019_Q1",11.0816393442623,"Down",67825000,-18146000,49679000,-32847000,-15502000,-17345000,16832000,-3578000,-3521000,-466000,409000,13254000,13254000,1662000,14916000,14916000,14916000,14916000,280587000,280587000,81782000,81782000,50997000,4145000,3755000,390000,417511000,29879000,27259000,21578000,5681000,57138000,474649000,55726000,17776000,958000,36992000,2179000,31206000,31206000,89111000,293280000,17402000,12479000,4923000,310682000,399793000,157022000,-81008000,-1158000,74856000,74856000,474649000,14916000,2417000,-3009000,-9881000,4443000,-1742000,-1742000,-853000,-828000,-28708000,695000,0,-30389000,-27688000,-27688000,-68000,-27756000,19249000,295459000,5964000,0.73246,0.24817,0.21992,0.19926,0.03143,0.39984,4.68529,5.34083,0.62248,0.1796,0.16956,0.81665,0.9013,0.07181,0.01027,0.04067,0.01538,0.05719,0.77261,0.88356
"6","2019_Q2",7.3084126984127,"Down",35486000,-10989000,24497000,-38598000,-20193000,-18405000,-14101000,-3408000,-3545000,-92000.0000000001,229000,-17509000,-17509000,2170000,-15339000,-15339000,-15339000,-15339000,264411000,264411000,50091000,50091000,67773000,6615000,4979000,1636000,388890000,29482000,29394000,23703000,5691000,58876000,447766000,42470000,17814000,1568000,23088000,2184000,31319000,31319000,75973000,292731000,13628000,8504000,5124000,306359000,382332000,160076000,-94197000,-445000,65434000,65434000,447766000,-15339000,2396000,-158000.000000001,-748000.000000002,-13849000,-1835000,-1835000,-761000,-828000,1498000,1498000,-1004000,-1095000,-16779000,-16779000,609000,-16170000,-11705000,294915000,-16458000,0.69033,-0.39737,-0.43225,-0.23442,-0.03426,1.07295,5.11879,5.84302,0.65864,-0.18409,-0.18409,0.42588,0.78531,-0.19752,0.00913,-0.03898,-0.04401,-0.04961,-2.60607,-2.16325
"7","2019_Q3",6.713125,"Down",52101000,-12796000,39305000,-35562000,-17302000,-18260000,3743000,-3010000,-3655000,503000,142000,733000,733000,558000,1291000,1291000,1291000,1291000,130510000,130510000,51671000,51671000,74066000,119014000,4915000,419000,375261000,30062000,30328000,26367000,3961000,60390000,435651000,32394000,9203000,92000,23099000,2189000,25444000,25444000,60027000,292179000,13832000,8801000,5031000,306011000,366038000,163610000,-92906000,-1091000,69613000,69613000,435651000,1291000,2489000,-671000,-20380000,-17271000,-1929000,-1929000,-1329000,-828000,670000,670000,0,-1487000,-20687000,-20687000,-559000,-21246000,6232000,294368000,-16635000,0.7544,0.07184,0.02478,0.01855,0.00296,-12.88536,6.25154,5.25818,0.6757,0.01539,0.01539,0.62109,0.82984,-0.1983,0.01584,0.00693,-0.04403,1.02943,26.293,43.77718
"8","2019_Q4",4.77484375,"Down",81817000,-42602000,39215000,-47981000,-23823000,-24158000,-8766000,-5343000,-4580000,-869000,106000,-14109000,-14109000,5611000,-8498000,-8498000,-8498000,-8498000,123570000,123570000,62736000,62736000,98203000,7136999.99999997,6747000,390000,291646000,37006000,129847000,32497000,4982000,166853000,458499000,53370000,19128000,1407000,32835000,8599000,27556000,27556000,89525000,285224000,20776000,6075000,7637000,3.06e+08,395525000,166649000,-101404000,-2271000,62974000,62974000,458499000,-8498000,5018000,-6931000,8461000.00000001,-1950000,-2961000,-112392000,-285000,-4336000,309999.999999999,310000,-4999.99999999988,-4316000,-118658000,-118658000,-950000,-119608000,-3748000,293823000,-3859000,0.4793,-0.10714,-0.10387,-0.13494,-0.01853,0.45411,3.2577,6.28077,0.64084,-0.10108,-0.10108,0.97317,0.74904,-0.0459,0.00339,-0.02175,-0.01022,-0.0335399999999997,-45.42503,-19.42197
"9","2020_Q1",3.62193548387097,"Down",112893000,-53378000,59515000,-49510000,-27002000,-22508000,10005000,-3535000,-4336000,756000,45000,6470000,6470000,-32130000,-25660000,-25660000,-25660000,-25660000,113638000,113638000,93100000,93100000,93604000,8101000,4884000,3217000,308443000,35910000,99959000,69000,8395000,135869000,444312000,60457000,25890000,1377473.55323915,34567000,8524000,25485000,25485000,94466000,284756000,26526000,4583000,12950000,311282000,405748000,169645000,-127064000,-2222000,38564000,38564000,444312000,-25660000,4819000,38327000,-23438000,-5952000,-1866000,-1866000,-215000,-828000,-1586000,209000,0,-2629000,-10447000,-10447000,522000,-9925000,14824000,293280000,21650000,0.52718,0.08862,-0.22729,-0.66539,-0.05775,-0.84373,3.26512,10.52142,0.66008,-0.30501,-0.30501,1.3419,0.45839,0.25734,0.00256,-0.071,0.06041,-0.00838,12.11832,17.95522
"10","2020_Q2",4.22301587301587,"Up",83623000,-40970000,42653000,-46202000,-24991000,-21211000,-3549000,-4008000,-4222000,152000,62000,-7557000,-7557000,8719000,1162000,1162000,1162000,1162000,134752000,134752000,55013000,55013000,81014000,16902000,7239000,9663000,287681000,34231000,96946000,319000,6559000,131177000,418858000,43852000,17622000,110000,26120000,8449000,18850000,18850000,71151000,284282000,24504000,4149000,11189000,308786000,379937000,171999000,-125902000,-2383000,38921000,38921000,418858000,1162000,4768000,2893000,17246000,26069000,-390000,-390000,-176000,-830000,-2686000,312000,-459000,-4151000,21528000,21528000,-408000,21120000,1219000,292731000,9356000,0.51006,-0.04244,0.0139,0.02986,0.00277,8.05164,4.04325,9.76175,0.69888,0.01383,0.0136700000000001,0.99563,0.4634,0.11139,0.0021,0.00376000000000003,0.02627,0.15146,129.59721,-44.51367
