"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"28","2017_Q1",26.2803225806452,"Down",106920000,-46817000,60103000,-80381000,-50409000,-32388000,-18021000,-21225000,-8747000,-20278000,3068000,-147000,747000,-17210000,-31037000,-853000,-31890000,-31890000,-31890000,-31890000,-31890000,6152000,12669000,6808000,-6261000,-2160000,-2160000,-4421000,-13763000,108000,-8313000,-8313000,-838000,-9151000,-14126000,20907000,-8625000,0.56213,-0.189660000000001,-0.29826,0.27046,-0.55727,-0.55727,1.86841,-0.15072
"29","2017_Q2",25.3688888888889,"Down",100861000,-47313000,53548000,-77273000,-47518000,-29733000,-17785000,-21020000,-8735000,-23725000,3010000,-154000,-20000,-20715000,-39926000,-866000,-40792000,-40792000,-40792000,-40792000,-40792000,6129000,14240000,18471000,-1952000,-2999000,-2999000,-4499000,1259000,-4502000,-9453000,-9453000,-1721000,-11174000,-17596000,18407000,-1258000,0.53091,-0.23522,-0.40444,0.03084,-0.71221,-0.71221,1.761,-0.02196
"30","2017_Q3",28.6298412698413,"Up",99439000,-47301000,52138000,-74445000,-44500000,-31190000,-13310000,-21502000,-8443000,-22307000,1226000,-252000,-1205000,-21081000,-37565000,-1061000,-38626000,-38626000,-38626000,-38626000,-38626000,5867000,11579000,874000,-20306000,-1022000,-1022000,-4109000,4563000,453999.999999999,-20874000,-20874000,1742000,-19132000,-16440000,14951000,-15527000,0.52432,-0.22433,-0.38844,0.40198,-0.67178,-0.67178,1.72943,-0.27004
"31","2017_Q4",28.7334920634921,"Up",100323000,-48803000,51520000,-82275000,-52204000,-29873000,-22331000,-21580000,-8491000,-30755000,6173000,-148000,-298000,-24582000,-127773000,-2296000,-130069000,-130069000,-130069000,-130069000,-130069000,6233000,106449000,11944000,-5443000,-3575000,11425000,-4091000,1675000,-1154000,4828000,4828000,574000,5402000,-24522000,11925000,-13857000,0.51354,-0.30656,-1.2965,0.10654,-2.26019,-2.26019,1.7433,-0.24079
"32","2018_Q1",24.3662295081967,"Down",102926000,-50188000,52738000,-95013000,-60938000,-39713000,-21225000,-24921000,-9154000,-42275000,983999.999999999,-107000,-1628000,-41291000,-78846000,6940000,-71906000,-71906000,-71906000,-71906000,-71906000,5110000,4641000.00000003,33451000,-28704000,-2586000,10850000,-4317000,2001000,-2316000,-20170000,-20170000,1858000,-18312000,-37165000,8351000,-13240000,0.51239,-0.41073,-0.69862,0.18413,-1.24789,-1.24789,1.78623,-0.22977
"33","2018_Q2",22.5128125,"Down",105919000,-47254000,58665000,-71826000,-44566000,-25905000,-18661000,-18716000,-8544000,-13161000,-3750000,-2905000,-922000,-16911000,-50035000,-1415000,-51450000,-51450000,-51450000,-51450000,-51450000,4563000,14850000,-12761000,-44798000,-725000,-2657000,82141000,-5349000,76792000,29337000,29337000,368000,29705000,-8598000,126246000,-20669000,0.55387,-0.12426,-0.48575,0.40173,-0.93161,-0.93161,1.91788,-0.37426
"34","2018_Q3",19.8460317460317,"Down",101389000,-51526000,49863000,-87501000,-58346000,-29647000,-28699000,-20889000,-8266000,-37638000,-2272000,-4124000,1045000,-39910000,-53876000,-2101000,-55977000,-55977000,-55977000,-55977000,-55977000,4276000,36445000,-14315000,-29571000,-562000,-3858000,12500000,627000,13291000,-20138000,-20138000,-1504000,-21642000,-33362000,174404000,-46138000,0.4918,-0.37122,-0.5521,0.82423,-1.01421,-1.01421,1.837,-0.83594
"35","2018_Q4",16.1349206349206,"Down",102864000,-49446000,53418000,-70211000,-43573000,-24866000,-18707000,-18742000,-7896000,-16793000,-6697000,-4682000,-304000,-23490000,-24237000,-4e+05,-24637000,-24637000,-24637000,-24637000,-24637000,4135000,21854000,-922000,430000,-896000,-3115000,-1901000,2925000,3715000,1030000,1030000,-4000,1026000,-12658000,175850000,-14076000,0.51931,-0.16325,-0.23951,0.57134,-0.42323,-0.42323,1.76705,-0.2418
"36","2019_Q1",20.3377049180328,"Up",109310000,-51994000,57316000,-73235000,-46445000,-27977000,-18468000,-18632000,-8158000,-15919000,-3907000,-4754000,1484000,-19826000,-27414000,210000,-27204000,-27204000,-27204000,-27204000,-27204000,4285000,19437000,-5154000,-8636000,-2023000,-4184000,-1746000,11067000,9321000,-3499000,-3499000,-517000,-4016000,-11634000,180945000,-19021000,0.52434,-0.14563,-0.24887,0.6992,-0.43757,-0.43757,1.75823,-0.30595
"37","2019_Q2",10.7009523809524,"Down",102294000,-53407000,48887000,-70706000,-44385000,-24840000,-19545000,-18216000,-8105000,-21819000,-3752000,-6759000,38000,-25571000,-26343000,-1171000,-27514000,-27514000,-27514000,-27514000,-27514000,3106000,16545000,6287000,-1576000,-1836000,-4240000,-1517000,-1138000,-1464000,-7280000,-7280000,-75000,-7355000,-18713000,178913000,-13091000,0.47791,-0.2133,-0.26897,0.47579,-0.45889,-0.45889,1.70609,-0.21834
"38","2019_Q3",2.886875,"Down",96888000,-51994000,44894000,-65220000,-40261000,-23329000,-16932000,-16883000,-8076000,-20326000,-11787000,-8242000,-464000,-32113000,-283996000,4463000,-279533000,-279533000,-279533000,-279533000,-279533000,3005000,256795000,10605000,-9128000,-57000,-2567000,-1562000,4180000,22512000,10817000,10817000,166000,10983000,-17321000,180909000,-11236000,0.46336,-0.20979,-2.88511,0.0402000000000001,-4.60722,-4.60722,1.59689,-0.18519
