"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",4.85746031746032,"Up",165030000,-106542000,58488000,-39729000,-39729000,18759000,-43000,-12000,18716000,18716000,-6663000,12053000,12053000,12053000,12053000,-176731472.480581,-176731472.480581,-113424749.116053,-113424749.116053,-126152731.073718,-1873494.04457624,-36059677.08525,-418182446.714928,54763759.7570188,29992889.4526805,1615000,13145000,15232889.4526805,84756649.2096993,-333425797.505228,-355333781.74483,-189944645.052244,-281825362.680796,116436225.988271,-355333781.74483,44298084.1507655,14292322.2008705,30005761.949895,43466748.2301402,-311867033.514689,150002.096154521,25329565.4898893,-18005333.8352856,24886384.7310145,-53919382.4723117,-21558763.9905389,-21558763.9905389,-333425797.505228,12053000,2784000,-4000,1032000,15865000,-1293000,-1293000,-917875.526913912,-917875.526913912,2000,14574000,14574000,14574000,21543000,0,27945000,0.35441,0.11367,0.07304,-0.498785421116105,-0.121296107993911,2.31851,2.5607701790951,-1.63311556725564,-0.00430591949472383,0.13057,0.13001,1.78774,-0.249909290826272,0.30272,19.7234956192379,-2.01965559929274,5.7728857061136,6.71883400829349
"2","2011_Q3",5.37015625,"Up",151127000,-94772000,56355000,-40510000,-40510000,15845000,4000,24000,15849000,15849000,-5642000,10207000,10207000,10207000,10207000,-82926236.2402903,-82926236.2402903,-17310374.5580266,-17310374.5580266,-40481365.5368588,6109752.97771188,-8661838.54262498,-134608223.357464,55581879.8785094,25067444.7263402,1615000,13145000,10307444.7263402,80649324.6048496,-53958898.7526142,-115312890.872415,-55583822.5261222,-126049181.340398,66320112.9941355,-115312890.872415,34561542.0753827,14543161.1004352,20018380.9749475,34145874.1150701,-81167016.7573447,150001.048077261,27894282.7449447,-18002666.9176428,37422192.3655073,-20255691.2361558,27208118.0047305,27208118.0047305,-53958898.7526142,10207000,3196000,-13000,614000.000000002,14004000,-2833000,-2833000,24000,24000,52000,11223000,11223000,11223000,19041000,0,22464000,0.3729,0.10485,0.06754,-0.144847710558052,-0.0246180539969557,2.20084,1.82925508954755,0.105812216372181,-0.00215295974736191,0.11056,0.11007,1.63692,0.286395354586864,0.24332,9.94064280961896,-0.708312799646372,2.6215328530568,3.02346700414674
"3","2011_Q4",5.77873015873016,"Up",131926000,-82396000,49530000,-38013000,-38013000,11517000,-16000,15000,11501000,11501000,-4094000,7407000,7407000,7407000,7407000,-24334745.4134301,-24334745.4134301,35075875.1473245,35075875.1473245,9650544.82104708,9554250.99257063,4763387.15245834,29945925.5475121,55657293.2928365,22235814.9087801,1615000,13145000,7475814.90878008,77893108.2016165,107839033.749129,19011369.7091951,18721392.4912926,-38046060.4467994,38336037.6647118,19011369.7091951,29167514.0251276,14608387.0334784,14559126.9916492,29028958.0383567,48040327.7475518,150000.349359087,29442427.5816482,-18000888.9725476,51164730.7885024,-2957563.74538528,59798706.0015768,59798706.0015768,107839033.749129,7407000,2887000,64000,-3884000,6474000,-3349000,-3349000,165000,165000,343000,3468000,3468000,3468000,14404000,0,11265000,0.37544,0.0873,0.05615,0.0544807631473159,0.0331406486676814,1.52086,1.47692502984918,0.997910738790727,-0.000717653249120638,0.08016,0.07984,1.42765,0.643521784862288,0.12191,4.05114760320632,-0.0099042665487907,0.6746476176856,0.765739001382248
"4","2012_Q1",5.67129032258064,"Down",152110000,-97829000,54281000,-37633000,-37633000,16648000,-64000,-47000,16584000,16584000,-5497000,11087000,11087000,11087000,11087000,7372000,7372000,55912000,55912000,33353000,9896000,8403000,106533000,55337000,20940000,1615000,13145000,6180000,76277000,182810000,75603000,49257000,132000,26214000,75603000,26871000,14548000,12323000,26871000,102474000,150000,30228000,-1.8e+07,65207000,2751000,80336000,80336000,182810000,11087000,2489000,-213000,5596000,18959000,-3837000,-3837000,20000,20000,-105581000,-90459000,-90459000,-90459000,19137000,0,26393000,0.35685,0.10945,0.07289,0.13801,0.06065,2.38054,1.40911,1.27557,0,0.11991,0.1195,1.64514,0.86725,0.28545,1.09509,0.24619,-0.38522,-0.44282
"5","2012_Q2",5.07650793650794,"Down",169080000,-108006000,61074000,-40358000,-40358000,20716000,-46000,-23000,20670000,20670000,-7235000,13435000,13435000,13435000,13435000,20523000,20523000,57376000,57376000,39736000,8571000,6444000,126206000,54968000,20622000,1615000,13145000,5862000,75590000,201796000,82426000,52309000,6433000,23684000,82426000,26427000,14422000,12005000,26427000,108853000,150000,30505000,-1.8e+07,78642000,1646000,92943000,92943000,201796000,13435000,2725000,-30000,-1356000,14774000,-1794000,-1794000,58000,58000,171000,13151000,13151000,13151000,23441000,0,27526000,0.36121,0.12252,0.07946,0.14455,0.06658,2.04883,1.53114,1.17118,0,0.14527,0.14476,1.82825,1.00336,0.29764,0.11255,0.23059,-0.87552,-0.99068
"6","2012_Q3",5.14047619047619,"Up",157974000,-103871000,54103000,-36913000,-36913000,17190000,-78000,-47000,17112000,17112000,-5989000,11123000,11123000,11123000,11123000,21943000,21943000,51408000,51408000,38301000,7009000,3453000,118661000,54771000,20762000,1615000,13145000,6002000,75533000,194194000,66077000,42765000,492000,22820000,66077000,26488000,14280000,12208000,26488000,92565000,150000,30572000,-1.8e+07,89765000,-858000,101629000,101629000,194194000,11123000,2683000,-130000,-10329000,3347000,-1970000,-1970000,30000,30000,43000,1420000,1420000,1420000,19873000,7.27595761418343e-12,13563000,0.34248,0.10882,0.07041,0.10945,0.05728,1.21937,1.7958,0.91081,0,0.12019,0.11973,1.70698,1.09652,0.14655,0.08682,0.10586,-1.10416,-1.2765
"7","2012_Q4",5.51887096774194,"Up",136401000,-91166000,45235000,-33415000,-33415000,11820000,-42000,-11000,11778000,11778000,-3874000,7904000,7904000,7904000,7904000,19961000,19961000,50186000,50186000,38158000,6646000,3617000,114951000,55093000,20802000,1615000,13145000,6042000,75895000,190846000,54520000,36911000,257000,17352000,54520000,25809000,14182000,11627000,25809000,80329000,150000,30683000,-1.8e+07,97669000,15000,110517000,110517000,190846000,7904000,2555000,-19000,-10060000,380000,-2379000,-2379000,12000,12000,17000,-1982000,-1982000,-1982000,14375000,0,5810000,0.33163,0.08666,0.05795,0.07152,0.04142,0.73507,2.10842,0.72685,-2.16840434497101e-19,0.0854,0.08504,1.47381,1.19251,0.06278,0.05798,0.04262,-1.38859,-1.68875
"8","2013_Q1",5.675,"Up",165431000,-112586000,52845000,-35483000,-35483000,17362000,-26000,-3999.99999999999,17336000,17336000,-5805000,11531000,11531000,11531000,11531000,35626000,35626000,61591000,61591000,40862000,7975000,4425000,146054000,56729000,20205000,1615000,13145000,5445000,76934000,222988000,76236000,54875000,82000,21279000,76236000,25116000,14214000,10902000,25116000,101352000,150000,30928000,-1.8e+07,109200000,-642000,121636000,121636000,222988000,11531000,2688000,-1000,4977000,19195000,-3709000,-3709000,15000,15000,179000,15665000,15665000,15665000,20050000,0,27123000,0.31944,0.10495,0.0697,0.0948,0.05171,2.35218,1.91581,0.83324,0,0.12458,0.12407,1.78732,1.31254,0.29304,0.07857,0.18482,-1.77686,-2.05195
"9","2013_Q2",6.39546875,"Up",182849000,-124556000,58293000,-36253000,-36253000,22040000,-68000,-36000,21972000,21972000,-7580000,14392000,14392000,14392000,14392000,46605000,46605000,65112000,65112000,44068000,8357000,4266000,164142000,55796000,20407000,1615000,13145000,5647000,76203000,240345000,79795000,52622000,6890000,20283000,79795000,25286000,14054000,11232000,25286000,105081000,150000,31042000,-1.8e+07,123592000,-1520000,135264000,135264000,240345000,14392000,2953000,-74000,-4932000,12339000,-1388000,-1388000,24000,24000,28000,10979000,10979000,10979000,24993000,0,26253000,0.3188,0.12054,0.07871,0.1064,0.05988,1.82414,2.05705,0.77686,0,0.15545,0.15486,1.975,1.4594,0.28356,0.08964,0.16352,-1.86472,-2.11456
"10","2013_Q3",7.1359375,"Up",166568000,-111977000,54591000,-36127000,-36127000,18464000,-117000,-86000,18347000,18347000,-6330000,12017000,12017000,12017000,12017000,48706000,48706000,56619000,56619000,42930000,7947000,4174000,156202000,55211000,20629000,1615000,13145000,5869000,75840000,232042000,58734000,39755000,750000,18229000,58734000,25336000,13903000,11433000,25336000,84070000,150000,31235000,-1.8e+07,135609000,-1022000,147972000,147972000,232042000,12017000,2806000,-43000,-10974000,3806000,-1828000,-1828000,-24000,-24000,123000,2101000,2101000,2101000,21270000,3.72529029846191e-09,14798000,0.32774,0.11085,0.07214,0.08121,0.05179,1.23142,2.65948,0.56815,0,0.12977,0.12925,1.79875,1.59632,0.1598,0.06934,0.08539,-2.28989,-2.63789
