"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",51.5846031746032,"Down",232191000,-52253000,179938000,-149046000,-99402000,-49644000,30892000,-10255000,-10809000,554000,20637000,20637000,-7900000,12737000,12737000,12737000,12737000,4513000,4513000,105060000,105060000,237502000,230550000,377173000,3680325000,5338591000,-1658266000,636181000,157953000,478228000,4316506000,4693679000,135984000,70562000,65422000,41007000,81841000,81841000,258832000,1192248000,1380255000,1011691000,77334000,2572503000,2831335000,1749491000,137221000,-4054000,1862344000,1862344000,4693679000,12737000,36241000,13351000,-48109000,14220000,-86576000,-86576000,-18285000,4.1e+07,0,-103000,22612000,-49744000,-49744000,-49744000,67133000,1233255000,-59652000,0.77496,0.13305,0.05486,0.00684,0.00271,-4.68336,1.45721,1.52031,0.26275,0.24283,0.24058,4.42665,35.505,-1.13725,0.3486,0.00693,-0.01333,1.43558,18.3031,39.77541
"12","2017_Q1",55.3753225806452,"Up",440753000,-197358000,243395000,-164862000,-114490000,-50372000,78533000,-11497000,-11235000,-262000,67036000,67036000,-24722000,42314000,42314000,42314000,42314000,14663000,14663000,290944000,290944000,229232000,229232000,568923000,3731620000,5404168000,-1672548000,642248000,157953000,484295000,4373868000,4942791000,216344000,131988000,84356000,1.45e+08,82589000,82589000,443933000,1192446000,1418132000,1038568000,76057000,2610578000,3054511000,1750100000,161021000,-4715000,1888280000,1888280000,4942791000,42314000,37339000,18086000,-106607000,-8868000,-77243000,-77735000,-18286000,1.04e+08,2034000,9005000,96753000,10150000,10150000,10150000,115872000,1337446000,-43256000,0.55223,0.17818,0.096,0.02241,0.00856,-1.02226,1.28155,1.61762,0.27059,0.80669,0.79887,8.40266,35.99878,-0.82465,0.34861,0.01305,-0.00931,0.43215,11.4159,16.84366
"13","2017_Q2",59.988253968254,"Up",550408000,-263154000,287254000,-157809000,-105044000,-52765000,129445000,-14888000,-11481000,-3407000,114557000,114557000,-38101000,76456000,76456000,76456000,76456000,13206000,13206000,249155000,249155000,184483000,184483000,481132000,3773888000,5468277000,-1694389000,634854000,157953000,476901000,4408742000,4889874000,133714000,76142000,57572000,85400000,88829000,88829000,307943000,1192647000,1444706000,1065096000,79075000,2637353000,2945296000,1732861000,226195000,-4586000,1944578000,1944578000,4889874000,76456000,37019000,31776000,16985000,162236000,-70471000,-70410000,-22034000,-59600000,-2469000,-9180000,-93283000,-1457000,-1457000,-1457000,166464000,1278047000,151079000,0.52189,0.23518,0.13891,0.03932,0.01564,1.97603,1.56241,1.51462,0.26137,1.4542,1.44104,10.46881,36.98604,2.87354,0.41909,0.0211,0.03237,0.28819,7.59829,9.77126
"14","2017_Q3",63.4596825396825,"Up",279689000,-82572000,197117000,-148752000,-96928000,-51824000,48365000,-15205000,-11305000,-3900000,33160000,33160000,-12537000,20623000,20623000,20623000,20623000,5113000,5113000,152278000,152278000,217312000,217312000,411579000,3834793000,5545302000,-1710509000,626758000,157953000,468805000,4461551000,4873130000,129180000,60458000,68722000,7.9e+07,84505000,84505000,292685000,1192848000,1454301000,1077992000,79428000,2647149000,2939834000,1734609000,224570000,-4457000,1933296000,1933296000,4873130000,20623000,37851000,4147000,54414000,117035000,-84195000,-83779000,-22008000,-6400000,-12835000,-106000,-41349000,-8093000,-8093000,-8093000,86216000,1271848000,68972000,0.70477,0.17292,0.07374,0.01067,0.00423,3.34442,1.40622,1.52063,0.26099,0.39242,0.38934,5.32204,36.78755,1.31243,0.41878,0.00915,0.0148,1.06716,14.69257,26.19115
"15","2017_Q4",65.9420634920635,"Up",247142000,-58769000,188373000,-143280000,-91058000,-52222000,45093000,-15210000,-11495000,-3715000,29883000,29883000,-11086000,18797000,18797000,18797000,18797000,6872000,6872000,127689000,127689000,272203000,272203000,445553000,3912279000,5643136000,-1730857000,613231000,157953000,455278000,4525510000,4971063000,139119000,68184000,70935000,1.74e+08,79109000,79109000,392228000,1193052000,1453791000,1089061000,81826000,2646843000,3039071000,1736164000,221185000,-4329000,1931992000,1931992000,4971063000,18797000,38423000,-1084000,-33003000,23133000,-94391000,-94251000,-21954000,9.5e+07,0,-169000,72877000,1759000,1759000,1759000,83516000,1367052000,-32792000,0.76221,0.18246,0.07606,0.00973,0.00378,-1.74453,1.13595,1.57302,0.275,0.35812,0.35516,4.70854,36.80826,-0.62475,0.41827,0.00857,-0.0069,1.16795,16.28646,30.16388
"16","2018_Q1",58.8491803278689,"Down",462394000,-210006000,252388000,-158563000,-106260000,-52303000,93825000,-15287000,-11784000,-3503000,78538000,78538000,-31419000,47119000,47119000,47119000,47119000,14413000,14413000,298768000,298768000,236141000,236141000,588994000,4007585000,5713912000,-1706327000,610299000,157953000,452346000,4617884000,5206878000,233839000,143681000,90158000,357215000,82276000,82276000,673330000,1193257000,1380082000,599945000,607199000,2573339000,3246669000,1738077000,246121000,-5493000,1960209000,1960209000,5206878000,47119000,38596000,21377000,-155696000,-48604000,-106686000,-107303000,-21955000,183215000,2249000,-61000,163448000,7541000,7541000,7541000,132421000,1550472000,-98542000,0.54583,0.20291,0.1019,0.02404,0.00905,-2.09134,0.87475,1.65629,0.29777,0.89766,0.88963,8.80901,37.34372,-1.87731,0.41826,0.01412,-0.02015,0.46595,11.59981,16.37153
"17","2018_Q2",62.66640625,"Up",638464000,-350419000,288045000,-157755000,-102665000,-55090000,130290000,-14516000,-12352000,-2164000,115774000,115774000,-24939000,90835000,90835000,90835000,90835000,44536000,44536000,303493000,303493000,118605000,118605000,501696000,4056320000,5782919000,-1726599000,601077000,157953000,443124000,4657397000,5159093000,145539000,77566000,67973000,582615000,116552000,116552000,844706000,893463000,1399976000,625724000,607641000,2293439000,3138145000,1722227000,312595000,-5573000,2020948000,2020948000,5159093000,90835000,38890000,21308000,72251000,223284000,-86599000,-86599000,-24137000,-74608000,0,-7817000,-106562000,30123000,30123000,30123000,169180000,1476078000,179771000,0.45115,0.20407,0.14227,0.04495,0.01761,1.97909,0.59393,1.55281,0.28611,1.72677,1.71721,12.13718,38.41814,3.41744,0.45884,0.02348,0.03671,0.26572,8.46165,10.98735
"18","2018_Q3",69.4103174603175,"Up",292521000,-94159000,198362000,-157319000,-102995000,-54324000,41043000,-14197000,-12003000,-2194000,26846000,26846000,-6427000,20419000,20419000,20419000,20419000,12580000,12580000,163967000,163967000,138038000,138038000,350709000,4125690000,5870814000,-1745124000,591520000,157953000,433567000,4717210000,5067919000,145112000,70429000,74683000,485008000,119218000,119218000,749338000,893671000,1402566000,628532000,613652000,2296237000,3045575000,1724321000,308652000,-5370000,2022344000,2022344000,5067919000,20419000,39757000,-8385000,124882000,176673000,-89235000,-89235000,-24135000,-97607000,2390000,-42000,-119394000,-31956000,-31956000,-31956000,80800000,1378679000,122874000,0.67811,0.14031,0.0698,0.0101,0.00403,6.01763,0.46803,1.50596,0.27204,0.38752,0.386,5.55153,38.38048,2.33193,0.45804,0.00928,0.02558,1.18199,16.90717,33.28458
"19","2018_Q4",73.5322222222222,"Up",238280000,-51256000,187024000,-150783000,-96443000,-54340000,36241000,-14294000,-12365000,-1929000,21947000,21947000,-5671000,16276000,16276000,16276000,16276000,12430000,12430000,132436000,132436000,189282000,189282000,374511000,4195906000,5964287000,-1768381000,582540000,157953000,424587000,4778446000,5152957000,148927000,68332000,80595000,576008000,111092000,111092000,836027000,893880000,1406426000,634650000,616333000,2300306000,3136333000,1725887000,300547000,-5167000,2016624000,2016624000,5152957000,16276000,40344000,-2528000,-17281000,36811000,-103512000,-103512000,-24160000,9.1e+07,0,-289000,66551000,-150000,-150000,-150000,76585000,1469888000,-38537000,0.78489,0.15209,0.06831,0.00807,0.00316,-2.36772,0.44797,1.55524,0.28525,0.30863,0.30645,4.51836,38.23999,-0.73075,0.45813,0.00826,-0.00788,1.48439,19.03059,40.21572
"20","2019_Q1",75.3281967213115,"Up",464466000,-218802000,245664000,-164809000,-109599000,104876000,80855000,-19657000,-14585000,-5072000,61198000,61198000,-16494000,44704000,44704000,44704000,44704000,21323000,21323000,295421000,295421000,182210000,182210000,543287000,4283712000,6073143000,-1789431000,641643000,157953000,483690000,4925355000,5468642000,271368000,174510000,96858000,299500000,128023000,128023000,698891000,1285483000,1441612000,652426000,610466000,2727095000,3425986000,1728018000,320869000,-4086000,2042656000,2042656000,5468642000,44704000,41095000,6693000,-61566000,30926000,-115104000,-115104000,-24162000,119148000,2413000,-4328000,93071000,8893000,8893000,8893000,121950000,1584983000,-38226000,0.52892,0.17408,0.09625,0.02189,0.00817,-0.855089999999999,0.77736,1.67722,0.28983,0.84763,0.84017,8.80671,38.73068,-0.7248,0.45813,0.01359,-0.00754,0.54049,12.82214,19.33906
