"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",1900.72435483871,"Up",35115000,-38741917,-8496987,-310761,-9541586,-20392583,8413858,-1440822,-1330546,-110276,6973036,-7440663,-467627,-181831,-176836,-176836,-176836,2089674,2089674,3324368,26712963,1868016,23547544,32127005,628124907,656170079,-28045172,4097100,3418626,632222007,664349012,27068326,27068326,11462616,6185983,38530942,91236554,11632921,97836554,136367496,515452061,12529455,527981516,527981516,664349012,-176836,10424529,14367855,-1321740,23293808,-5773942,-45301060,-51075002,-660021,29718299,1937105,1937105,1937105,18838387,6600000,0.23961,-0.00504,-0.00033,-0.00027,0.8338,0.25828,0.00993,-0.63509,-0.63509,126.1116,1896.1867,-0.00028,0.23942,0.53606
"2","2012_Q2",2029.55857142857,"Up",47830431,-21751693,-5964718,-1190123,-11001043,-3595809,18971407,-599243,-561516,-37727,18372164,-4586970,13785194,8477894,8546153,8546153,8546153,1151854.76837742,1151854.76837742,2605286,40950048,1974266,38090292,43555334,677924533,720947017,-43022484,3596162,3259565,681520695,725076029,51556907,51556907,15318201,7963125,66875108,99402688,14449024,121002688,187877796,516122625,21075608,537198233,537198233,725076029,8546153,11827980,9684920,-12373759,17685294,-7136143,-27603767,-34739910,-35058,14964942,-2089674,-2089674,-2089674,30799387,21600000,0.39664,0.17868,0.01591,0.01179,0.65129,0.34974,0.02979,24.05346,24.05346,134.62051,1511.96417,0.01298,-0.328155929771189,-2.98058541421983
"3","2012_Q3",2149.94666666667,"Up",51455094,-24928831,-7110385,-2014531,-13034490,-2769425,19571866,-616966,-654693,37727,18954900,15506263,34461163,21193553,21506103,21506103,21506103,2605378,2605378,2609464,45628919,1899507,36359468,50843761,753785550,805402985,-51617435,5421175,3345531,759206725,810050486,64431194,64431194,11021716,8485093,75452910,112497466,14080531,175097466,250550376,516918399,42581711,559500110,559500110,810050486,21506103,13786543,642201,2769305,38704152,-1397284,-75109352,-76506636,-592138,40407862,2605378,2605378,2605378,33358409,62600000,0.38037,0.41796,0.03844,0.02655,0.67385,0.44781,0.07728,60.5352,60.5352,144.83537,1574.8762,0.02928,1.79849,3.06535
"4","2012_Q4",2676.11806451613,"Up",58327823,-36432111,-9335266,-6359222,-17715763,-3021860,13451309,-1125634,-1125634,-115335.720692075,12325675,-9458986,2866689.00000001,1644239.00000001,3420887,3420887,3420887,4845583,4845583,2014418,45830202,1515475,41600508,52690203,868952440,937972208,-69019768,3895162,3344385,872847602,925537805,62993900,62993900,27072735,21733729,90066635,148806565,48646058,271106565,361173200,518362007,46002598,564364605,564364605,925537805,3420887,18286251,15673264,-1122030,36258372,-13276196,-80391739,-93667935,-50232,59649768,2240205,2240205,2240205,31737560,122300000,0.23062,0.05865,0.00606,0.0037,0.58501,0.63996,0.13214,9.62839999999999,9.6284,164.16904,1588.45627,0.00409,3.7008,8.73182
"5","2013_Q1",3744.50566666667,"Up",73591652,-69578365,-8994631,-1151124,-24450704,-34981906,26519418,-1923157,-1791157,-132000,24596261,-1147307,23448954,13255314,13049857,13049857,13049857,4267667,4267667,1740934,49294935,3031815,44085056,55303536,943756560,1033426285,-89669725,3429711,3429711,947186271,1002489807,72850272,72850272,29752734,24552532,102603006,163369297,52992691,321369297,423972303,519465472,59052032,578517504,578517504,1002489807,13049857,24544226,15793615,11600484,64988182,-1668377,-98694142,-100362519,-903572,34796428,-577909,-577909,-577909,51063644,1.58e+08,0.36036,0.17733,0.02256,0.01302,0.53901,0.73286,0.15761,38.38008,38.38008,216.43559,1701.43996,0.0145,3.0106,5.79697
"6","2013_Q2",4008.621875,"Up",78307000,-53034000,-13166000,-562000,-23363000,-15943000,25273000,-1826000,-1963000,137000,23447000,-5116000,18331000,11273000,11256000,11256000,11256000,3170403,3170403,3956611,54644244,2950855,50997194,61771258,983181779,1099148327,-115966548,3797249,3262256,986979028,1048750286,62292672,62292672,31648573,23503009,93941245,172065805,54641455,363565805,457507050,520935388,70307848,591243236,591243236,1048750286,11256000,23467000,16951000,-11875000,39799000,-5595000,-65841000,-71436000,-2960000.00000001,30540000,-1097000,-1097000,-1097000,48740000,191500000,0.32274,0.14374,0.01904,0.01073,0.65755,0.77381,0.1826,31.86108,31.83556,221.65473,1673.56506,0.01179,3.86396,7.45181
"7","2013_Q3",4547.51421875,"Up",84518000,-37884000,-13283000,-862000,-29517000,5778000,22605000,-5957000,-5870000,-87000,16648000,7563000,24211000,14883000,14715000,14715000,14715000,46084655,46084655,7482039,57248194,2397342,53428580,110814888,1070992916,1215907720,-144914804,13284832,10001336,1084277748,1195092636,76370016,76370016,29150814,25655277,105520830,181147728,54500935,481147728,586668558,523401322,85022756,608424078,608424078,1195092636,14715000,29618000,4981000,1715000,51029000,-9370000,-99762000,-109132000,292517000,101017000,42914000,42914000,42914000,52223000,3e+08,0.26746,0.1741,0.02419,0.01231,1.05017,0.96424,0.25103,41.56483,41.53009,238.73437,1718.58941,0.01351,4.86214,11.23271
"8","2013_Q4",5280.78578125,"Up",125973000,-60747000,-13811000,-2100000,-36750000,-8086000,52269000,-6233000,-6180000,-53000,46036000,-16890000,29146000,17925000,17781000,17781000,17781000,17368896,17368896,5389949,79091549,2305269,76165834,101850394,1187788830,1368736731,-180947901,10132599,9651725,1197921429,1299771823,96917401,96917401,48905499,39292242,145822900,186966907,49188695,525466907,671289807,525677839,102804177,628482016,628482016,1299771823,17781000,36812000,33008000,12693000,100294000,-4158000,-162870000,-167028000,-482000,38018000,-28716000,-28716000,-28716000,89081000,338500000,0.41492,0.14115,0.02829,0.01368,0.69845,1.06811,0.26043,50.20101,50.15306,355.65897,1774.39028,0.01541,3.60493,6.14382
"9","2014_Q1",4932.29967213115,"Down",133062000,-123200000,-15242000,-689000,-50546000,-56723000,46848000,-7999000,-7959000,-40000,38849000,1971000,40820000,25501000,25432000,25432000,25432000,180582000,180582000,10696000,72896000,1638000,70400000,264174000,1267609000,1492457000,-224848000,14152000,13859000,1281761000,1545935000,121665000,121665000,53561000,48241000,175226000,205834000,53153000,714681000,889907000,527792000,128236000,656028000,656028000,1545935000,25432000,50650000,16577000,23234000,115893000,-5014000,-112613000,-117627000,203447000,164947000,163213000,163213000,163213000,97498000,508847000,0.35208,0.19113,0.03877,0.01645,1.50762,1.35651,0.32915,71.71391,71.41682,375.21217,1849.88718,0.01855,3.36689,7.00702
"10","2014_Q2",5573.0273015873,"Up",127395000,-93760000,-23714000,-1083000,-41132000,-27831000,33635000,-9284000,-9335000,51000,24351000,-8778000,15573000,9577000,13531000,13531000,13531000,131343000,131343000,8597000,87541000,4274000,83122000,227481000,1379200000,1643666000,-264466000,13463000,13463000,1392663000,1620144000,168161000,168161000,52301000,41230000,220462000,219247000,58095000,727787000,948249000,530128000,141767000,671895000,671895000,1620144000,13531000,41199000,17977000,4977000,77684000,3766000,-126062000,-122296000,-4627000,-4627000,-49239000,-49239000,-49239000,74834000,508540000,0.26402,0.10621,0.02014,0.00835,1.03184,1.41131,0.31389,37.9609,37.81134,357.40362,1884.98532,0.00967,5.04045,11.21442
