"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",9.80396825396825,"Down",57539000,-38256000,19283000,-17206000,-17206000,2077000,183000,183000,2260000,2260000,-993000,1267000,1267000,1267000,1267000,-47637532.0306959,-55056280.7332097,180401290.093108,180401290.093108,233201211.022049,34936335.5386247,27104946.769061,400901304.623086,156963357.640794,379492066.559561,257178535.504569,36337072.7312894,6951760.02237087,536455424.200355,937356728.823441,113269672.672866,125504987.172054,-12235314.4991876,232825685.04966,346095357.722526,219568591.511703,82639913.9672867,76964346.5973609,302208505.47899,648303863.201516,59412196.1880166,67042647.0377557,162598022.396153,289052865.621925,289052865.621925,937356728.823441,1267000,2741000,-218000,-2907000,883000,-1035000,215000,739000,73000,73000,411000,1509000,1509000,976000,2485000,4818000,0,1869000,0.33513,0.0361,0.02202,-0.219651357489652,-0.159001400054756,1.47514,-24.2738808492994,4.06505795552017,1.79763153445483,0.18956,0.18913,8.60847,43.4982332242145,0.27962,-0.186504924119466,0.774466496861379,130.190122951428,295.75363125732
"2","2011_Q3",8.9671875,"Down",57290000,-38001000,19289000,-16184000,-16184000,3105000,354000,354000,3459000,3459000,-1765000,1694000,1694000,1694000,1694000,1386233.98465204,-5662140.36660484,107450145.046554,107450145.046554,132023105.511025,21503667.7693123,14627973.3845305,262363152.311543,102702178.820397,177801533.27978,109706267.752284,28355536.3656447,6043380.01118544,280503712.100178,542866864.411721,69318336.3364329,69305993.5860268,12342.750406174,100464842.52483,169783178.861263,96537295.7558517,58321956.9836434,54328173.2986804,154859252.739495,324642431.600758,58572598.0940083,81700823.5188779,77951011.1980764,218224432.810963,218224432.810963,542866864.411721,1694000,2542000,770000,-5630000,-624000,-1398000,-1998000,1728000,66000,66000,1259000,-1363000,-1363000,25000.0000000002,-1338000,5647000,9.31322574615479e-10,384000,0.33669,0.0542,0.02957,-0.0957156787448262,-0.0687407000273782,0.22668,-7.94527542464969,2.02860897776009,0.781190767227414,0.25318,0.25231,8.56225,32.7391766121072,0.05739,-0.0785874620597331,0.43111824843069,53.5808714757138,125.09586062866
"3","2011_Q4",9.62349206349206,"Up",58763000,-39210000,19553000,-17868000,-17868000,1685000,-44000,-44000,1641000,2991000,-672000,2319000,2319000,2319000,2319000,23745411.3282173,17041286.544465,65149715.015518,65149715.015518,78266701.8370082,14268222.5897708,7946991.12817683,181430050.770514,71056726.2734657,68814177.7599268,30397755.9174281,23585845.4552149,5537126.67039515,139870904.033393,321300954.803907,42631445.4454776,36857331.1953423,5774114.25013539,32021614.1749433,74653059.620421,28141765.2519506,43445652.3278811,40325724.4328935,71587417.5798317,146240477.200253,58194866.0313361,91156607.839626,25709003.7326921,175060477.603654,175060477.603654,321300954.803907,2319000,2663000,-1451000,-5626000,-2095000,1644000,1294000,915000,57000,57000,436000,-365000,-365000,574000,209000,4348000,0,1038000,0.33274,0.02867,0.03946,-0.0229685595816087,-0.0164769000091261,0.44761,0.662978191783436,0.918332992586695,0.239366922409138,0.34622,0.34488,8.77322,26.1596588707024,0.15497,-0.0163224873532444,0.196599416143563,12.5925771585713,32.1276402095534
"4","2012_Q1",10.7656451612903,"Up",71249000,-47574000,23675000,-19492000,-19492000,4183000,346000,346000,4529000,4529000,-2964000,1565000,1565000,1565000,1565000,27993000,21572000,45567000,45567000,58789000,11594000,5494000,143943000,56265000,26971000,231000,21407000,5333000,83236000,227179000,29159000,22030000,7129000,8238000,37397000,721000,36400000,33594000,37121000,74518000,58145000,96477000,-1961000,152661000,152661000,227179000,1565000,2477000,-644000,3627000,7025000,-2721000,-9652000,2138000,293000,294000,1754000,-873000,-873000,611000,-262000,6660000,8959000,10530000,0.33229,0.05871,0.02197,0.01025,0.00689,6.72843,3.84905,0.48813,0.03944,0.23292,0.23251,10.60411,22.72079,1.5672,0.01132,0.05318,-2.85796,-4.55032
"5","2012_Q2",9.9631746031746,"Down",63384000,-41794000,21590000,-19663000,-19663000,1927000,1824000,1824000,3751000,3751000,-1502000,2249000,2249000,2249000,2249000,22682000,16448000,40769000,40769000,60447000,11845000,5701000,135743000,52565000,26713000,184000,21198000,5331000,79278000,215021000,24851000,18695000,6156000,9856000,34707000,614000,35574000,32770000,36188000,70895000,58289000,98729000,-12892000,144126000,144126000,215021000,2249000,2352000,-73000,-7340000,-2812000,-1649000,-1649000,1561000,106000,106000,993000,-3468000,-3468000,-1656000,-5124000,4279000,10470000,-3208000,0.34062,0.0304,0.03548,0.0156,0.01046,-1.42641,3.91111,0.4919,0.04869,0.33368,0.33294,9.40415,21.38368,-0.47596,0.01537,-0.01687,-2.85394,-6.33731
"6","2012_Q3",9.95873015873016,"Down",62219000,-40112000,22107000,-18907000,-18907000,3200000,34000,34000,3234000,3234000,-1519000,1715000,1715000,1715000,1715000,17421000,11204000,41590000,41590000,70075000,13038000,6839000,142124000,54091000,38970000,9439000,21190000,5391000,93061000,235185000,25259000,20168000,5091000,14326000,39585000,14745000,35819000,32968000,50564000,90149000,58483000,99768000,-13215000,145036000,145036000,235185000,1715000,2298000,-104000,-8277000,-4368000,-4039000,-19226000,18603000,151000,151000,18078000,-5516000,-5516000,272000,-5244000,5498000,29071000,-5299000,0.35531,0.05143,0.02756,0.01182,0.00729,-3.0898,3.59035,0.62156,0.12361,0.25392,0.2534,9.21217,21.47409,-0.78457,0.01139,-0.02524,2.11895,3.64062
"7","2012_Q4",9.12241935483871,"Down",64540000,-43085000,21455000,-18674000,-18674000,2781000,-550000,-550000,2231000,2231000,-661000,1570000,1570000,1570000,1570000,20763000,14358000,40097000,40097000,74530000,13537000,7340000,148927000,55081000,38183000,8974000,20762000,5413000,93264000,242191000,26333000,20320000,6013000,2390000,28723000,29453000,35524000,32825000,64977000,93700000,58593000,100661000,-10763000,148491000,148491000,242191000,1570000,2822000,314000,-1330000,3376000,-2703000,-2586000,2783000,70000,70000,2176000,2966000,2966000,188000,3154000,5603000,31843000,2231000,0.33243,0.04309,0.02433,0.01057,0.00648,1.42102,5.18494,0.63101,0.13148,0.23211,0.23092,9.54169,21.95313,0.32983,0.01041,0.01034,1.97751,3.98418
"8","2013_Q1",9.03316666666667,"Down",70005000,-57082000,12923000,-22681000,-22681000,-9758000,653000,653000,-9105000,-9105000,4459000,-4646000,-4646000,-4646000,-4646000,23784000,17502000,42167000,42167000,69895000,15384000,7764000,151230000,53597000,47339000,8755000,29842000,5708000,100936000,252166000,28211000,20912000,7299000,1800000,30011000,29387000,64930000,62400000,94317000,124328000,58711000,94661000,-25534000,127838000,127838000,252166000,-4646000,2626000,-5270000,14653000,7363000,-2409000,-2409000,-587999.999999998,33000,33000,-1232000,3722000,3722000,-578000,3144000,-7132000,31187000,653000.000000001,0.1846,-0.13939,-0.06637,-0.03634,-0.01842,-0.14055,5.03915,0.97254,0.12368,-0.68626,-0.67785,10.34047,18.88301,0.0964500000000001,-0.01772,0.00292,-1.038,-0.75866
"9","2013_Q2",8.740625,"Down",56937000,-39248000,17689000,-18571000,-18571000,-882000,144000,144000,-738000,-738000,387000,-351000,-351000,-351000,-351000,23726000,17261000,34153000,34153000,74413000,14693000,7374000,146985000,53493000,47353000,8647000,29914000,5758000,100846000,247831000,24149000,18393000,5756000,1642000,25791000,28995000,65371000,62566000,94366000,120157000,58953000,93631000,-24910000,127674000,127674000,247831000,-351000,2534000,444000,340000,2967000,-2304000,-2304000,-547000,201000,201000,-1025000,-362000,-362000,121000,-241000,1652000,30637000,-699000,0.31068,-0.01549,-0.00616,-0.00275,-0.00142,1.99145,5.69908,0.94112,0.12362,-0.05175,-0.05175,8.39407,18.82264,-0.10305,0.00147,-0.00312,4.18341,-7.8356
"10","2013_Q3",9.0728125,"Up",59829000,-41076000,18753000,-17899000,-17899000,854000,267000,267000,1121000,1121000,-645000,476000,476000,476000,476000,22701000,14577000,33674000,33674000,72205000,15659000,8190000,144239000,53167000,47542000,8666000,29926000,5916000,100709000,244948000,20207000,16161000,4046000,1619000,21826000,29913000,65856000,62974000,95769000,117595000,59015000,93427000,-25089000,127353000,127353000,244948000,476000,2430000,-172999.999999999,-1794000,939000,-2215000,-3852000,897000,7000,69000,224000,-2689000,-2689000,5000,-2684000,3284000,31532000,-80000,0.31344,0.01427,0.00796,0.00374,0.00194,-0.168070000000001,6.60859,0.92338,0.12873,0.07007,0.06963,8.80745,18.74768,-0.01178,0.00514,-0.00036,2.6891,10.34075
