"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",7.6809375,"Down",75015000,-69770000,5245000,-18350000,-8917000,-9433000,-13105000,-71000,-93000,22000,-13176000,-13176000,3000,-13173000,-13173000,-13173000,-13173000,104040000,104040000,29812000,29812000,67093000,7791000,5080000,208736000,142943000,12399000,10574000,957000,155342000,364078000,54289000,36154000,3011000,15124000,4545000,474000,59308000,14884000,6399000,5011000,1388000,21283000,80591000,166355000,-2054000,118207000,979000,283487000,283487000,364078000,-13173000,7517000,3752000,15489000,13585000,-1515000,-1355000,-247000,204000,204000,-43000,12187000,12187000,-11000,12176000,-5588000,19429000,8383000,0.06992,-0.1747,-0.1756,-0.04647,-0.03618,-0.63638,3.51953,0.28428,0.05336,-0.51726,-0.51726,2.94558,11.13154,0.32917,-0.04259,0.0271,15.14155,6.45639
"12","2014_Q1",7.39950819672131,"Down",77212000,-63999000,13213000,-16095000,-8937000,-7158000,-2882000,-73000,-90000,17000,-2955000,-2955000,-1107000,-4062000,-4062000,-4062000,-4062000,92406000,92406000,38298000,38298000,68339000,6812000,3782000,205855000,138111000,12355000,10823000,767000,150466000,356321000,47781000,31738000,1472000,14571000,5088000,622000,53491000,13766000,7613000,6305000,1308000,21379000,74870000,168403000,-2054000,114145000,957000,281451000,281451000,356321000,-4062000,7059000,1663000,-12906000,-8246000,-3264000,-3267000,-950000,834000,834000,-116000,-11629000,-11629000,-5000,-11634000,4177000,18854000,-10886000,0.17113,-0.03733,-0.05261,-0.01443,-0.0114,2.67996,3.8484,0.26601,0.05291,-0.1587,-0.16967,3.01668,10.99633,-0.42532,-0.01319,-0.03535,-17.60881,25.52117
"13","2014_Q2",7.92396825396825,"Up",84121000,-66970000,17151000,-15787000,-8940000,-6847000,1364000,-55000,-79000,24000,1309000,1309000,-1002000,307000,307000,307000,307000,95995000,95995000,40949000,40949000,68422000,5885000,4287000,211251000,132978000,12190000,10685000,844000,145168000,356419000,49522000,32789000,1215000,15518000,4041000,625000,54188000,13052000,6187000,4919000,1268000,19239000,73427000,169583000,-2050000,114448000,1011000,282992000,282992000,356419000,307000,7030000,1150000,-1747000,6740000,-1384000,-1426000,-1762000,23000,23000,-1739000,3575000,3575000,14000,3589000,8394000,17093000,6265000,0.20388,0.01621,0.00365,0.00108,0.000859999999999996,20.40717,3.89848,0.25947,0.04796,0.01195,0.01167,3.27523,11.01822,0.24393,0.00100000000000001,0.02046,-9.39981,-57.84604
"14","2014_Q3",9.47125,"Up",76265000,-62646000,13619000,-12281000,-7309000,-4972000,1338000,-55000,-69000,14000,1283000,1283000,-1123000,160000,160000,160000,160000,102533000,102533000,39002000,39002000,62767000,5773000,3582000,210075000,127508000,12592000,10766000,1261000,140100000,350175000,42657000,25779000,1506000,15372000,3802000,611000,47070000,12243000,6812000,5585000,1227000,19055000,66125000,170486000,-2013000,114571000,1006000,284050000,284050000,350175000,160000,6918000,178000,1045000,8301000,-1654000,-1614000,-1048000,907000,907000,-141000,6546000,6546000,-8000.00000000001,6538000,8256000,16045000,8770000,0.17857,0.01754,0.0021,0.00056,0.00046,54.8125,4.46303,0.23279,0.04582,0.00619000000000001,0.00605,2.95075,10.9901,0.33932,0.00052,0.02858,-10.47578,-64.63976
"15","2014_Q4",8.9415625,"Down",75405000,-63095000,12310000,-15233000,-9256000,-5977000,-2923000,-10000,-62000,52000,-2933000,-2933000,-361000,-3294000,-3294000,-3294000,-3294000,110634000,110634000,37151000,37151000,59802000,5640000,3939000,213227000,123686000,12851000,10751000,1618000,136537000,349764000,46515000,27949000,1656000,16910000,3560000,629000,50704000,11512000,5734000,4547000,1187000,17246000,67950000,171577000,-1973000,111235000,975000,281814000,281814000,349764000,-3294000,6912000,1316000,6986000,11920000,-3180000,-3177000,-974000,349000,349000,-625000,8118000,8118000,-17000,8101000,3989000,15072000,8156000,0.16325,-0.03876,-0.04368,-0.01169,-0.00942,-2.47602,4.20533,0.24112,0.04309,-0.12637,-0.12637,2.89274,10.81114,0.31289,-0.01088,0.02695,-23.95638,32.69312
"16","2015_Q1",8.91213114754098,"Down",82330000,-66339000,15991000,-15662000,-9049000,-6613000,329000,-323000,-56000,-267000,6000,6000,-283000,-277000,-277000,-277000,-277000,117788000,117788000,36535000,36535000,66560000,6896000,4054000,227779000,123254000,13315000,10854000,1963000,136569000,364348000,58069000,38760000,1933000,17376000,14882000,665000,73616000,1005000,6692000,5549000,1143000,7697000,81313000,174137000,-2889000,110754000,1033000,283035000,283035000,364348000,-277000,7016000,782000,3478000,10999000,-2933000,-2974000,-1054000,478000,1396000,-892000,7133000,7133000,21000,7154000,7345000,15887000,8173000,0.19423,0.004,-0.00336,-0.00098,-0.00076,-29.50542,3.09415,0.28729,0.0436,-0.01057,-0.01109,3.14105,10.79833,0.31182,-0.00091,0.02674,-13.87352,-309.72948
"17","2015_Q2",8.58190476190476,"Down",88217000,-70057000,18160000,-16400000,-9604000,-6796000,1760000,-25000,-73000,48000,1735000,1735000,-1171000,564000,564000,564000,564000,117834000,117834000,35066000,35066000,68410000,5662000,4239000,226972000,120899000,13549000,10931000,2283000,134448000,361420000,60148000,40487000,2384000,17277000,8908000,745000,69801000,779000,5382000,4283000,1099000,6161000,75962000,176044000,-2889000,111318000,985000,285458000,285458000,361420000,564000,7046000,1178000,-1159000,7629000,-2345000,-2467000,-5951000,858000,858000,-5093000,69000,69000,-23000,46000,8806000,9687000,6473000,0.20586,0.01995,0.00639,0.00198,0.00156,11.47695,3.2517,0.26611,0.0268,0.02138,0.02089,3.34345,10.81895,0.24533,0.00188,0.02154,-12.28106,-61.44716
"18","2015_Q3",7.88796875,"Down",81328000,-66086000,15242000,-15565000,-9135000,-6430000,-323000,-17000.0000000001,-43000,26000,-340000,-340000,-957000,-1297000,-1297000,-1297000,-1297000,120647000,120647000,26704000,26704000,69982000,6806000,3900000,224139000,118600000,13008000,10950000,1771000,131608000,355747000,53679000,33731000,1389000,18559000,8109000,654000,62442000,550000,6630000,5577000,1053000,7180000,69622000,178106000,-2854000,109986000,887000,286125000,286125000,355747000,-1297000,7004000,1063000,653000,7423000,-4593000,-4431000,-1029000,901000,901000,-127999.999999998,2864000,2864000,-51000,2813000,6681000,8659000,3698000,0.18741,-0.00397,-0.01595,-0.00453,-0.00365,-2.85119999999999,3.58956,0.24333,0.02434,-0.0488,-0.0488,3.06009,10.76589,0.13914,-0.0043,0.01227,-16.76216,346.71207
"19","2015_Q4",9.13484375,"Up",76918000,-64154000,12764000,-16148000,-9219000,-6929000,-3384000,-23000,-41000,18000,-3407000,-3407000,-698000,-4105000,-4105000,-4105000,-4105000,112931000,112931000,31141000,31141000,66311000,6609000,3678000,216992000,115817000,14505000,10938000,3281000,130322000,347314000,53892000,34396000,1821000,17675000,7407000,699000,61998000,299000,6177000,5173000,1004000,6476000,68474000,178874000,-6759000,105810000,915000,278840000,278840000,347314000,-4105000,6756000,1130000,-619000,3162000,-5591000,-5632000,-953000,-3826000,151000,-5271000,-7741000,-7741000,25000,-7716000,3372000,7706000,-2140000,0.16594,-0.04399,-0.05337,-0.01472,-0.01182,0.52132,3.49998,0.24557,0.02219,-0.15522,-0.15522,2.90838,10.54335,-0.08092,-0.01402,-0.00731,-31.20552,31.0948599999999
"20","2016_Q1",10.547868852459,"Up",81472000,-67156000,14316000,-16587000,-9667000,-6920000,-2271000,417000,-24000,441000,-1854000,-1854000,-1071000,-2925000,-2925000,-2925000,-2925000,106085000,106085000,38781000,38781000,64175000,4647000,4647000,213688000,119579000,14637000,12340000,2297000,134216000,347904000,64680000,44083000,1372000,19225000,941000,716000,66337000,148729.064563974,4928000,3911000,1017000,4928000,71265000,181095000,-8593000,103232000,905000,276639000,276639000,347904000,-2925000,6741000,1801000,3838000,9455000,-8691000,-8815000,-6699000,-742000.000000002,1097000,-7488000,-6848000,-6848000,2000,-6846000,4470000,941000,688000.000000001,0.17572,-0.02787,-0.0359,-0.01057,-0.00841,-0.23521,3.22125,0.25761,0.0027,-0.11119,-0.11386,3.09697,10.51579,0.02615,-0.01035,0.00244,-23.52215,46.29855
