"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q2",13.44609375,"Up",81439000,-66378000,15061000,-15661000,-9497000,-6164000,-6e+05,-161000,-10000,-151000,-761000,-761000,-1214000,-1975000,-1975000,-1975000,-1975000,72868000,72868000,37198000,37198000,61958000,6794000,4370000,178818000,117431000,12289000,10482000,1522000,129720000,308538000,60662000,37689000,1748000,21225000,714000,714000,62090000,64000,6488000,5586000,902000,6552000,68642000,182258000,-43833000,100732000,739000,239896000,239896000,308538000,-1975000,6895000,1360000,1527000,7807000,-6002000,-5830000,-227000,-34816000,424000,-35094000,-33117000,-33117000,-1e+05,-33217000,6295000,778000,3034000,0.18494,-0.00737,-0.02425,-0.00823,-0.0064,-1.5362,2.87998,0.28613,0.00252,-0.08701,-0.08701,3.58794,10.56904,0.13367,-0.00799,0.01228,-11.45195,120.15
"22","2016_Q3",17.96359375,"Up",79825000,-64853000,14972000,-15732000,-9359000,-6373000,-760000,164000,-7000,171000,-596000,-596000,-1015000,-1611000,-1611000,-1611000,-1611000,81858000,81858000,26054000,26054000,61102000,5854000,3451000,174868000,112057000,12841000,10316000,2240000,124898000,299766000,55688000,33875000,1710000,20103000,485000,761000,56934000,64000,6197000,5346000,851000,6261000,63195000,185551000,-48808000,99078000,750000,236571000,236571000,299766000,-1611000,6883000,1452000,9911000,16635000,-4768000,-4803000,-229000,-2668999.99999999,2348000,-2847000.00000001,8985000,8985000,5000,8990000.00000001,6123000,549000,12281000,0.18756,-0.00952,-0.02018,-0.00681,-0.00537,-7.62322,3.07142,0.26713,0.00183,-0.07234,-0.07234,3.58458,10.62333,0.55148,-0.00662,0.05047,-13.27927,106.98553
"23","2016_Q4",21.6034920634921,"Up",82987000,-66668000,16319000,-16368000,-9444000,-6924000,-49000,5000,-5000,10000,-44000,-44000,-1219000,-1263000,-1263000,-1263000,-1263000,78923000,78923000,32036000,32036000,67911000,9078000,6119000,187948000,112497000,13449000,10193000,2971000,125946000,313894000,70776000,47041000,1724000,22011000,255000,807000,71838000,45000.0000000001,6286000,5489000,797000,6331000,78169000,187204000,-50470000,98219000,772000,235725000,235725000,313894000,-1263000,6927000,1458000,-5203000,1919000,-3007000,-3122000,-250000,-545000,1278000,-1743000,-2946000,-2946000,11000,-2935000,6878000,3e+05,-113000,0.19665,-0.00059,-0.01522,-0.00536,-0.00402,0.08947,2.61628,0.33161,0.00096,-0.05681,-0.05681,3.73277,10.60296,-0.00508,-0.00521,-0.000469999999999984,-11.43108,1604.55102
"24","2017_Q1",19.8293548387097,"Down",91410000,-71940000,19470000,-16551000,-9574000,-6977000,2919000,-529000,-999.999999999999,-528000,2390000,2390000,-573000,1817000,1817000,1921000,1921000,87774000,87774000,26594000,26594000,68848000,4714000,4714000,187930000,116084000,14491000,12132000,2359000,130575000,318505000,67664000,42718000,2356000,22590000,819000,997000,69480000,1695000,5291000,4550000,741000,6986000,76466000,191501000,-50199000,100071000,769000,242142000,242039000,318505000,1817000,6598000,1441000,3965000,13821000,-8124000,-7966000,-234000,3320000,3321000,2998000,8853000,8853000,-2000.00000000001,8851000,9517000,2514000,5931000,0.213,0.03193,0.02102,0.00794,0.00603,3.08745,2.70481,0.31592,0.00789,0.08497,0.08497,4.04308,10.70998,0.26233,0.00769,0.02374,-8.95871,-29.20863
"25","2017_Q2",17.7531746031746,"Down",97362000,-75418000,21944000,-18202000,-11183000,-7019000,3742000,-75000,-26000,-49000,3667000,3667000,-1237000,2430000,2430000,3307000,3307000,118774000,118774000,27059000,27059000,70018000,5539000,5539000,221390000,123048000,16128000,5486000,10642000,139176000,360566000,67288000,38644000,2667000,25977000,801000,1003000,69092000,1496000,5244000,4564000,680000,6740000,75832000,198673000,-50166000,103368000,860000,252735000,284734000,360566000,2430000,6503000,7584000,-7220000,9297000,-8220000,-16994000,-215000,6011000,6011000,38664000,30967000,30967000,33000,3.1e+07,10245000,2297000,-3958000,0.22539,0.03843,0.03397,0.01161,0.00917,-1.19686,3.20428,0.26633,0.00637,0.14359,0.13546,4.22743,10.97369,-0.17186,0.01131,-0.01354,-11.36916,-31.12694
"26","2017_Q3",16.3815873015873,"Down",94687000,-72593000,22094000,-19258000,-11974000,-7284000,2836000,-94000.0000000001,-24000,-70000,2742000,2742000,-1085000,1657000,1657000,2847000,2847000,122793000,122793000,24482000,24482000,70239000,6086000,6086000,223600000,122686000,15742000,5502000,10240000,138428000,362028000,65692000,38010000,2583000,25099000,809000,955000,67456000,1296000,5155000,4532000,623000,6451000,73907000,202428000,-49934000,106284000,-422000,258356000,288121000,362028000,1657000,6760000,1497000,-1142000,8772000,-6372000,-6470000,-193000,2718000,2718000,2309000,4611000,4611000,-592000,4019000.00000001,9596000,2105000,3167000,0.23334,0.02995,0.03007,0.00988,0.00786,1.1124,3.31475,0.25651,0.00581,0.12125,0.11398,4.03249,11.00277,0.13488,0.00964,0.01072,-12.57691,-42.55571
"27","2017_Q4",17.5015873015873,"Up",93281000,-70584000,22697000,-19692000,-12067000,-7625000,3005000,-96000,-22000,-74000,2909000,2909000,-523000,2386000,2386000,3556000,3556000,116150000,116150000,22452000,22452000,73349000,5129000,5129000,217080000,117335000,35798000,5539000,30259000,153133000,370213000,71542000,44990000,2879000,23673000,820000,713000,73075000,1071000,4490000,3923000,567000,5561000,78636000,202798000,-49876000,109788000,39000,262749000,291577000,370213000,2386000,6885000,1618000,142000,11031000,-16826000,-16684000,-214000,229000,229000,-1552000,-7205000,-7205000,562000,-6643000,9890000,1891000,-6271000,0.24332,0.03221,0.03812,0.0122,0.00961,-1.7635,2.97065,0.26969,0.00511,0.1502,0.14252,3.94006,11.09816,-0.26488,0.01193,-0.02105,-11.55298,-38.02296
"28","2018_Q1",16.1698360655738,"Down",98007000,-72921000,25086000,-21525000,-13618000,-7907000,3561000,33000,-19000,52000,3594000,3594000,-807000,2787000,2787000,4119000,4119000,115708000,115708000,28410000,28410000,76254000,5104000,5104000,225476000,148191000,24741000,4594000,19865000,172932000,398408000,93268000,63134000,1748000,28386000,828000,814000,94910000,866000,4083000,3581000,502000,4949000,99859000,206391000,-49836000,113909000,306000,270770000,298549000,398408000,2787000,7040000,2734000,987000,13548000,-14830000,-15470000,-197000,1741000,1741000,1387999.99999999,-534000,-534000,92000,-442000,10601000,1694000,-2435000,0.25596,0.03633,0.04203,0.0138,0.01034,-0.591160000000001,2.37568,0.33448,0.00425,0.17222,0.165,4.0978,11.32124,-0.10181,0.01353,-0.008,-10.75502,-32.01741
"29","2018_Q2",15.3996875,"Down",104858000,-77328000,27530000,-22940000,-14615000,-8325000,4590000,23000,-17000,40000,4613000,4613000,-1274000,3339000,3339000,4800000,4800000,180165000,180165000,25406000,25406000,79187000,7448000,7448000,292206000,158973000,41403000,4568000,23832000,200376000,492582000,99854000,60140000,2393000,37321000,837000,942000,101633000,659000,4129000,3667000,462000,4788000,106421000,208395000,-49791000,113238000,673000,272515000,386161000,492582000,3339000,6978000,2122000,-189000,12250000,-34009000,-34009000,-198000,179000,179000,86846000,65087000,65087000,182000,65269000,11568000,1496000,-21356000,0.26255,0.04377,0.04578,0.01243,0.00974,-4.44917,2.87511,0.27559,0.00304,0.19983,0.19231,4.36526,11.34486,-0.88906,0.01225,-0.05451,-15.44511,-38.92571
"30","2018_Q3",13.7253968253968,"Down",103896000,-75814000,28082000,-24858000,-15756000,-9102000,3224000,-174000,-14000,-160000,3050000,3050000,2072000,5122000,5122000,6791000,6791000,146209000,146209000,24283000,24283000,85672000,9134000,9134000,265298000,193253000,6.2e+07,4600000,42801000,255253000,520551000,123039000,70521000,1280000,51238000,846000,1386000,125271000,449000,1779000,1383000,396000,2228000,127499000,212831000,-55799000,120023000,2455000,279510000,393052000,520551000,5122000,7408000,1726000,-4652000,9604000,-41143000,-41143000,-201000,-3996000,2026000,-4317000,-35856000,-35856000,1059000,-34797000,10632000,1295000,-37235000,0.27029,0.03103,0.06536,0.01728,0.01305,-5.48299,2.11779,0.32438,0.00249,0.28385,0.27128,4.34257,11.68276,-1.55632,0.01714,-0.094,-13.62998,-44.94851
"31","2018_Q4",10.2995238095238,"Down",102902000,-75769000,27133000,-26452000,-16486000,-9966000,681000,-339000,-105000,-234000,342000,342000,-830000,-488000,-488000,1651000,1651000,125207000,125207000,28927000,28927000,90472000,17354000,17354000,261960000,258795000,74092000,4643000,52830000,332887000,594847000,139881000,78079000,185000,61617000,2987000,1530000,144398000,11097000,3157000,2823000,334000,14254000,158652000,215228000,-61710000,121621000,5154000,280293000,436195000,594847000,-488000,7432000,4017000,-18558000,-7597000,-61549000,-61567000,12926000,-5499000,495000,47428000,-21736000,-21736000,763000,-20973000,8113000,14084000,-71164000,0.26368,0.00662,0.01604,0.00379,0.00278,-43.10357,1.81415,0.36372,0.02368,0.06938,0.06669,4.32452,11.77949,-2.99071,0.00364,-0.15694,-13.69691,-163.17621
"32","2019_Q1",11.0577049180328,"Up",109897000,-80714000,29183000,-29258000,-19307000,-9951000,-75000,-2274000,-685000,-1589000,-2349000,-2349000,-676000,-3025000,-3025000,1021000,1021000,131535000,131535000,33755000,33755000,90182000,29740000,29740000,285212000,331656000,50181000,4892000,28698000,381837000,667049000,144713000,92661000,2211000,49841000,8302000,1665000,154680000,83577000,2630000,1637000,993000,86207000,240887000,220305000,-64790000,122639000,440000,278594000,426162000,667049000,-3025000,7601000,1348000,-16701000,-10777000,-57426000,-57376000,17521000,-826000,2256000,76996000,8843000,8843000,-2515000,6328000,7526000,91879000,-65925000,0.26555,-0.000680000000000001,0.00929,0.0024,0.00153,-64.56905,1.84388,0.56525,0.13774,0.04279,0.04146,4.60533,11.67473,-2.76265,0.00196,-0.12662,-5.2692,528.74667
"33","2019_Q2",10.4188888888889,"Down",115072000,-82461000,32611000,-31736000,-20352000,-11384000,875000,-1228000,-1490000,262000,-353000,-353000,-560000,-913000,-913000,2416000,2416000,113173000,113173000,37108000,37108000,98049000,32936000,32936000,281266000,368549000,35182000,4918000,13697000,403731000,684997000,154568000,96296000,2218000,56054000,14144000,0,168712000,91720000,2893000,1999000,894000,94613000,263325000,223430000,-66283000,126083000,-2808000,280422000,421672000,684997000,-913000,7870000,3178000,7852000,17987000,-49493000,-49493000,16220000,-1396000,105000,14715000,-16791000,-16791000,-1579000,-18370000,8745000,105864000,-32336000,0.2834,0.0076,0.021,0.00573,0.00353,-13.38411,1.66714,0.62448,0.15455,0.10133,0.09824,4.82604,11.76069,-1.35615,0.00455,-0.06096,-0.835790000000001,-8.35314000000005
"34","2019_Q3",11.045,"Up",114925000,-85423000,29502000,-32704000,-20104000,-12600000,-3202000,-1632000,-1706000,73999.9999999998,-4834000,-4834000,-701000,-5535000,-5535000,-1545000,-1545000,146632000,146632000,33858000,33858000,102962000,34526000,34526000,317978000,380783000,35427000,4944000,13544000,416210000,734188000,163399000,102617000,1769000,59013000,30226000,0,193625000,87914000,8121000,2085000,6036000,96035000,289660000,227879000,-66283000,124538000,-2842000,283292000,444528000,734188000,-5535000,8279000,4457000,5893000,13094000,-16834000,-16834000,12246000,1173000,1173000,37325000,33585000,33585000,-52000,33533000,5077000,118140000,-5163000,0.25671,-0.02786,-0.01344,-0.00348,-0.0021,3.34175000000001,1.64224,0.65161,0.16091,-0.06468,-0.06468,4.81119,11.85967,-0.21614,-0.00271,-0.00905,-5.61198,8.89819
"35","2019_Q4",12.6378125,"Up",109067000,-83438000,25629000,-29364000,-17947000,-11417000,-3735000,-1595000,-1719000,124000,-5330000,-5330000,-625000,-5955000,-5955000,-1555000,-1555000,139144000,139144000,28410000,28410000,107930000,37365000,37365000,312849000,391638000,36231000,4977000,14343000,427869000,740718000,135082000,92246000,2100000,40736000,36164000,0,171246000,110879000,13108000,2115000,10993000,123987000,295233000,230296000,-66240000,122940000,-563000,286433000,445485000,740718000,-5955000,8010000,3268000,-13248000,-7925000,-23968000,-23968000,27180000,0,0,25437000,-6456000,-6456000,1058000,-5398000,4275000,147043000,-32316000,0.23498,-0.03425,-0.01426,-0.00349,-0.0021,20.78199,1.8269,0.66272,0.19851,-0.06457,-0.06664,4.5288,11.89358,-1.34186,-0.00257,-0.05336,1.84772,-2.11485999999999
"36","2020_Q1",10.8754838709677,"Down",111856000,-84220000,27636000,-28594000,-17564000,-11030000,-958000,-1907000,-1447000,-460000,-2865000,-2865000,630000,-2235000,-2235000,2545000,2545000,121893000,121893000,24296000,24296000,111643000,37466000,37466000,295298000,409737000,34359000,4822000,12655000,444096000,739394000,1.4e+08,94384000,1541000,44075000,37964000,0,177964000,102761000,15380000,1459000,13921000,118141000,296105000,234472000,-66240000,125485000,-2693000,291024000,443289000,739394000,-2235000,7879000,1843000,778000,8265000,-22140000,-22140000,-4036000,1740000,1740000,-2378000,-16253000,-16253000,-941000,-17194000,6921000,140725000,-15071000,0.24707,-0.00856,0.02275,0.00574,0.00344,-5.92181,1.65931,0.66797,0.19032,0.10414,0.09434,4.57713,11.90867,-0.6167,0.00425,-0.02514,2.72099,-19.65762
"37","2020_Q2",10.2449206349206,"Down",117802000,-90870000,26932000,-27553000,-15185000,-12368000,-621000,-827000,-3376669.8698498,-827000,-1448000,-1448000,-410000,-1858000,-1858000,1009000,1009000,103136000,103136000,39329000,39329000,118558000,33373000,33373000,294396000,404005000,51511000,4813000,29844000,455516000,749912000,143876000,92905000,1574000,49397000,41808000,3767000,189451000,94404000,28504000,1431000,27073000,122908000,312359000,236745000,-66227000,126481000,-5876000,291123000,437553000,749912000,-1858000,10904000,2373000,-12646000,-1227000,-15798000,-15798000,705000,2789450.59128104,2767280.36183283,-1082000,-18107000,-18107000,-805000,-18912000,10283000,136212000,-17751000,0.22862,-0.00527,0.00857,0.00231,0.00135,-17.59267,1.55394,0.71388,0.18164,0.04112,0.04015,4.8008,11.86417,-0.72341,0.00168,-0.02947,3.21657,-53.26248
"38","2020_Q3",12.05984375,"Up",117860000,-93454000,24406000,-27776000,-15629000,-12147000,-3370000,-635000,-5345233.60383666,-635000,-4005000,-4005000,-568000,-4573000,-4573000,-1005000,-1005000,107249000,107249000,33872000,33872000,117591000,36611000,36611000,295323000,416055000,51762000,4766000,30170000,467817000,763140000,144402000,89741000,1967000,52694000,36467000,3282000,184151000,111187000,27652000,1283000,26369000,138839000,322990000,240860000,-66227000,125476000,-4239000,295870000,440150000,763140000,-4573000,10850000,2424000,237000.000000004,8938000,-16623000,-15369000,12140000,1727000,1727000,12056000,5625000,5625000,458000,6083000,7480000,147654000,-8338000,0.20708,-0.02859,-0.00853,-0.00228,-0.00132,8.29652,1.6037,0.73382,0.19348,-0.04068,-0.03927,4.77127,11.97757,-0.33754,-0.00163,-0.01355,5.40174,-11.98961
"39","2020_Q4",20.41265625,"Up",106852000,-84393000,22459000,-30478000,-16909000,-13569000,-8019000,-2282000,-3744000,1462000,-10301000,-10901000,1015000,-9886000,-9886000,-6495000,-6495000,110223000,110223000,17470000,17470000,127395000,36843000,36843000,291931000,412318000,63046000,4755000,41493000,475364000,767295000,138964000,87973000,419000,50572000,48031000,3839000,190834000,104784000,41948000,1344000,40604000,146732000,337566000,242533000,-66184000,118938000,-5408000,289879000,429729000,767295000,-9886000,11784000,3414000,9e+06,14312000,-16488000,-16488000,3320000,0,0,5520000,3344000,3344000,-289000,3055000,3765000,152815000,-4738000,0.21019,-0.07505,-0.06079,-0.01511,-0.00846,0.72948,1.52976,0.78553,0.19916,-0.26092,-0.27746,4.29245,11.645,-0.19033,-0.0104,-0.00759,11.31262,-5.31139
"40","2021_Q1",32.8404918032787,"Up",122395000,-93461000,28934000,-30261000,-17093000,-13168000,-1327000,-228000,1001000,-1229000,-1555000,-1555000,-385000,-1940000,-1940000,-104999.999999999,-104999.999999999,158536000,158536000,13272000,13272000,135528000,10997000,10997000,318333000,412340000,62266000,4766000,40730000,474606000,792939000,142527000,86181000,1360000,54986000,30114000,19417000,192058000,99775000,69218000,1399000,67819000,168993000,361051000,246167000,-66184000,118833000,-5127000,293689000,431888000,792939000,-1940000,11552000,2826000,27854000,40292000,-13194000,-13194000,19645000,1623000,1623000,21157000,48255000,48255000,-72000,48183000,10225000,129889000,25270000,0.2364,-0.01084,-0.00086,-0.00024,-0.00013,-240.66667,1.65748,0.83598,0.16381,-0.00415999999999994,-0.00415999999999994,4.85175,11.64185,1.0017,-0.00017,0.04005,-2.80166,21.58779
"41","2021_Q2",30.7352380952381,"Down",151551000,-109028000,42523000,-32196000,-17505000,-14691000,10327000,-549000,-549000,-1293789.56336061,9778000,9778000,-1011000,8767000,8767000,9574000,9574000,154698000,154698000,26317000,26317000,137700000,12753000,12753000,331468000,421642000,58638000,4774000,37934000,480280000,811748000,145579000,87604000,2100000,55875000,32746000,19939000,198264000,99970000,64292000,1433000,62859000,164262000,362526000,249031000,-66171000,128394000,-2146000,309108000,449222000,811748000,8767000,12489000,2940000,-14348000,9848000,-11337000,-11337000,-3774000,3721374.51389224,3721756.98661918,-4186000,-5675000,-5675000,1997000,-3678000,22816000,132716000,-1858000,0.28059,0.06814,0.06317,0.02131,0.01179,-0.19407,1.67185,0.80701,0.16349,0.37782,0.36384,5.9807,12.19842,-0.07332,0.01482,-0.00288,-0.963450000000002,-2.12859
"42","2021_Q3",27.71625,"Down",158830000,-110081000,48749000,-35159000,-19736000,-15423000,13590000,-381000,-381000,984822.01637423,13209000,13209000,-669000,12540000,12540000,12903000,12903000,180966000,180966000,24934000,24934000,144307000,11063000,11063000,361270000,430808000,61087000,4852000,41145000,491895000,853165000,146508000,83859000,2166000,60483000,43574000,21431000,211513000,93096000,73900000,1781000,72119000,166996000,378509000,255045000,-66097000,141289000,1481000,331718000,474656000,853165000,12540000,13200000,3478000,6867000,36085000,-13421000,-13302000,-3249000,3197000,3197000,-593000,22190000,22190000,2123000,24313000,26790000,136670000,20905000,0.30693,0.08556,0.08124,0.02718,0.01512,1.62017000000001,1.70803,0.79744,0.16019,0.50261,0.4717,6.1869,12.92139,0.81431,0.01883,0.03051,-1.65345,-3.25946
"43","2021_Q4",43.3021875,"Up",169212000,-116521000,52691000,-34895000,-19338000,-15557000,17796000,-1815000,-3902000,2087000,15981000,15981000,-1014000,14967000,14967000,16100000,16100000,192113000,192113000,33721000,33721000,145110000,11412000,11412000,382356000,432569000,59466000,5008000,40208000,492035000,874391000,146972000,81858000,2431000,62683000,43280000,21664000,211916000,90868000,84829000,2400000,82429000,175697000,387613000,252999000,-66064000,157356000,996000,345287000,486778000,874391000,14967000,13745000,4279000,5600000,38591000,-15773000,-15773000,-6473000,129000,129000,-11544000,11274000,11274000,-138000,11136000,31541000,134148000,22382000,0.31139,0.10517,0.09515,0.03307,0.01841,1.39019,1.80428,0.79628,0.15342,0.62208,0.58089,6.53808,13.34133,0.8648,0.02281,0.03171,-1.83777,-3.25719
"44","2022_Q1",52.0209677419355,"Up",177309000,-116729000,60580000,-38217000,-20935000,-17282000,22363000,-1107000,-1476000,369000,21256000,21256000,-1241000,20015000,20015000,19539000,19539000,202412000,202412000,35789000,35789000,154293000,14828000,14828000,407322000,436977000,74274000,5167000,55697000,511251000,918573000,152797000,80699000,2604000,69494000,58030000,22403000,233230000,77990000,91028000,3767000,87261000,169018000,402248000,260059000,-66064000,176895000,2315000,373205000,516325000,918573000,20015000,13251000,6604000,4350000,44220000,-32127000,-32127000,-3663000,1766000,1766000,-2668000,9425000,9425000,913000,10338000,35614000,136020000,9078000,0.34166,0.12612,0.1102,0.03784,0.02127,0.46461,1.74644,0.77906,0.14808,0.76232,0.72025,6.91776,14.56069,0.35418,0.02628,0.01221,-1.86421,-2.96883
"45","2022_Q2",40.9514516129032,"Down",187035000,-122468000,64567000,-39618000,-21806000,-17812000,24949000,-2192000,-2176000,-16000.0000000002,22757000,22757000,-1320000,21437000,21437000,23424000,23424000,252453000,252453000,39317000,39317000,163437000,17860000,17860000,473067000,441279000,77332000,5216000,59546000,518611000,991678000,176892000,81681000,3004000,92207000,57955000,22259000,257106000,75991000,116591000,4468000,112123000,192582000,449688000,264387000,-66052000,200307000,2229000,400871000,541990000,991678000,21437000,13722000,5301000,40147000,80607000,-24993000,-23911000,-6361000,4226952.60296923,4226939.41425451,-6535000,50161000,50161000,-11000,50150000,38671000,133946000,55145000,0.34521,0.13339,0.12524,0.04322,0.02362,2.35421,1.83997,0.8297,0.13507,0.88845,0.84753,7.09406,15.20467,2.0916,0.02956,0.06958,-3.06449,-4.74997
"46","2022_Q3",37,"Down",193319000,-124954000,68365000,-40648000,-24132000,-16516000,27717000,-68000,-541000,473000,27649000,419101000,-34096000,385005000,385005000,382998000,382998000,269306000,269306000,31661000,31661000,129084000,36656000,36656000,466707000,196743000,72364000,440000,60194000,645168000,1111875000,164724000,62175000,7337000,95212000,8960000,4293000,177977000,13707000,126201000,29087000,97114000,139908000,317885000,275477000,-66046000,583299000,1260000,793990000,793990000,1111875000,385005000,11938000,-353494000,7318000,50767000,-29571000,-23798000,-14906000,2724000,2724000,-12630000,14339000,14339000,318000,14657000,39655000,22667000,51498000,0.35364,0.14337,1.98117,0.48237,0.34446,0.13446,2.62229,0.40036,0.02039,14.52676,13.85766,7.33241,30.1153,1.95327,0.40621,0.05462,-6.21962,-8.89847
