"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",1.56285714285714,"Down",60779000,-43586000,17193000,-17063000,-17063000,130000,-253000,-253000,-123000,-123000,277000,154000,154000,154000,154000,2260000,2260000,19411000,19411000,32638000,3353000,1161000,834000,98000,57662000,42225000,171664000,-129439000,16426000,10055000,6371000,58651000,116313000,22702000,12349000,10353000,12000,22714000,2217000,24302000,17645000,5564000,26519000,49233000,114409000,-37758000,-9571000,67080000,67080000,116313000,154000,1350000,479000,26040000,28023000,-624000,-624000,-27741000,-28095000,-696000,-696000,-696000,1480000,2229000,26619000,0.28288,0.00214,0.00253,0.0023,0.00132,172.85065,2.53861,0.73394,0.01916,0.01088,0.01086,4.29473,4.73997,1.88094,0.00543,0.28436,-0.02095,-0.23846
"2","2012_Q1",1.89177419354839,"Up",22993000,-18055000,4938000,-11697000,-11697000,-6759000,-196000,-196000,-6955000,-6948000,-9756000,-16704000,-16704000,-16704000,-16704000,1528000,1528000,10462000,10462000,35371000,2154000,1619000,367000,168000,49515000,42061000,172403000,-130342000,9012000,2605000,6407000,51073000,100588000,18607000,9536000,9071000,12000,20017000,6519000,23650000,18027000,4901000,30169000,50186000,114609000,-54465000,-9742000,50402000,50402000,100588000,-16704000,1289000,10298000,1434000,-3683000,-1118000,-969000,4276000,3920000,-732000,-732000,-732000,-5470000,6531000,4602000,0.21476,-0.29396,-0.72648,-0.33142,-0.16606,-0.275500000000022,2.47365,0.99571,0.06493,-1.18217,-1.18217,1.62725,3.56702,0.32569,-0.20287,0.05711,-0.91463,-0.7402
"3","2012_Q2",1.75285714285714,"Down",24256000,-17478000,6778000,-11936000,-11936000,-5158000,-214000,-214000,-5372000,-5372000,-28000,-5400000,-5400000,-5400000,-5400000,768000,768000,10038000,10038000,51500000,2416000,2020000,345000,51000,64722000,41565000,173202000,-131637000,9003000,2596000,6407000,50568000,115290000,26009000,15549000,10460000,11652000,39059000,7500000,24241000,17942000,5568000,31741000,70800000,114251000,-60019000,-9742000,44490000,44490000,115290000,-5400000,1299000,232000,-8374000,-12243000,-803000,-803000,12641000,12285000,-761000,-761000,-761000,-3859000,19152000,-13008000,0.27944,-0.21265,-0.22263,-0.12138,-0.04684,2.40889,1.65703,1.59137,0.16612,-0.38217,-0.38217,1.71663,3.14862,-0.92059,-0.05739,-0.14801,-4.76393,-3.56417
"4","2012_Q3",1.72603174603175,"Down",62817000,-42935000,19882000,-16714000,-16714000,3168000,-393000,-393000,2775000,2775000,-43000.0000000009,2732000,2732000,2732000,2732000,1521000,1521000,34781000,34781000,43509000,2213000,1829000,351000,33000,82024000,40821000,172646000,-131825000,8981000,2573000,6408000,49802000,131826000,30660000,18565000,12095000,28304000,60362000,0,24202000,17902000,5560000,24202000,84564000,114849000,-57845000,-9742000,47262000,47262000,131826000,2732000,1284000,228000,-11750000,-7506000,-536000,-536000,9149000,8795000,753000,753000,753000,4452000,28304000,-7791000,0.31651,0.05043,0.04349,0.05781,0.02072,-2.85176,1.35887,1.78926,0.21471,0.19185,0.19185,4.41131,3.31896,-0.54712,0.03093,-0.07809,6.01595,8.45423
"5","2012_Q4",2.36016129032258,"Up",53074000,-37033000,16041000,-14966000,-14966000,1075000,-298000,-298000,777000,-3124000,-175000,-3299000,-3299000,-3299000,-3299000,1449000,1449000,13655000,13655000,30111000,1753000,1263000,377000,113000,46968000,39933000,172993000,-133060000,8793000,2385000,6408000,48726000,95694000,19401000,10372000,9029000,5415000,26214000,0,27712000,21135000,5828000,27712000,53926000,115039000,-61144000,-12127000,41768000,41768000,95694000,-3299000,1240000,401000,24828000,23170000,-350000,-350000,-22892000,-22892000,-72000,-72000,-72000,2315000,5415000,26968000,0.30224,0.02025,-0.06216,-0.07898,-0.03447,-8.1746,1.79171,1.29108,0.05659,-0.23094,-0.23094,3.71537,2.92391,1.88785,-0.04405,0.36008,1.71317,3.6893
"6","2013_Q1",2.56366666666667,"Up",26294000,-20837000,5457000,-12599000,-12599000,-7142000,-217000,-217000,-7359000,-8027000,191000,-7836000,-7836000,-7836000,-7836000,2897000,2897000,12743000,12743000,27791000,2377000,1652000,324000,401000,45808000,39208000,173411000,-134203000,9209000,2200000,7009000,48417000,94225000,20492000,11684000,8808000,5497000,27210000,6011000,30108000,25069000,4551000,36119000,63329000,115204000,-68980000,-15328000,30896000,30896000,94225000,-7836000,1198000,2289000,143999.999999993,-4205000,-468000,-298000,6078000,5951999.99999999,1449000,1449000,1449000,-5944000,11508000,-6459000,0.20754,-0.27162,-0.29801,-0.25363,-0.08316,0.82427,1.6835,2.04975,0.12213,-0.5528,-0.5528,1.85496,2.17961,-0.45566,-0.10806,-0.0890699999999999,-1.44869,-1.20568
"7","2013_Q2",2.09359375,"Down",23668000,-16701000,6967000,-11529000,-11529000,-4562000,-255000,-255000,-4817000,-4817000,-16000,-4833000,-4833000,-4833000,-4833000,1958000,1958000,9108000,9108000,39911000,3004000,2612000,316000,76000,53981000,38339000,173709000,-135370000,9177000,2195000,6982000,47516000,101497000,24604000,15345000,9259000,12276000,38101000,6008000,31097000,25169000,5432000,37105000,75206000,115432000,-73813000,-15328000,26291000,26291000,101497000,-4833000,1195000,230000,-3986000,-7394000,-325000,-325000,6780000,6780000,-939000,-939000,-939000,-3367000,18284000,-7662000,0.29436,-0.19275,-0.2042,-0.18383,-0.04762,1.58535,1.41679,2.86052,0.18014,-0.33807,-0.33807,1.65557,1.83905,-0.53595,-0.06387,-0.10125,-4.84883,-3.57869
"8","2013_Q3",2.244375,"Up",60392000,-37525000,22867000,-15145000,-15145000,7722000,-463000,-463000,7259000,7259000,-206000,7053000,7053000,7053000,7053000,3347000,3347000,32670000,32670000,37684000,2236000,1897000,298000,41000.0000000001,75937000,37833000,172725000,-134892000,8977000,2005000,6972000,46810000,122747000,30767000,18596000,12171000,20843000,52831000,6e+06,30470000,25248000,4717000,36470000,89301000,115533000,-66759000,-15328000,33446000,33446000,122747000,7053000,1083000,359000,-15101000,-6606000,-575000,-575000,8568000,8570000,1389000,1389000,1389000,8805000,26843000,-6665000,0.37864,0.12786,0.11679,0.21088,0.05746,-0.94499,1.43736,2.67001,0.21869,0.49085,0.48996,4.20294,2.32765,-0.46385,0.07771,-0.07344,2.66848,3.04274
"9","2013_Q4",2.0675,"Down",56642000,-37324000,19318000,-16166000,-16166000,3152000,-395000,-395000,2757000,2757000,151000,2908000,2908000,2908000,2908000,1342000,1342000,14497000,14497000,25544000,2283000,1875000,271000,137000,43666000,37348000,173249000,-135901000,9084000,2175000,6909000,46432000,90098000,20959000,11614000,9345000,1810000,23990000,0,29613000,24989000,4127000,29613000,53603000,115675000,-63852000,-15328000,36495000,36495000,90098000,2908000,1059000,-119000,19811000,23659000,-533000,-533000,-25043000,-25131000,-2005000,-2005000,-2005000,4211000,1810000,23338000,0.34105,0.05565,0.05134,0.07968,0.03228,8.02545,1.82018,1.46878,0.02009,0.20137,0.19878,3.9223,2.52718,1.61609,0.04282,0.34362,0.11114,0.14848
"10","2014_Q1",2.46213114754098,"Up",17211000,-15754000,1457000,-9529000,-9529000,-8072000,-443000,-443000,-8515000,-9238000,280000,-8958000,-8958000,-8958000,-8958000,853000,853000,8760000,8760000,25317000,2032000,1665000,259000,108000,36962000,36882000,172446000,-135564000,8319000,1484000,6835000,45201000,82163000,19811000,11864000,7947000,4053000,24436000,-9.31322574615479e-10,30707000,26385000,4180000,30707000,55143000,115816000,-72810000,-15986000,27020000,27020000,82163000,-8958000,1031000,2571000,2957000,-2399000,-564000,-320000,2241000,2230000,-489000,-489000,-489000,-7041000,4053000,-4928000,0.08466,-0.469,-0.52048,-0.33153,-0.10903,0.550119999999999,1.5126,2.04082,0.04933,-0.62027,-0.6296,1.19173,1.87093,-0.34123,-0.145,-0.07977,-0.454480000000001,-0.396430000000001
"11","2014_Q2",2.22492063492063,"Down",19890000,-13481000,6409000,-10565000,-10565000,-4156000,-328000,-328000,-4484000,-4484000,37000,-4447000,-4447000,-4447000,-4447000,1174000,1174000,7966000,7966000,38920000,2346000,1998000,272000,76000,50406000,36669000,170501000,-133832000,8261000,1477000,6784000,44930000,95336000,21885000,13087000,8798000,12932000,35389000,6e+06,30830000,26074000,4651000,36830000,72219000,115958000,-77257000,-15584000,23117000,23117000,95336000,-4447000,1016000,115000,-10453000,-13769000,-789000,-789000,14879000,14879000,321000,321000,321000,-3140000,18932000,-14419000,0.32222,-0.20895,-0.22358,-0.19237,-0.04665,3.24241,1.42434,3.12406,0.19858,-0.30794,-0.30794,1.37733,1.60079,-0.99848,-0.06102,-0.19785,-5.65541,-4.27286
