"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",54.7234375,"Up",20485000,-15090000,-3371000,-7392000,-4327000,5395000,-3196000,-3133000,-63000,2199000,-740000,1459000,0,1602000,1602000,1602000,1602000,-44431826.5790383,-44431826.5790383,-12169750.8067423,-12169750.8067423,34640552.9476285,3625755.05097447,-21961024.4381521,209644136.197038,1352072570.4793,-148148385.233798,-36981193.5355379,71025820.8971433,49064796.4589912,637042.215190869,637042.768713325,3637978.00382161,4356376.44735382,4275020.21901248,185165430.224,46363233.3376358,46363233.5812679,231528663.561635,235803683.780648,136617068.794909,-361470509.928805,-186738887.321657,-186738887.321657,49064796.4589912,1602000,7615000,-1109000,132000,8240000,-20625000,-20256000,0,203913268.053028,-46000,-12062000,-12062000,-12062000,13010000,0,-7483000,0.26336,0.0782,-1.08030114372028,-0.55716846755385,-4.67104,0.815070590674994,29.9008298988753,1.07449005521368,0.55596,0.54322,7.10914,-843.714113845829,-2.59691,-0.60801579598651,0.425653746707927,17.9268195123787,64.1994979925275
"2","2011_Q1",75.5032258064516,"Up",24443000,-19685000,-4421000,-10558000,-4706000,4758000,-3539000,-3387000,-152000,1219000,-737000,482000,174000,730999.999999999,730999.999999999,730999.999999999,731000,17436000,17436000,10728000,10728000,2180000,2180000,30344000,168868000,1324783000,8690000,8690000,187982000,218326000,17702000,17702000,3759000,2822000,21461000,137961000,43094000,43094000,181055000,202516000,248450000,-231703000,15810000,15810000,218326000,730999.999999999,10769000,3446000,7009000,21955000,-19296000,-20013000,-160000,-4137000,-4256000.00000001,-2314000.00000001,-2314000.00000001,-2314000.00000001,15527000,137961000,3066000,0.19466,0.02991,0.04624,0.00335,4.19425,1.41391,12.80936,0.6319,0.253670000000001,0.248,8.48215,5.48634,1.06396,0.00371,0.01557,7.76229,25.33102
"3","2011_Q2",67.1253968253968,"Down",25449000,-19045000,-4224000,-9776000,-5045000,6404000,-3664000,-3492000,-172000,2740000,1327000,4067000,0,4164000,4164000,4164000,4164000,46237192.1930128,46237192.1930128,19236666.9355808,19236666.9355808,-4041184.31587617,1647164.98300851,61432674.8127174,163172121.267654,1332382309.84023,46345545.0779326,25725564.511846,220051809.700952,281484484.51367,24495735.9282697,24495735.7437622,3102923.99872613,1948374.51754873,27598659.9269958,114476189.925333,39671672.2207881,39671672.1395774,154147862.146122,181746522.073117,304567310.401697,-193606413.357065,99737962.4405522,99737962.4405522,281484484.51367,4164000,10001000,-581000,688000,14272000,-15383000,-15114000,-99573.2334396865,-35877000,37888000,37046000,37046000,37046000,16405000,0,1710000,0.25164,0.16362,0.331577881240094,0.14637282251795,0.41066,2.14899730310834,4.28250253370824,0.427819148262106,1.234,1.20559,7.54179,172.44853044861,0.50676,0.16025109866217,-0.0728412489026424,3.02293349587375,7.32104983582416
"4","2011_Q3",59.484375,"Down",36834000,-22050000,-3799000,-12952000,-5299000,14784000,-2273000,-2698000,425000,12511000,4396000,16907000,2681000,19877000,19877000,19877000,19877000,52018000,52018000,19024000,19024000,3314000,1610000,74356000,179217000,1361534000,25008000,25008000,214438000,288794000,25069000,25069000,2138000,1538000,27207000,106961000,36626000,36626000,143587000,170794000,323333000,-200023000,1.18e+08,1.18e+08,288794000,19877000,13202000,-7905000,-6737000,18437000,-20218000,-19965000,0,-936000,-935999.999999993,-2464000,-2464000,-2464000,27986000,106961000,-1650000,0.40137,0.53964,0.16845,0.06883,-0.0830099999999998,2.73297,1.44741,0.37037,5.0673,4.98883,9.3902,30.0820899999998,-0.420639999999999,0.07599,-0.00631000000000001,1.96323,3.71638
"5","2011_Q4",47.3809523809524,"Down",33549000,-22457000,-3464000,-13013000,-5980000,11092000,-2376000,-2722000,346000,8716000,-523000,8193000,0,8404000,8404000,8404000,8404000,48234000,48234000,15786000,15786000,10082000,1744000,74102000,200941000,1396312000,17861000,17861000,228716000,302818000,24335000,24335000,1372000,1372000,25707000,106961000,34653000,34653000,141614000,167321000,324087000,-191617000,135497000,135497000,302818000,8404000,13298000,-844000,6982000,27840000,-31228000,-30755000,0,-869000.000000004,-869000,-3784000,-3784000,-3784000,24390000,106961000,144000,0.33062,0.2505,0.06202,0.02775,0.01713,2.88256,1.23487,0.35322,2.13717,2.10216,8.53165,34.45744,0.03662,0.03033,0.00052,2.40783,5.29454
"6","2012_Q1",64.9048387096774,"Up",31812000,-22132000,-5149000,-12960000,-4023000,9680000,-1978000,-2805000,827000,7702000,-555000,7147000,66602000,73951000,73951000,73951000,73951000,43795000,43795000,15181000,15181000,4100000,1601000,63076000,215912000,1424243000,80763000,15020000,306631000,369707000,26057000,26057000,1260000,1260000,27317000,106961000,34227000,34227000,141188000,168505000,324868000,-125290000,201202000,201202000,369707000,73951000,13252000,-64556000,-75000,22572000,-25799000,-25677000,7.27595761418343e-12,-1334000,-1334000,-4439000,-4439000,-4439000,22932000,106961000,-69544000,0.30429,2.32463,0.36755,0.20003,-0.940409999999998,2.30904,0.83749,0.28931,195.08019,191.67228,83.91896,530.76395,-183.45468,0.21598,-0.20311,2.75449,6.52541
"7","2012_Q2",49.0460317460317,"Down",29294000,-26004000,-5031000,-12189000,-8784000,3290000,-2272000,-2577000,305000,1018000,-504000,514000,-144000,488000,488000,488000,488000,9926000,9926000,18536000,18536000,994000,527000,29456000,244803000,1465323000,81359000,17262000,335523000,364979000,25148000,25148000,1252000,1170000,26400000,106961000,32867000,32867000,139828000,166228000,325646000,-127049000,198751000,198751000,364979000,488000,12486000,1260000,-2955000,11279000,-44975000,-44217000,0,-931000,-931000,-33869000,-33869000,-33869000,15776000,106961000,-32010000,0.11231,0.01666,0.00246,0.00134,-65.59426,1.11576,0.83636,0.29306,1.24012,1.2123,74.44283,505.0723,-81.34482,0.00144,-0.09454,6.1508,29.49392
"8","2012_Q3",52.6555555555556,"Up",25361000,-22040000,-4374000,-11844000,-5822000,3321000,-2228000,-2384000,156000,1093000,4310000,5403000,-1610000,3799000,3799000,3799000,3798999.99999999,113000,113000,17247000,17247000,6183000,1538000,23543000,262584000,1494948000,83458000,19493000,355069000,378612000,32997000,32997000,997000,997000,33994000,106961000,30435000,30435000,137396000,171390000,326676000,-121001000,207222000,207222000,378612000,3799000,12190000,-2925999.99999999,4761000,17824000,-27041000,-26679000,1e+07,-10958000,-958000.000000002,-9813000,-9813000,-9813000,15511000,106961000,-5159000,0.13095,0.1498,0.0183299999999999,0.01003,-1.35799000000002,0.69256,0.82708,0.28251,0.50779000000001,0.497360000000016,3.38983,27.69796,-0.689569999999989,0.01102,-0.01497,6.88853,32.17344
"9","2012_Q4",50.9451612903226,"Down",27402000,-24265000,-6441000,-11965000,-5859000,3137000,-2372000,-2135000,-237000,765000,-2172000,-1407000,246000,-1105000,-1105000,-1105000,-1105000,1485000,1485000,16643000,16643000,3372000,1359000,21500000,292205000,1536534000,83085000,18174000,384099000,405599000,30988000,30988000,2564000,2340000,33552000,136961000,29624000,29624000,166585000,200137000,327290000,-122107000,205462000,205462000,405599000,-1105000,12329000,2558000,984000,14766000,-42859000,-42556000,3e+07,-838000.000000002,29162000,1372000,1372000,1372000,15466000,136961000,-26655000,0.11448,-0.04033,-0.00538,-0.00272,24.12217,0.6408,0.97408,0.33768,-0.27923,-0.27405,6.92442,51.91974,-6.73565,-0.00297,-0.07164,8.7596,43.18648
"10","2013_Q1",50.2316666666667,"Down",28676000,-24304000,-4512000,-13703000,-6089000,4372000,-2157000,-2012000,-145000,2215000,-1981000,234000.000000001,-715000,-435000.000000002,-435000.000000002,-435000.000000002,-435000.000000001,1139000,1139000,15608000,15608000,3176000,1502000,19923000,269521000,1565786000,80161000,15778000,358250000,378173000,36016000,36016000,2461000,2336000,38477000,106961000,26764000,26764000,133725000,172202000,328514000,-122543000,205971000,205971000,378173000,-435000.000000001,14038000,733000.000000001,-3603000,10733000,21512000,19749000,-3e+07,-828000,-30828000,-346000,-346000,-346000,18410000,106961000,37034000,0.15246,-0.01517,-0.00211,-0.00115,-85.13563,0.51779,0.83605,0.28284,-1.10065,-1.07841,72.55706,521.15531,93.70477,-0.00128,0.10902,5.74807,24.20448
