"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2014_Q1",79.4745901639344,"Up",237913000,-162219000,75694000,-44894000,-27903000,-16991000,30800000,892000,-24000,916000,31692000,31692000,-11369000,20323000,20323000,20323000,20323000,97601000,97345000,87545000,87545000,71785000,7786000,3284000,264717000,147164000,510442000,-363278000,109664000,124116000,76899000,3205000,380944000,645661000,83028000,50906000,2988000,27394000,211000,211000,83239000,45721000,45183000,538000,45857000,129096000,516565000,34516000,482049000,516565000,516565000,645661000,20323000,7503000,1972000,3069000,32867000,-8450000,3460000,-5271000,-3011000,-6253000,1049000,-9337000,18259000,18259000,-182000,18077000,38303000,136000,44291000,0.31816,0.12946,0.08542,0.03934,0.03148,2.17935,3.1802,0.24991,0.00021,1.08517,1.0786,12.7036,27.5825,2.36496,0.16078,0.04149,0.07875,0.14816,-2.54458,-3.16445
"14","2014_Q2",82.9455555555556,"Up",203523000,-143617000,59906000,-41935000,-25016000,-16919000,17971000,1102000,-36000,1138000,19073000,19073000,-6647000,12426000,12426000,12426000,12426000,105749000,105749000,74620000,74620000,76766000,8213000,3644000,265348000,152085000,515593000,-363508000,109876000,131828000,84615000,3495000,393789000,659137000,88653000,51011000,5978000,23896000,265000,265000,88918000,45728000,45193000,535000,46186000,135104000,524033000,35166000,488867000,524033000,524033000,659137000,12426000,7688000,1884000,9280000,31278000,-8957000,255000,-19811000,-2988000,120000,120000,-2992000,8475000.00000001,8475000.00000001,-71000,8403999.99999999,25659000,458000,32629000,0.29435,0.0883,0.06105,0.02371,0.01885,2.62587,2.98419,0.25782,0.00069,0.66524,0.6612,10.89582,28.05466,1.74683,0.15997,0.02703,0.05722,0.24046,-4.10347,-5.85894
"15","2014_Q3",83.36484375,"Up",205321000,-144208000,61113000,-40781000,-24300000,-16481000,20332000,949000,-27000,976000,21281000,21281000,-7760000,13521000,13521000,13521000,13521000,77301000,77301000,86870000,86870000,76752000,8556000,3918000,249479000,155255000,525077000,-369822000,130740000,130520000,84615000,3330000,416515000,665994000,85784000,54226000,5983000,25110000,212000,212000,85996000,45668000,45132000,536000,46098000,132094000,533900000,36712000,497188000,533900000,533900000,665994000,13521000,7903000,1657000,-15272000,7809000,-11053000,-19942000,-30978000,-5978000,903000,903000,-5155000,-28324000,-28324000,-124000,-28448000,28235000,430000,9670000,0.29765,0.09903,0.06585,0.02532,0.0203,0.71518,2.90105,0.24741,0.00065,0.72332,0.71848,10.98384,28.56149,0.51731,0.3198,0.03362,0.01667,0.44213,-2.72254,-3.78079
"16","2014_Q4",90.87921875,"Up",257113000,-172745000,84368000,-48705000,-29157000,-19548000,35663000,1133000,-26000,1159000,36796000,36796000,-13118000,23678000,23678000,23678000,23678000,67754000,67754000,108685000,108685000,80161000,8986000,4273000,265586000,158673000,534598000,-375925000,131640000,142336000,86265000,3726000,432649000,698235000,103711000,66753000,5975000,29421000,171000,171000,103882000,46332000,45807000,525000,46734000,150616000,547619000,31499000,516120000,547619000,547619000,698235000,23678000,8008000,1925000,-3563000,30048000,-10095000,0,-27939000,-5983000,-5819000,84000.0000000002,-11871000,-9762000,-9762000,215000,-9547000,43671000,402000,43131000,0.32814,0.13871,0.09209,0.04324,0.03391,1.82156,2.55661,0.27504,0.00058,1.26715,1.25746,13.75966,29.30638,2.3082,0.32019,0.0499,0.07257,0.25268,-1.54226,-1.88857
"17","2015_Q1",92.6483606557377,"Up",253494000,-171304000,82190000,-49308000,-29943000,-19365000,32882000,1174000,-26000,1200000,34056000,34056000,-11867000,22189000,22189000,22189000,22189000,91760000,91760000,99972000,99972000,76083000,7791000,3695000,275606000,157529000,538081000,-380552000,130117000,141521000,86442000,4090000,429167000,704773000,95811000,59968000,5972000,29871000,146000,146000,95957000,45924000,44785000,1139000,46298000,142255000,562518000,32621000,529897000,562518000,562518000,704773000,22189000,8061000,2277000,5434000,37961000,-7708000,0,-7938000,-5975000,611000,2213000,-5417000,24606000,24606000,-6e+05,24006000,40943000,374000,50536000,0.32423,0.12972,0.08753,0.03945,0.03148,2.27752,2.87218,0.25289,0.00053,1.18976,1.18115,13.59217,30.16182,2.70971,0.32038,0.04626,0.08301,0.26928,-2.23203,-2.77921
"18","2015_Q2",96.7350793650794,"Up",212752000,-151651000,61101000,-44491000,-27012000,-17479000,16610000,1330000,-24000,1354000,17940000,17940000,-6684000,11256000,11256000,11256000,11256000,98075000,98075000,83777000,83777000,85531000,7953000,3790000,275336000,159891000,547068000,-387177000,127723000,139914000,86442000,3838000,427528000,702864000,93349000,54881000,6724000,26258000,133000,133000,93482000,45717000,44626000,1091000,46065000,139547000,563317000,32765000,530552000,563317000,563317000,702864000,11256000,7981000,2203000,2491000,23931000,-9477000,-38000,-9562000,-5972000,-572000,1098000,-6583000,7786000,7786000,-1471000,6315000,24591000,348000,24289000,0.28719,0.07807,0.05291,0.01998,0.01601,2.15787,2.94534,0.24772,5e-04,0.60292,0.59869,11.396,30.17392,1.30103,0.31989,0.02827,0.03986,0.53056,-3.9741,-5.88362
"19","2015_Q3",103.06609375,"Up",225008000,-158058000,66950000,-45145000,-27448000,-17697000,21805000,1248000,-30000,1278000,23053000,23053000,-8416000,14637000,14637000,14637000,14637000,88615000,88615000,95826000,95826000,87043000,9824000,5588000,281308000,162218000,552637000,-390419000,127754000,138033000,86442000,3309000,428005000,709313000,89898000,55216000,6729000,27953000,273000,273000,90171000,45952000,44915000,1037000,47286000,137457000,571856000,33777000,538079000,571856000,571856000,709313000,14637000,8006000,1999000,-20055000,4587000,-7594000,503000,-7100000,-6724000,528000,972000,-6262000,-8775000,-8775000,-685000,-9460000,29811000,1334000,10578000,0.29754,0.09691,0.06505,0.0256,0.02064,0.72269,3.11972,0.24037,0.00188,0.78319,0.7777,12.0396,30.59853,0.566,0.35978,0.0345,0.01708,0.45938,-2.92781,-4.0028
"20","2015_Q4",106.04140625,"Up",278724000,-188328000,90396000,-51585000,-31111000,-20474000,38811000,-87000,-34000,-53000,38724000,38724000,-14262000,24462000,24462000,24462000,24462000,126548000,126548000,115508000,115508000,83120000,8532000,4212000,333708000,169276000,564321000,-395045000,103352000,136590000,86442000,2998000,409218000,742926000,105299000,67140000,6729000,30339000,270000,270000,105569000,45819000,44848000,971000,47084000,152653000,590273000,34508000,555765000,590273000,590273000,742926000,24462000,8026000,3386000,2160000,38034000,-15787000,23377000,6864000,-6729000,104000,104000,-6696000,38202000,38202000,-269000,37933000,46837000,1265000,47472000,0.32432,0.13925,0.08776,0.04144,0.03293,1.94064,3.16104,0.25861,0.0017,1.30876,1.29958,14.9122,31.5806,2.53983,0.36001,0.04894,0.07448,0.27508,-2.67487,-3.22803
"21","2016_Q1",97.4739344262295,"Down",259772000,-177329000,82443000,-48781000,-30480000,-18301000,33662000,-1460000,-38000,-1422000,32202000,32202000,-12374000,19828000,19828000,19828000,19828000,133689000,133689000,102649000,102649000,82657000,6557000,6557000,325552000,172054000,571675000,-399621000,106298000,135765000,86442000,3504000,414117000,739669000,96843000,59206000,6723000,30914000,273000,273000,97116000,41438000,40523000,915000,42634000,139750000,599919000,31653000,568266000,599919000,599919000,739669000,19828000,8343000,4460000,4738000,37369000,-13997000,-3965000,-18693000,-6729000,-3408000,2489000,-10204000,8472000,8472000,-1331000,7141000,42005000,1196000,45120000,0.31737,0.12958,0.07633,0.03305,0.02681,2.27557,3.3522,0.23295,0.00162,1.06083,1.05294,13.89824,32.09668,2.414,0.36001,0.04133,0.07022,0.33937,-3.15422,-3.93598
"22","2016_Q2",96.036875,"Down",222850000,-159015000,63835000,-45475000,-27319000,-18156000,18360000,1128000,-32000,1160000,19488000,19488000,-6510000,12978000,12978000,12978000,12978000,111922000,111922000,92180000,92180000,94503000,6648000,3409000,305253000,176646000,583098000,-406452000,125280000,134459000,86442000,3527000,436385000,741638000,93935000,56875000,7284000,26311000,276000,276000,94211000,44607000,43719000,888000,45733000,139944000,601694000,29695000,571999000,601694000,601694000,741638000,12978000,8170000,2135000,-2365000,20918000,-12723000,-20131000,-32926000,-6723000,-2475000,640000,-9265000,-21273000,-21273000,-494000,-21767000,26530000,1126000,17952000,0.28645,0.08239,0.05824,0.02157,0.0175,1.38326,3.2401,0.23258,0.00152,0.69449,0.68889,11.9254,32.19853,0.96067,0.35977,0.03043,0.02773,0.51803,-4.17625,-6.03464
