"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2019_Q1",4.99229508196721,"Down",7225029,-3571005,3654024,-5813809,-5353495,-460314,-2159785,-1504701,-1566395,-1566395,-3664486,-3664486,0,-3664486,-3664486,-3664486,-3664486,14612559,14612559,6802723,6802723,574481,199406,21989763,2862166,4182526,-1320360,15421553,768454,19598769,41588532,3936068,2227214,1708854,2841508,1814136,1019212,6777576,1077365,7854941,66575339,66557005,-70000,-32771748,33733591,33733591,41588532,-3664486,460314,1186764,62420,-1954988,-665145,-15019,-680164,23146329,13444631,10809479,10809479,10809479,-1699471,0,-2302196,0.50575,-0.29893,-0.50719,-0.10863,-0.08811,0.62825,3.24449,0.23285,2.77555756156289e-17,-0.23991,-0.23991,0.47301,2.20849,-0.15072,-0.10527,-0.06613,8.5983,6.76575
"24","2019_Q2",4.35253968253968,"Down",7221305,-3752392,3468913,-6322237,-5824132,-498105,-2853324,16048,-40353.0000000002,-40353,-2837276,-2837276,-2.8421709430404e-14,-2837276,-2837276,-2837276,-2837276,10423660,10423660,8091147,8091147,621889,420289,19136696,3390189,4721754,-1331565,15174099,796000,20062050,39198746,3218239,1498984,1719255,3604002,2244151,1349122,6822241,1292229,8114470,66763300,66744959,-70000,-35609024,31084276,31084276,39198746,-2837276,498105,340066,-1389105,-3388210,-735757,-42916.9999999999,-778674,7817,-22015,-4188899,-4188899,-4188899,-2355219,9.31322574615479e-10,-4480081,0.48037,-0.39513,-0.3929,-0.09128,-0.07238,1.57901,2.80505,0.26105,0,-0.15489,-0.15489,0.39422,1.69694,-0.24457,-0.08763,-0.13837,4.42577,3.65316
"25","2019_Q3",4.51078125,"Up",8095344,-3835515,4259829,-6734478,-6210411,-524067,-2474649,-429,-41922,-41922,-2475078,-2475078,0,-2475078,-2475078,-2475078,-2475078,7723808,7723808,10040398,10040398,625951,430072,18390157,3767099,5217124,-1450025,14946892,843793,20526620,38916777,3407580,1625989,1781591,5015241,3445306,1557688,8422821,1527158,9949979,67120900,67102509,-70000,-38084102,28966798,28966798,38916777,-2475078,524067,476399,-624601,-2099213,-610020,-42904,-652924,52285,52285,-2699852,-2699852,-2699852,-1950582,0,-3185203,0.52621,-0.30569,-0.30574,-0.08545,-0.0636,1.28691,2.18337,0.3435,-6.93889390390723e-18,-0.13499,-0.13499,0.44151,1.57983,-0.17372,-0.08117,-0.10445,3.95975,3.12117
"26","2019_Q4",6.52953125,"Up",8494626,-4076980,4417646,-6838810,-6283518,-555292,-2421164,65222.9999999999,-76957.0000000001,-76956.9999999999,-2355941,-2355941,4.54747350886464e-13,-2355941,-2355941,-2355941,-2355941,4197235,4197235,9278751,9278751,615142,343215,14091128,4031606,5654514,-1622908,14990808,1162709,21590946,35682074,3330039,1709233,1620806,4379808,2699227,1661763,7709847,705420,8415267,67776850,67758344,-70000,-40440043,27266807,27266807,35682074,-2355941,555292,562672,-705150,-1943127,-527549,-3752.00000000001,-531301,50040.9999999991,-1049959,-3524387,-3524387,-3524387,-1865872,0,-3098571,0.52005,-0.28502,-0.27734,-0.0864,-0.06603,1.31522,1.82768,0.30863,0,-0.12806,-0.12806,0.46172,1.48207,-0.16842,-0.08422,-0.11077,2.24948,1.73356
"27","2020_Q1",8.3791935483871,"Up",10214143,-4312331,5901812,-7262401,-6669767,-592634,-1360589,-249333,-285448,-285448,-1609922,-1609922,0,-1609922,-1609922,-1609922,-1609922,9519352,9519352,10656470,10656470,861290,410745,21037112,4391340,6216864,-1825524,14690808,1137709,22167391,43204503,2400639,1699221,701418,3949588,2456865,1445287,6350227,10392848,16743075,68581393,68562727,-70000,-42049965,26461428,26461428,43204503,-1609922,592634,831314,-2599490,-2785464,-658195,-1949,-660144,118058,9023433,5577825,5577825,5577825,-767955,9646672,-4025640,0.57781,-0.13321,-0.15762,-0.06084,-0.03726,2.50052,3.31281,0.63274,0.22328,-0.08662,-0.08662,0.54954,1.42367,-0.21659,-0.04368,-0.10923,-0.16579,-0.09358
"28","2020_Q2",8.22142857142857,"Down",10357982,-4353058,6004924,-7643724,-7037150,-606574,-1638800,-400887,-423689,-423689,-2039687,-2039687,-35595,-2075282,-2075282,-2075282,-2075282,7243580,7243580,10786265,10786265,1000223,546767,19030068,4688651,6771928,-2083277,22298832,9020733,31237452,50267520,2216086,1588331,627755,5705631,2681037,2971454,7921717,17512758,25434475,69165037,69146123,-70000,-44261992,24833045,24833045,50267520,-2075282,606574,894957,-1111332,-1685083,-629983,-2275,-632258,45190,45190,-2272151,-2272151,-2272151,-1032226,9712374,-2737946,0.57974,-0.15822,-0.20036,-0.08357,-0.04128,1.31931,2.40227,1.02422,0.19321,-0.11078,-0.11078,0.55292,1.32561,-0.14615,-0.04901,-0.06466,-2.39172,-1.50646
"29","2020_Q3",10.6434375,"Up",12085965,-4188056,7897909,-8229684,-7601459,-628225,-331775,-296393,-273591,-428960,-628168,-628168,-10000,-638168,-638168,-638168,-638168,6472417,6472417,12813517,12813517,1416036,788929,20701970,4982760,7279125,-2296365,21712676,8709577,32186169,52888139,1977409,1187748,789661,7440677,5509861,1930816,20709485,7211564,27921049,69800505,69781363,-70000,-44763415,24967090,24967090,52888139,-638168,628225,924571,-1254652,-340024,-614095,-7300,-621395,192523,192523,-768896,-768896,-768896,296450,17735253,-1562297,0.65348,-0.02745,-0.0528,-0.02556,-0.01207,2.4481,0.99964,1.11831,0.33534,-0.03361,-0.03361,0.63659,1.31507,-0.08229,-0.01468,-0.03594,37.99236,-33.94721
"30","2020_Q4",11.086875,"Up",12537940,-5163007,7374933,-9101231,-8625838,-475393,-1726298,-537841,-537841,-571958,-2264139,-2264139,-16913,-2281052,-2281052,-2281052,-2281052,20512808,20512808,14128185,14128185,1608988,977937,36249981,5316411,7978684,-2662273,21332798,8421366,32716443,68966424,1919123,791138,1127985,8591147,5694743,2896404,12160204,15126832,27287036,88793855,88772128,-70000,-47044467,41679388,41679388,68966424,-2281052,475393,1014548,-1009047,-1800158,-685800,-1426,-687226,16575547,16529698,14042314,14042314,14042314,-1250905,16000959,-2928839,0.58821,-0.13769,-0.18193,-0.05473,-0.03307,1.28399,2.98103,0.65469,0.23201,-0.11745,-0.11745,0.64559,2.1461,-0.15081,-0.03902,-0.0501,3.60687,2.6136
"31","2021_Q1",9.00081967213115,"Down",14079193,-5431181,8648012,-7558342,-7065073,-493269,1089670,-333711,-582957,-393471,755959,-675251,10688,-664563,-664563,-664563,-664563,14350554,14350554,14326791,14326791,4694069,941671,33371414,6147643,8988662,-2841019,26720454,13809022,32868097,66239511,2406502,1505859,900643,6267319,3712994,2554325,10357073,14134481,24491554,89526987,89505216,-70000,-47709030,41747957,41747957,66239511,-664563,493269,1367991,-3120065,-1923368,-1346632,-2850,-1349482,194269,210596,-3062254,-3062254,-3062254,1582939,15817733,-2894446,0.61424,0.0774,-0.0472,-0.01592,-0.01003,4.35541,3.22209,0.58665,0.2388,-0.03063,-0.03063,0.64896,1.9243,-0.13341,-0.01154,-0.05028,0.926869999999997,1.34644
"32","2021_Q2",5.70095238095238,"Down",15165562,-5847523,9318039,-9284380,-8793756,-490624,33659,-578755,-455457,-455457,-545096,-945096,1900,-943196,-943196,-943196,-943196,15899293,15899293,14662231,14662231,4166933,993541,34728457,6369480,9683928,-3314448,20517367,7605935,35599865,70328322,2892706,1764714,1127992,6946388,4766853,2179535,11381848,15267738,26649586,92400962,92378584,-70000,-48652226,43678736,43678736,70328322,-943196,490624,1161244,-1345431,-636759,-659168,-3050,-662218,2351774,2351774,1052797,1052797,1052797,524283,16810492,-1482216,0.61442,0.00222,-0.06219,-0.02159,-0.01341,1.57148,3.05121,0.61013,0.23903,-0.04269,-0.04269,0.6864,1.97691,-0.06709,-0.01559,-0.0245,1.73799,27.07148
"33","2021_Q3",6.0428125,"Up",16971045,-7324780,9646265,-11811512,-11285155,-526357,-2165247,-1536748,-1529668,-1529668,-3701995,-4333995,-36530,-4370525,-4370525,-4370525,-4370525,12237710,12237710,17995485,17995485,6687414,1595939,36920609,7427432,11257722,-3830290,21387517,8476085,39061571,75982180,4164676,2344280,1820396,10958062,8628498,2329564,16793015,7094948,23887963,105116968,105092551,-943489.602351761,-53022751,52094217,52094217,75982180,-4370525,526357,3932179,-1528073,-1440062,-1574180,-8325,-1582505,-136459,945333,-2077234,-2077234,-2077234,-1638890,8765225,-4704613,0.5684,-0.12758,-0.25753,-0.0839,-0.05752,1.07644,2.19857,0.45855,0.11536,-0.18652,-0.18652,0.72427,2.2232,-0.20078,-0.07181,-0.0773,2.1188,1.60374
"34","2021_Q4",4.09171875,"Down",16624837,-7559951,9064886,-11179711,-10644438,-535273,-2114825,-19981.0000000002,-33539,-33539.0000000002,-2134806,-2804806,-10460,-2815266,-2815266,-2815266,-2815266,9987382,9987382,15832552,15832552,5982438,1209197,31802372,7546823,11902131,-4355308,24708455,11797023,42241891,74044263,3449492,1155977,2293515,8151738,5600371,2551367,13703439,9968293,23671732,108027962,108003022,-1817414,-55838017,50372531,50372531,74044263,-2815266,535273,1408529,-2327434,-3198898,-644410,-19955,-664365,363385,363385,-3499878,-3499878,-3499878,-1579552,12070502,-4540936,0.54526,-0.12721,-0.16934,-0.05589,-0.03802,1.61297,2.32076,0.46993,0.16302,-0.11474,-0.11474,0.67758,2.05304,-0.18508,-0.04509,-0.07272,-1.3188,-0.98501
"35","2022_Q1",1.7141935483871,"Down",19051076,-8721479,10329597,-12058792,-11184681,-874111,-1729195,-36697,-32717,-32717,-1765892,-2332432,12446,-2319986,-2319986,-2319986,-2319986,12472082,12472082,16724744,16724744,2340357,1077831,31537183,12655342,17548329,-4892987,36569052,23649260,49269723,80806906,3507384,1466488,2040896,9880419,6825014,3055405,15417624,16298808,31716432,109040824,109040824,-1817414,-58158003,49090474,49090474,80806906,-2319986,874111,6180285,1526887,6261297,-5979137,-89078,-6068215,1172339,90547,283629,283629,283629,-855084,18328629,-5319780,0.54221,-0.09077,-0.12178,-0.04726,-0.02871,2.29302,2.04553,0.64608,0.22682,-0.09934,-0.09254,0.81575,2.10094,-0.22779,-0.03441,-0.07891,-6.84909,-3.38686
"36","2022_Q2",0.974354838709677,"Down",19430995,-8593568,10837427,-11725886,-10946477,-779409,-888459,518581,-33538.9999999999,-33539,-369878,-719878,-151010,-870888,-870888,-870888,-870888,6554423,6554423,17190238,17190238,4650937,914216,28395598,12738374,18700408,-5962034,37256580,24337216,49994954,78390552,3989002,1627731,2361271,7654126,4691087,2963039,13729204,15865044,29594248,109617521,109617521,-1817414,-59028891,48796304,48796304,78390552,-870888,779409,1008546,-3349558,-2432491,-847213,-131669,-978882,22548,22548,-3388825,-3388825,-3388825,-109050,17951120,-4154811,0.55774,-0.04572,-0.04482,-0.01785,-0.01111,4.77078,2.06826,0.60649,0.229,-0.03729,-0.03474,0.83202,2.08834,-0.17791,-0.01305,-0.06225,-104.50891,-12.82749
"37","2022_Q3",0.865625,"Down",18940211,-8789201,10151010,-12458546,-11641312,-817234,-2307536,-188822,-139502,1906064.04852037,-2496358,-2846358,-5900,-2852258,-2852258,-2852258,-2852258,10985131,10985131,21309982,21309982,3031544,1577516,35326657,13760145,20432353,-6672208,40026746,27107811,53786891,89113548,3875432,2102624,1772808,13506887,10191241,3315646,19527750,22732483,42260233,110526729,110526729,-1817414,-61881149,46853315,46853315,89113548,-2852258,817234,1811540,-797958,-1021442,-1036097,-834673,-1870770,33486,5033486,2141274,2141274,2141274,-1490302,24877914,-3318457,0.53595,-0.12183,-0.15059,-0.06088,-0.03201,1.16345,1.80905,0.90197,0.27917,-0.11377,-0.11377,0.75549,1.86789,-0.13237,-0.03976,-0.04626,-9.32213000000003,-6.02061
