"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",0.210645161290323,"Down",325518,-263273,62245,-80308,-80308,-18063,-12811,-13069,-30874,-30874,-30874,-30874,-30874,-30874,116950,116950,152207,152207,904487,0,1173644,1805,1805,1175449,177247,43511,104620,29116,50859,480780,480780,708886,373277,373277,1082163,5645541,-5552255,93286,93286,1175449,-30874,-993,129442,-113146,-15571,274743,104536,88965,88965,88965,-19056,424136,0.19122,-0.05549,-0.09485,-0.33096,-0.02627,1.65562,11.60049,0.36083,-0.00165,-0.00165,0.01738,0.00498,-0.05967,-16.12017,-17.00637
"2","2011_Q2",0.15031746031746,"Down",681009,-299297,381712,-159371,-159371,222341,-22401,-22401,199940,199940,199940,199940,199940,199940,3059.81874794136,3059.81874794136,-173643.135572263,-173643.135572263,405917.254429933,409975.649144729,645309.58675034,1824.34319852535,1824.34337677688,647133.930127116,84128.4384274695,-55994.6316424664,82192.0645370384,57931.0055328975,39518.2788429684,29972.6916405814,29972.6916405814,153619.408911019,372023.027036513,372023.027036513,525642.435947532,5648038.5620719,-5526547.06789231,121491.494179584,121491.494179584,647133.930127116,199940,135,1.45519152283669e-11,117924,317999,-221053,-221053,96946,96946,96946,222476,-5.82076609134674e-11,0.56051,0.32649,0.293590000000002,-1.80098586318154,-0.139424609396669,2.95083483800593,7.65283047546542,0.613172614887429,0.01067,0.01067,0.03636,0.00646369439487657,-0.223955271365022,-41.1790301059404,-41.5783866077374
"3","2011_Q3",0.11609375,"Down",34161,-29826,4335,-144369,-144369,-140034,-9618,-9618,-149652,-149652,-149652,-149652,-149652,-149652,-17592.4812520587,-17592.4812520587,-152988.535572264,-152988.535572264,364337.254429933,428923.649144729,622679.88675034,1686.74319852535,1686.74337677688,624366.630127116,94534.7384274695,-40043.2316424664,82321.9645370384,52256.0055328975,74377.7788429684,-20031.3083594185,-20031.3083594185,148881.208911019,369727.927036513,369727.927036513,518609.135947532,5649388.5620719,-5543631.06789231,105757.494179584,105757.494179584,624366.630127116,-149652,134,4500,163629,18611,-66995,-129395,-110784,-110784,-110784,-139900,0,0.1269,-4.09924,-4.38079,-1.65593486318154,-0.139524609396669,2.83370283800593,7.58161447546542,0.651632614887429,-0.00798,-0.00798,0.00182,0.00562269439487657,-0.214112271365022,-31.6167961059404,-31.7331306077374
"4","2011_Q4",0.11968253968254,"Up",38960.9999999999,-31843,7118,-73023,-73023,-65905,-6723,-6723,-72628,-67628,-67628,-67628,-67628,-67628,18998.9999999999,18998.9999999999,33893,33893,550997,238807,842696,1400,1400,844096,152296,28810,94251,29235,115859,128880,128880,397035,366615,366615,763650,5650041,-5569595,80446,80446,844096,-67628,136,7619,-86126,-145999,77386,56886,-84113,-84113,-84113,-65769,482474,0.1827,-1.69156,-1.73579,-0.840660000000002,-0.08012,2.12247,9.4927,0.57159,-0.0036,-0.00361,0.00208,0.00428,-0.12014,-7.04701000000005,-7.03247000000001
"5","2012_Q1",0.238225806451613,"Up",285018,-128378,156640,-119144,-119144,37496,-5090,-17074,32406,32406,32406,32406,32406,32406,91209,91209,191135,191135,700931,37896,1021171,1271,1271,1022442,189152,77979,104703,6470,110178,247100,247100,546430,363160,363160,909590,5650041,-5537189,112852,112852,1022442,32406,129,-22372,-18817,-8654,65228,80864,72210,72210,72210,37625,473338,0.54958,0.13156,0.1137,0.28715,0.03169,1.8688,8.06003,0.46295,0.00173,0.00173,0.01518,0.00601,0.05528,10.15625,10.19119
"6","2012_Q2",0.423650793650794,"Up",551771,-206372,345399,-215684,-215684,129715,-21696,-21696,108019,108019,108019,108019,108019,108019,155859,155859,146254,146254,603497,0,905610,1158,1158,906768,154978,49924,104178,876.000000000002,24859,146600,146600,326437,359460,359460,685897,5650041,-5429170,220871,220871,906768,108019,113,-51439,197476,254169,-89019,-189519,64650,64650,64650,129828,384319,0.62598,0.23509,0.19577,0.48906,0.11913,2.77423,3.10542,0.42383,0.00575,0.00576,0.02939,0.01176,0.17849,1.75971,1.76125
"7","2012_Q3",0.393015873015873,"Down",45471,-20657,24814,-194288,-194288,-169474,-14455,-14455,-183929,-183929,-183929,-183929,-183929,-183929,54777,54777,37238,37238,629417,10579,732011,1045,1045,733056,166658,42263,115417,8978,28262,137600,137600,332520,353094,353094,685614,5660541,-5613099,47442,47442,733056,-183929,113,10500,84197,-89119,-2963,-11963,-101082,-101082,-101082,-169361,381356,0.54571,-3.72708,-4.04497,-3.87692,-0.25091,2.2014,14.45163,0.52023,-0.00979,-0.00979,0.00242,0.00253,-0.42894,-1.9283,-1.92702
"8","2012_Q4",0.293064516129032,"Down",7164.99999999994,-3578,3587,-83528,-83528,-79941,-17342,-17342,-97283,-97283,-97283,-97283,-97283,-97283,87906,87906,13716,13716,668784,49798,820204,13705,13705,833909,160565,30716,128406,1443,43104,305600,305600,509269,349481,349481,858750,5685541,-5710382,-24841,-24841,833909,-97283,-551,25000,-61157,-133991,69729,179229,33129,33129,33129,-80491.9999999999,392585,0.50063,-11.15715,-13.57753,3.91623,-0.11666,1.61055,-34.56986,0.47078,-0.00516,-0.00516,0.00038,-0.00132,-0.26454,-3.78521,-3.8113
"9","2013_Q1",0.432333333333333,"Up",208354,-89414,118940,-141755,-141755,-22815,-68706,-69306,-91521,-281521,-281521,-281521,-281521,-281521,54995,54995,102350,102350,623722,48874,829941,20448,20448,850389,256190,64455,190859,876,91298,456600,456600,804088,347663,347663,1151751,5690541,-5991903,-301362,-301362,850389,-281521,974,195000,52977,-32570,172876,7376,-32911,-32911,-32911,-21841,438961,0.57086,-0.1095,-1.35117,0.93416,-0.33105,1.03215,-3.82182,0.51619,-0.01488,-0.01486,0.01101,-0.01593,-2.04595,-17.58006,-16.82954
"10","2013_Q2",0.60484375,"Up",295046,-127631,167415,-150064,-150064,17351,-24323,-24323,-6972,-6971.99999999994,-6971.99999999994,-6971.99999999994,-6971.99999999994,-6971.99999999994,55936,55936,88753,88753,585408,24852,754949,19969,19969,774918,272854,77619,194359,875.999999999999,79144,388600,388600,740598,342654,342654,1083252,5690541,-5998875,-308334,-308334,774918,-6971.99999999994,479,-5.82076609134674e-11,92597,86104,2837.00000000003,-85163,940.999999999985,940.999999999985,940.999999999985,17830,421798,0.56742,0.0588100000000008,-0.0236300000000009,0.0226099999999999,-0.00899999999999995,1.01938,-3.51324,0.54431,-0.000369999999999999,-0.000369999999999999,0.01558,-0.01628,-0.06145,20.51946,21.08593
