"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",13.7060655737705,"Up",304785000,-243045000,-55696000,-109669000,-74737000,61740000,-74892000,-72142000,-2916000,-13152000,-2245000,-15397000,-15397000,-12038000,-11937000,-12099000,113915000,113915000,178505000,178505000,75457000,75457000,367877000,9647558000,10837728000,-1190170000,22104000,134377000,125172000,9804039000,10171916000,6690818000,709529000,6865929000,0,6865929000,2545987000,-203519000,2342468000,3305987000,10171916000,-12032000,111900000,23327000,-5850000,117345000,31521000,854000,-41820000,-9445000,-982031000,855378000,-126653000,-18753000,-18753000,-18753000,173640000,0,0.20257,-0.0397,-0.00366,-0.00119,0.05358,2.07682,0,-0.05655,-0.05655,1.42458,10.94882,-0.00366,-0.65604,-1.84508
"2","2014_Q2",14.4509523809524,"Up",307575000,-215075000,-19658000,-113220000,-79309000,92500000,-69949000,-67858000,-2156000,22551000,-78000,22473000,22473000,41740000,15401000,15401000,55696000,55696000,167780000,167780000,65417000,65417000,288893000,9413417000,10673772000,-1260355000,25414000,123085000,117998000,9561916000,9850809000,6636717000,660826000,6758187000,0,6758187000,2554244000,-233931000,2320313000,3092622000,9850809000,41740000,113699000,-32916000,-35947000,86576000,2778000,-3305000,-39247000,-39774000,-45183999.9999999,-59837000,-105021000,-58219000,-58219000,-58219000,206199000,0,0.30074,0.05007,0.00498,0.00156,0.04275,2.18526,0,0.06751,0.06715,1.34834,10.17177,0.00498,-0.27011,-0.60212
"3","2014_Q3",15.45203125,"Up",307950000,-208198000,-19939000,-109600000,-75701000,99752000,-67697000,-65794000,-1974000,32055000,-757000,31298000,31298000,31298000,23473000,23473000,61830000,61830000,171131000,171131000,64927000,64927000,297888000,9351362000,10712009000,-1360647000,21647000,129306000,124202000,9502315000,9800203000,6614847000,667679000,6736317000,0,6736317000,2711762000,-261332000,2450430000,3063886000,9800203000,31298000,109665000,-11553000,2651000,132061000,0,3793000,-45887000,-42094000,-22609000,-60465000,-83074000,6893000,6893000,6893000,209417000,0,0.32392,0.07622,0.00766,0.0024,0.04422,2.19862,0,0.10251,0.10185,1.34489,10.7016,0.00766,-0.29525,-0.61984
"4","2014_Q4",15.99375,"Up",306470000,-206637000,-19624000,-111104000,-73138000,99833000,-66469000,-65376000,-1205000,33364000,460000,33824000,33824000,33864000,27030000,27030000,92758000,92758000,170615000,170615000,56240000,56240000,319613000,9297125000,10749857000,-1452732000,21225000,137447000,132231000,9455797000,9775410000,6611059000,677701000,6732529000,8.67361737988404e-19,6732529000,2713290000,-278909000,2434381000,3042881000,9775410000,33864000,111151000,-13501000,22146000,153660000,1.16415321826935e-10,682999.999999999,-53857000,-53174000,-8371000,-61190000,-69561000,30925000,30925000,30925000,210984000,-8.67361737988404e-19,0.32575,0.0882,0.00888,0.00277,0.04747,2.21255,0,0.11074,0.1104,1.25562,9.97378,0.00888,-0.43964,-0.92913
"5","2015_Q1",17.6477049180328,"Up",314604000,-212084000,-20954000,-107706000,-80504000,102520000,-66156000,-63182000,-3096000,36364000,-11188000,25176000,25176000,25949000,23098000,22948000,60595000,60595000,182424000,182424000,53164000,53164000,296183000,9253015000,10802249000,-1549234000,20315000,112400000,107328000,9385730000,9681913000,6701610000,679102000,6701610000,0,6701610000,3226907000,-323197000,2903710000,2980303000,9681913000,25949000,107721000,9145000,-35902000,106913000,4057000,903000,-70750000,-65790000,-10781000,-63261000,-74042000,-32919000,-32919000,-32919000,210241000,0,0.32587,0.07294,0.0077,0.00237,0.0442,2.24863,0,0.08425,0.08385,1.15497,10.66008,0.0077,-0.28822,-0.59106
"6","2015_Q2",16.6261904761905,"Down",315293000,-221103000,-30715000,-108544000,-79349000,94190000,-62539000,-62470000,-184000,31651000,-515000.000000002,31136000,31136000,31136000,30423000,30423000,68184000,68184000,178801000,178801000,61687000,61687000,308672000,9174599000,10802928000,-1628329000,20028000,135880000,130824000,9330507000,9639179000,6686461000,627203000,6686461000,-1.38777878078145e-17,6686461000,3258008000,-362710000,2895298000,2952718000,9639179000,31136000,108544000,-9865000,-16871000,112944000,9918000,299000,-42086000,-31869000,17113000,-90491000,-73378000,7697000,7697000,7697000,202734000,-1.38777878078145e-17,0.29874,0.09649,0.0103,0.00316,0.04616,2.26451,0,0.10271,0.10219,1.0645,9.77517,0.0103,-0.33632,-0.7239
"7","2015_Q3",16.3953125,"Down",312111000,-201892000,-20285000,-104441000,-74641000,110219000,-64769000,-62068000,-2811000,45450000,9717000,55167000,55167000,55167000,54112000,54112000,42735000,42735000,169359000,169359000,61163000,61163000,273257000,9167136000,10878977000,-1711841000,20034000,117077000,112038000,9304247000,9577504000,6635261000,636610000,6635261000,0,6635261000,3260424000,-375330000,2885094000,2942243000,9577504000,55167000,104441000,-13915000,12756000,158449000,-20401000,-45000,-54925000,-75371000,-39869000,-68437000,-108635000,-25557000,-25557000,-25557000,214660000,0,0.35314,0.17337,0.01839,0.00565,0.04118,2.25517,0,0.1813,0.18098,1.04572,9.66647,0.01839,-0.19908,-0.38773
"8","2015_Q4",17.4390625,"Up",313025000,-199846000,-22030000,-102439000,-73424000,113179000,-58497000,-61510000,2880000,54682000,136999.999999998,54819000,54819000,54819000,53773000,53773000,37983000,37983000,171914000,171914000,52763000,52763000,262660000,9111681000,10910357000,-1798676000,24589000,128693000,123646000,9264963000,9527623000,6595936000,626600000,6595936000,0,6595936000,3263915000,-389024000,2874891000,2931687000,9527623000,54819000,102439000,-11777000,-4950000,140531000,0,-4560000,-48200000,-52760000,-22388000,-70464000,-92523000,-4752000,-4752000,-4752000,215618000,1.11022302462516e-16,0.36157,0.17179,0.01834,0.00564,0.03982,2.24988,2.58493941422821e-26,0.18017,0.17988,1.04879,9.63229,0.01834,-0.17616,-0.3356
"9","2016_Q1",17.2860655737705,"Down",325551000,-213476000,-25424000,-102511000,-82974000,112075000,-58781000,-58649000,-233000,53294000,3120000,56414000,56414000,56414000,55412000,55262000,69528000,69528000,180486000,180486000,41462000,41462000,291476000,9052165000,10932850000,-1880685000,23001000,131365000,126346000,9206531000,9498007000,6577705000,603439000,6577705000,0,6577705000,3273237000,-403454000,2869783000,2920302000,9498007000,56414000,102511000,-14319000,-32532000,112074000,12511000,1469000,-44723000,-30743000,15372000,-76037000,-61488000,19843000,19843000,19843000,214586000,0,0.34426,0.16975,0.01892,0.00582,0.04431,2.25241,0,0.18489,0.17034,1.08917,9.60118,0.01892,-0.32401,-0.62037
"10","2016_Q2",18.1653125,"Up",323104000,-203385000,-20724000,-100479000,-79442000,119719000,-58170000,-57370000,-907000,61549000,-1.86264514923096e-09,61549000,61549000,61549000,60477000,60477000,105822000,105822000,169898000,169898000,44211000,44211000,319931000,8990042000,10947211000,-1957169000,23166000,132119000,127096000,9145327000,9465258000,6560182000,552785000,6560182000,0,6560182000,3269111000,-415893000,2853218000,2905076000,9465258000,61549000,100479000,-14498000,-31415000,116115000,25740505.2996738,-83000,-36340000,-36423000,35260000,-74744000,-40649000,39043000,39043000,39043000,220198000,0,0.37053,0.18718,0.02082,0.00639,0.04877,2.25818,0,0.20214,0.20201,1.07997,9.53679,0.02082,-0.48058,-0.88392
