"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",54.5603125,"Up",34008000,-3771000,30237000,-24375000,-13403000,-10972000,5862000,82000,82000,5944000,5944000,-2850000,3094000,3094000,3094000,3094000,72735872.676748,52154302.8343407,46510568.5313196,46510568.5313196,16750271.1836675,-260306.045686211,136430327.87391,-18722628.8460455,-335543116.879221,191992.981696752,-354265745.725267,-217835417.851357,18889633.0240934,9324727.04163354,9564905.98245981,2942388.17430235,2942388.17430157,21832021.1983957,-4193519.64941317,-164862.97421818,-4193519.64940911,17638501.5489866,197569576.138081,-235473919.400344,-235473919.400344,-217835417.851357,3094000,3044000,2547000,-5268000,3417000,-905000,-3621000,-4526000,89000,89000,163000,-946000,-946000,-946000,8906000,0,5583000,0.88911,0.17237,0.09098,-9.23703336951112,-7.52689547910486,1.80446,5.76965316985181,0.571288452893984,1.79310808052639e-13,0.36109,0.35629,3.96896,-23.4749313300378,0.65157,-8.78198234765384,-35.592855848999,-43.1167658461516
"2","2011_Q1",43.9632258064516,"Down",35274000,-4039000,31235000,-25304000,-13740000,-11564000,5931000,15000,15000,5946000,5946000,-171000,5775000,5775000,5775000,5775000,72550000,17856000,29812000,29812000,6604000,1167000,109336000,11623000,113933000,243000,125556000,234892000,13036000,4592000,8444000,1667000,1667000,14703000,1924000,197000,1924000,16627000,201737000,218265000,218265000,234892000,5775000,2867000,1568000,-884000,9326000,-2102000,-9470000,-11572000,6905000,6905000,7800000,5553999.99999999,5553999.99999999,5553999.99999999,8798000,0,5983000,0.8855,0.16814,0.16372,0.02646,0.02459,1.03602,7.43631,0.07618,0,0.67536,0.66734,4.12513,25.52508,0.699680000000001,0.02623,-8.24619,-12.23234
"3","2011_Q2",24.2647619047619,"Down",17791000,-3776000,14015000,-27027000,-15347000,-11680000,-13012000,43000,43000,-12969000,-12969000,5216000,-7753000,-7753000,-7753000,-7753000,68574042.441084,10626982.3885531,18673727.1562268,18673727.1562268,4584826.27211084,1849852.01522874,92171307.3753634,22327292.9486818,215193788.95974,253085.672767749,237521081.908422,329692389.283786,11296288.9919689,3485174.31945549,7811114.6725134,855703.941899216,855703.941899477,12151992.9338681,4344839.88313772,1354704.32473939,4344839.88313637,16496832.8170045,204376474.62064,313195556.466781,313195556.466781,329692389.283786,-7753000,2736000,2042000,718000,-2257000,-6561000,-1985000,-8546000,352000,352000,636000,-10167000,-10167000,-10167000,-10276000,0,-21335000,0.78776,-0.73138,-0.43578,1.92963028983704,1.57266849303495,2.75184,7.49498644338273,-0.0308861509646614,-5.97702693508796e-14,-0.87945,-0.87945,2.01809,35.2850304433459,-2.4201,1.83485661588461,3.84312611633299,1.66671611538387
"4","2011_Q3",10.0125,"Down",16105000,-3560000,12545000,-25591000,-14275000,-11316000,-13046000,42000,42000,-13004000,-13004000,5157000,-7846999.99999999,-7846999.99999999,-7846999.99999999,-7846999.99999999,61981000,17097000,12071000,12071000,7002000,1956000,81380000,21100000,121051000,240000,142151000,223531000,11728000,4192000,7536000,454000,454000,12182000,4454000,2727000,4454000,16636000,205968000,206895000,206895000,223531000,-7846999.99999999,3076000,4371000,2907000,2507000,-4771000,11794000,7023000,5000.00000000047,5000.00000000093,-122000,9407999.99999999,9407999.99999999,9407999.99999999,-9970000,-1.05879118406788e-22,-16991000,0.77895,-0.81006,-0.48724,-0.0379299999999995,-0.035099999999998,2.16529,6.68035,0.08041,0,-0.877369999999999,-0.87737,1.8007,23.13291,-1.89976,-0.0371299999999994,6.21675,4.75095999999999
"5","2011_Q4",4.8568253968254,"Down",12632000,-3699000,8933000,-23028000,-12332000,-10696000,-14095000,13000,13000,-14082000,-127970000,-6511000,-134481000,-134481000,-134481000,-134481000,54070000,20079000,9036000,9036000,9811000,1664000,73238000,16323000,221000,221000,16544000,89782000,12196000,4669000,7527000,423000,423000,12619000,3741000,3641000,3741000,16360000,207005000,73422000,73422000,89782000,-134481000,3266000,114338000,10853000,-6024000,-1768000,10864000,9096000,67000,67000,-90000,2982000,2982000,2982000,-10829000,0,4767000,0.70717,-1.11582,-10.64606,-1.83162,-1.49786,-0.03545,5.80379,0.22282,0,-15.05609,-15.05609,1.41424,8.22011,0.5337,-1.74282,4.99307,3.83611
"6","2012_Q1",8.82967741935484,"Up",11239000,-2726000,8513000,-17938000,-9919000,-8019000,-9425000,33000,33000,-9392000,-11592000,2067000,-9524999.99999999,-9524999.99999999,-9524999.99999999,-9524999.99999999,45972000,7475000,8525000,8525000,9439000,1138000,64245000,15482000,213999.999999993,214000,15696000,79941000,10822000,3181000,7641000,703000,703000,11525000,3556000,3546000,3556000,15081000,207963000,64860000,64860000,79941000,-9524999.99999999,1099000,2308000,-1655000,-7773000,-331000,-4501000,-4832000,999.999999999971,1000,999.999999999971,-12604000,-12604000,-12604000,-8326000,0,-12379000,0.75745,-0.8386,-0.8475,-0.14685,-0.11915,1.29963,5.5744,0.23252,0,-1.06717,-1.06717,1.2592,7.26682,-1.38693,-0.13922,5.5215,4.87767
"7","2012_Q2",7.18412698412698,"Down",10114000,-2195000,7919000,-17200000,-10096000,-7104000,-9281000,23000,23000,-9258000,-9592000,-90000,-9682000,-9682000,-9682000,-9682000,37577000,16167000,8531000,8531000,8725000,776000,55089000,14422000,219000,219000,14641000,69730000,9248000,1986000,7262000,944000,944000,10192000,3418000,3408000,3418000,13610000,208871000,56120000,56120000,69730000,-9682000,1115000,1616000,-1159000,-8110000,-55000,17121000,17066000,-264000,65000,-264000,8692000,8692000,8692000,-8166000,0,-9290000,0.78297,-0.91764,-0.95729,-0.17252,-0.13885,0.95951,5.40512,0.24252,0,-1.08817,-1.08817,1.13672,6.30739,-1.04411,-0.16262,4.60164,4.04881
"8","2012_Q3",6.85396825396825,"Down",10171000,-1796000,8375000,-15276000,-9103000,-6173000,-6901000,31000,31000,-6870000,-6793000,-32000,-6825000,-6825000,-6825000,-6825000,31255000,10966000,8385000,8385000,9249000,1554000,49125000,13181000,181000.000000001,181000,13362000,62487000,8112000,1720000,6392000,1172000,1172000,9284000,3373000,3363000,3373000,12657000,209409000,49830000,49830000,62487000,-6825000,1103000,1156000,-1307000,-5873000,-23000,1118000,1095000,-423000,1000.00000000001,-423000,-5201000,-5201000,-5201000,-5798000,2.71050543121376e-20,-7096000,0.82342,-0.6785,-0.67103,-0.13697,-0.10922,1.03971,5.29136,0.254,0,-0.75739,-0.757390000000001,1.1287,5.52975,-0.78746,-0.12828,5.39065,4.52905
"9","2012_Q4",5.34258064516129,"Down",11012000,-2120000,8892000,-14918000,-9073000,-5845000,-6026000,30000,30000,-5996000,-4767000,-46000,-4813000,-4813000,-4813000,-4813000,27045000,10073000,9342000,9342000,8880000,1329000,45491000,12277000,182000,182000,12459000,57950000,6713000,2014000,4699000,1867000,1867000,8580000,3442000,3432000,3442000,12022000,210312000,45928000,45928000,57950000,-4813000,1103000,-311000,-14000,-4035000,-199000,3325000,3126000,16000,16000,16000,-893000,-893000,-893000,-4923000,0,-5090000,0.80748,-0.54722,-0.43707,-0.10479,-0.08305,1.05755,5.30198,0.26176,0,-0.53658,-0.53658,1.22768,5.12032,-0.56746,-0.09749,5.4936,4.48805
"10","2013_Q1",6.02066666666667,"Up",12032000,-2337000,9695000,-14250000,-8605000,-5645000,-4555000,10000,10000,-4545000,-4545000,402000,-4143000,-4143000,-4143000,-4143000,32201000,18873000,8953000,8953000,1673000,903000,43003000,11211000,181000,181000,11392000,54395000,6807000,1978000,4829000,1436000,1436000,8243000,3490000,3399000,3490000,11733000,211201000,42662000,42662000,54395000,-4143000,1109000,1396000,6851000,5213000,-45000.0000000001,3632000,3587000,-5.82076609134674e-11,-3.63797880709171e-12,0,8800000,8800000,8800000,-3446000,2.16840434497101e-19,2958000,0.80577,-0.37857,-0.34433,-0.09711,-0.07617,-0.71398,5.21691,0.27502,0,-0.46185,-0.46185,1.34129,4.75581,0.32975,-0.08977,9.34446,7.06937
