"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.7560317460317,"Up",1.324e+09,-9.06e+08,4.18e+08,-3.04e+08,-2.84e+08,-2e+07,1.14e+08,-2.8e+07,-4.1e+07,1.3e+07,8.6e+07,0,8.6e+07,-2.2e+07,6.4e+07,2.2e+07,2.2e+07,8.6e+07,8.6e+07,8.6e+07,-2923662659.46027,-2923662659.46027,3833763412.58209,3833763412.58209,2495847723.95632,-3486877911.13729,213535585.311366,-80929434.0591464,1676701537.76638,4097115174.87626,-2420413637.10988,540743389.629236,677151173.940862,858117001.025233,1044610904.73778,2998823954.38015,2917894520.32101,362752721.329441,2380102963.54357,-2017350242.21412,2430930159.30346,583454240.726787,2104920175.71564,-23933100.9879951,-257104781.26124,-1428920434.97625,1662092115.2495,2080987074.72765,2664441315.45444,253453204.866572,2917894520.32101,6.4e+07,7.4e+07,4.2e+07,-1.25e+08,5.5e+07,-1.8e+07,-2.1e+07,-2.1e+07,2.6e+07,-6e+06,-1.9e+07,0,-2.4e+07,5.7e+07,-7e+06,5e+07,4e+06,5.4e+07,1.88e+08,0,6.7e+07,0.31571,0.0861,0.06495,0.930164244718123,0.335934959689701,0.77907,1.04547430157422,1.80058374056596,0.584624263352825,1.10256,1.19444,16.97436,0.85897,0.07692,0.407963708522799,0.473366369683061,0.06977,325.31836118223,322.716327956825
"2","2010_Q3",20.798125,"Down",1.424e+09,-9.93e+08,4.31e+08,-3.13e+08,-2.93e+08,-2e+07,1.18e+08,-9e+07,-1.04e+08,1.4e+07,2.8e+07,-4e+06,2.4e+07,-1.8e+07,6e+06,1.6e+07,1.6e+07,2.2e+07,2.2e+07,2.2e+07,-371554219.820089,-371554219.820089,2442921137.52736,2442921137.52736,1218282574.65211,-1262959303.71243,95178528.4371221,2026690188.64695,1880233845.92213,3708371724.95875,-1828137879.03663,3022247796.54308,975383724.646954,1769705667.00841,891536968.245928,5184274651.46005,7210964840.107,1322584240.44315,1554034321.18119,-231450080.738042,1004643386.43449,1530484746.90893,1342973391.90521,1655688966.33734,607298406.246253,-470973478.325417,1519364038.4165,2998662358.24255,4529147105.15148,2681817734.95552,7210964840.107,6e+06,6.7e+07,1.05e+08,1.5e+07,1.93e+08,-3e+07,-3.8e+07,-3.8e+07,7.1e+07,-6e+06,-1.37e+08,-1.1e+07,-1.51e+08,1.13e+08,-1.4e+07,9.9e+07,-6e+06,9.3e+07,1.85e+08,0,1.88e+08,0.30267,0.08287,0.01545,0.327238081572708,0.121268319896567,8.54545,1.37466476719141,1.55621124685532,0.284658087784275,0.28205,0.275,18.25641,2.41026,0.07692,0.147647902840933,0.162798789894354,0.27273,100.330357060743,100.387735985608
"3","2010_Q4",22.200625,"Up",1.478e+09,-1.037e+09,4.41e+08,-3.14e+08,-2.91e+08,-2.3e+07,1.27e+08,-1.4e+07,-2.7e+07,1.3e+07,1.13e+08,2.3e+07,1.36e+08,-1.9e+07,1.17e+08,3.1e+07,3.1e+07,1.48e+08,1.48e+08,1.48e+08,4.84e+08,4.84e+08,1.569e+09,1.569e+09,6.11e+08,1.54e+08,5e+07,2.818e+09,1.912e+09,3.37e+09,-1.458e+09,4.361e+09,1.103e+09,2.131e+09,1.028e+09,6.327e+09,9.145e+09,1.494e+09,1.02e+09,4.74e+08,3.19e+08,1.813e+09,1.102e+09,2.574e+09,1.129e+09,0,1.445e+09,3.676e+09,5.489e+09,3.656e+09,9.145e+09,1.17e+08,6.8e+07,-2.1e+07,-6.8e+07,9.6e+07,-3.3e+07,-3.8e+07,-3.8e+07,-2.5e+07,-1.1e+07,-4.3e+07,0,-5.2e+07,1.9e+07,-3e+07,-1.1e+07,-4e+06,-1.5e+07,1.95e+08,1.421e+09,1.13e+08,0.29838,0.08593,0.10014,0.04048,0.01618,0.76351,1.55433,1.50137,0.15539,1.89744,1.85,18.94872,1.44872,0.14103,0.02078,0.01477,0.07432,4.80513,7.37795
"4","2011_Q1",24.4051612903226,"Up",1.515e+09,-1.188e+09,3.27e+08,-4.85e+08,-4.7e+08,-1.5e+07,-1.58e+08,-1.7e+07,-2.5e+07,8e+06,-1.75e+08,4e+06,-1.71e+08,7.2e+07,-9.9e+07,-1.6e+07,-1.6e+07,-1.15e+08,-1.15e+08,-1.15e+08,4.17e+08,4.17e+08,1.115e+09,1.115e+09,4.47e+08,8.54e+08,4.9e+07,2.833e+09,1.838e+09,3.109e+09,-1.271e+09,4.859e+09,1.111e+09,2.148e+09,1.265e+09,6.697e+09,9.53e+09,1.25e+09,7.27e+08,5.23e+08,1.16e+08,1.687e+09,1.108e+09,2.928e+09,1.367e+09,1.45e+08,1.416e+09,4.036e+09,5.723e+09,3.807e+09,9.53e+09,-9.9e+07,7.1e+07,1.65e+08,7e+07,2.07e+08,-9e+07,-9.5e+07,-9.5e+07,-5.2e+07,-1.2e+07,-1.99e+08,3e+06,-2.08e+08,-5.3e+07,-9999999.99999999,-6.3e+07,-4e+06,-6.7e+07,-8.7e+07,1.224e+09,-1.79e+08,0.21584,-0.10429,-0.07591,-0.03021,-0.01207,1.55652,1.67931,1.50328,0.12844,-1.47436,-1.4557,19.42308,-2.29487,0.15385,-0.01294,-0.02249,-0.10435,-9.27586,-5.10759
"5","2011_Q2",26.2488888888889,"Up",1.433e+09,-1.035e+09,3.98e+08,-2.96e+08,-2.76e+08,-2e+07,1.02e+08,-1.5e+07,-2.7e+07,1.2e+07,8.7e+07,2.1e+07,1.08e+08,-3.7e+07,7.1e+07,2.8e+07,2.8e+07,9.9e+07,9.9e+07,9.9e+07,3.74e+08,3.74e+08,1.005e+09,1.005e+09,4.97e+08,8.29e+08,6.1e+07,2.705e+09,1.768e+09,3.003e+09,-1.235e+09,4.854e+09,1.089e+09,2.083e+09,1.346e+09,6.644e+09,9.349e+09,1.044e+09,6.4e+08,4.04e+08,1.16e+08,1.434e+09,1.114e+09,2.924e+09,1.368e+09,1.49e+08,1.407e+09,4.038e+09,5.472e+09,3.877e+09,9.349e+09,7.1e+07,7.3e+07,5e+06,-1.87e+08,-3.8e+07,-1.8e+07,-2.2e+07,-2.2e+07,-2e+06,-1.2e+07,7e+06,1e+06,-3e+06,-4.3e+07,-1e+06,-4.4e+07,1e+06,-4.3e+07,1.75e+08,1.23e+09,7e+06,0.27774,0.07118,0.06909,0.02554,0.01059,0.07071,1.88633,1.4114,0.13156,1.25316,1.2375,18.13924,0.08861,0.1519,0.01382,0.00087,0.12121,4.89143,8.39216
"6","2011_Q3",23.57453125,"Down",1.556e+09,-1.093e+09,4.63e+08,-2.21e+08,-2.02e+08,-1.9e+07,2.42e+08,-2.4e+07,-3.9e+07,1.5e+07,2.18e+08,3.72529029846191e-09,2.18e+08,-3.5e+07,1.83e+08,3.01e+08,3.01e+08,4.84e+08,4.84e+08,4.84e+08,1.129e+09,1.129e+09,1.142e+09,1.142e+09,5.34e+08,1.69e+08,5.7e+07,2.974e+09,1.768e+09,3.079e+09,-1.311e+09,4.648e+09,1.088e+09,2.142e+09,1.082e+09,6.438e+09,9.412e+09,1.249e+09,7.08e+08,5.41e+08,6.1e+07,1.31e+09,8.46e+08,2.759e+09,1.191e+09,1.73e+08,1.395e+09,3.605e+09,4.915e+09,4.497e+09,9.412e+09,1.83e+08,7e+07,-9.1e+07,-4.7e+07,1.15e+08,-3e+07,-3e+07,-3e+07,-1.1e+07,-1.2e+07,-3.24e+08,9.31322574615479e-10,-3.35e+08,-2.31e+08,9.85e+08,7.54e+08,1e+06,7.55e+08,3.12e+08,9.07e+08,2.7e+08,0.29756,0.15553,0.31105,0.10763,0.05142,0.55785,2.27023,1.09295,0.09637,6.12658,6.05,19.6962,3.41772,0.1519,0.06076,0.03308,0.02479,-0.71154,-0.917359999999997
"7","2011_Q4",22.5509523809524,"Down",1.667e+09,-1.234e+09,4.33e+08,-3.19e+08,-3e+08,-1.9e+07,1.14e+08,-7e+06,-2.2e+07,1.5e+07,1.07e+08,-1e+06,1.06e+08,-3.2e+07,7.4e+07,2e+07,2e+07,9.4e+07,9.4e+07,9.4e+07,1.045e+09,1.045e+09,1.247e+09,1.247e+09,5.57e+08,1.67e+08,5.5e+07,3.016e+09,1.774e+09,3.14e+09,-1.366e+09,4.67e+09,1.077e+09,2.178e+09,1.118e+09,6.466e+09,9.482e+09,1.256e+09,7.5e+08,5.06e+08,7.3e+07,1.329e+09,8.48e+08,2.738e+09,1.181e+09,1.45e+08,1.412e+09,3.586e+09,4.915e+09,4.567e+09,9.482e+09,7.4e+07,6.8e+07,-4e+06,-1.26e+08,1.2e+07,-3.8e+07,-4.4e+07,-4.4e+07,-3.6e+07,-1.3e+07,1.2e+07,2e+06,-6.9e+07,-9.3e+07,2e+06,-9.1e+07,7e+06,-8.4e+07,1.82e+08,9.21e+08,5e+07,0.25975,0.06839,0.05639,0.02058,0.00991,0.53191,2.26938,1.0762,0.09713,1.23684,1.175,21.93421,0.65789,0.17105,0.01301,0.00608,0.1383,-0.68132,-1.08772
"8","2012_Q1",27.0375806451613,"Up",1.846e+09,-1.528e+09,3.18e+08,-6.95e+08,-6.73e+08,-2.2e+07,-3.77e+08,-2.6e+07,-3.3e+07,7e+06,-4.03e+08,-2.6e+07,-4.29e+08,1.57e+08,-2.72e+08,9e+06,9e+06,-2.63e+08,-2.63e+08,-2.63e+08,7.37e+08,7.37e+08,1.482e+09,1.482e+09,9.25e+08,2.43e+08,8e+07,3.387e+09,2.914e+09,4.306e+09,-1.392e+09,6.472e+09,2.134e+09,3.291e+09,1.047e+09,9.579e+09,1.2966e+10,1.555e+09,9.11e+08,6.44e+08,1.84e+08,1.739e+09,3.648e+09,3.444e+09,1.566e+09,4.04e+08,1.474e+09,7.092e+09,8.831e+09,4.135e+09,1.2966e+10,-2.72e+08,8.8e+07,4.13e+08,-7.5e+07,1.54e+08,-1.01e+08,-1.05e+08,-1.05e+08,-2.053e+09,-1.4e+07,1.714e+09,-8.1e+07,1.619e+09,-2.8e+08,-2.9e+07,-3.09e+08,999999.999999999,-3.08e+08,-2.89e+08,3.832e+09,-6.22e+08,0.17226,-0.20423,-0.14247,-0.0636,-0.02028,2.36502,1.94767,2.13567,0.29554,-3.37179,-3.2875,23.66667,-7.97436,0.17949,-0.02182,-0.05451,-0.05323,-10.70934,-8.20955
"9","2012_Q2",28.2130158730159,"Up",1.93e+09,-1.408e+09,5.22e+08,-3.92e+08,-3.62e+08,-3e+07,1.3e+08,-4.3e+07,-5.7e+07,1.4e+07,8.7e+07,-4e+06,8.3e+07,-2.3e+07,6e+07,1e+06,1e+06,6.1e+07,6.1e+07,6.1e+07,4.66e+08,4.66e+08,1.369e+09,1.369e+09,9.81e+08,2.47e+08,8.4e+07,3.063e+09,2.858e+09,4.308e+09,-1.45e+09,6.592e+09,2.088e+09,3.294e+09,1.199e+09,9.45e+09,1.2513e+10,1.267e+09,7.7e+08,4.97e+08,1.97e+08,1.464e+09,3.607e+09,3.377e+09,1.546e+09,4.03e+08,1.428e+09,6.984e+09,8.448e+09,4.065e+09,1.2513e+10,6e+07,1.04e+08,3.5e+07,-3.8e+08,-1.81e+08,-4.3e+07,-4.4e+07,-4.4e+07,-4.3e+07,-1.4e+07,-3e+07,0,-4.3e+07,-2.67e+08,-3e+06,-2.7e+08,-1e+06,-2.71e+08,2.34e+08,3.804e+09,-1.66e+08,0.27047,0.06736,0.03161,0.01501,0.00487,-2.72131,2.09221,2.07823,0.304,0.78205,0.77215,24.74359,-2.12821,0.17949,0.00667,-0.01476,0.22951,14.26496,25.67692
"10","2012_Q3",31.4088888888889,"Up",2.079e+09,-1.504e+09,5.75e+08,-4.12e+08,-3.81e+08,-3.1e+07,1.63e+08,-4e+07,-5.6e+07,1.6e+07,1.23e+08,1e+06,1.24e+08,-3.4e+07,9e+07,-2e+06,-2e+06,8.8e+07,8.8e+07,8.8e+07,5.99e+08,5.99e+08,1.489e+09,1.489e+09,9.49e+08,2.46e+08,8.3e+07,3.283e+09,2.822e+09,4.341e+09,-1.519e+09,6.401e+09,2.066e+09,3.319e+09,1.016e+09,9.423e+09,1.2706e+10,1.414e+09,8.82e+08,5.32e+08,1.64e+08,1.578e+09,3.588e+09,3.308e+09,1.504e+09,4.08e+08,1.396e+09,6.896e+09,8.474e+09,4.232e+09,1.2706e+10,9e+07,1.08e+08,8000000.00000006,3e+06,2.09e+08,-5.2e+07,-5.4e+07,-5.4e+07,-6000000.00000024,-1.3e+07,-52999999.9999995,2999999.99999999,-6.2e+07,1.41e+08,-5000000.00000001,1.36e+08,-3e+06,1.33e+08,2.71e+08,3.752e+09,2.56e+08,0.27658,0.0784,0.04233,0.02079,0.00693,2.90909,2.08048,2.00236,0.29529,1.12821,1.1,26.65385,3.28205,0.16667,0.00894000000000001,0.02267,0.14773,11.63469,19.34356
