"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",17.49953125,"Down",41934000,-15968000,25966000,-34117000,-25967000,-8150000,-8151000,-646000,-995000,349000,-8797000,-8797000,-54000,-8851000,-8851000,-8851000,-8851000,25452000,25452000,2492000,2492000,11656000,11656000,41634000,17301000,1828000,1828000,19129000,60763000,26978000,6494000,20484000,15573000,15573000,52506000,5425000,5425000,33567000,86073000,91233000,-116389000,-154000,-25310000,-25310000,60763000,-8851000,2255000,2464000,-4101000,-8233000,-3073000,0,-3073000,18539000,406000,406000,-1541000,17404000,6098000,6098000,-12000,6086000,-5896000,38097000,-13016000,0.61921,-0.19438,-0.21107,0.3497,-0.14566,1.47057,0.79294,-3.40075,0.62698,-0.36197,-0.36197,1.71495,-1.03509,-0.53231,-0.486,-0.71469,-2.14467,-1.55134
"2","2014_Q1",20.0785245901639,"Up",45342000,-17152000,28190000,-38545000,-29406000,-9139000,-10355000,-2990000,-3162000,172000,-13345000,-13345000,-21000,-13366000,-13366000,-13366000,-13366000,116378000,116378000,3045000,3045000,5214000,5214000,126748000,16660000,1777000,1777000,18437000,145185000,24973000,4414000,20559000,16552000,16552000,51743000,5324000,5324000,29927000,81670000,193580000,-129755000,-310000,63515000,63515000,145185000,-13366000,2374000,4963000,2848000,-3181000,-1765000,-5.82076609134674e-11,-1765000,-5541000,103367000,103367000,-1947000,95879000,90933000,90933000,-7000,90926000,-7981000,34821000,-6877000,0.62172,-0.22838,-0.29478,-0.21044,-0.09206,0.51451,2.44957,1.28584,0.23984,-0.21293,-0.21293,0.72234,1.01185,-0.10956,-0.12894,-0.06634,10.21889,7.8761
"3","2014_Q2",14.4885714285714,"Down",48262000,-17903000,30359000,-42597000,-32924000,-9673000,-12238000,-638000,-601000,-37000,-12876000,-12876000,-28000,-12904000,-12904000,-12904000,-12904000,166826000,166826000,3873000,3873000,6775000,6775000,179775000,19164000,1860000,1860000,21024000,200799000,32532000,2706000,29826000,18315000,18315000,60917000,5738000,5738000,28120000,89037000,254831000,-142659000,-410000,111762000,111762000,200799000,-12904000,2119000,3255000,5067000,-2463000,-3509000,-424735.758256858,-3509000,-2443000,59110000,59110000,-246000,56421000,50449000,50449000,-1000,50448000,-10119000,32452000,-8533000,0.62905,-0.25357,-0.26737,-0.11546,-0.06426,0.66127,2.95115,0.79667,0.16161,-0.20226,-0.20226,0.75646,1.75176,-0.13375,-0.08605,-0.0569,13.27938,10.98006
"4","2014_Q3",13.7609375,"Down",52787000,-19543000,33244000,-46054000,-35180000,-10874000,-12810000,-383000,-476000,93000.0000000001,-13193000,-13193000,-137000,-13330000,-13330000,-13330000,-13330000,151418000,151418000,5118000,5118000,9125000,9125000,167835000,24515000,2053000,2053000,26568000,194403000,30057000,4253000,25804000,20171000,20171000,60253000,7132000,7132000,28325000,88578000,262454000,-155989000,-640000,105825000,105825000,194403000,-13330000,2471000,4081000,-1741000,-8519000,-6997000,-806813.334403634,-6997000,-2431000,3533000,3533000,-973000,129000,-15387000,-15387000,-21000,-15408000,-10339000,31218000,-18940000,0.62978,-0.24267,-0.25252,-0.12596,-0.06857,1.42086,2.7855,0.83702,0.16058,-0.19808,-0.19808,0.78441,1.57255,-0.28145,-0.09246,-0.13137,11.62588,9.38329
"5","2014_Q4",12.551875,"Down",56944000,-19405000,37539000,-48353000,-36422000,-11931000,-10814000,-1153000,-505000,-648000,-11967000,-11967000,-19000,-11986000,-11986000,-11986000,-11986000,149353000,120691000,7443000,7443000,8369000,8369000,167177000,25862000,2866000,2866000,28728000,195905000,37359000,5700000,31659000,23415000,23415000,79878000,6724000,6724000,16092000,95970000,268196000,-167975000,-286000,99935000,99935000,195905000,-11986000,2819000,4270000,8771000,3874000,-4016000,-647000,-33359000,-2817000,1576000,1576000,-42000,-1283000,-30768000,-30768000,41000,-30727000,-7995000,28472000,-3221000,0.65923,-0.18991,-0.21049,-0.11994,-0.06118,0.26873,2.0929,0.96032,0.14534,-0.17678,-0.17678,0.83988,1.47397,-0.04751,-0.0887,-0.02384,15.11957,11.17819
"6","2015_Q1",15.0603278688525,"Up",61894000,-19922000,41972000,-51315000,-39211000,-12104000,-9343000,-864000,-425000,-439000,-10207000,-10207000,86999.9999999999,-10120000,-10120000,-10120000,-10120000,141661000,113182000,7651000,7651000,8767000,8767000,159789000,25527000,3021000,3021000,28548000,188337000,33417000,4181000,29236000,25586000,25586000,76276000,7208000,7208000,15556000,91832000,274851000,-178095000,-251000,96505000,96505000,188337000,-10120000,2969000,4922000,-2093000,-4322000,-2745000,-51000,-2796000,-2916000,2435000,2435000,999.999999999884,-480000,-7598000,-7598000,89000,-7509000,-6374000,25621000,-11299000,0.67813,-0.15095,-0.16351,-0.10487,-0.05373,1.1165,2.09488,0.95158,0.13604,-0.148,-0.148,0.90519,1.41137,-0.16525,-0.07825,-0.08736,18.20521,12.41999
"7","2015_Q2",17.4080952380952,"Up",65318000,-20547000,44771000,-54340000,-42500000,-11840000,-9569000,-959000,-403000,-556000,-10528000,-10528000,-83000,-10611000,-10611000,-10611000,-10611000,135706000,114152000,11572000,11572000,9521000,9521000,158853000,26697000,2609000,2609000,29306000,188159000,37727000,4923000,32804000,28325000,28325000,80863000,7547000,7547000,14872000,95735000,281090000,-188706000,40000,92424000,92424000,188159000,-10611000,3224000,4976000,1724000,-687000,-2859000,-339000,3582000,-3546000,1482000,1482000,-233199.276220541,-2064000,831000,831000,139000,970000,-6345000,22136000,-7397000,0.68543,-0.1465,-0.16245,-0.11481,-0.05639,0.69711,1.96447,1.03582,0.11765,-0.15431,-0.15431,0.94989,1.34408,-0.10757,-0.0869,-0.06058,17.89913,11.86853
"8","2015_Q3",18.2315625,"Up",70691000,-21529000,49162000,-58701000,-46404000,-12297000,-9539000,-40999.9999999999,-279000,238000,-9580000,-9580000,1369000,-8211000,-8211000,-8211000,-8211000,132703000,120789000,12242000,12242000,11181000,11181000,158498000,28532000,15864000,2694000,44396000,202894000,41974000,6022000,35952000,31026000,31026000,87746000,8699000,8699000,1.5e+07,102746000,297232000,-196917000,-167000,100148000,100148000,202894000,-8211000,3305000,4522000,1454000,1070000,-4857000,-171000,-218000,-1147000,7029000,7029000,-278453.893982024,5882000,6734000,6734000,-97000,6637000,-6234000,21047000,-11006000,0.69545,-0.13494,-0.11615,-0.08199,-0.04047,1.3404,1.80633,1.02594,0.10373,-0.11817,-0.11817,1.01733,1.44125,-0.15839,-0.06321,-0.08473,17.91081,11.70521
"9","2015_Q4",21.5225,"Up",76780000,-22333000,54447000,-60275000,-46800000,-13475000,-5828000,-564000,-245000,-319000,-6392000,-6392000,56000,-6336000,-6336000,-6336000,-6336000,132311000,130004000,15187000,15187000,12749000,12749000,162534000,29084000,15596000,2681000,44680000,207214000,41553000,4162000,37391000,34286000,34286000,79851000,8427000,8427000,24478000,104329000,306052000,-203253000,86000,102885000,102885000,207214000,-6336000,3406000,6331000,-1576000,1825000,-3390000,-1226000,4884000,-1021000,3529000,3529000,-105000,2403000,9112000,9112000,103000,9215000,-2422000,20063000,-7444000,0.70913,-0.07591,-0.08252,-0.06158,-0.03058,1.17487,2.03547,1.01404,0.09682,-0.08977,-0.08977,1.08784,1.45771,-0.10547,-0.04823,-0.05666,46.34517,19.26012
"10","2016_Q1",18.7116393442623,"Down",83439000,-22862000,60577000,-66573000,-51261000,-15312000,-5996000,-866000,-196000,-670000,-6862000,-6862000,-78999.9999999999,-6941000,-6941000,-6941000,-6941000,137588000,137588000,19163000,19163000,11978000,11978000,171046000,28160000,15607000,2948000,43767000,214813000,39898000,5196000,34702000,36657000,36657000,80574000,9086000,9086000,24107000,104681000,319799000,-210194000,527000,110132000,110132000,214813000,-6941000,3532000,8599000,-2312000,2878000,-3525000,-677000,-1882000,-1022000,7484000,7484000,-46000,6416000,7412000,7412000,172000,7584000,-2464000,19040000,-8222000,0.726,-0.07186,-0.08319,-0.06302,-0.03231,1.18456,2.12284,0.9505,0.08864,-0.09715,-0.09715,1.16788,1.54149,-0.11508,-0.0502,-0.05947,48.11201,19.77118
