"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.1730158730159,"Up",84953000,-17412000,67541000,-64097000,-3.4e+07,-30097000,3444000,-1930000,-1239000,17186555.4807812,1514000,273000,1787000,-636000,1151000,1151000,1151000,1151000,73838002.6106532,-45526919.4370471,119364922.0477,75521800.892294,75521800.892294,116467997.081383,787859.857974544,564573.304563511,266615660.442305,238178001.35071,315805241.317228,-569377624.374181,-4660939.73562232,1035194.46768013,207023609.567272,-1319525420.3211,-15394381.7062425,251221278.736062,43007771.8509262,43007771.8509262,42955943.5060619,117229627.858466,-6108476.58393922,-6498458.31662425,111121151.274526,154077094.780588,1312557952.3505,-1274439072.49593,59025304.1009053,97144183.9554741,97144183.9554741,251221278.736062,1151000,5410000,10162000,-13473000,3250000,-14108000,-40901000,-1465000,-70598000,0,9140000,-58208000,-58208000,-58208000,8854000,0,-18091000,0.79504,0.04054,0.01355,-2.38870040977808,-1.13004095390506,-15.71764,6.03701909208077,2.36777959095353,0.506221854772807,0.01138,0.0111,0.83992,0.150585791907087,-0.17886,-1.22013928682592,1.10407556928139,50.5272953849118,-520.707599556134
"2","2010_Q3",20.90703125,"Down",91950000,-14401000,77549000,-72926000,-37277000,-35649000,4623000,-2464000,-1600000,7996277.74039063,2159000,-1580000,579000,-1056000.00000006,-477000,-477000,-477000,-477000,337673000,115779000,221894000,77682000,77682000,83778000,22775000,22775000,521908000,212620000,117734000,133254000,77985000,40360000,227351304.783636,14558000,463608000,985516000,83930000,83930000,83930000,497083000,41541000,41541000,538624000,622554000,929148000,-576410000,10224000,362962000,362962000,985516000,-477000,6577000,11165000.0000001,4956000,22221000,-15240000,2111000,0,-13129000,-6217000,-2276000,6816000.00000001,6816000.00000001,6816000,11200000,497083000,1972000,0.84338,0.05028,-0.00519000000000065,-0.00131,-0.00048,-4.13417,6.21837,1.7152,0.50439,-0.00468999999999959,-0.00453999999999943,0.90397,3.56832,0.0193899999999998,-0.00053,0.00219,14.23304,34.48194
"3","2010_Q4",25.43546875,"Up",97750000,-18003000,79747000,-77714000,-38348000,-39366000,2033000,-2679000,-2040000,2788759.24679688,-646000,-3972000,-4618000,221952000,217334000,217334000,217334000,217334000,351967000,127539000,224428000,78734000,78734000,91741000,31747000,31747000,554189000,213755000,88955000,387634000,104604000,53364000,235750434.927879,228505000,690344000,1244533000,92097000,92097000,92097000,497083000,69689000,69689000,566772000,658869000,946321000,-359076000,-1581000,585664000,585664000,1244533000,217334000,7819000,-210196000,-5900000,9057000,-9372000,25643000,-1450000,-4005000,19000,6708000,11760000,11760000,11760000,9852000,497083000,-227372000,0.81583,0.0208,2.22337,0.37109,0.17463,-1.04619,6.01745,1.12499,0.39941,2.12826,1.18265,0.95723,5.73517,-2.22656,0.18859,-0.1973,14.7296,71.38023
"4","2011_Q1",25.4395161290323,"Up",101614000,-20469000,81145000,-84295000,-42098000,-42197000,-3150000,-2135000,-1827000,489000,-5285000,-13953000,-19238000,7049000,-12189000,-12189000,-12189000,-12189000,274112000,88079000,186033000,86576000,86576000,109698000,33874000,33874000,504260000,221866000,128171000,408326000,103648000,53364000,236017000,14215000,758363000,1262623000,83844000,83844000,83844000,377521000,84001000,84001000,461522000,545366000,1088334000,-371265000,188000,717257000,717257000,1262623000,-12189000,7931000,16152000,-27676000,-15782000,-10741000,-2151000,-718000,-13610000,-9122000,-10068000,-39460000,-39460000,-39460000,4781000,377521000,-40685000,0.79856,-0.031,-0.119950000000001,-0.01699,-0.00965,3.33785,6.01426,0.76035,0.299,-0.113500000000001,-0.11057,0.9462,6.67887,-0.37885,-0.01034,-0.03451,21.62916,-32.82825
"5","2011_Q2",26.3192063492064,"Up",109456000,-20796000,88660000,-86054000,-41037000,-45017000,2606000,-1901000,-1381000,21999.9999999999,705000,-312000,393000,-4764000,-4371000,-4371000,-4371000,-4371000,252581000,90782000,161799000,106198000,106198000,110067000,34984000,34984000,503830000,217884000,141378000,401054000,102692000,53055000,231947000,12227000,760316000,1264146000,75986000,75986000,75986000,377521000,89799000,89799000,467320000,543306000,1102263000,-375636000,-5787000,720840000,720840000,1264146000,-4371000,8585000,14374000,-22087000,-3499000,-6241000,9803000,-593000,2969000,415000,3233000,2703000,2703000,2703000,11191000,377521000,-12373000,0.81001,0.02381,-0.03993,-0.00606000000000001,-0.00345999999999999,2.8307,6.63056,0.75371,0.29864,-0.0395,-0.03947,0.98919,6.51448,-0.11182,-0.00368,-0.01041,11.16433,47.94321
"6","2011_Q3",29.04921875,"Up",110631000,-19263000,91368000,-93924000,-41052000,-52872000,-2556000,-1941000,-1403000,129000,-4497000,3324000,-1173000,-3904000,-5077000,-5077000,-5077000,-5077000,258920000,112956000,145964000,106606000,106606000,112299000,36286000,36286000,514111000,216496000,153206000,396579000,101736000,53055000,228400000,12267000,766281000,1280392000,82035000,82035000,82035000,377520000,88532000,88532000,466052000,548087000,1118941000,-380713000,-5923000,732305000,732305000,1280392000,-5077000,8531000,14283000,-4171000,13566000,-1910000,3271000,-655000,706000,-387000.000000002,7902000,22174000,22174000,22174000,5975000,377520000,3798000,0.82588,-0.0231,-0.04589,-0.00693,-0.00397,-0.74808,6.26697,0.74844,0.29485,-0.04569,-0.04573,0.99564,6.59046,0.03418,-0.00424,0.00317,19.84937,-46.40063
"7","2011_Q4",32.808253968254,"Up",113425000,-22445000,90980000,-103457000,-44880000,-58577000,-12477000,-2318000,-1445000,-265000,-14795000,-4936000,-19731000,2078000,-17653000,-17653000,-17653000,-17653000,224374000,71254000,153120000,107057000,107057000,115628000,39965000,39965000,487024000,266190000,145640000,396222000,100780000,51543000,229172000,13559000,808052000,1295076000,83254000,83254000,83254000,348339000,88944000,88944000,437283000,520537000,1171601000,-398366000,1304000,774539000,774539000,1295076000,-17653000,9350000,20876000,-3712000,8861000,-56388000,-1278000,-655000,-58321000,-1813000,7758000,-41702000,-41702000,-41702000,-3127000,348339000,-65305000,0.80212,-0.11,-0.15564,-0.02279,-0.01363,3.69937,5.84986,0.67206,0.26897,-0.15719,-0.15719,1.00996,6.89668,-0.58149,-0.01457,-0.05389,-39.64343,-9.93548
"8","2012_Q1",35.6748387096774,"Up",107846000,-21519000,86327000,-106362000,-48454000,-57908000,-20035000,-1681000,-1246000,174000,-21716000,-1400000,-23116000,-3619000,-26735000,-26735000,-26735000,-26735000,195092000,46272000,148820000,104839000,104839000,130118000,39753000,18638000,469802000,268971000,94385000,472551000,180277000,51543000,224677000,15495000,835907000,1305709000,94125000,94125000,94125000,348329000,90207000,53052000,438536000,532661000,1193262000,-425101000,4887000,773048000,773048000,1305709000,-26735000,8580000,13109000,4533000,-513000,-89680000,54766000,0,-34914000,306000,10445000,-24982000,-24982000,-24982000,-11455000,348329000,-92983000,0.80047,-0.18577,-0.2479,-0.03458,-0.02048,3.47795,4.99126,0.68904,0.26677,-0.23367,-0.23367,0.94259,6.75659,-0.81269,-0.02207,-0.07674,-13.3773,-7.64847
"9","2012_Q2",36.0944444444444,"Up",116649000,-17105000,99544000,-119082000,-45248000,-73834000,-19538000,-2140000,-1442000,36000,-21678000,-2328000,-24006000,34000,-23972000,-23972000,-23972000,-23972000,232979000,82586000,150393000,105828000,105828000,124064000,50519000,50519000,513390000,264317000,54751000,464627000,170914000,51543000,221239000,19849000,783695000,1297085000,96359000,96359000,119814000,324872000,80449000,80449000,405321000,525135000,1218511000,-449073000,2512000,771950000,771950000,1297085000,-23972000,10598000,13080000,-6877000,-7171000,-6179000,37475000,-1258000,30038000,18000,13447000,36314000,36314000,36314000,-8940000,348327000,-22030000,0.85336,-0.16749,-0.20551,-0.03105,-0.01848,0.91899,4.28489,0.68027,0.26855,-0.20833,-0.20833,1.01372,6.70853,-0.19145,-0.01996,-0.01835,-12.90246,-5.90378
"10","2012_Q3",39.2885714285714,"Up",124019000,-23574000,100445000,-129351000,-51539000,-77812000,-28906000,-1463000,-1389000,-176000,-30369000,-2048000,-32417000,410999.999999999,-32006000,-32006000,-32006000,-32006000,402586000,177757000,224829000,100750000,100750000,120125000,58073000,58073000,681534000,267374000,121970000,461649000,168267000,51543000,220593000,20061000,850993000,1532527000,96557000,96557000,119997000,324865000,87239000,87239000,412104000,532101000,1476855000,-481079000,4650000,1000426000,1000426000,1532527000,-32006000,11173000,13198000,6215000,-1420000,-9484000.00000001,-142899000,0,-152383000,66000,248974000,95171000,95171000,95171000,-17733000,348305000,-21413000,0.80992,-0.23308,-0.25807,-0.03199,-0.02088,0.66903,5.67959,0.53187,0.22727,-0.27142,-0.27142,1.0517,8.48379,-0.18159,-0.02229,-0.01491,3.06102,1.87785
