"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.3275,"Up",75106000,-53636000,21470000,-24908000,-15036000,-9872000,-3438000,-1981000,15000,-1996000,-5419000,-5419000,-854000,-6273000,-6273000,-6273000,-6273000,76383052.2057814,76383052.2057814,-482712.649042234,-482712.649042234,83172333.6831464,14060446.5743594,14060589.8609033,173133119.814245,39681059.4910697,8971389.4095198,8971389.40952235,48652448.9005895,221785568.714834,18215572.7452469,-5773201.43091782,-10653854.2856285,24014644.8459504,14536845.1971587,14536845.1971587,32752421.8785734,5006050.69440371,5006050.69440371,5006634.77349827,37759056.6520717,493248568.131563,-295999943.062251,-12004113.006525,184026512.062763,184026512.062763,221785568.714834,-6273000,1656000,1788000,2228000,-601000,-281000,24000,49000,49000,40000,-537000,-537000,1767000,1230000,-1782000,0,1019000,0.28586,-0.04578,-0.08352,-0.00784183071033589,-0.00579131293626598,-0.16244,5.02938250404546,0.228008305936201,2.60567960945272e-06,-0.23982,-0.23982,2.87135,7.14799197798435,0.03896,-0.00748469431933739,0.116287076571487,-31.5339601502411,1186.3744690358
"2","2011_Q1",11.6435483870968,"Up",93403000,-61910000,31493000,-27313000,-16271000,-11042000,4180000,-1902000,27000,-1929000,2278000,2278000,2052000,4330000,4330000,4330000,4330000,45743000,45743000,57888000,57888000,109653000,15346000,15346000,228630000,38594000,13648000,13648000,52242000,280872000,47306000,36709000,-4293427.14281424,10597000,20823000,20823000,68129000,7176000,7176000,7176000,75305000,494073000,-293520000,6232000,205567000,205567000,280872000,4330000,1678000,-109000,-13383000,-7484000,-642000,2993000,812000,812000,812000,-3679000,-3679000,306000,-3373000,5858000,0,-10219000,0.33717,0.04475,0.04636,0.02106,0.01542,-2.36005,3.35584,0.36633,0,0.16571,0.16571,3.57448,7.86694,-0.39108,0.02035,-0.04803,-7.80864,-10.9433
"3","2011_Q2",7.75047619047619,"Down",93170000,-62089000,31081000,-28692000,-16874000,-11818000,2389000,-444000,6000,-450000,1945000,1945000,-133000,1812000,1812000,1812000,1812000,35673815.9314062,35673815.9314062,71030987.5496807,71030987.5496807,121626055.438951,13821017.8085469,13820970.0463656,242151876.728585,38195146.8363101,16568536.8634934,16568536.8634926,54763683.6998035,296915560.428389,52010725.7515844,43456067.1436393,-782809.047604746,8260118.38468318,21669718.2676138,21669718.2676138,73680442.7071422,7870316.43519876,7870316.43519876,7870121.74216724,81550564.4493094,495267643.956146,-290175768.97925,11491121.002175,215364995.979079,215364995.979079,296915560.428389,1812000,1882000,1501000,-6401000,-1206000,-610000,-616000,436000,436000,436000,-1386000,-1386000,425000,-961000,4271000,0,-2607000,0.33359,0.02564,0.01945,0.028201443570112,0.0209596043120887,-1.43874,3.12255333198485,0.379046398021266,-8.68559869817572e-07,0.06842,0.06542,3.51797,8.16716767400522,-0.09844,0.0272298981064458,-0.0733431921904956,-0.763860783252952,-258.752017178601
"4","2011_Q3",5.85375,"Down",93380000,-59242000,34138000,-27920000,-16091000,-11829000,6218000,-1147000,11000,-1158000,5071000,5071000,-844000,4227000,4227000,4227000,4227000,37857000,37857000,57969000,57969000,124273000,11177000,11177000,231276000,38106000,18030000,18030000,56136000,287412000,42953000,30904000,650000,11399000,19582000,19582000,62535000,7691000,7691000,7691000,70226000,496689000,-287481000,9196000,217186000,217186000,287412000,4227000,2127000,1175000,-14378000,-6849000,-621000,-624000,78000,78000,-116000,-7589000,-7589000,664000,-6925000,8345000,0,-5810000,0.36558,0.06659,0.04527,0.01946,0.01471,-1.3745,3.69834,0.32334,0,0.15936,0.15525,3.52055,8.18821,-0.21904,0.0188,-0.02584,-4.53649,-6.08829000000001
"5","2011_Q4",5.1447619047619,"Down",72455000,-45560000,26895000,-27084000,-15695000,-11389000,-189000,1570000,7000,1563000,1381000,1381000,-230000,1151000,1151000,1151000,1151000,44413000,44413000,39881000,39881000,121916000,9392000,9392000,215602000,37896000,19171000,19171000,57067000,272669000,31671000,17703000,777000,13191000,17952000,17952000,49623000,7277000,7277000,7277000,56900000,498119000,-286330000,5198000,215769000,215769000,272669000,1151000,2171000,1704000,3881000,8907000,-719000,-710000,33000,33000,28000,8225000,8225000,-1669000,6556000,1982000,0,5374000,0.3712,-0.00261,0.01589,0.00533,0.00422,4.66898,4.3448,0.26371,0,0.04326,0.04255,2.72344,8.11032,0.202,0.00516,0.02409,-22.40817,234.98942
"6","2012_Q1",6.78064516129032,"Up",60411000,-37788000,22623000,-23909000,-11769000,-12140000,-1286000,360000,18000,342000,-926000,-926000,-1187000,-2113000,-2113000,-2113000,-2113000,46877000,46877000,35071000,35071000,120023000,10062000,10062000,212033000,37204000,20008000,20008000,57212000,269245000,28483000,19551000,495000,8437000,18989000,18989000,47472000,7218000,7218000,7218000,54690000,499439000,-288443000,4777000,214555000,214555000,269245000,-2113000,2317000,1935000,542000,2681000,-174000,-171000,244000,244000,243000,2753000,2753000,-289000,2464000,1031000,-2.27373675443232e-13,2586000,0.37448,-0.02129,-0.03498,-0.00985,-0.00785,-1.22385,4.46649,0.2549,0,-0.07937,-0.0779,2.26926,8.05946,0.0971400000000001,-0.00953,0.01166,-45.46751,36.45179
"7","2012_Q2",5.0984126984127,"Down",55006000,-34470000,20536000,-26051000,-14382000,-11669000,-5515000,-915000,9000,-924000,-6430000,-9311000,-717000,-10028000,-10028000,-10028000,-10028000,37218000,37218000,30464000,30464000,128719000,10532000,10532000,206933000,36507000,12370000,12370000,48877000,255810000,27524000,17861000,576000,9087000,14624000,14624000,42148000,7241000,7241000,7241000,49389000,501277000,-298471000,4833000,206421000,206421000,255810000,-10028000,1896000,1708000,-3273000,-9697000,-141000,-144000,977000,977000,977000,-8864000,-8864000,-795000,-9659000,-3619000,0,-6316000,0.37334,-0.10026,-0.18231,-0.04858,-0.0392,0.62984,4.90968,0.23926,0,-0.37464,-0.37464,2.05501,7.71184,-0.23596,-0.04693,-0.02956,10.28406,6.7485
"8","2012_Q3",4.01285714285714,"Down",59114000,-36326000,22788000,-23197000,-12719000,-10478000,-409000,560000,9000,551000,151000,-1999.99999999627,-469000,-470999.999999996,-470999.999999996,-470999.999999996,-470999.999999996,33797000,33797000,34978000,34978000,126647000,10203000,10203000,205625000,35779000,11616000,11616000,47395000,253020000,25768000,17642000,210000,7916000,15057000,15057000,40825000,6532000,6532000,6532000,47357000,502459000,-298942000,3364000,205663000,205663000,253020000,-470999.999999996,1729000,1703000,-5829000,-2868000,-244000,-238000,49000,49000,48999.9999999999,-3057000,-3057000,-364000,-3421000,1320000,1.81898940354586e-12,-4284000,0.38549,-0.00692000000000002,-0.00797,-0.00228999999999999,-0.00186,9.09554,5.03674,0.23027,-1.35525271560688e-20,-0.0175,-0.0175,2.19675,7.64269,-0.1592,-0.00222,-0.02019,-25.60379,82.63325
"9","2012_Q4",4.1941935483871,"Up",44640000,-30273000,14367000,-21646000,-11794000,-9852000,-7279000,-617000,9000,-626000,-7896000,-8474000,-243000,-8717000,-8717000,-8717000,-8717000,35220000,35220000,24978000,24978000,123280000,4973000,4973000,188451000,35107000,13031000,13031000,48138000,236589000,19214000,11683000,356000,7175000,12459000,12459000,31673000,5488000,5488000,5488000,37161000,503836000,-307659000,4469000,199428000,199428000,236589000,-8717000,1794000,1676000,6439000,1192000,-151000,-153000,16000,16000,16000,1055000,1055000,368000,1423000,-5485000,0,1046000,0.32184,-0.16306,-0.19527,-0.04371,-0.03684,-0.12,5.94989,0.18634,0,-0.32329,-0.32329,1.65556,7.39615,0.03879,-0.04254,0.0051,6.42115,4.83858
"10","2013_Q1",5.054,"Up",44625000,-44145000,480000,-21950000,-13548000,-8402000,-21470000,-478000,18000,-496000,-21948000,-14601000,-217000,-14818000,-14818000,-14818000,-14818000,44986000,44986000,24843000,24843000,100234000,5162000,5056000,175225000,34413000,12520000,12520000,46933000,222158000,17727000,10166000,278000,7283000,12055000,12055000,29782000,6300000,6300000,6300000,36082000,504751000,-322477000,5020000,186076000,186076000,222158000,-14818000,1458000,6489000,7647000,776000,8661000,8658000,257000,257000,257000,9691000,9691000,75000,9766000,-20012000,2.91038304567337e-11,-3487000,0.01076,-0.48112,-0.33206,-0.07963,-0.0667,0.23532,5.88359,0.19391,0,-0.54925,-0.54925,1.65408,6.89713,-0.12925,-0.07703,-0.01813,2.24795,2.09529999999999
